r3kb1r/pbppqppp/2p5/3nP3/8/8/PPPNQPPP/R1B1KB1R w KQkq -,g2g3 e7e6 f1g2 d5b4 e1d1 e8a8 a2a3 b4d5 d2b3 f7f6,51
8/8/6K1/4kP1p/8/8/8/8 w - -,a2a3 e8a8 d2c4 f7f6 c1d2 f6e5 e1a1 e5e4 f2f3 d8e8,Mate
r2q1rk1/pp2ppbp/2n1bnp1/6B1/2pP4/2N2N2/PP2BPPP/2RQ1RK1 w - -,h2h4 d8a5 g5e3 a8d8 d1a4 f6d5 a4a5 c6a5 f3g5 d5c3,-132
r2q2nr/pppk3p/2nbp3/3ppbPB/3P4/2P2N2/PP4PP/RNBQK2R w KQ -,d4e5 c6e5 f3e5 d6e5 d1e2 e5d6 c3c4 g8e7 c4d5 e7d5,60
8/6k1/P1P4p/b7/n7/7p/5K1P/8 w - -,f2g3 g7f6 g3h3 f6e6 h3g4 e6d6 a6a7 a4b6 g4f3 d6c6,-1399
rnbqkb1r/ppp2p1p/3p1np1/4p3/8/1P3NP1/P1PPPPBP/RNBQK2R w KQkq -,h2h3 f8g7 c1b2 e5e4 f3h2 d6d5 d2d3 e8h8 e1h1 f8e8,-19
r1bq1rk1/1pp2pbp/n2p2p1/p2Pp3/2P1P1n1/2NBBN2/PP3PPP/R2Q1RK1 w - -,d1e2 g4e3 f2e3 a6c5 d3c2 h7h5 h2h3 g7h6 c3a4 c5d7,-75
rnbqk2r/ppp2ppp/4pn2/2b5/4P3/2P2N2/PP2QPPP/RNB1KB1R w KQkq -,e4e5 f6d5 g2g3 a7a5 f1g2 b7b6 c1g5 c5e7 g5e7 d8e7,147
8/8/8/8/5r2/8/4K1k1/R4q2 w - -,a1f1 f4f1 e2e3 g2g3 e3e4 f1f3 e4d5 f3e3 d5d6 e3d3,-4842
r3k3/1p1n1p1p/Nb2p3/r7/b4Bp1/4P3/PP3PPP/2RR1BK1 w - -,f4c7 a4d1 c7b6 a5a6 f1a6 b7a6 b6a5 d1e2 e3e4 a8b8,-493
8/6R1/8/8/8/5K2/6pr/7k w - -,f4c7 a4d1 c7b6 a5a6 f1a6 b7a6 b6a5 d1e2 e3e4 a8b8,Mate
r1bq1rk1/ppp1n1pp/5p2/8/1PpP1B2/5N2/P4PPP/R2QR1K1 w - -,d1c1 b7b5 d4d5 e7d5 a2a4 c7c6 c1d2 a7a5 a4b5 c6b5,-241
r3k3/1pbn1p1p/4p3/r7/b4Bp1/4P3/PP3PPP/2RR1BK1 w - -,c1c7 a4d1 c7b7 e6e5 f4g3 a5a2 f1b5 a2a1 b5d7 e8f8,-616
r3k3/1pBn1p1p/4p3/r7/6p1/4P3/PP3PPP/2Rb1BK1 w - -,c7d6 d1a4 f1e2 a4c6 a2a3 a5d5 d6b4 d5g5 g1f1 f7f5,-589
