r1bqkbnr/pp2p1pp/2np1p2/2p5/4PP2/3P1N2/PPP3PP/RNBQKB1R w KQkq -,d3d4 c5d4 f3d4 d6d5 b1c3 d5e4 c1e3 c6d4 d1d4 d8d4,64
r1bqkbnr/1p3ppp/p1n5/3pp3/8/4P1B1/PPP2PPP/RN1QKBNR w KQkq -,f1e2 d8b6 b1d2 b6b2 g1f3 c8f5 c2c4 g8f6 e1h1 f5c2,-108
rnbqkbnr/ppp1pp1p/6p1/3p4/8/2N1P3/PPPP1PPP/R1BQKBNR w KQkq -,f1e2 e7e5 d2d4 e5e4 f2f3 g8f6 f3e4 f6e4 g1f3 c7c6,-43
r1bqk1nr/ppppb1pp/2n5/4ppB1/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq -,g5e3 e5d4 f3d4 f5e4 f1c4 g8f6 b1c3 c6d4 e3d4 c7c6,-65
rnbqkb1r/1p3ppp/p2ppn2/2pP4/P1P5/2N5/1P2PPPP/R1BQKBNR w KQkq -,e2e4 g7g6 h2h3 f8g7 f1d3 e8h8 g1f3 e6d5 c4d5 f8e8,141
r1bqkb1r/1pp2ppp/p1np4/1B1Pp3/8/5N2/PPPP1PPP/R1BQK2R w KQkq -,b5c6 b7c6 d5c6 f8e7 d2d4 e5e4 f3g1 d6d5 g1e2 a6a5,-58
rn1qk2r/pb1p1ppp/1p2pn2/2p5/2PP4/P1P2NP1/4PP1P/R1BQKB1R w KQkq -,c1f4 b8c6 f1g2 c6a5 d4c5 b6c5 e1h1 a5c4 a1b1 b7d5,-97
r1bqkb1r/2p2ppp/p1np4/1p1Pp3/B7/5N2/PPPP1PPP/R1BQK2R w KQkq -,a4b5 a6b5 d5c6 f8e7 e1h1 f7f6 d2d4 e5e4 f3d2 d6d5,-21
rnbqk2r/ppp2ppp/3bpn2/8/2BP4/5N2/PPP2PPP/RNBQ1RK1 w kq -,b1c3 e8h8 c1g5 b8c6 c3e4 d6e7 g5f6 e7f6 c2c3 b7b6,56
r1bqk2r/ppppbppp/2n5/4p3/2BPn3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,d4e5 e8h8 f1e1 e4c5 b1d2 d7d5 e5d6 c7d6 d2b3 c8e6,110
8/8/8/2p5/3k4/8/2K5/8 w - -,c2d2 c5c4 d2c2 d4e4 c2c3 e4e5 c3b2 c4c3 b2c1 e5f6,Mate
8/8/8/8/2pk4/8/3K4/8 w - -,d2c2 c4c3 c2c1 d4c4 c1c2 c4b4 c2c1 b4b3 c1b1 b3c4,Mate
rn1qkb1r/pp2pppp/2p2nb1/3p4/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq -,c2c4 e7e6 d3g6 h7g6 b1d2 b8d7 d1c2 c6c5 c4d5 f6d5,28
