rnbq1rk1/ppppppbp/6p1/3nP1B1/3P4/5N2/PPP2PPP/RN1QKB1R w KQ -,c2c4 d5b4 d1d2 c7c5 d4d5 f7f6 e5f6 e7f6 g5e3 d7d6,95
4K3/5P1q/8/3k4/8/8/8/8 w - -,c2c4 d5b4 d1d2 c7c5 d4d5 f7f6 e5f6 e7f6 g5e3 d7d6,Mate
rnbqkb1r/ppp3pp/5n2/4p3/3pP3/6N1/PPPP2PP/R1BQKBNR w KQkq -,g1f3 h7h5 f1b5 c7c6 b5c4 h5h4 g3f5 f6e4 d2d3 f8b4,70
8/1N6/1k6/3BK3/8/8/8/8 w - -,f1e2 b8c6 a2a3 h7h5 d2d3 h5h4 g3f1 f8e7 h2h3 e8h8,Mate
rn1qkb1r/pp3ppp/4pn2/3p1b2/2PP4/2N1B3/PP3PPP/R2QKBNR w KQkq -,c4c5 b8c6 f1b5 f8e7 g1f3 e8h8 e1h1 h7h6 h2h3 d8c7,35
r1b1kbnr/1pq2ppp/p1npp3/8/3NP3/1BN5/PPP2PPP/R1BQK2R w KQkq -,d4c6 b7c6 c1f4 f8e7 d1d2 e6e5 f4g5 c8e6 e1a1 e6b3,68
rnbqk2r/ppp1nppp/3p4/2b1P3/8/2N2N2/PPP1PPPP/R1BQKB1R w KQkq -,a2a3 e8h8 e5d6 c7d6 e2e3 d6d5 b2b4 c5b6 c1b2 b8c6,247
8/8/3K4/k1N5/8/1B6/8/8 w - -,c1g5 h7h6 g5h4 b8c6 e5d6 c7d6 a2a3 c8e6 e2e3 e8h8,Mate
r1bq1rk1/pp1nppbp/2pp1np1/8/2B1PP2/2NP1N2/PPP3PP/R1BQ1RK1 w - -,a2a4 e7e5 f4e5 d7e5 f3e5 d6e5 d1f3 d8d6 a4a5 c8e6,98
rn1qkb1r/pp1bp1pp/5n2/1Bpp4/8/5N2/PPPP1PPP/RNBQK2R w KQkq -,b5d7 d8d7 e1h1 b8c6 f1e1 e7e6 c2c4 f8e7 d2d3 e8h8,-24
r2qkbnr/ppp3pp/2n2p2/3pp3/3P1Pb1/4PN2/PPP1B1PP/RNBQK2R w KQkq -,f4e5 f6e5 e1h1 e5e4 f3e5 c6e5 d4e5 g4e2 d1e2 d8e7,52
r1bqk1nr/ppp2pbp/2np2p1/4p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,c2c3 g8f6 a2a4 e8h8 f1e1 h7h6 a4a5 a7a6 b1d2 b7b6,56
r1bqk2r/pppp1ppp/2n5/1B2p3/3Pn3/2P2N2/P1P2PPP/R1BQK2R w KQkq -,b5c6 d7c6 e1h1 e8h8 d1e1 c8f5 d4e5 f8e8 f3d4 f5g6,-101
r1bqkb1r/pppp3p/2n3pn/4pp2/2B1P3/2P2Q2/PP1P1PPP/RNB1K1NR w KQkq -,d2d3 c6a5 c4b5 f8g7 b2b4 c7c6 b5a4 f5e4 d3e4 a5c4,-50
r2q1rk1/1b2bppp/ppn2n2/2pp4/3P4/PPNBPN2/2Q2PPP/R1B2RK1 w - -,d4c5 b6c5 f1d1 c6a5 a1b1 e7d6 c1b2 h7h6 c3a4 a8c8,70
rnbqk2r/pppp1ppp/8/4P3/1b2n3/5N2/PB1N1PPP/R2QKB1R w KQkq -,d1c2 e4d2 f3d2 d7d5 e5d6 d8d6 e1a1 d6c6 c2c6 b8c6,-234
rnbqkbnr/1p1p1ppp/p3p3/8/P1BpP3/8/1PP2PPP/RNBQK1NR w KQkq -,b1d2 b8c6 d1e2 d8c7 g1f3 g8f6 e1h1 d7d6 f1d1 e6e5,-121
r1bqk2r/pp3ppp/2n2n2/2bpp3/8/2P2NP1/PP2PPBP/RNBQK2R w KQkq -,a2a3 e8h8 e1h1 h7h6 b2b4 c5b6 b4b5 c6a5 f3e5 f8e8,-188
rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/3B1N2/PPPN1PPP/R1BQK2R w KQkq -,e1h1 b8d7 f1e1 e8h8 c2c3 e7e5 d3f1 d8c7 d2c4 f8d8,86
r1bqk2r/ppp2ppp/2pb1n2/8/3pP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,e4e5 e8h8 e1h1 d6e5 f3e5 c6c5 e5f3 d4d3 c1g5 c8f5,457
