8/1k1K4/2R5/8/8/8/8/8 w - -,e2e3 c7c5 b1d2 b8c6 c1b2 e7e6 f1e2 f8d6 f3h4 e8h8,Mate
rnb2rk1/pp1q1ppp/4pn2/1Nb5/Q1p5/6P1/PP2PPBP/RNB2RK1 w - -,a4c4 d7e7 b2b4 c5b6 a2a4 b8c6 a4a5 a7a6 b5c3 b6c7,93
rnb1kb1r/ppp2pp1/3p2qp/4p3/2BPP3/2P2Q2/PP3PPP/RN2K1NR w KQkq -,b1d2 b8d7 g1e2 h6h5 e1h1 h5h4 h2h3 d7b6 f3e3 b6c4,47
rnb2rk1/pp2qppp/4pn2/1Nb5/2Q5/6P1/PP2PPBP/RNB2RK1 w - -,b2b4 c5b6 a2a4 b8c6 c1a3 a7a6 b5c3 c6e5 c4b3 f8d8,83
rnbqkb1r/ppp2p1p/3p1np1/4p3/4P3/2NP3P/PPP2PP1/R1BQKBNR w KQkq -,d3d4 e5d4 d1d4 b8c6 d4d1 f8g7 g1f3 e8h8 f1d3 f8e8,-17
rnbqk1nr/pp3p1p/4p1p1/2p5/2P5/2P5/P3PPPP/R1BQKBNR w KQkq -,d1d3 d8e7 h2h4 b8c6 e2e4 h7h6 g1f3 e6e5 h4h5 g6g5,-67
rnb2rk1/pp2qppp/1b2pn2/1N6/1PQ5/6P1/P3PPBP/RNB2RK1 w - -,b5c3 f8d8 a2a4 a7a6 a4a5 b6d4 c1a3 h7h6 e2e3 d4e5,95
r4rk1/ppp2ppp/2np1q2/1B2p3/1b2P3/2NP1Q2/PPP2PPP/R4RK1 w - -,f3f6 g7f6 c3d5 c6d4 b5a4 b4a5 c2c3 d4e2 g1h1 e2f4,212
r1bqk2r/pp3ppp/1bn1pn2/3p4/1P6/P2BPN2/2P2PPP/RNBQK2R w KQkq -,c1b2 b6c7 b4b5 c6b8 b1d2 b8d7 c2c4 b7b6 d3c2 d5c4,43
r1bqkbnr/1p3ppp/p1npp3/8/3QP3/2N1BN2/PPP2PPP/R3KB1R w KQkq -,d4b6 d8b6 e3b6 c8d7 f3d2 g8e7 f1e2 e7c8 b6e3 f8e7,86
r1bqkb1r/ppp2ppp/2n1p3/8/3PP3/2n2N2/PP3PPP/R1BQKB1R w KQkq -,c1g5 c3d1 g5d8 c6d8 a1d1 f8b4 d1d2 f7f6 e4e5 c8d7,-792
r2qkb1r/pp2pppp/2n2n2/3p4/5Pb1/3P1N2/PPP1B1PP/RNBQK2R w KQkq -,e1h1 d8c7 c2c3 e7e6 f3e5 g4e2 d1e2 f8d6 d3d4 c6e7,-76
rnbqkb1r/ppp1pppp/3p4/8/3Pn3/8/PPP2PPP/RNBQKBNR w KQkq -,f1d3 e4f6 g1f3 g7g6 e1h1 b7b6 c2c4 c8b7 b1c3 f8g7,-134
r1bq1rk1/ppp2pbp/2np2pn/4p3/2P5/2N1P1P1/PP1PNPBP/R1BQ1RK1 w - -,b2b3 h6f5 a1b1 a7a5 c1b2 c6b4 d2d3 c7c6 d3d4 e5d4,95
r1bqk1nr/pp1pbppp/2n5/4p3/1pB1P3/P4N2/2PP1PPP/RNBQK2R w KQkq -,c2c3 g8f6 a3b4 f6e4 b4b5 c6a5 c4a2 d7d6 e1h1 e8h8,-64
rnbqk2r/1p2bppp/p3pn2/2pp4/3P1B2/2NBPN2/PPP2PPP/R2QK2R w KQkq -,a2a3 c5c4 d3e2 f6h5 f4e5 b8c6 h2h3 h5f6 e5f4 b7b5,-53
r1bqkbnr/2pppppp/1pn5/p7/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,d2d4 c8b7 d4d5 c6a7 d1e2 c7c6 b1c3 b6b5 d5c6 d7c6,199
r2qkb1r/ppp2ppp/2n1pn2/3p3b/8/1P1P1N1P/PBPNPPP1/R2QKB1R w KQkq -,a2a3 a7a5 e2e3 h7h6 c2c4 f8e7 f1e2 h5g6 e1h1 e8h8,52
rnbqkb1r/ppp2ppp/3p4/2n1P3/3Q4/5N2/PPP2PPP/RNB1KB1R w KQkq -,e5d6 d8d6 c1e3 b8c6 d4d6 f8d6 b1c3 a7a6 e1a1 c8g4,61
r1bqk1nr/pppn1pbp/3pp1p1/8/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,f1d3 e6e5 f4g3 g8f6 b1d2 e8h8 d1c2 f6h5 g3h4 d8e8,59
rn1q1rk1/pp3ppp/2pbpn2/3p1b2/1PPP4/P1N1PN2/5PPP/R1BQKB1R w KQ -,f1e2 d5c4 e2c4 b8d7 c1b2 b7b5 c4e2 a7a5 b4a5 d8a5,-54
rn2kb1r/pp2pppp/2p2n2/q7/2BP2b1/2N5/PPP2PPP/R1BQK1NR w KQkq -,f2f3 g4c8 c1d2 a5d8 d1e2 b7b5 c4d3 g7g6 a2a4 b5b4,43
rnbqkb1r/pppp3p/4pp2/5p2/3PP3/8/PPP2PPP/RN1QKBNR w KQkq -,d1h5 e8e7 e4f5 d8e8 h5h4 e6f5 b1c3 e7d8 g1e2 e8g6,293
rn2kb1r/pp2pppp/2p2n2/q4b2/3P4/2N5/PPP1BPPP/R1BQK1NR w KQkq -,g1f3 h7h6 e1h1 e7e6 c1f4 f8e7 a2a3 e8h8 e2d3 f5d3,23
r1bqkbnr/pp1p1pp1/2p4p/8/2BpP3/8/PPPP1PPP/RNBQ1RK1 w kq -,f1e1 d7d6 c2c3 g8f6 c3d4 f8e7 c4b3 d6d5 d2d3 e8h8,149
rnbqkb1r/ppp3pp/5n2/3p1p2/3Pp3/1N2P3/PPP2PPP/RNBQKB1R w KQkq -,c2c4 c7c6 b1c3 f8d6 c1d2 e8h8 f1e2 b7b6 a1c1 c8e6,-98
r1R2nk1/5ppp/1p2pn2/p2N4/3P1P2/3qPN2/PP4PP/2R3K1 w - -,f3e5 f6d5 e5d3 a8c8 c1c8 d5e3 d3e5 f7f6 e5d7 g8f7,791
7k/1p4pp/8/8/P3qP2/2B3PP/1P1rRQ1K/3r4 w - -,d5f6 g7f6 c8c3 d3b5 g1f2 f8g6 g2g4 g6e7 c3b3 b5d7,Mate
8/8/8/4k3/8/3R4/8/4K3 w - -,d5f6 g7f6 c8c3 d3b5 g1f2 f8g6 g2g4 g6e7 c3b3 b5d7,Mate
rnbk2nr/ppp3pp/3b1p2/4p3/2B1P3/2N5/PPP2PPP/R1B1K1NR w KQ -,g1e2 a7a6 e1h1 b8c6 a2a4 g8e7 c1e3 c8d7 a1d1 d8c8,110
rnbqkb1r/pp3ppp/2p2n2/8/3Bp3/2N2P2/PPP3PP/R2QKBNR w KQkq -,f1c4 b7b5 c4b3 f8b4 a2a3 b4a5 d1d2 e8h8 e1a1 b8d7,-57
r1bqkbnr/3p1ppp/2n1p3/ppp5/4P3/1B1PBN2/PPP2PPP/RN1QK2R w KQkq -,c2c4 b5c4 d3c4 g8f6 b1c3 d8c7 e1h1 f8e7 e4e5 f6g4,94
r3kb1r/ppp1pppp/2n2n2/q6b/8/P1N2N1P/1PPPBPP1/R1BQK2R w KQkq -,b2b4 c6b4 a1b1 b4d5 c3d5 a5d5 e1h1 b7b6 d2d4 e7e6,115
r1b1kbnr/ppqppppp/2n5/2pB4/4P3/8/PPPP1PPP/RNBQK1NR w KQkq -,b1c3 e7e6 d5b3 g8f6 g1f3 f8e7 e1h1 a7a6 d2d3 b7b5,-25
rnbqkb1r/1p3ppp/p3pn2/4N3/2pp4/6P1/PP2PPBP/RNBQ1RK1 w kq -,c1f4 f8e7 e5c4 e8h8 b1d2 f6d5 d2b3 e7f6 a1c1 b8c6,-47
r2qkb1r/ppp2ppp/2n2n2/3p4/3P4/4PQ1P/PP3PP1/RNB1KB1R w KQkq -,c1d2 d8e7 d2c3 f6e4 b1d2 e4d2 e1d2 e8a8 a2a3 e7e6,64
r1bqk2r/p2pppbp/2p2np1/8/4P3/4BP2/PPP3PP/RN1QKB1R w KQkq -,d1d2 a8b8 e3a7 b8b2 a7d4 b2b8 f1e2 e8h8 e1h1 d7d5,-100
r3r1k1/4b1pp/3p3P/3b2P1/2p3q1/4B3/PP4B1/K5RR w - -,d1d2 a8b8 e3a7 b8b2 a7d4 b2b8 f1e2 e8h8 e1h1 d7d5,Mate
r1bqkb1r/pp1p1pp1/2n1pn1p/8/3N3B/4P3/PPP2PPP/RN1QKB1R w KQkq -,a2a3 g7g5 h4g3 f6e4 b1d2 e4g3 h2g3 f8g7 c2c3 d7d5,-32
rnbqk1nr/pp3pbp/3p2p1/2pPp3/2P1P3/2NB4/PP3PPP/R1BQK1NR w KQkq -,h2h4 g8f6 f2f3 b8d7 g1e2 e8h8 d1c2 f6h5 g2g4 h5f4,196
rnbqk2r/pp2npbp/3p2p1/2pPp3/2P1P3/2NB4/PP2NPPP/R1BQK2R w KQkq -,h2h4 f7f5 c1g5 f5f4 h4h5 h7h6 g5e7 d8e7 h5g6 e7f6,171
k7/2Q1K3/8/8/8/8/6b1/8 w - -,h2h4 f7f5 c1g5 f5f4 h4h5 h7h6 g5e7 d8e7 h5g6 e7f6,Mate
k2K4/1bQ5/8/8/8/8/8/8 w - -,h2h4 f7f5 c1g5 f5f4 h4h5 h7h6 g5e7 d8e7 h5g6 e7f6,Mate
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P2P1/4P2P/PPP2P2/RNBQKBNR w KQkq -,b1d2 f8d6 f1g2 e8h8 g1e2 b7b6 c2c4 c8a6 g4g5 f6d7,-58
r1b1kb1r/ppp2ppp/2nq4/1B1pN3/4n3/8/PPPP1PPP/RNBQR1K1 w kq -,d2d4 f8e7 f2f3 f7f6 e5c6 b7c6 b5a4 e4g5 b2b3 d6d7,371
5r1k/pp3qp1/2bb4/2p2n2/2Pp1P1P/PP1Q2P1/3BN3/R3K2R w KQ -,g3g4 f5e3 d2e3 c6h1 e1a1 h1f3 e3d2 f3g4 d1g1 g4f5,-215
5r1k/pp1q2p1/2bb4/2p2n2/2Pp1P1P/PP1Q2P1/3BN3/R3K2R w KQ -,g3g4 f5e3 d2e3 c6h1 e3d2 d7g4 d3g3 g4g3 e2g3 h1c6,-266
6r1/pp3p2/4qBk1/3p3R/2pP2P1/2P2R2/P1P5/6K1 w - -,g3g4 f5e3 d2e3 c6h1 e3d2 d7g4 d3g3 g4g3 e2g3 h1c6,Mate
rnb2rk1/1pp2ppp/p2qpn2/3p4/3P4/2PBPN2/PP3PPP/RN1QK2R w KQ -,f3e5 d6b6 d1b3 b6a7 b1d2 c7c5 b3d1 a7b6 a1b1 c8d7,52
rnbqk2r/pp2b1pp/2p2n2/3p1pB1/3P4/P1N2N2/1P2PPPP/R2QKB1R w KQkq -,e2e3 f6e4 g5e7 d8e7 f1d3 e8h8 c3e2 c8e6 h2h4 b8d7,67
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/5N2/PP1BPPPP/RN1QKB1R w KQkq -,d2c3 f8e7 e2e3 e8h8 f1e2 d7d5 b1d2 c7c5 e1h1 b8d7,-51
rnb1k2r/ppp2ppp/1q6/2b1p3/4N3/8/PPPP1PPP/R1BQKB1R w KQkq -,c2c3 c5e7 d2d4 e5d4 d1d4 b6d4 c3d4 b8c6 c1e3 c8e6,-48
r1bqkb1r/ppp1pppp/2n5/3p4/3P4/2nBPN2/PPP2PPP/R1BQK2R w KQkq -,d3b5 c3d1 e1d1 f7f6 b5c6 b7c6 b2b3 e8f7 a2a4 f7g8,-1170
1rbq1rk1/pp1nppbp/2np2p1/2p5/4PP2/2NP2PP/PPP1N1B1/R1BQ1RK1 w - -,g3g4 b7b5 a2a3 e7e6 g4g5 b5b4 a3b4 c5b4 c3a4 c6e7,-34
rnbq1rk1/1pp2ppp/p3pn2/3p4/3P1P2/3B1N2/PPPN1PPP/R2QK2R w KQ -,f3e5 c7c5 d4c5 d8c7 d1e2 c7c5 c2c3 c8d7 a2a4 d5d4,47
r1bqkbnr/2pp1ppp/p1n1p3/1p6/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,,0
rn1qkbnr/ppp2ppp/4b3/4N3/2B2p2/2N5/PPPP2PP/R1BQK2R w KQkq -,h2h4 e6c4 e5c4 d8e7 d1e2 b8c6 e2e7 g8e7 d2d3 c6d4,-113
rnbqk2r/pp3ppp/3ppn2/3p4/3P4/2N5/PPPQPPPP/R3KBNR w KQkq -,e1a1 a7a6 f2f3 b7b5 e2e3 b5b4 c3e2 a6a5 c1b1 c8a6,-37
r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ -,d4d5 c6a5 e3e4 d7d6 f1e2 c8g4 d1d3 g4d7 e1h1 a7a6,95
rnbqk2r/pp2bpp1/3p1n1p/2p5/2BNP3/2N4P/PPP2PP1/R1BQK2R w KQkq -,c4b5 b8d7 d4f5 e8h8 f5d6 d7e5 d6c8 d8d1 c3d1 a8c8,98
rn1qkb1r/ppp1ppp1/5n1p/3p4/2PP2b1/5NP1/PP2PP1P/RNBQKB1R w KQkq -,f3e5 g4c8 b1c3 e7e6 f1g2 c7c6 e1h1 b8d7 c1f4 f8b4,133
r2q1rk1/ppp2ppp/2npbn2/1BbNp1B1/4P3/3P1N2/PPP2PPP/R2QK2R w KQ -,b5c6 b7c6 d5f6 g7f6 g5h4 g8g7 d3d4 c5b6 a2a4 a7a5,148
rnbqk2r/ppp1bppp/5n2/4Q3/4P3/8/PPPP2PP/RNB1KBNR w KQkq -,d2d3 b8c6 e5f4 f6g4 f1e2 c6d4 e1d1 e7d6 f4f1 d6h2,-154
r2qkbnr/ppp2ppp/2n1p3/8/2BPP3/5P2/PP3P1P/RNBQK2R w KQkq -,h1g1 d8d4 d1b3 e8a8 c1e3 d4f6 b1d2 f8b4 e1a1 g8e7,-197
r3k2r/ppp1qppp/2npbn2/2b1p3/2B1P3/2NPBN2/PPP1QPPP/R3K2R w KQkq -,e3c5 d6c5 c4b5 e6d7 b5c6 d7c6 f3d2 e8a8 d2c4 b7b6,33
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P1PP/2P2Q2/PP1P1P2/RNB1K1NR w KQ -,g4g5 d7d5 g5f6 d5c4 d2d3 d8f6 f3f6 g7f6 c1h6 f8d8,-94
rnbqkbnr/pp3ppp/4p3/2ppP3/8/2NP4/PPP2PPP/R1BQKBNR w KQkq -,f2f4 b8c6 g1f3 c8d7 d3d4 g8h6 c3e2 d8b6 c2c3 c5d4,-82
rnb1kbnr/ppp1pppp/1q6/8/8/2N5/PPPPBPPP/R1BQK1NR w KQkq -,d2d4 c7c6 g1f3 g8f6 f3e5 c8e6 e1h1 b8d7 a2a4 b6a5,147
rnb1kb1r/ppp2ppp/1q2pn2/8/8/2N2N2/PPPPBPPP/R1BQ1RK1 w kq -,d2d4 b8d7 c1f4 a7a6 a1b1 f8e7 f1e1 e8h8 e2d3 f8d8,136
r2q1rk1/pp3pbp/3p1np1/2pPn1B1/2P5/3B4/PP1QNPPP/R4RK1 w - -,a1d1 e5d3 d2d3 a7a6 e2c3 h7h6 g5f4 f6h5 f4c1 f8e8,40
r1bq1r2/pp2ppkp/5np1/8/3Q4/1P4P1/P3PPBP/RN3RK1 w - -,d4e5 d8d6 e5d6 e7d6 f1d1 f8d8 b1c3 a8b8 d1d2 c8e6,84
r3r1k1/pp3pb1/1q1p1npp/2pP4/2P2P1B/3Q4/PP2N1PP/4RRK1 w - -,e1b1 f6d5 f4f5 g6g5 d3d5 e8e2 f5f6 g7f8 f1f5 e2e5,-177
rn1qkb1r/ppp2ppp/4p3/3n4/3P2b1/5N2/PP1NPPPP/R1BQKB1R w KQkq -,f3e5 g4h5 d1b3 b8d7 e5d7 d8d7 b3b7 a8c8 b7b3 f8e7,94
r1bqkb1r/ppp1nppp/2n1p3/3p4/3P1B2/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,c3b5 e7g6 f4c7 d8d7 c7g3 f8b4 c2c3 b4a5 b5d6 e8f8,286
r3r1k1/pp3p2/1q1p1b1p/2pP1Pp1/2P5/3Q4/PP2N1PP/4RRK1 w - -,e1b1 e8e7 g1h1 a8e8 e2g3 e7e3 d3c2 b6a5 g3h5 a5d8,-166
rnbqk1nr/pp3ppp/4p3/2bp4/8/4P3/PBPP1PPP/RN1QKBNR w KQkq -,b2g7 g8e7 g7h8 b8c6 d2d4 c5d6 c2c3 e7g6 h8g7 e6e5,477
r1bqkn1r/pp2bppp/3p1n2/2pPp3/2P1P3/2N3P1/PP3PBP/R1BQK1NR w KQkq -,a2a4 a7a6 a4a5 h7h6 d1e2 c8g4 e2d3 b7b6 a5b6 d8b6,202
rn1qkb1r/pbpp2pp/1p2pn2/5p2/2PP4/2N1P3/PPQ2PPP/R1B1KBNR w KQkq -,c1d2 b8a6 g1f3 g7g6 a2a3 c7c5 f1e2 f8g7 e1h1 e8h8,38
r1bqr1k1/pppp1ppp/2n2n2/2b5/2P5/2N1PN2/PP3PPP/R1BQKB1R w KQ -,a2a3 a7a5 f1e2 d7d6 e1h1 c8f5 b2b3 h7h6 e2d3 f5d3,32
rnbqkbnr/pp2pppp/8/8/2p5/1P6/P2P1PPP/RNBQKBNR w KQkq -,c1a3 c4b3 d1b3 a7a6 b1c3 g8f6 g1f3 b8c6 a1c1 g7g6,-141
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPPQPPP/R1B1KB1R w KQkq -,d2d4 e5d4 e4e5 f6g8 c3b5 f8c5 c1g5 g8e7 e1a1 h7h6,67
r2qkbnr/pp3ppp/3p4/2p1n3/2B1P1b1/2NP4/PPP2PPP/R1BQK2R w KQkq -,c4b5 g4d7 b5d7 d8d7 d3d4 c5d4 d1d4 e5c6 d4d3 f8e7,-425
8/8/8/3k4/8/5K1B/8/6N1 w - -,g1e2 d5c4 f3e3 c4b3 e3d3 b3b2 h3e6 b2b1 e6f5 b1b2,7533
r1bqkbnr/pp2pppp/2np4/2p1P3/8/2N5/PPPP1PPP/R1BQKBNR w KQkq -,f2f4 d6e5 f4e5 c6e5 g1f3 e5c6 f1b5 c8d7 d1e2 c6d4,-126
r2r2k1/p3ppbp/bpn2np1/8/2P1P3/B1N2P2/PP2N1PP/R3KB1R w KQ -,e2c1 c6d4 f1d3 e7e6 e1f2 f6d7 f3f4 d7f6 h2h3 f6h5,-32
r1b1kbnr/pp2pppp/2nq4/2p5/8/2N5/PPPP1PPP/R1BQKBNR w KQkq -,f1e2 c8f5 g1f3 g8f6 e1h1 e7e6 f3h4 f8e7 e2f3 e8h8,-63
rn2kbnr/ppp1pppp/1q6/5b2/3P4/2N5/PP1BPPPP/R2QKBNR w KQkq -,e2e4 f5e6 d4d5 e6d7 g1f3 g8f6 f1c4 e7e5 f3e5 b6d4,456
r1b1kbnr/ppppqppp/8/3NP3/3n1p2/8/PPP1Q1PP/R1B1KBNR w KQkq -,g1h3 d4e2 d5e7 g8e7 f1e2 e7g6 h3f4 g6e5 f4h5 d7d6,-402
r1bq1rk1/ppp2pbp/2np1np1/4p3/3P1B2/2P1PN1P/PP1N1PP1/R2QKB1R w KQ -,f3e5 d6e5 d4e5 f6d5 d2f3 d5f4 e3f4 d8d1 a1d1 c8e6,-587
rn2kbnr/ppp1pppp/1q2b3/8/3PP3/2N5/PP1B1PPP/R2QKBNR w KQkq -,d4d5 e6d7 g1f3 e7e6 f1c4 f8b4 e1h1 g8f6 d2e3 b6a5,431
rn1qk2r/ppp1bppp/5n2/3p4/4p1b1/1P2P1P1/PBPPNPBP/RN1QK2R w KQkq -,h2h3 g4e2 d1e2 b8d7 d2d3 e4d3 c2d3 e8h8 e1h1 f8e8,90
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/2N2N2/PPPPQPPP/R1B1KB1R w KQkq -,a2a3 g8e7 c3a4 c5b6 b2b4 e8h8 a4b6 a7b6 b4b5 c6d4,-43
r1bqkb1r/ppp2ppp/2n5/3pp3/3P4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,d4e5 d5d4 c1g5 d8d7 c3e2 h7h6 g5f4 g7g5 f4g3 f8b4,-85
rn1qkb1r/pppbpppp/5n2/3p4/8/3BP3/PPPP1PPP/RNBQK1NR w KQkq -,g1f3 e7e6 c2c4 f8d6 b1c3 c7c5 e1h1 e8h8 c4d5 e6d5,-36
r1bq1rk1/pp1p1ppp/2n1pn2/2b5/8/4PNP1/PPP2PBP/RNBQK2R w KQ -,d1e2 d7d5 c2c4 d5c4 e2c4 d8e7 b1c3 e6e5 f3g5 h7h6,-116
rq4k1/pp2rp1p/4bn2/8/3QP3/P4P2/4B1PP/2B2RK1 w - -,d4f6 e6a2 c1b2 b8e5 b2e5 e7e5 f6e5 a2e6 e5g5 g8f8,1153
rnbqk2r/ppp2ppp/4pn2/8/1bPN4/8/PB1PPPPP/RN1QKB1R w KQkq -,d1a4 b8d7 a4b4 c7c5 d4e6 f7e6 b4c3 b7b6 c3g3 e8h8,276
r1bqk2r/1ppp1pp1/2n2n1p/p1b1p3/2B1P3/P1NP3P/1PP2PP1/R1BQK1NR w KQkq -,g1f3 d7d6 c1e3 c8d7 e3c5 d6c5 e1h1 a5a4 c4d5 d8e7,28
r1bqkb1r/p4ppp/2p1pn2/2p5/4R3/5N2/PPPP1PPP/RNBQ2K1 w kq -,e4e1 f8e7 d2d3 e8h8 f3e5 d8c7 c1g5 e7d6 g5f4 f6d5,86
r4rk1/1bpnq1pp/1p1p4/p2Ppp2/2P5/PP2P3/1B1QBPPP/R4RK1 w - -,a1d1 d7c5 b3b4 c5e4 d2c2 b7c8 d1e1 a5b4 a3b4 c8d7,89
rnb1kb1r/ppp1pppp/4q2n/8/8/2N5/PPPPQPPP/R1B1KBNR w KQkq -,g1f3 g7g6 d2d4 e6e2 f1e2 c7c6 c1f4 f8g7 h2h3 h6f5,94
rnbqk2r/pp2bpp1/2pppn1p/8/3PP3/2NBBN2/PPP2PPP/R2QK2R w KQkq -,e1h1 b8d7 e4e5 d6e5 f3e5 e8h8 d1f3 c6c5 a1d1 c5d4,98
r2qkb1r/pp1bnppp/2pp1n2/1B1Pp3/4P3/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,d5c6 b7c6 b5c4 d8c7 f3g5 d6d5 e4d5 c6d5 c4d5 f6d5,87
r2qkbnr/ppp2ppp/2n5/3p4/4p3/1P2PB2/PBPP1PPP/RN1QK2R w KQkq -,b1c3 e4f3 d1f3 g8e7 h2h4 h7h5 d2d4 d8d7 e1a1 f7f5,-525
rn1qkb1r/pp3ppp/2p1pnb1/3p4/2PP1BP1/2N2N1P/PP2PP2/R2QKB1R w KQkq -,d1b3 d8b6 c4c5 b6b3 a2b3 b8d7 e2e3 f6e4 h3h4 e4c3,90
r1bqk1nr/ppp2ppp/2n5/3p4/3P4/P1b2N2/1PP2PPP/R1BQKB1R w KQkq -,d1d2 c3d2 c1d2 g8e7 e1a1 e7f5 d1e1 e8f8 c2c3 f7f6,-1153
8/k7/7R/6R1/8/8/8/3K4 w - -,d1d2 c3d2 c1d2 g8e7 e1a1 e7f5 d1e1 e8f8 c2c3 f7f6,Mate
rn2kbnr/ppp1pppp/8/q4b2/8/2N2N2/PPPPBPPP/R1BQK2R w KQkq -,b2b4 a5b6 c3d5 b6d6 d5e3 f5g6 e3c4 d6d8 c4a5 d8c8,174
rnbqk1nr/pppp1pp1/1b5p/3P4/2B1P3/5N2/PP3PPP/RNBQK2R w KQkq -,d5d6 c7d6 c1f4 g8e7 f4d6 e8h8 b1c3 b8c6 a2a3 b6c7,305
r2qkb1r/ppp2ppp/2n2p2/3p4/3P4/2N2b1P/PPP1PPP1/R2QKB1R w KQkq -,d1d2 f3e4 a2a3 d8d6 c3e4 d5e4 e2e3 f8e7 f1e2 f6f5,-443
r1bqk2r/pppp1ppp/3b4/3n4/3QP3/8/PPP2PPP/R1B1KB1R w KQkq -,f1e2 d5e7 d4g7 e7g6 f2f4 d8e7 c1d2 f7f6 g7e7 d6e7,-304
rnbqkb1r/ppp2ppp/8/4P3/8/2pP4/PBP3PP/R2QKBNR w KQkq -,d1c1 c3b2 c1b2 d8g5 g1f3 g5e3 f1e2 b8c6 d3d4 f8b4,-884
rnbqr1k1/ppp1bppp/5n2/3p4/3P4/2N2NP1/PPP2PBP/R1BQK2R w KQ -,c3e2 h7h6 e1h1 c8f5 f1e1 c7c6 e2f4 e7d6 e1e8 d8e8,-48
rnbqkbnr/pp3ppp/2p5/3pp3/8/1QP3P1/PP1PPP1P/RNB1KBNR w KQkq -,d2d3 f8d6 e2e4 g8f6 b3c2 e8h8 f1g2 f8e8 g1f3 a7a5,-99
rnbqk2r/ppp2ppp/4Pn2/2b5/2P5/8/PP1P1PPP/RNBQKBNR w KQkq -,g1f3 b8c6 e6f7 e8f7 f1e2 c6d4 f3d4 d8d4 e1h1 c8g4,196
r1bqkb1r/pppp1ppp/2n5/4P3/P7/2n2N2/1PP2PPP/RNBQ1RK1 w kq -,d1d2 c3b1 a1b1 d7d6 b2b4 d6e5 d2e2 f8d6 c2c4 c8f5,-723
rn2k2r/1bq2pp1/p3N3/2bp4/P6p/2PB4/1P3PPP/R1B1R1K1 w kq -,e6c7 e8d8 c7a8 b8d7 h2h3 d5d4 e1d1 h8h5 c3d4 c5d4,876
rnbqk1nr/pppp1p1p/7b/6p1/3PPp2/5N2/PPP3PP/RNBQKB1R w KQkq -,h2h4 g5g4 f3e5 d7d5 e4d5 g8f6 b1c3 e8h8 f1e2 f8e8,94
rn2kbnr/ppp1pppp/1q6/5b2/1P6/2N2N2/P1PPBPPP/R1BQK2R w KQkq -,c3d5 b6d6 d5e3 f5g6 e1h1 e7e6 c1b2 g8f6 b4b5 d6d8,166
r1b1kb1r/1p2pppp/pqn2n2/1B1p4/3P4/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,b5c6 b6c6 f3e5 c6b6 c3a4 b6d8 b2b3 e7e6 c2c4 b7b5,71
rn2kbnr/pp3ppp/4p3/1qppP3/3P1P2/2P2N2/PP4PP/RNBQK2R w KQkq -,a2a4 b5d7 d4c5 f8c5 b2b4 c5e7 a4a5 g8h6 d1d3 e8h8,60
K1r5/3k4/PR6/8/8/8/8/8 w - -,,0
r1bqkbnr/ppp1p1pp/2n2p2/3p4/5P2/5N1P/PPPPP1P1/RNBQKB1R w KQkq -,c2c4 d5d4 e2e4 e7e5 d2d3 e5f4 a2a3 a7a5 c1f4 f8d6,-82
r1bqkbnr/1pp2ppp/p1n5/3p4/1P2p3/P3PN2/1BPP1PPP/RN1QKB1R w KQkq -,c2c4 e4f3 d1f3 c8e6 c4d5 d8d5 f3d5 e6d5 f1e2 d5e6,-309
rnbq1rk1/pp2bppp/3ppn2/2p5/4P3/3P1N1P/PPP1BPP1/RNBQ1RK1 w - -,c2c4 b8c6 b1c3 d6d5 e4d5 e6d5 d3d4 c8e6 d4c5 e7c5,-13
8/8/8/1R6/8/2K5/k7/8 w - -,c2c4 b8c6 b1c3 d6d5 e4d5 e6d5 d3d4 c8e6 d4c5 e7c5,Mate
rn1qkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2N2P2/PPPP1P1P/R1BQK2R w KQkq -,d2d4 b8c6 d4d5 c6b8 f3f4 e5f4 c1f4 g7g6 d1d2 b8d7,87
8/5N2/6k1/2KB4/8/8/8/8 w - -,d5e6 g6h5 c5d5 h5h4 d5e4 h4g3 e4e3 g3h4 e3f4 h4h5,5795
r2qkbnr/ppp2ppp/2np4/4p3/2B1P3/2N2P2/PPPP1P1P/R1BQK2R w KQkq -,c3d5 g8f6 c2c3 g7g6 d2d3 f6d5 c4d5 d8d7 h2h4 h7h5,61
8/5p1p/1p2pPk1/2p1P3/PpP1K2b/4B3/7P/8 w - -,e3d2 h4f2 h2h3 f2g3 d2c1 g3e1 c1b2 e1c3 b2c3 b4c3,-767
