3r2k1/1p6/2p3pp/R4p2/R3pP2/4Pn2/1P3PKP/5r2 w - -,c3e2 a5a4 b3a2 c6c5 d2d3 g8f6 c2c3 d4c3 b2c3 f8e7,Mate
1N6/6k1/2P5/5P2/8/7p/5P2/6K1 w - -,d1e2 f2f1q e2e3 f1c4 d5d2 g2g3 d2d3 c4c2 e3e4 g3g4,Mate
q2r2k1/p4ppp/b3p3/2p5/3N2n1/1Q3PP1/PP1B2K1/7R w - -,g2g1 d8d4 d2f4 g4f6 b3b8 a8b8 f4b8 d4d1 g1g2 d1h1,-601
r3k2r/1p1b1ppp/p1n1p3/4q3/Qb4P1/2N1B2P/PPP1BP2/2KR3R w kq -,a4b3 b7b5 a2a4 a8b8 a4b5 a6b5 d1d3 b4c3 b3c3 e5c3,80
2kr3r/pbp2p1p/1p3n2/1BbP4/5B2/2N2P2/PPP3PP/2KR3R w - -,f4e5 d8d6 h1e1 a7a6 c3e4 a6b5 e5f6 h8g8 e4d6 c5d6,471
r1bqk2r/pp3pbp/2n1p1p1/2pn4/2B2P2/1QPP1N2/PP4PP/RNB2RK1 w kq -,c4b5 c8d7 b1a3 e8h8 a3c4 a7a6 b5c6 d7c6 c4e5 d8d6,-74
2r2rk1/pp3p1p/4p1pb/1Q1pPq2/8/2P2N2/PP3PPP/3RR1K1 w - -,a2a3 a7a6 b5e2 c8c4 f3d4 f5g5 g2g3 f8c8 h2h4 g5h5,42
r4rk1/1pp1ppbp/p2n2p1/P1NpN3/1P1PnB2/6Pq/2P1PP1P/R2Q1RK1 w - -,a1c1 g6g5 f4e3 f7f6 e5d7 f8f7 c5e4 d5e4 d7c5 b7b6,-46
r4rk1/1p2ppbp/p1pn2p1/P1Np4/1P1PnB2/5NPq/2P1PP1P/R2Q1RK1 w - -,g1h1 a8e8 d1d3 h7h6 f4e5 h6h5 d3b3 h5h4 g3h4 f7f6,-42
8/8/3k4/7p/4P2P/3K4/8/8 w - -,g1h1 a8e8 d1d3 h7h6 f4e5 h6h5 d3b3 h5h4 g3h4 f7f6,Mate
3r4/p5bk/2b3p1/4p2p/4P3/3Q2P1/QB3q1P/3R3K w - -,a2b1 d8d3 b1d3 f2b2 h1g1 b2b6 g1g2 b6b7 g2f3 b7c8,-657
8/8/4k3/7p/3KP2P/8/8/8 w - -,a2b1 d8d3 b1d3 f2b2 h1g1 b2b6 g1g2 b6b7 g2f3 b7c8,Mate
rn4k1/pp6/4bp2/3pn3/8/2P5/P1P2PP1/R3K2R w KQ -,f2f4 e5f7 e1a1 b8c6 h1e1 a8e8 d1d5 g8f8 d5b5 b7b6,-478
rn1q1rk1/1p2ppbp/3p2p1/pN6/P1nP4/5B2/1P3PPP/R1BQ1RK1 w - -,f3b7 c4b6 d1e1 d8d7 b7a8 b6a8 e1a5 b8c6 a5d2 a8b6,379
1rbq1rk1/p4ppp/2Bbpn2/3p4/5B2/2P1P3/PP1N1PPP/R2QK2R w KQ -,b2b4 d5d4 f4d6 d8d6 b4b5 d4e3 f2e3 c8b7 c6b7 b8b7,-80
2kr3r/pbp1bp1p/1p3n2/1B1PB3/8/2N2P2/PPP3PP/2KR3R w - -,h1e1 a7a6 e5c7 f6d5 c7d8 e7d8 c3d5 a6b5 d5c3 b7c6,502
8/8/8/3R4/4K3/5q2/6k1/8 w - -,e4e5 f3f7 d5d6 g2g3 d6f6 f7c7 e5e6 g3g4 f6f7 c7c4,-236
r2qk2r/pp1bnppp/2n1p3/2bpP3/5B2/2NB1N2/PPP2PPP/R2Q1RK1 w kq -,c3a4 c5b6 c2c3 e7g6 f4g3 b6c7 f1e1 b7b6 c3c4 d5c4,94
6k1/5pp1/4b3/5n2/4R3/3B1P2/6PP/6K1 w - -,e4a4 g7g6 d3f5 e6f5 g2g4 f5c2 a4a5 g8g7 h2h4 c2b3,494
2r2rk1/pp1n1pbp/1q1p1np1/2p1p3/2BPP3/1NP1BQ1P/PP3PP1/R4RK1 w - -,d4c5 b6c6 f1d1 c6e4 c4b5 d7c5 d1d6 e4f3 g2f3 c5b3,98
