r3kbnr/ppp2ppp/2n5/q3P3/6b1/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,a2a3 c6d4 c3e4 e8a8 c2c3 a5d5 d2d3 g4f3 g2f3 d4b3,-75
rn1qkbnr/pb3ppp/2p1p3/1p6/2pP1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq -,a2a4 f8b4 f1e2 a7a6 e1h1 g8f6 f4g3 e8h8 d1c2 b8d7,-103
rnbq1rk1/pp2ppbp/2pp1np1/6B1/2BPP3/2N5/PPP2PPP/R2QK1NR w KQ -,d1d2 b7b5 c4d3 b8d7 g1f3 b5b4 c3e2 c6c5 g5h6 e7e5,-69
rnbq1rk1/pppp1pp1/5n1p/2b1p3/2B1P3/5N1P/PPPP1PP1/RNBQ1RK1 w - -,f3e5 d7d6 d2d4 d6e5 d4c5 d8d1 f1d1 f6e4 c1e3 b8c6,61
rnbqkb1r/ppp1ppp1/5n1p/3p4/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq -,c2c4 e7e6 g1f3 f8e7 e1h1 e8h8 b1c3 c7c6 b2b3 b8d7,62
1k6/2R5/p2PB3/2p5/8/2b3r1/P4r2/1K2R3 w - -,c7c8 b8b7 d6d7 g3d3 e1g1 c3f6 c8c5 d3d6 g1e1 f2h2,8
r1b1kb1r/ppnnpppp/8/2p5/8/2N3P1/PP1PPPBP/R1B1K1NR w KQkq -,g1f3 b7b6 d2d4 c8b7 e1h1 g7g6 f1d1 f8g7 c1e3 a8c8,71
6k1/8/5K1P/1p6/1P6/8/8/8 w - -,a2a4 g7g6 g1f3 f8g7 d2d3 d7f8 h2h4 h7h6 c1e3 f8e6,Mate
rnbq1rk1/ppp1ppbp/5np1/8/2pP1B2/3BPN2/PP3PPP/RN1QK2R w KQ -,d3g6 h7g6 e1h1 c7c6 b1d2 b7b5 f3e5 f6d5 f4g5 d8c7,-784
rnbq1rk1/ppp1npbp/4p1p1/3pP3/3P4/5N2/PPP1BPPP/RNBQ1RK1 w - -,b2b4 b8d7 e2d3 b7b6 c2c3 c7c5 a2a4 a7a6 d1e2 h7h6,90
r1b1kb1r/ppp1qppp/2np1n2/4p3/2B1P3/2P2Q2/PP1P1PPP/RNB1K1NR w KQkq -,b1a3 d6d5 e4d5 e5e4 f3e3 c6e5 g1e2 e5c4 a3c4 f6d5,-94
r3k1nr/ppp1qppp/2nb4/8/4P1b1/5N2/PPPPB1PP/RNBQK2R w KQkq -,d2d3 e8a8 c2c3 d6c5 d1c2 g4f3 e2f3 f7f5 c2e2 c5b6,60
r3kb1r/ppp1qppp/2npbn2/4p3/2B1P3/2P2Q1P/PP1P1PP1/RNB1K1NR w KQkq -,c4e2 d6d5 d2d3 h8g8 e2d1 g7g5 f3e2 e8a8 d1a4 f6d7,-184
rn2kbnr/ppp2ppp/2q5/4p3/6b1/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,f1g2 g4f3 g2f3 c6a6 e1h1 b8c6 a1b1 g8f6 a2a3 c6d4,240
rnbqkb1r/ppp2ppp/1n1p4/8/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,d2d4 f8e7 h2h3 e8h8 f1d3 b8c6 a2a3 e7f6 c1e3 d6d5,56
7k/6N1/6K1/3B4/8/8/8/8 w - -,f1d3 f8e7 e1h1 e8h8 f1e1 f8e8 h2h3 d6d5 a2a4 a7a5,Mate
rn1qk1nr/ppp2pbp/6p1/4p3/5Bb1/4PN2/PPPN1PPP/R2QKB1R w KQkq -,f4e5 g7e5 c2c3 g8f6 d2c4 e5d6 h2h3 g4e6 f3g5 e6d5,-318
rnbqk2r/pp3pp1/2pb1n1p/3p4/2PP4/5N2/PP2BPPP/RNBQ1RK1 w kq -,f1e1 e8h8 b1c3 d5c4 e2c4 b8d7 f3e5 d7b6 c4b3 b6d5,11
r2qkb1r/pppbpppp/2n5/1B1nP3/3P4/5N2/PP3PPP/RNBQK2R w KQkq -,b1c3 e7e6 c3d5 e6d5 c1d2 f8e7 d1b3 e8h8 b5d3 d7g4,98
rn2kbnr/ppp2ppp/2q5/8/4p1b1/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,f3e5 c6e6 e5g4 e6g4 d1b3 b8d7 b3b7 a8b8 b7e4 g4e4,708
r1bqk2r/pp2ppbp/2np1np1/8/4P3/1NN5/PPPB1PPP/R2QKB1R w KQkq -,h2h3 e8h8 f1d3 b7b6 e1h1 c8b7 d1e2 f6d7 f2f4 a7a6,-47
r1bq1rk1/ppp1ppbp/2n3p1/3n4/3P4/P1N1PN2/1P3PPP/R1BQKB1R w KQ -,f1c4 d5c3 b2c3 c6a5 c4d3 c7c5 a1b1 b7b6 d1e2 c8b7,-13
r1b1kbnr/ppppqppp/2n5/8/4P3/3Q4/PPP2PPP/RNB1KBNR w KQkq -,b1c3 g8f6 c1f4 g7g6 e1a1 f8g7 g1e2 d7d6 f4g5 c6e5,92
8/4k3/8/QB1K4/8/8/8/8 w - -,c1f4 e7f6 f4c1 f8c5 g1f3 d7d6 f1e2 c6e5 d3d2 c8g4,Mate
r1bq1rk1/ppp1bpp1/2np1n1p/4p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w - -,a2a4 c8g4 h2h3 g4h5 g2g4 h5g6 b1c3 c6b4 c3e2 c7c6,40
rnbq1rk1/pp1p1ppp/2p2n2/2b1p3/2B1P3/3P1Q2/PPP1NPPP/RNB1K2R w KQ -,h2h3 d7d5 c4b3 a7a5 a2a4 b8a6 e1h1 c8e6 e2g3 c5e7,-57
rnbq1rk1/pp1pbppp/2p2n2/4p1B1/2B1P3/3P1Q2/PPP1NPPP/RN2K2R w KQ -,a2a3 h7h6 h2h4 d7d5 g5f6 e7f6 e4d5 e5e4 d3e4 f6b2,-64
rnbq1rk1/pp3ppp/4pn2/2ppN3/1bPP4/2N1P3/PP3PPP/R1BQKB1R w KQ -,c4d5 f6d5 c1d2 c5d4 e3d4 d5e7 d2e3 b8d7 e5f3 b7b6,-71
