6k1/7r/5Q2/6K1/8/8/8/8 w - -,d2g5 h7h6 g5f6 d8f6 e4e5 f6h4 g2g3 h4e7 f3f4 c7c5,Mate
r1bqkb1r/1p1p1ppp/p1n1pn2/8/P1B1P3/2N2N2/1P3PPP/R1BQK2R w KQkq -,e1h1 d8c7 d1e2 f8e7 f1d1 d7d6 c1f4 c6e5 c4d3 e8h8,-102
r1bqk2r/pppp1ppp/2n5/1B6/1b1Pn3/5N2/PP3PPP/RNBQ1K1R w kq -,d4d5 d8e7 d5c6 d7c6 b5d3 c8f5 d3e4 f5e4 c1g5 f7f6,221
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2N2N1P/PPPPQPP1/R1B1K2R w KQ -,a2a3 c6d4 e2d1 c8e6 c4e6 f7e6 e1h1 d4f3 d1f3 d6d5,-79
r1b1kb1r/ppp3pp/2np1q2/8/2B5/2P2P2/PP3P1P/RNBQK2R w KQkq -,h2h4 c8d7 c1e3 e8a8 b1d2 f6f5 d2b3 d8e8 b3d4 f5f6,-136
r1bqk2r/pppn1ppp/3bpn2/3p2B1/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq -,e2e4 d5e4 d2e4 h7h6 e4d6 c7d6 g5f4 d8c7 c2c3 e6e5,37
r1bqkb1r/1p1p1ppp/p1n1pn2/2p5/2P1P3/P1N2N2/1P1P1PPP/R1BQKB1R w KQkq -,d2d4 c5d4 f3d4 f8e7 f1e2 d7d5 c4d5 e6d5 e4d5 f6d5,75
r3kb1r/pp2pppp/2n2n2/qN1p1b2/3P1B2/4P3/PP3PPP/R2QKBNR w KQkq -,e1e2 a5b5 e2f3 b5b2 d1c1 b2b6 h2h3 e7e5 d4e5 f6h5,-1028
r1bqkb1r/pp2pp1p/2n2np1/3p4/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq -,e1h1 h7h6 b1d2 f8g7 f3e5 c8f5 h2h3 d8c7 f1e1 e8h8,77
r2qkb1r/pppbpppp/2n5/3n4/3P4/8/PPP1BPPP/RNBQK1NR w KQkq -,g1f3 e7e5 f3e5 c6e5 d4e5 d5b4 a2a3 b4c6 c1f4 f8c5,91
rn2kb1r/pp1b1ppp/3pN3/qB5Q/4n3/8/PPP2PPP/RNB1K2R w KQkq -,c1d2 a5b6 d2e3 b6a5 b1d2 d7b5 b2b4 a5b4 e6c7 e8d8,208
