rnbqkb1r/2p2ppp/p3pn2/1P6/2BPP3/8/1P3PPP/RNBQK1NR w KQkq -,b1c3 c8b7 b5a6 b8a6 a1a6 b7a6 d1a4 f6d7 c4a6 c7c5,167
8/2P2kp1/1n3p1p/4p3/8/6P1/5P1P/1B4K1 w - -,b1f5 e5e4 c7c8r b6c8 f5c8 f7g6 g1g2 f6f5 g3g4 f5f4,449
rnbq1rk1/p3bppp/2pp1n2/1p2p1B1/4P3/1BNP1N2/PPP2PPP/R2QK2R w KQ -,c3b5 h7h6 g5f6 e7f6 h2h3 b8a6 b5c3 a6c5 e1h1 a8b8,90
r5k1/5p2/5Q2/7p/8/8/5PPP/6K1 w - -,f6g5 g8f8 h2h4 a8e8 g5h5 f8g8 h5g5 g8h7 g1h2 e8e6,918
r4k2/5p2/8/6Qp/8/8/5PPP/6K1 w - -,h2h4 a8a4 g5h5 a4a6 g1h2 a6g6 h5f5 f8e7 h4h5 g6e6,955
8/5p2/r6p/P6p/3k1PP1/5K2/8/R7 w - -,g4h5 f7f5 f3g3 d4c4 a1c1 c4b5 c1e1 a6a5 e1e5 b5b4,214
b3rrk1/p3q2p/1p3n2/2p2pp1/Q1P5/2BRP3/PP4pP/3R1BK1 w - -,a4d7 f6d7 f1g2 d7e5 g2a8 e8a8 c3e5 e7e5 b2b3 e5e4,-1134
2rq1rk1/1p1bbppp/p1np4/3Bp3/4P3/4BN2/PP2QPPP/2RR2K1 w - -,b2b3 d8a5 e3d2 a5a3 h2h3 d7e6 e2e3 e7d8 d5e6 f7e6,-35
8/2b5/1p2k3/pP4p1/P3K1P1/8/8/6B1 w - -,g1d4 e6e7 e4f5 e7f7 d4e3 c7d8 e3g5 d8g5 f5g5 f7e6,877
2kr1b1r/ppqn1p2/4p1np/2ppP1p1/3P2Q1/1N1N4/PPPB1PPP/R4RK1 w - -,f2f4 h6h5 g4e2 c5c4 f4g5 d7b8 d3f4 c4b3 a2b3 b8c6,-79
rnb1k2r/ppp2ppp/5n2/4P3/1bP1q3/4B3/PP3PPP/RN1QKBNR w KQkq -,d1d2 b4d2 b1d2 e4e5 e1a1 e5a5 a2a3 c8f5 d2b3 a5a4,-835
r1bqk1nr/pppp1ppp/2n5/6b1/3pP3/2P2N2/PP3PPP/RN1QKB1R w KQkq -,f1c4 d4d3 e1h1 d7d6 e4e5 d6e5 c4d3 g5h6 d3b5 d8d1,-813
rnbqkb1r/p2p1ppp/1pp2n2/8/3QP3/2N2N2/PPP2PPP/R1B1KB1R w KQkq -,e4e5 f8c5 d4h4 f6d5 h4g3 e8f8 c1d2 d5c3 d2c3 d8e7,432
r2qkb1r/ppp2ppp/3p1n2/4n3/2B1P3/5Q2/PPP2PPP/RNB1K2R w KQkq -,f3e2 e5c4 e2c4 f8e7 c4b5 d8d7 b5b7 e8h8 b1c3 f8b8,39
3r1rk1/1p2bpp1/p1bppn1p/q7/2P1P3/1PN1BP2/P2QB1PP/R2R2K1 w - -,c3d5 f6d5 d2a5 d5e3 d1d3 e7g5 h2h4 g5f6 a1c1 d6d5,484
8/8/8/8/8/4k3/1r6/R4K2 w - -,,0
