r5k1/p1pp1p1p/b1p3p1/3n4/2P2P2/1P2r1P1/P5BP/RN3RK1 w - -,b1d2 d5f6 f1c1 a8e8 b3b4 e3a3 d2b1 a3d3 b4b5 a6c8,-117
5B2/1K6/8/k7/3P4/1PP5/8/8 w - -,b1d2 d5f6 f1c1 a8e8 b3b4 e3a3 d2b1 a3d3 b4b5 a6c8,Mate
r1b2rk1/p3ppbp/2p2np1/4q3/2P5/2N1B3/PP2BPPP/R2Q1RK1 w - -,d1d2 c8g4 a1d1 g4e2 d2e2 f6e4 c3e4 e5e4 b2b3 f8d8,43
rnbqk1nr/1pp1ppbp/3p2p1/p7/3PPB2/2N5/PPP2PPP/R2QKBNR w KQkq -,d1d2 c7c6 e1a1 b7b5 e4e5 b5b4 c3a4 d6e5 d4e5 d8d2,69
r5k1/p1pp1p1p/2p3p1/3P4/5P2/1P2r1P1/P5BP/RN3bK1 w - -,g1f2 f1g2 f2e3 g2d5 b1c3 d5e6 a1c1 d7d6 b3b4 g8f8,-336
r2qkbnr/pp2p1pp/2p5/3pPb2/8/2N5/PPP2PPP/R1BQKB1R w KQkq -,f1d3 f5d3 d1d3 d8c7 f2f4 e7e6 c3e2 f8c5 c1d2 g8e7,42
rnbq1rk1/ppp1bpp1/5n1p/3p4/3P3B/5N2/PPQ1PPPP/RN2KB1R w KQ -,b1c3 c8g4 e2e3 b8d7 f1d3 c7c5 d4c5 d7c5 f3d4 c5e6,25
r1bq1rk1/ppp2ppp/2np1n2/4p3/2PPP3/5N2/PPQN1PPP/2KR1B1R w - -,d4d5 c6b4 c2b3 a7a5 h2h3 f6d7 a2a3 d7c5 b3e3 b4a6,-128
r2q1rk1/pb1nbppp/1pp1pn2/3p4/1PPP4/2B2NP1/P2NPPBP/R2Q1RK1 w - -,a1b1 c6c5 b4c5 d5c4 d1a4 d8c8 d2c4 b6c5 d4c5 b7e4,27
rnbqnrk1/ppp1ppbp/3p2p1/4P3/3P1P2/3B4/PPP3PP/RNBQK1NR w KQ -,g1f3 c7c5 c2c3 c8g4 e1h1 c5d4 c3d4 d8b6 b1d2 d6e5,-36
4r1k1/p1pp1p1p/2p3p1/3P4/5P2/1P2r1P1/P5BP/RN3K2 w - -,b1d2 c6d5 g2d5 g8f8 a1d1 c7c6 d5f3 e3c3 f3e4 e8e6,12
rnbqnrk1/pp2ppbp/3p2p1/2p1P3/3P1P2/3B1N2/PPP3PP/RNBQK2R w KQ -,d4c5 d8a5 c2c3 a5c5 d1e2 d6e5 f3e5 b8d7 c1e3 c5c7,-68
r1bqk2r/pppp1ppp/2n5/2b5/2P1PBn1/2N2N2/PP3PPP/R2QKB1R w KQkq -,f4g3 d7d6 f1e2 e8h8 e1h1 g4e5 f3d2 a7a5 g1h1 c6d4,34
r1bq2k1/ppp3pr/2n3Bp/3p4/8/b1p2Q2/P1P2PPP/R3R1K1 w - -,f4g3 d7d6 f1e2 e8h8 e1h1 g4e5 f3d2 a7a5 g1h1 c6d4,Mate
r1b1k2r/pppp1ppp/2N2n2/2b5/4q3/1B6/PPPP1PPP/RNBQK2R w KQkq -,e1f1 b7c6 b1c3 e4f5 d1f3 f5f3 g2f3 e8h8 f1g2 f6h5,-48
r2q1r1k/ppp2ppp/2np1n2/3Np1B1/4P3/3P4/PPP2PPP/R2Q1RK1 w - -,f2f4 e5f4 f1f4 f6d5 g5d8 d5f4 d8c7 f4e6 c7d6 f8d8,424
4k3/8/6q1/4PR1N/5P1K/8/8/8 w - -,f5f6 g6g2 f6d6 e8e7 h5f6 g2h1 h4g5 h1g2 f6g4 g2h1,239
r1b2rnk/ppp2ppp/1bnp2q1/8/NPB1P3/P4N1P/5PP1/1RBQ1RK1 w - -,b4b5 c8h3 f3g5 c6e5 c4e2 h3g4 e2g4 e5g4 d1g4 f7f6,-11
rnbq1rk1/ppppp1bp/6p1/5p1n/3P1B2/3BP3/PPP2PP1/RN1QK1NR w KQ -,h1h5 g6h5 b1c3 d7d6 d1h5 e7e5 d4e5 d6e5 d3c4 g8h8,72
r2q1rk1/bpp2pp1/p1np1n1p/P3p2b/1PB1P3/2PP1N1P/3N1PP1/R1BQR1K1 w - -,d2f1 d6d5 e4d5 f6d5 c1d2 d5f6 f1g3 h5g6 d1e2 f8e8,75
8/4r3/1K6/3k4/8/6Q1/8/8 w - -,g3b3 d5e5 b3e3 e5d6 e3a3 d6e6 b6c6 e6f6 a3f3 f6g5,20000
rnbqkb1r/pp3ppp/8/2pnp3/8/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq -,f1b5 b8c6 f3e5 d5c3 b2c3 d8d5 d1f3 d5f3 e5f3 c8f5,142
8/8/1K2r1Q1/3k4/8/8/8/8 w - -,,0
8/8/4B3/N7/8/8/2K5/k7 w - -,g6e6 d5e6 b6c6 e6f5 c6d5 f5f4 d5d4 f4f3 d4e5 f3e3,Mate
r1bq1rk1/3nbppp/2p1pn2/pp1p4/2PP4/1PB2NP1/P2NPPBP/R2Q1RK1 w - -,c4c5 b5b4 c3b2 c8a6 a2a3 d8c7 f1e1 f6e4 d2e4 d5e4,38
r3r1k1/pp3ppp/2pb1pn1/8/3P4/2P1Bq2/PPQ2P2/R3RBK1 w - -,c2e2 f3f5 f1g2 g6h4 g1f1 h4g2 f1g2 e8e4 e1h1 a8e8,-522
r1bq1rk1/3nbppp/2p1pn2/p1Pp4/1p1P4/1PB2NP1/P2NPPBP/R2Q1RK1 w - -,d1c1 b4c3 c1c3 h7h6 a2a3 c8a6 f1e1 f6e4 d2e4 d5e4,-324
r3r1k1/pp3ppp/2pb1pn1/7q/3P4/2P1B3/PPQ2PB1/R3R1K1 w - -,c2d1 h5h2 g1f1 f6f5 d1f3 g6h4 f3h3 h4g2 h3g2 h2h5,-424
r3k2r/pp1qn1bp/2np2p1/2p5/8/2NP1N2/PPP3PP/R1BQ1RK1 w kq -,c1d2 e8h8 c3e4 g7b2 d2h6 b2g7 h6g7 g8g7 d1c1 e7f5,-35
r2q1rk1/3nbppp/b1p1pn2/p1Pp4/1p1P4/1P3NP1/PB1NPPBP/R2Q1RK1 w - -,f3h4 f6e4 g2e4 d5e4 h4g2 f7f5 g2f4 f8f6 f2f3 g7g5,-43
r3r1k1/pp3ppp/2pb1pn1/8/3P4/2P1B3/PP2QPBq/R3R1K1 w - -,g1f1 g6h4 e2g4 f6f5 g4h3 h4g2 h3g2 h2h5 e3g5 g8h8,-425
r1bqk2r/2pp1ppp/p4n2/npb1p3/4P3/1B3N1P/PPPP1PP1/RNBQ1RK1 w kq -,f3e5 a5b3 a2b3 c8b7 b1c3 d7d6 e5d3 c5d4 d3f4 e8h8,89
