7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
r2q1rk1/1ppn1ppp/p1nbp3/3pN3/3P1P2/2PQP3/PP1N2PP/R1B2RK1 w - -,e3e4 d5e4 d2e4 d6e5 f4e5 d7e5 d3h3 e5d7 b2b3 c6e7,24
r1bq1rk1/p1pp2pp/1pn1pn2/5p2/1bPP4/2NBPN2/PP1B1PPP/R2QK2R w KQ -,e1h1 c6e7 a2a3 b4c3 d2c3 f6e4 c3e1 d7d6 d1c2 e7g6,53
r7/ppp2k2/1b1p3p/3Pp1p1/4P3/2P2rN1/PP2RPRK/8 w - -,g3f5 a8h8 g2g3 f3f4 f2f3 a7a5 g3h3 h6h5 a2a4 f7f6,-175
r3k3/pb4bp/2R2np1/8/2B1P3/2N3P1/PPP4P/1K3R2 w - -,c6c7 f6d7 c7b7 a8b8 b7b8 d7b8 c4b5 e8d8 c3d5 h7h5,775
1r2bnk1/2pq2b1/1pnp4/p3pQ2/4P2P/2PP2P1/PP4B1/R1B2RK1 w - -,g2h3 d7f5 e4f5 g7f6 c1g5 f6g5 h4g5 f8h7 g5g6 h7g5,136
5br1/p2k2n1/nqp2P2/1p1pP2p/3P3P/2PQ4/PP1N1B2/2K3R1 w - -,d3h7 a6c7 e5e6 c7e6 h7g8 b6d8 g1g7 e6g7 f6g7 f8g7,722
r1bqkb1r/3pnpp1/p1n1p2p/1p6/4P2B/1BN2N2/PP3PPP/R2QK2R w KQkq -,a1c1 c8b7 e1h1 g7g5 h4g3 f8g7 a2a4 d8b6 d1d6 e8h8,-47
r1b2r2/pp3Nk1/2p1p1Bp/7n/8/8/PPP2RPP/R5K1 w - -,g6h5 e6e5 f2f3 c8e6 f3g3 g7f6 a1f1 f6e7 g3g7 f8g8,590
r1b2r1k/pp2p2q/2pp1n1Q/4Pp1P/3P4/2NB4/PPP2P2/2K3RR w - -,g6h5 e6e5 f2f3 c8e6 f3g3 g7f6 a1f1 f6e7 g3g7 f8g8,Mate
rn4k1/p5pp/1p1bN3/3p4/3P2P1/2N4P/PP1B1P2/5bK1 w - -,e6g5 f1a6 c3d5 b8c6 d2c3 a8e8 a2a3 e8f8 g5e4 d6b8,-494
r3k2r/1p2bpp1/1qn1pn1p/p2p1b2/P1pP1B2/2P1PN1P/1P1N1PP1/R1Q1KB1R w KQkq -,b2b3 c4b3 c1b2 e8h8 f1e2 f8c8 e1h1 f6e8 f1c1 e8d6,3
rn2kb1r/3ppppp/b7/q1pP4/5B2/2n5/PPQ1PPPP/R3KBNR w KQkq -,f4d2 a5a4 c2c3 e7e6 g1f3 a4e4 d5e6 f7e6 f3g5 e4g6,49
8/7p/5k2/8/1P6/8/7K/8 w - -,,0
r4r1k/p1p2p1p/1pq3p1/2nN2B1/7Q/6P1/Pb2PP1P/R4RK1 w - -,f1b1 b2a1 d5e7 c6d6 b1a1 c5d7 g1g2 f7f5 a1c1 c7c5,-136
r1b1kb1r/5ppp/pqn1p3/1pnpP3/5P2/2N1BN2/PPP2QPP/R3KB1R w KQkq -,a2a3 d5d4 f3d4 c6d4 e3d4 b6c7 b2b4 c5d7 f1d3 c8b7,211
8/6p1/1R2nk2/R7/7p/7P/4pKn1/8 w - -,f2e2 g2f4 e2f3 f4h3 f3g4 h3f2 g4h4 f2d3 b6d6 d3e5,305
r6k/1p3r2/2p1n1q1/B2pP3/P2P1pp1/1P2P1Pp/2R4P/4QR1K w - -,f1f2 f4e3 e1e3 g6c2 f2c2 f7f1 e3g1 f1g1 h1g1 a8a5,-466
8/8/8/8/8/2R3p1/3K1k2/8 w - -,,0
4r3/pp3pk1/2pbqpp1/3p4/3P2P1/P1Q3NP/1PP2PK1/5R2 w - -,f2f4 e6c8 f1f3 c8d8 c3d2 a7a6 c2c3 a6a5 d2c2 e8e1,-38
2rq1r2/pp2ppkp/1n1p2b1/8/1n1P4/2N2N2/PPPQ1PP1/2KR1B1R w - -,d2h6 g7f6 f3g5 e7e6 g5h7 f6e7 h6g5 e7d7 h7f8 d8f8,402
2k4r/1p2q3/p1p1p3/5pN1/3P1P1r/4P3/PPQ3P1/2R3K1 w - -,a2a4 h4h1 g1f2 e7d7 c1h1 h8h1 c2c5 h1b1 b2b4 b1b2,-183
8/1p1k4/5p2/P3p3/4P1P1/5PK1/8/8 w - -,g3h4 d7d8 h4h5 d8e7 h5g6 e7e6 g4g5 f6g5 g6g5 e6e7,786
