7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
r2qk1nr/ppp1bppb/2np3p/4p2P/2B1P1P1/P2P1N2/1PP2P2/RNBQK2R w KQkq -,b1c3 g8f6 h1g1 d8d7 c3d5 f6d5 c4d5 g7g5 d1e2 e8h8,25
3r1bk1/p5pp/Qp2pp2/8/1P1B4/Pq2P1P1/2r2P1P/R3R1K1 w - -,a6a7 b6b5 a7b6 b3d5 a1c1 d8c8 e3e4 d5d7 c1d1 d7e8,84
r1bqkb1r/3n1p2/p3p1pp/1p1pP3/7P/4BQ2/PPP2PP1/1K1R1BNR w kq -,f3g3 d8c7 h4h5 g6g5 f2f4 g5f4 e3f4 c8b7 g1f3 e8a8,94
rr4k1/p2n1ppp/1pp1pn2/2Pp1b2/1P1P4/2N1PNP1/1P2BPP1/R3K2R w KQ -,b4b5 b6c5 b5c6 c5d4 f3d4 d7c5 c3b5 f6e8 c6c7 b8c8,195
r1bq3R/1pp1b3/p1k1p1p1/4P1B1/8/3RP3/PPP2P2/2K5 w - -,d3d8 e7d8 h8d8 b7b5 d8g8 b5b4 c1d2 a6a5 e3e4 a5a4,254
r1bq2k1/1pp2ppp/p1np1n2/3P4/B7/5N2/PP1Q1PPP/RN2r1K1 w - -,d2e1 c6e7 b1c3 e7d5 c3d5 f6d5 h2h3 d5f6 e1d2 h7h6,-266
3r2k1/p3Rp1p/6p1/8/3N4/2n3P1/P4P1P/6K1 w - -,e7e3 d8d4 e3c3 d4a4 a2a3 g6g5 g1g2 g8g7 c3f3 g7g6,-4
r3r1k1/5p2/p6p/1p1p1b2/3P1bp1/2P2NP1/PP3P1P/R3R1K1 w - -,f3h4 f5e4 g3f4 a8b8 h2h3 h6h5 g1h2 b5b4 h2g3 b4c3,13
4r1k1/6Bp/4q3/p7/bp4R1/2p3PP/1P1Q1P1K/8 w - -,g7f6 e6g4 d2d5 g8f8 h3g4 e8e2 d5f3 e2e6 f6c3 f8e7,721
4r1k1/5pp1/1r2p3/6P1/8/P4P2/1P5R/K2R4 w - -,a1a2 b6b5 b2b4 b5g5 a3a4 g5f5 h2d2 g8h7 d2d3 e8a8,254
2r2rk1/pp3ppp/b3pn2/2qpN3/2P2P2/1P1Q3P/P2N1PP1/R4R1K w - -,a1c1 h7h6 h1h2 c8c7 a2a4 b7b6 h2g1 f8c8 f1d1 c5e7,-56
rnbqk1nr/pp2ppbp/3p2p1/2pQ4/4P3/2N5/PPPP1PPP/R1B1KBNR w KQkq -,a2a4 a7a6 d2d3 b8c6 d5g5 g8f6 f1e2 h7h6 g5d2 e7e5,-92
8/8/5kp1/3p4/1n1P2P1/p4N2/p7/K7 w - -,f3e5 f6g5 e5d7 g5g4 d7f6 g4f5 f6e8 g6g5 e8g7 f5e4,-3805
2kr3r/pp2bpp1/1qn1p3/2p1Pn1p/2Pp1Pb1/3P1N2/PPN1B1PP/R1BQ1R1K w - -,f3d2 c6b4 d2f3 f7f6 a2a3 b4c2 d1c2 h5h4 f3e1 g4e2,-102
4r1k1/pp3p1p/2pp1rpb/q7/P3PN2/1P2Q2P/2P2PP1/3RR1K1 w - -,e3d3 h6f4 g2g3 f4h6 g1g2 f6e6 f2f4 h6g7 h3h4 h7h5,-421
8/5p2/4b1p1/1B4P1/1p1k4/p7/1K6/8 w - -,e3d3 h6f4 g2g3 f4h6 g1g2 f6e6 f2f4 h6g7 h3h4 h7h5,Mate
3r1bk1/Q5pp/1p3p2/4p3/1P1B4/Pq2P1P1/2r2P1P/R3R1K1 w - -,d4e5 f6e5 a7b6 d8d2 e1f1 b3f7 e3e4 h7h5 a1c1 f8c5,-205
6rr/4k3/1pqp2p1/2p1p1P1/2B4P/P7/1PQ5/1K3R2 w - -,f1f7 e7d8 h4h5 b6b5 c4e6 g8f8 c2g6 f8f7 g6f7 c6e8,177
r4rk1/pn4b1/1p6/2pP4/P1P1Npq1/1Q6/5BP1/4RRK1 w - -,b3c2 f8f5 c2d3 b7d6 e4d2 f5g5 d3f3 g7c3 e1e6 c3d2,-57
8/3R1p1p/2P1kbp1/8/5P2/4P1P1/6KP/5N2 w - -,d7d1 f6d8 d1d8 e6f6 c6c7 f6g7 e3e4 g7f6 f1e3 h7h5,1130
rnbqkb1r/1p3ppp/p3pn2/2p5/8/4PNP1/PP1P1P1P/RNBQKB1R w KQkq -,f1g2 b7b5 e1h1 c8b7 b2b3 f8e7 c1b2 e8h8 d2d4 b8d7,-16
8/1p1bppk1/p2p2p1/R6n/2rNP2P/2PR1P2/P7/1K6 w - -,,0
3r2k1/4np2/pp2p1p1/2p5/2Pq2N1/6PP/PP2QPK1/4R3 w - -,g4h6 g8g7 h6f7 d8c8 f7g5 d4f6 g5e6 g7g8 e2d3 e7f5,483
8/p1q2K1P/5N2/8/3p4/5k2/8/6q1 w - -,e2f3 e7f5 b2b3 d4d2 e1e2 d2c1 f3b7 d8d1 g4e5 f5d6,Mate
1r5r/3qkpp1/p1npb3/1p2p3/4P2p/2P3P1/PP3PBP/R1BQ1RK1 w - -,c1e3 b5b4 c3c4 e6c4 f1e1 b8c8 d1d2 f7f6 f2f4 h4g3,-45
8/5N2/4K3/3R4/7k/8/8/q7 w - -,,0
4rk2/5pp1/1r2p3/6P1/8/P4P2/1P5R/K6R w - -,h1c1 f8g8 c1h1 g8f8 h2c2 f7f5 g5f6 g7f6 c2c7 f8g8,286
1q1nn2k/1p1rNppp/r1p5/4p1P1/1QP5/P2PP2P/6B1/1R3R1K w - -,e7c6 b8d6 c6b8 a6b6 b4b6 d6b8 b6c5 h8g8 d3d4 e5d4,446
1rbq2rk/8/3p1n1p/2pPp1b1/1pP1Pp2/1P3B1P/3BQP1K/R3RN2 w - -,d2c1 b8b7 f1d2 g5h4 e1g1 g8g1 h2g1 b7g7 g1h2 d8d7,-348
4r1k1/7p/8/p7/b5P1/2p3P1/1P1Q1P1K/8 w - -,d2d5 g8g7 d5g5 g7h8 g5f6 h8g8 f6c3 a4d7 c3a5 e8e7,629
2kr3r/pp2bpp1/1qn1p3/2p1Pn2/2Pp1Pbp/P2P1N2/1PN1B1PP/R1BQ1R1K w - -,b2b4 c5b4 a3b4 h4h3 g2g3 c6b4 c2b4 e7b4 d1a4 b4c3,-115
8/8/6p1/3pN1k1/1n1P2P1/p7/p7/K7 w - -,f3e1 g4e2 d1e2 c6a5 a1b1 a5b3 e1f3 b6c6 h1g1 d8g8,Mate
r2q1r1k/3np3/1n1p1p1p/p1pPP1p1/2P2B2/1P1B1N1P/P2Q1PP1/4R1K1 w - -,e5e6 a5a4 f4e3 a4b3 a2b3 a8a3 d3c2 a3a2 e6d7 b6d7,428
r3r1k1/2QBnpp1/7p/p1bb4/P7/2Pn3P/1P3PP1/RNB1R1K1 w - -,e1e3 c5e3 c1e3 e8d8 c3c4 d3b2 b1c3 b2c4 g1h2 d5c6,519
r2qr1k1/pp1nbppp/2p2n2/3p1bN1/3P1B2/2N3P1/PP2PPBP/R2Q1RK1 w - -,e2e4 f6e4 g5e4 d5e4 c3e4 d8b6 a2a4 d7f6 a4a5 b6b5,-35
8/2p1r3/1p6/k2nBp1p/b2P1P1P/P5P1/3R1K2/2R5 w - -,g3g4 f5g4 f2g1 e7f7 f4f5 a4e8 f5f6 a5a4 d2a2 f7d7,175
r1bb3R/1pp5/p1k1p1p1/4P1B1/8/4P3/PPP2P2/2K5 w - -,h8d8 b7b5 d8g8 c6d5 g8g6 d5e5 g5f4 e5f5 g6g5 f5f6,242
3rr1k1/pp1qbpp1/2n1b2p/2pp3n/P6B/2PP1N1P/BP3PP1/R2QRNK1 w - -,f1g3 h5g3 h4g3 e7f6 d3d4 c5d4 f3d4 c6d4 c3d4 e6f5,-25
brnbqknr/pppp1ppp/4p3/8/8/7N/PPPPPPPP/BRNBQK1R w KQkq -,b2b4 b7b5 f1h1 g8h6 e2e4 f7f5 d2d3 f8h8 c1b3 f5e4,34
rnbqkb1r/5ppp/p3pn2/1pp5/8/4PNP1/PP1P1PBP/RNBQK2R w KQkq -,e1h1 c8b7 b2b3 f8e7 c1b2 e8h8 d2d4 b8d7 b1d2 c5d4,-13
8/7p/2k5/3p4/5r2/2P5/2K4N/3R4 w - -,h2f1 f4f3 f1d2 f3h3 d1f1 c6d6 f1f6 d6e5 f6f8 h7h6,271
r2qk2r/ppp1bppb/2np1n1p/4p2P/2B1P1P1/P1NP1N2/1PP2P2/R1BQK2R w KQkq -,h1g1 d8d7 c3d5 f6d5 c4d5 g7g5 d1e2 e8h8 c1e3 e7f6,21
3nn2k/1p1r1ppp/r1Nq4/4p1P1/1QP5/P2PP2P/6B1/1R3R1K w - -,c6b8 a6b6 b4b6 d6b8 b6c5 h8g8 d3d4 e5d4 e3d4 g7g6,489
r3kb1r/pp1npppp/2p2n2/8/4P3/5P2/PPP3PP/RNBK1B1R w kq -,c2c3 h7h5 d1c2 h5h4 a2a4 g7g6 c1e3 f8h6 e3d4 h6f4,40
r2qkb1r/pp3ppp/2n2n2/3ppb2/8/3P1N1P/PPP1BPP1/RNBQ1RK1 w kq -,d3d4 e5e4 f3e5 f8d6 c1f4 d8b6 c2c3 b6c7 b1a3 a7a6,-55
8/8/6k1/3p4/1n1P2P1/p7/p7/K7 w - -,d3d4 e5e4 f3e5 f8d6 c1f4 d8b6 c2c3 b6c7 b1a3 a7a6,Mate
rnb1kb1r/1p3ppp/pq2pn2/3p4/P1pP1B2/1PN1PN2/2P2PPP/R2QKB1R w KQkq -,c3b1 c4b3 c2b3 b8c6 h2h3 f8b4 b1d2 b6a5 f1d3 f6e4,-78
8/7p/8/2kp4/5r2/2PK4/7N/3R4 w - -,d1e1 f4h4 h2f3 h4h3 e1f1 h3g3 d3c2 g3h3 c2b3 c5d6,258
r3k2r/pp1nbpp1/1qp1p1p1/3n4/3P4/3BB1N1/PPPQ1PPP/R3K2R w KQkq -,e1a1 e8a8 c2c3 d5e3 f2e3 f7f5 d2f2 d7f6 h2h3 b6c7,-21
r4rk1/pn4b1/1p6/2pP4/P1P1Np2/5q2/5BP1/4RRK1 w - -,e4f6 g7f6 g2f3 g8f7 e1d1 f8g8 f2g3 b7d6 f1e1 f4g3,-641
q4rk1/1pp1bppp/2np4/8/P4B2/2PQ1N2/b1P2PPP/2KR3R w - -,f3d4 a8a4 c1d2 c6d4 c3d4 a4c6 d3f3 a2d5 f3c3 d5c4,-140
3r2k1/2p2ppp/p1pq4/1p6/3NP1n1/2P3P1/PP3PQP/4R1K1 w - -,f2f3 g4h6 e4e5 d6d5 f3f4 c6c5 g2d5 d8d5 d4f3 c5c4,47
1r4k1/5p1p/4p1p1/8/1p1RPP2/1P6/P1R3PP/6K1 w - -,g2g4 h7h5 g4h5 g6h5 d4d1 b8a8 e4e5 g8f8 g1h1 h5h4,604
8/7p/8/2kp4/8/2P5/2K2r1N/3R4 w - -,,0
8/8/5B2/1k6/4R3/8/8/6K1 w - -,d1d2 f2d2 c2d2 d5d4 c3d4 c5d4 h2f3 d4d5 d2e3 d5c6,Mate
3r2k1/p3Rp1p/2N3p1/8/8/6P1/n4P1P/6K1 w - -,c6d8 a7a5 d8f7 a2c3 e7a7 a5a4 g1g2 g8f8 f7g5 h7h6,621
1RQ2bk1/5p2/3q2p1/3b3p/3P1P2/4P1P1/5K2/8 w - -,c8d8 d6d8 b8d8 d5e4 d4d5 f7f6 d5d6 g8f7 d6d7 f8e7,214
3r4/4npk1/pp2p1pN/2p5/2Pq4/6PP/PP2QPK1/4R3 w - -,h6f7 d8c8 f7g5 d4f6 g5e6 g7g8 e2d3 e7f5 d3d7 c8b8,483
8/8/8/2p3kp/2P5/2P2K2/8/8 w - -,f3g2 g5f5 g2h1 f5f4 h1g2 f4e4 g2h1 h5h4 h1g2 e4d3,-20000
r1bq3r/pppnb1pp/3p1nk1/6N1/3PPp2/8/PPP3PP/RNBQ1RK1 w - -,g5e6 d8g8 e6c7 a8b8 c1f4 d7b6 b1a3 g8d8 e4e5 d8c7,140
r4rk1/pp3pbp/1q4p1/2p2b2/2n1pB2/2P4P/PPQ1BPP1/3R1RK1 w - -,b2b3 e4e3 e2d3 c4d2 d3f5 g6f5 f1e1 e3f2 g1f2 d2e4,-477
r1b1k1nr/pppp1ppp/1b3q2/4p3/4P3/3P2P1/PPP1NP1P/R1BQKB1R w KQkq -,f2f4 g8e7 a2a4 d7d5 a4a5 b6c5 f1g2 d5e4 g2e4 e8h8,-39
2r2rk1/pbq1bpp1/1p2pn1p/2n5/2P5/1P1B1NN1/PBQ2PPP/3R1RK1 w - -,f1e1 c5d3 c2d3 f8d8 d3e2 d8d1 e1d1 c8d8 d1d8 c7d8,-43
Q2Rn1k1/6p1/1p2r2p/1P2Bp1q/4pP2/4P2P/5KP1/8 w - -,a8d5 h5f7 e5d4 e6e7 d4b6 f7d5 d8d5 g7g6 b6c5 e7b7,392
1rb3rk/3q4/3p1n1p/2pPp1b1/1pP1Pp2/1P3B1P/4QP1K/R1B1RN2 w - -,f3h1 d7h3 h2g1 g5h4 f1g3 f4g3 f2f3 h3h2 e2h2 g3h2,-719
r4rk1/1b1pnppp/p1q1p3/1pb4Q/4PP2/2NB4/PPPB2PP/2KR3R w - -,h1e1 f8c8 a2a3 b5b4 a3b4 c5b4 e1e3 c6c5 h5c5 b4c5,16
1r6/5pkp/4p1p1/8/1pR1PP2/1P6/P1R3PP/6K1 w - -,c4d4 h7h5 d4d7 b8f8 c2c7 g7g8 h2h4 g8g7 g1h1 g7g8,617
rq2kb1r/pQpn1ppp/4pn2/1B6/3P4/2N4P/PPP3P1/R1B1K2R w KQkq -,b7f3 b8c8 c1g5 f8e7 b5d7 e8d7 d4d5 f6d5 g5e7 d7e7,236
5rk1/p1pbq1b1/1p1p4/3Pp1p1/2P1BrP1/4QPN1/PP4K1/R1R5 w - -,e3d3 f8f6 c1h1 d7e8 b2b4 e7d7 d3c2 f4e4 g3e4 f6f4,258
r3k2r/pp1nbpp1/1qp1p1p1/8/3P4/2PBn1N1/PP1Q1PPP/R3K2R w KQkq -,f2e3 f7f5 g3e2 e6e5 e1a1 e8a8 e3e4 f5f4 c1b1 g6g5,-42
r1bk1bnr/pnp3pp/1p3p2/4p3/4P3/3BB3/PPPN1PPP/RN2K2R w KQ -,d3a6 b7d6 a6c8 d8c8 a2a4 c8b7 a4a5 f6f5 e4f5 d6f5,12
4r1k1/r1QBnpp1/7p/p1bb4/P7/2PnB2P/1P3PP1/RN2R1K1 w - -,c7a7 c5a7 e3a7 d3e1 d7e8 e1g2 b1d2 e7f5 g1h2 f5d6,582
r2qkbnr/ppp2ppp/2n1p3/5b2/4pP2/3P1N2/PPPN2PP/R1BQKB1R w KQkq -,f3e5 c6e5 f4e5 e4d3 c2d3 d8d4 d1b3 f8b4 f1e2 e8a8,-260
r3r1k1/5p2/p6p/1p1p4/3PbbpN/2P3P1/PP3P1P/R3R1K1 w - -,g3f4 a8b8 a2a3 g8g7 h2h3 h6h5 h4g2 g7g6 g2e3 e4f3,13
4r1k1/pp3p1p/2pp1rpb/4q3/P3PN2/1P2Q1PP/2P2P2/3RR1K1 w - -,e3d4 h6f4 g3f4 e5f4 d4e3 f4h4 d1d3 a7a6 e3d2 e8e5,-246
8/7p/8/2kp1r2/8/2P5/2KR3N/8 w - -,h2g4 f5f4 g4e5 c5d6 e5d3 f4h4 c2b3 d6e6 d3b4 h4h5,264
3rr1k1/pp2qpp1/2n1b2p/2pp3n/P7/2PP1N1P/BP3PP1/R2QRNK1 w - -,d1d2 e7f6 d3d4 c5d4 f3d4 h5f4 d4e2 f4e2 e1e2 d5d4,-41
r2qkbnr/pp1n1ppp/4p3/3pP3/3p2b1/1PP2N2/P3BPPP/RNBQK2R w KQkq -,f3d4 g4e2 d1e2 f8c5 e1h1 g8e7 b1d2 a8c8 d2f3 a7a6,-5
3k4/4b3/8/8/8/2R5/3K4/8 w - -,c3c6 d8d7 c6g6 e7d6 d2d3 d6e5 d3e4 e5b2 e4d5 d7e7,9
3r4/4nk2/pp2p1p1/2p5/2Pq4/6PP/PP2QPK1/4R3 w - -,e2e6 f7g7 e6e7 g7h6 e1e4 d8d7 e4h4 d4h4 e7h4 h6g7,789
4r1k1/5R1p/2p1nRp1/4r3/Np2P3/1P5P/2P3P1/2K5 w - -,f7b7 e5e4 f6f2 e8d8 f2f1 e4e2 b7b4 d8d2 b4c4 e2g2,1
2k1r2r/ppp2p2/2n1q3/3p3n/P5pP/1B1P4/1PP1N1P1/R2Q1K1R w - -,d1c1 e6f6 f1e1 h5g3 e1d1 g3h1 c1f4 h1f2 d1c1 f6f4,-632
8/8/6k1/3p2P1/3P4/p7/p1n5/K7 w - -,d1c1 e6f6 f1e1 h5g3 e1d1 g3h1 c1f4 h1f2 d1c1 f6f4,Mate
r4rk1/p1p2ppp/1pp1b3/2N5/4Pq2/3P3P/PPP2PP1/RN1Q1RK1 w - -,c5e6 f7e6 b1d2 f8f6 d2f3 f6g6 g1h1 a8f8 f1g1 c6c5,485
2r5/1p3pk1/4pnp1/7p/P1P5/1P3PP1/r4BK1/3R4 w - -,g2g1 g6g5 f2e1 g7g6 d1c1 g5g4 f3g4 f6g4 a4a5 g4e5,-551
4K3/8/3k4/1p6/1P6/2P5/8/8 w - -,g2g1 g6g5 f2e1 g7g6 d1c1 g5g4 f3g4 f6g4 a4a5 g4e5,Mate
8/3R1p2/2P1kbpp/8/4PP2/6P1/6KP/5N2 w - -,g2g1 g6g5 f2e1 g7g6 d1c1 g5g4 f3g4 f6g4 a4a5 g4e5,Mate
r4k2/pq1pn2r/1p6/6p1/8/1B6/PP3PPP/R2QR1K1 w - -,d1d3 h7g7 e1e5 b7c6 a1e1 a8c8 d3h3 c6f6 h3h8 e7g8,661
8/8/5B2/k7/3R4/8/8/6K1 w - -,d1g4 d7d5 g4g5 a8d8 g5f6 h7f7 e1e7 f7f6 e7b7 f6f7,Mate
4rk2/7p/8/p2Q4/b5P1/2p3P1/1P3P1K/8 w - -,d5f3 f8g8 f3c3 a4d7 c3a5 d7c6 a5g5 g8f7 g5f4 f7e7,591
5R2/5ppk/3Bp2p/3nP3/b4P2/5BPP/2r4K/8 w - -,,0
8/8/1p5p/p1p2p2/2kbpP1B/8/PPK2P2/6R1 w - -,g1g6 b6b5 g6h6 c4d5 h4e7 d4f2 h6f6 e4e3 c2d3 c5c4,478
6k1/p3Rp1p/2N3p1/8/8/2n3P1/P4P1P/3r2K1 w - -,e7e1 d1e1 g1g2 e1e2 a2a3 e2a2 h2h4 c3e4 g2f3 f7f5,-633
r2q1rk1/pp2bppp/2n1b3/4P3/4p3/1P4P1/P3NPBP/R1BQ1RK1 w - -,c1b2 e6g4 d1e1 g4f3 g2f3 e4f3 e2f4 g7g5 f4h5 d8d3,22
r1b2k2/1p1p1ppp/pq2pn2/4n3/2P5/P3P3/1P3PPP/R2QKBNR w KQ -,d1d2 b6c6 d2d4 d7d6 a1d1 b7b5 g1f3 e5f3 g2f3 f8e7,231
7R/8/2p1kp2/7P/6P1/5P2/2rp4/5K2 w - -,h8e8 e6d7 e8e1 d2e1r f1e1 d7e6 e1f1 c2h2 f1g1 h2d2,Mate
8/8/5B2/1k6/2R5/8/8/6K1 w - -,h8e8 e6d7 e8e1 d2e1r f1e1 d7e6 e1f1 c2h2 f1g1 h2d2,Mate
8/8/3NK3/3R4/7k/8/8/1q6 w - -,,0
8/5pkp/4p1p1/1r2P3/1pR2P2/1P6/P1R3PP/6K1 w - -,c4c5 b5b8 c5c8 b8b7 c2d2 b7b5 c8c1 g7g8 g1h1 b5d5,635
8/5K2/3k4/1p6/1P6/2P5/8/8 w - -,c4d4 g7g8 d4d1 b5a5 g2g4 g8g7 d1d7 a5a8 c2c7 a8f8,Mate
3rr1k1/pp2qpp1/2n1b2p/3p3n/P2p4/2P2N1P/BP3PP1/R2QRNK1 w - -,c3d4 e7b4 d1b3 b4b3 a2b3 h5f4 b3c2 a7a5 f1e3 g7g6,-26
8/8/8/3p2k1/3P4/p7/K1n5/8 w - -,c3d4 e7b4 d1b3 b4b3 a2b3 h5f4 b3c2 a7a5 f1e3 g7g6,Mate
r2q3r/ppp2kpp/5n2/2p1p3/3nP1b1/3P1N2/PPP2PPP/R1BQK2R w KQ -,h2h4 g4f3 g2f3 d4e6 f3f4 e5f4 c1d2 h8f8 h1g1 f7g8,-455
8/8/7N/3p3R/2k5/2P5/2K2r2/8 w - -,c2c1 c4c3 h5h3 c3c4 h6g4 f2a2 g4e3 c4d4 e3c2 d4e4,-13
2kr3r/pp2bpp1/1qn1p3/2p1P3/2Pp1Pbp/P2P1Nn1/1PN1B1PP/1RBQ1R1K w - -,h1g1 g3f1 d1f1 h4h3 g2g3 a7a5 f3d2 g4e2 f1e2 c8b8,-196
8/8/5K2/1p1k4/1P6/2P5/8/8 w - -,h1g1 g3f1 d1f1 h4h3 g2g3 a7a5 f3d2 g4e2 f1e2 c8b8,Mate
r4qk1/1p1n1pp1/p1r4p/8/4QPPP/PN2P3/1PP5/2K3RR w - -,g4g5 h6h5 g1d1 a8e8 e4d4 d7c5 b3c5 c6c5 d1d3 e8c8,278
1rb3rk/6q1/3p1n1p/2pPp3/1pP1PpBb/1P3P1P/4Q2K/R1B1RN2 w - -,e1d1 h6h5 f1e3 f4e3 d1g1 h5g4 f3g4 g7h7 c1e3 c8g4,-569
r1bq1rk1/4bppp/2p1pn2/pp2n1B1/3P4/PBN5/1PP3PP/R3QRK1 w - -,d4e5 f6g4 g5e7 d8e7 e1g3 e7a7 g1h1 g4e3 f1f3 e3f5,-134
6k1/p3Rp1p/2N3p1/8/8/6P1/n4PKP/3r4 w - -,,0
2N5/6k1/4K3/3B4/8/8/8/8 w - -,e7c7 d1c1 c7a7 c1c6 a7a8 g8g7 a8a2 c6c4 a2a7 c4c2,Mate
2kr3r/pp2bpp1/1qn1p3/2p1P3/2Pp1Pb1/P2P1Np1/1PN1B1P1/1RBQ1R1K w - -,h1g1 h8h7 f1e1 g7g5 g1f1 g4f5 f3g1 b6b3 c2a1 b3d1,Mate
8/8/8/1p3K2/1Pk5/2P5/8/8 w - -,f5e5 c4c3 e5e4 c3b4 e4d3 b4b3 d3e4 b3c4 e4f3 c4c3,-20000
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP3N/1P4P1/PB1NPPBP/R2Q1RK1 w - -,h4f3 c6c5 a1c1 a8c8 d4c5 d7c5 d1c2 c8c7 c4d5 f6d5,8
8/3R1p2/2P1kb1p/5p2/4P3/6P1/6KP/5N2 w - -,h4f3 c6c5 a1c1 a8c8 d4c5 d7c5 d1c2 c8c7 c4d5 f6d5,Mate
8/6kp/1r2ppp1/2R1P3/1p3P2/1P6/P2R2PP/6K1 w - -,d2d7 g7h6 c5c7 h6h5 d7h7 h5g4 e5f6 b6b5 f6f7 b5f5,1005
rn1qr1k1/pp2bppp/2p1bn2/3p4/3P1B1N/2N3P1/PP2PPBP/R2Q1RK1 w - -,h4f3 b8d7 d1c2 a7a5 f1d1 h7h6 a1c1 a8c8 h2h3 b7b5,-35
8/8/P7/2b1p3/8/5P2/k2KP3/8 w - -,d2d3 a2b3 d3e4 b3b4 e4e5 b4b5 e5d5 c5e3 a6a7 e3a7,35
4Q3/1p2P1p1/kPp2p1p/8/1q6/8/1K1R4/8 w - -,,0
6k1/5p1p/P5p1/8/4P3/5PPP/3r4/5BK1 w - -,,0
2kr3r/pp1nppb1/2p2np1/7p/P3P3/2P1BP2/1PK3PP/RN3B1R w - -,e3a7 b7b6 a4a5 c8b7 a5b6 d7b6 a7b6 b7b6 b1d2 d8a8,160
1k1r3r/5ppp/pp2p3/2q5/5Pn1/PP1P4/1BPQN1Bb/2KR3R w - -,d3d4 c5c7 c1b1 b8a7 d4d5 e6d5 g2f3 h7h5 b2g7 f7f6,509
6k1/R4p1p/2N3p1/8/8/2n3P1/5PKP/3r4 w - -,,0
r1bq2k1/2p2ppp/p2p1n2/3n4/1p2N3/8/PPBQ1PPP/R3N1K1 w - -,e1f3 a6a5 a1e1 h7h6 h2h3 c8d7 g2g4 d8f8 c2b3 f6e4,-201
6k1/p1pbq1b1/1p1p1r2/3Pp1p1/2P1BrP1/3Q1PN1/PP4K1/R1R5 w - -,c1h1 d7e8 a1e1 e8f7 b2b3 e7e8 g3e2 f4e4 d3e4 b6b5,246
8/8/8/2p2k1p/2P5/2P3K1/8/8 w - -,g3f2 f5e4 f2g3 e4d3 g3f3 h5h4 f3f2 d3c4 f2e2 c4c3,-20000
rnbqk2r/1p2bppp/p4n2/3p4/3N4/2P5/PP2BPPP/RNBQ1RK1 w kq -,b1d2 h7h6 d2f3 e7d6 f1e1 e8h8 e2d3 b8c6 h2h3 c6d4,33
r3k2r/1pbn1pp1/p1q1p1p1/P7/1pPPN3/3BP3/3Q2PP/R3K2R w KQkq -,h2h4 f7f5 e4g5 c7g3 e1f1 e6e5 d2b4 h8h4 h1h4 g3h4,-106
8/3R1p2/2P2b1p/5k2/8/6P1/6KP/5N2 w - -,h2h4 f7f5 e4g5 c7g3 e1f1 e6e5 d2b4 h8h4 h1h4 g3h4,Mate
rn2r1k1/pp1q1ppp/2p2n2/2b2NB1/8/2N2Q2/PPP3PP/4RRK1 w - -,g1h1 e8e1 f1e1 c5d4 e1e7 d4c3 e7d7 b8d7 f3c3 a8e8,452
8/8/8/3p2k1/3n4/pK6/8/8 w - -,g1h1 e8e1 f1e1 c5d4 e1e7 d4c3 e7d7 b8d7 f3c3 a8e8,Mate
r1b2rk1/p4pbp/2pp2pn/q7/5P2/2N1B3/PPPQB1PP/2KR3R w - -,e3f2 c6c5 d2d6 g7c3 d6c5 c3b4 c5a5 b4a5 e2f3 c8g4,-144
1rb3rk/6q1/3p1n2/2pPp2p/1pP1PpBb/1P3P1P/4Q2K/R1BR1N2 w - -,c1e3 h5g4 e2g2 g4g3 h2g1 f4e3 f1e3 f6h5 g2h1 g3g2,-702
r2q2r1/3np2k/1n1p1ppp/p1pP4/2P1PB2/1P1B1N1P/P1Q2PP1/4R1K1 w - -,e4e5 d6e5 f4c1 a5a4 f3h4 d8e8 b3a4 a8a4 f2f4 g8g7,126
2b5/8/8/3N1P2/3P4/1P2K1kp/1P6/4N3 w - -,e1f3 c8f5 d5f4 f5c8 b3b4 g3g4 f4h3 c8b7 h3f4 b7f3,816
4r1k1/1R5p/2p1nRp1/8/Np2r3/1P5P/2P3P1/2K5 w - -,f6f2 e8d8 f2f1 e4e2 b7b4 d8d2 b4c4 e2g2 f1d1 d2d1,4
8/8/8/8/1Pp5/2P1k1K1/8/8 w - -,f6f7 e4e1 c1b2 e1e2 f7d7 c6c5 d7h7 e6d4 b7g7 g8f8,Mate
8/2p1r3/1p6/kb1nBp1p/3P1P1P/P2R2P1/5K2/2R5 w - -,d3d2 e7h7 d2c2 b5a4 c2a2 a4b3 a2b2 b3a4 f2g1 a4b5,178
8/8/8/2p4p/2P1k2K/2P5/8/8 w - -,d3e3 d5e3 f2e3 c7c6 d4d5 c6d5 c1c8 e7e8 c8e8 b5e8,Mate
2kr4/pp2bppr/1qn1p3/2p1P3/2Pp1Pb1/P2P1Np1/1PN1B1P1/1RBQ1RK1 w - -,f3h4 g4e2 d1e2 h7h4 f1f3 d8h8 f3g3 h4h1 g1f2 e7h4,-492
r2q1k1r/ppp3pp/5n2/2p1N3/3nP1b1/3P4/PPP2PPP/R1BQK2R w KQ -,e5f7 f8f7 f2f3 g4e6 e1h1 h8e8 c1e3 d8e7 c2c3 d4c6,-511
r1bq1rk1/pp1n1ppp/4p3/3pP3/1bpP3P/2N2N2/PPPQBPP1/R3K2R w KQ -,a2a3 b4a5 b2b4 a5c7 f3g5 a7a5 b4b5 a5a4 f2f4 c7a5,-7
