5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
4r1k1/2r1qppp/1bn5/pp1p1B2/1P6/PQ2PN2/1B3KPP/2RR4 w - -,d1e1 a5b4 a3b4 g7g6 f5d3 e7b4 b3b4 c6b4 d3b5 c7c1,280
r1b2rk1/ppp3pp/2nb2q1/4p3/4Np2/2PP2P1/P1P2PBP/1RBQ1RK1 w - -,f1e1 c8g4 f2f3 g4c8 d1e2 f4g3 h2g3 b7b6 e4d6 c7d6,-19
r4qk1/2pb1r1p/p1n1p1p1/1p1pP3/3P4/PQPBbNB1/1P4PP/R4RK1 w - -,g3f2 f8h6 b3c2 a8f8 f2e3 h6e3 f1f2 c6e7 a1e1 e3f4,103
6rk/2p2pr1/2pp1Q1p/p6P/5P2/P5R1/b1P3P1/6K1 w - -,g3f2 f8h6 b3c2 a8f8 f2e3 h6e3 f1f2 c6e7 a1e1 e3f4,Mate
r1b2qk1/6p1/p2np3/3p2N1/1P1P2PP/4Q3/2P2P2/2K4R w - -,g5e6 f8e7 h1e1 a6a5 e6f4 e7e3 e1e3 a5b4 f4d5 c8g4,-171
8/8/1p4p1/1P1k1p1p/P4P2/1K4P1/7P/8 w - -,a4a5 h5h4 g3h4 b6a5 b3a4 d5e4 b5b6 e4f4 a4a5 f4e4,1128
1r2r1k1/p4ppp/2p5/3p4/8/6QP/qbPN1PP1/1R2R1K1 w - -,g3c7 e8c8 c7d6 c8f8 d6c6 b8c8 c6b5 c8c2 d2f3 g7g6,-238
r7/b1p3pk/p2p1qnp/1p1P1b2/3PRp2/P2Q1NP1/1PB2P2/6K1 w - -,g3g4 f5e4 d3e4 h7g8 e4g6 f6g6 c2g6 g8f8 g1f1 f8e7,-353
6k1/2p3p1/p2p4/1p1Pp3/PPPR2Pq/1B1P4/5K2/R2Q3r w - -,f2e3 h4h6 e3f2 h6h2 f2f3 h2h3 f3e4 h1d1 a1d1 h3g2,Mate
r2qkb1r/ppp2pp1/2n1pn2/7p/3P4/2NQBN1P/PPP3P1/R3K2R w KQkq -,e1h1 c6b4 d3e2 f8e7 a1e1 e8h8 e3f2 c7c6 f3e5 b4d5,1
7Q/4k1p1/3p2q1/2p1p2p/r3P3/3P2P1/5PK1/3R4 w - -,d1b1 a4a7 b1b8 e7f6 h8d8 f6e6 d8c8 e6f6 c8c6 f6e7,63
1k1r3r/4b3/pp1q2p1/2ppNp1p/P4P1Q/BPP3P1/7P/2R2R1K w - -,h4e7 d6e7 e5c6 b8b7 c6e7 h8e8 e7g6 e8e2 g6e5 e2a2,575
r1b2rk1/ppp1n1pp/1b1qp3/n4p2/2BP4/1NP2N2/PP1B1PPP/R2QR1K1 w - -,b3a5 b6a5 b2b4 b7b5 c4b5 c7c6 b5a4 a5c7 c3c4 a7a5,287
