5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
8/R3nkpp/4Np2/8/8/4P1P1/1r3PKP/8 w - -,e6g7 f7f8 g7e6 f8f7 e6f4 f7f8 g3g4 b2c2 g2g3 c2c1,394
r6k/ppp3pp/2nbb3/4p2B/8/3PP3/PPP3PP/R4RK1 w - -,h5f7 e6f7 f1f7 c6b4 f7f2 h8g8 g2g3 b4d5 e3e4 d5f6,-206
6k1/5pp1/1RpBp1np/2P5/3p4/6P1/r4P1P/6K1 w - -,g1f1 d4d3 f1e1 a2e2 e1d1 e2f2 b6c6 f2e2 c6c7 f7f5,-34
N1b1k2B/p2p3p/np6/2p2n2/8/5N2/PPP2PPP/2K2B1R w - -,f1a6 c8a6 a8c7 e8d8 c7a6 d8c8 h1d1 f5e7 h8f6 e7c6,955
rr4k1/5pp1/2bq1n1p/2n1p3/1p2P2B/3B3P/1R1NQPP1/1R4K1 w - -,d3c2 c5e6 d2c4 e6d4 e2d1 d6e6 h4f6 e6f6 b2b4 b8b4,-53
6k1/1pq2p2/3p2p1/2nPp2n/p1Q1P2p/P3BPP1/1P4KP/5B2 w - -,f1e2 c7a5 c4b4 a5b4 a3b4 c5a6 b4b5 a6c5 b5b6 g8f8,99
r3kb1r/1b1n1p2/p1p2q1p/1p2p1p1/P1pPP3/B1N5/1P2BPPP/R2QR1K1 w kq -,,0
8/8/7k/1P1pK3/3P3P/8/2p5/8 w - -,e2g4 a8d8 a4b5 a6b5 a3f8 e8f8 g4d7 d8d7 d4e5 f6e6,Mate
5r1k/1p5p/5qp1/1Pp2b2/2Pb4/1Q6/5PPP/3R1RK1 w - -,g1h1 f5e6 f2f3 f6f7 d1c1 f8e8 f1e1 h8g7 b3c2 e8e7,-253
3k4/5p2/p1r1pN2/3pPn2/3P1P2/R1PK4/8/8 w - -,a3a1 c6b6 a1h1 b6b2 h1h8 d8c7 h8f8 c7c6 f8f7 b2h2,40
8/p1ppkppp/1p6/4p3/1P2P3/8/P1PPKPPP/8 w - -,e2e3 g7g5 g2g3 e7e6 f2f4 f7f6 f4f5 e6d6 e3d3 d6c6,16
8/p2r1kpp/1nn1rp2/2R1p3/8/2P1B1P1/P3NP1P/1R4K1 w - -,g3g4 c6d8 c5a5 e6c6 e3b6 c6b6 b1b6 a7b6 a5a6 d7b7,-21
r1bq1rk1/p1p1b2p/1p2pnp1/6N1/1n1P1PQ1/2NPB3/PP2B1PP/2R2RK1 w - -,g4h3 b4d5 e2g4 d5e3 g4e6 g8h8 h3e3 f6g4 e6g4 c8g4,259
2k2b1r/pppr1ppp/2n5/8/Qq6/2N1B3/PPP2PPP/R4RK1 w - -,a1d1 b4a4 c3a4 f8d6 a4c5 d7e7 c5b3 h8e8 g2g3 g7g6,-14
5rk1/2r1p2p/1pnqPppb/p2p4/3P4/PN1B1Q1P/1P3PP1/R3R1K1 w - -,f3d1 a5a4 b3c1 c6d4 d3g6 d4e6 g6d3 f6f5 c1e2 g8h8,-117
r7/p1q2kpp/1p2r3/3p4/3P4/P2B4/2P2PPP/4R1K1 w - -,e1d1 a8e8 d1f1 e6e1 d3b5 e1f1 g1f1 c7c2 b5e8 f7e8,-943
8/8/1P5k/3pK3/3P3P/8/8/2q5 w - -,e1d1 a8e8 d1f1 e6e1 d3b5 e1f1 g1f1 c7c2 b5e8 f7e8,Mate
1r4k1/1r3p1p/q2pp1p1/P1pP4/3bP3/RP4P1/2Q2PKP/1R2B3 w - -,d5e6 f7e6 a3a4 e6e5 h2h4 g8g7 a4c4 a6b5 b3b4 b7a7,91
r3r1k1/pp2q1b1/2p2pp1/3p4/3PnPP1/2PQPR1P/P2B4/R5K1 w - -,g1h2 f6f5 a1g1 e7f7 h2g2 b7b5 d3e2 a7a5 g2f1 a5a4,-396
4r1k1/pp6/4pQp1/3p4/6q1/5b1R/P4P1P/7K w - -,f6f3 g4f3 h3f3 e8f8 f3e3 f8f2 e3e6 g8f7 e6d6 f2a2,-442
r2q1rk1/bbp2p2/p2p1n1p/3Pp1p1/PP2P3/1Q3NB1/1P3PPP/RN2R1K1 w - -,a4a5 d8d7 b1c3 a8b8 a1c1 f6h5 b3c4 h5g7 h2h3 f7f5,39
8/1pq2p1k/3p2p1/2nPp2n/p1Q1P2p/P3BPP1/1P2B1KP/8 w - -,c4b4 c7e7 b4b6 h4g3 h2g3 c5b3 e2d1 f7f5 e4f5 g6f5,110
r2r4/p3pk2/2p1bpp1/Pp5p/1n2PP1P/2N2P2/1PP1BKR1/2R5 w - -,c1g1 d8g8 e2d3 e6h3 g2h2 h3d7 f2e3 a8b8 g1d1 b4d3,34
r2r2k1/pp1q1pbp/6p1/2Pp4/3Bn3/2N2P2/PP1Q2PP/2R2RK1 w - -,,0
r2r4/1p1k4/3p4/P2Pp2p/2P2pp1/1P3P2/2R3PP/5R1K w - -,b3b4 g4g3 h1g1 h5h4 f1a1 d8c8 b4b5 c8e8 h2g3 f4g3,83
3r1r2/pp3p1p/2p1bkp1/8/1n2P3/1PN3P1/P4PBP/R2R2K1 w - -,e4e5 f6e7 c3e4 d8d1 a1d1 f8d8 e4d6 d8d7 d1d2 f7f6,-16
r2qk1nr/pp1bb1p1/4p2p/1B2p3/4P3/2N5/PP3PPP/R1BQ1RK1 w kq -,d1h5 e8f8 f1d1 g8f6 h5e5 d8c8 b5d7 f6d7 e5e6 d7b6,413
8/p2r1kpp/2n1rp2/1R2p3/2n5/2P1B1P1/P3NP1P/1R4K1 w - -,e3c5 c6d8 b1b4 c4d2 b4a4 a7a6 b5b8 e6c6 c5e3 d2c4,-85
8/pp2p1k1/8/3p4/P1pP4/2P1P2P/1PB2q2/2K1R3 w - -,e1e2 f2e2 c1b1 g7f6 h3h4 e7e5 h4h5 e2e3 d4e5 f6e5,-564
8/R3n1kp/5p2/8/8/4P1P1/1r3PKP/8 w - -,a7e7 g7g6 h2h3 h7h5 g3g4 b2b5 g2g3 b5d5 e7e4 d5a5,481
r2k3r/pppn1nbp/4bpp1/4p3/2P1PP2/2N1B2P/PP4P1/2KR1BNR w - -,g2g3 b7b6 g1f3 c7c6 f1d3 f7d6 b2b3 g7h6 c1c2 d8c7,19
b5k1/2Q2pp1/4pnnp/3p4/q7/P2P1NPP/1B2PPB1/6K1 w - -,f3d4 a4a6 g1h2 a6a4 f2f4 f6e8 c7b8 g6e7 b8d8 g8f8,287
1r4k1/1r5p/q2pp1p1/P1p5/3bP3/RP4P1/2Q2PKP/1R2B3 w - -,a3a4 g8g7 a4c4 a6b5 c2d3 e6e5 b3b4 g6g5 e1c3 b8f8,98
r2qk2r/ppp2ppp/3p1n2/n3p3/2B1P1b1/3PPQ1N/PPPN2PP/R3K2R w KQkq -,f3g3 a5c4 d2c4 h7h5 h3g5 h5h4 g3f2 d8e7 h2h3 h8h5,-47
5r1k/1pq1n1b1/2npbrpp/p1p1pp2/P1N1P2P/1PPPBNPB/5P1K/R2QR3 w - -,h3g2 f5f4 e3d2 e6g4 e1f1 c7d7 g3f4 d7d8 d1c2 e5f4,-226
8/8/1p1k2p1/1P2p1P1/2PK4/8/8/8 w - -,,0
8/pp4k1/4pppp/3pP3/n2P1PP1/PNr3R1/7P/4K3 w - -,,0
1r2k3/5p1p/4p3/R1P1bp2/P2N4/1P1K4/5PP1/8 w - -,c5c6 e5d6 a5b5 b8c8 d3c4 d6h2 b5b6 h2g1 d4b5 f5f4,446
8/p4r2/1p5k/3pNr2/2pP2KP/P1P2p2/8/5R2 w - -,e5f3 f5f4 g4g3 h6h5 a3a4 f4f3 f1f3 f7f3 g3f3 a7a6,-601
rr4k1/5pp1/2bqnn1p/4p3/1p2P2B/7P/1RBNQPP1/1R4K1 w - -,d2c4 d6e7 h4f6 e7f6 b2b4 b8b4 b1b4 e6d4 e2d1 c6b5,-55
6k1/5p2/5p1p/p7/2b5/P3PB2/1r3PPK/R7 w - -,,0
rn1qkbnr/p3pppp/2p5/8/P1pPP1b1/1p3N2/NP3PPP/R1BQKB1R w KQkq -,a2c3 g4f3 g2f3 b8d7 f1c4 e7e6 c1f4 g8f6 f4g3 f8e7,134
2b1qrk1/1ppp1pp1/1r6/p5PP/3pP3/b2P4/PPPBB1Q1/2K3RR w - -,b2a3 e8e7 e2g4 e7c5 h5h6 g7g6 h6h7 g8h8 c1d1 f8e8,393
r2qk2r/pp2pp1p/3p1npB/5b2/2P5/2N5/PP1Q1PPP/R4RK1 w kq -,f1e1 f6g4 c3d5 e7e6 h6g5 f7f6 h2h3 f6g5 h3g4 e8h8,224
8/1p2qp1k/3p2p1/2nPp2n/pQ2P2p/P3BPP1/1P2B1KP/8 w - -,b4b6 h4g3 h2g3 c5b3 e2d1 e7d7 d1b3 a4b3 b6b3 f7f5,116
8/p1pp1ppp/1p2k3/4p3/1P2P3/4K3/P1PP1PPP/8 w - -,d2d4 g7g5 c2c4 e6d6 d4e5 d6e5 f2f3 c7c5 b4c5 b6c5,11
r2q1rk1/bb3p2/p1pp1n1p/3Pp1p1/PP2P3/1Q3NB1/1P1N1PPP/R3R1K1 w - -,d2f1 c6d5 e4d5 b7d5 b3a3 a8b8 f1e3 a7e3 a3e3 d8b6,-83
1k1r4/1p4p1/p1npr3/4n3/2P1PR2/1PN2B1P/P7/2KR4 w - -,f3g4 e6h6 c1b2 c6b4 f4f5 e5g4 h3g4 h6h2 b2b1 b4c2,41
3n4/p2r1kpp/4rp2/1RB1p3/2n5/2P3P1/P3NP1P/1R4K1 w - -,b1b4 c4d6 c5d6 e6d6 c3c4 a7a6 b5b6 d6d2 b4b2 d8e6,-51
8/4R2p/5pk1/8/8/4P1P1/1r3PKP/8 w - -,h2h3 h7h5 g3g4 b2b5 g2g3 b5a5 e7d7 a5e5 g3f4 h5g4,472
R7/8/2k3p1/4K3/5P1p/8/6r1/8 w - -,e5e4 c6d6 a8h8 g2g4 e4f3 g4g3 f3f2 g3b3 h8h4 d6e6,-3
r4rk1/ppp2pbp/2np2p1/4p1P1/2P1P2P/5N2/PP3P2/1K1R1B1R w - -,a2a4 c6b4 f3e1 h7h5 g5h6 g7h6 h4h5 g8g7 e1c2 b4c6,-167
2r3k1/pp6/4pQp1/3p4/6q1/5R2/P4P1P/7K w - -,f6f7 g8h8 f7f6 h8h7 f3g3 g4e4 g3f3 c8c7 h1g2 g6g5,-118
r3kbnr/pp1qp3/2n2p2/3p1b1p/3P2pP/1QP2NB1/PP1N1PP1/R3KB1R w KQkq -,f3h2 d7e6 f1e2 f5d3 b3d1 g8h6 d2b3 d3c4 h2f1 h6f5,-111
2rqr3/p3ppbk/1p1p1npp/3b4/1PP1PP2/Q3BB1P/P5P1/2RR2K1 w - -,c4d5 c8c1 d1c1 d8d7 c1e1 h6h5 a3b3 e7e6 d5e6 e8e6,59
1r6/1r3k1p/q2pp1p1/P1p5/R2bP3/1P4P1/2Q2PKP/1R2B3 w - -,e1c3 e6e5 a4c4 f7g7 c3d4 e5d4 b3b4 h7h5 h2h4 a6a8,112
rr4k1/5p2/2bqnp1p/4p3/1p2P3/7P/1RBNQPP1/1R4K1 w - -,d2c4 d6f8 c4e3 e6d4 e2g4 g8h8 g1h2 a8a3 g4h5 d4c2,-13
3r4/5p1k/6p1/p2q2Pp/P2n3P/2Q1R3/5P2/6K1 w - -,c3c7 h7g8 c7c3 d4f5 e3e5 d5d1 e5e1 d1g4 g1f1 f5h4,-728
8/1p2qp1k/1Q1p2p1/3Pp2n/p3P2p/Pn2BPP1/1P2B1KP/8 w - -,e2d1 e7d7 b6b4 h7g8 b4c4 g8h7 d1c2 h7g8 c2d3 b3d4,111
7R/8/2k3p1/4K3/5P1p/8/7r/8 w - -,,0
8/pp4k1/4pppp/3pP3/3P1PP1/PNn5/7P/4K3 w - -,,0
2k5/5p2/p1r1pN2/3pPn2/3P1P2/1RPK4/8/8 w - -,b3a3 c6b6 a3a4 b6b1 f6h7 c8b7 h7g5 f5h6 f4f5 b1g1,11
6k1/5p2/5p1p/8/p1b5/P3PBK1/1r3PP1/R7 w - -,,0
r5r1/p3pk2/2p1bpp1/Pp5p/1n2PP1P/2N2P2/1PP1BKR1/6R1 w - -,e2d3 e6h3 g2h2 h3d7 f2e3 a8d8 h2g2 d7h3 g2g3 h3d7,33
r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2NB1N2/PPPQ1PPP/R4RK1 w - -,h2h3 f8e8 a1e1 a8c8 e1e2 c6c5 d4c5 d7c5 f3d4 d8b6,25
3r2k1/pp3p1p/6p1/8/6b1/2N5/PPP3PP/2K1R3 w - -,a2a4 g8f8 e1e4 h7h5 e4b4 d8d7 a4a5 f8g7 b4b5 f7f6,-12
4rbr1/1k1q3p/p1n2B2/2pp4/Pp3P2/1P1Q1N2/3P1RPP/2R3K1 w - -,f3e5 c6e5 f6e5 g8g6 d3f3 g6c6 d2d3 d7f7 h2h3 b7b6,231
r1b1kbnr/pp3ppp/3p4/4N3/3p4/2P5/PP2KPPP/RNB4R w kq -,b1a3 d6e5 a3b5 e8d8 c3d4 c8g4 f2f3 g4d7 a2a4 a7a6,-454
r3k2r/pp2bppp/2n1pn2/7q/8/2P2N2/PP2NPPP/R1BQ1RK1 w kq -,d1b3 h5d5 c3c4 d5d7 f1d1 d7c8 a2a3 e8h8 b3c2 f8d8,9
rr3k2/5p2/2bqnp1p/4p3/1p2P1Q1/7P/1RBN1PP1/1R4K1 w - -,d2c4 d6d8 g4h5 e6d4 b1d1 c6d7 c2b3 d7e6 c4e3 f8g7,84
8/4qk2/1p3n1p/p1pbr1p1/P1Q1P3/1P3PP1/7P/3RR1K1 w - -,d1d5 f6d5 e1d1 f7f8 d1d5 h6h5 c4d3 e5d5 d3d5 f8g7,267
r1b2rk1/pp3ppp/2n1pn2/q5B1/2B5/b1N1PN2/1P3PPP/1Q1R1RK1 w - -,g5f6 g7f6 c3d5 a3e7 b2b4 a5a4 d5e7 c6e7 f3d2 f6f5,63
3r4/2r1kppp/pp2p3/8/3NnP2/P3P3/1PR1K1PP/8 w - -,e2d1 c7c2 d1c2 e7e8 b2b4 e4f6 c2d3 f6d5 d3e4 b6b5,-597
1r2k3/5p1p/2Pbp3/R4p2/P2N4/1P1K4/5PP1/8 w - -,d4b5 d6e5 d3c4 h7h5 c4c5 e8e7 a5a7 e7f6 c6c7 e5c7,509
3r3r/4bkp1/4pp1p/pp1b4/2nB2P1/2P2PN1/PPB3P1/1K1R3R w - -,g3e2 e7d6 d4f2 d8b8 c2d3 a5a4 b2b3 c4a5 b3b4 a5c4,-45
r3kb1r/pp2nppp/2n1p3/3pP3/3q4/P3QB1P/1P3PP1/RNB2RK1 w kq -,e3d4 c6d4 f3d1 e7c6 f1e1 f8e7 b1c3 c6a5 d1a4 d4c6,-184
3r2r1/p3pk2/2p1bpp1/Pp5p/1n2PP1P/2NB1P2/1PP2KR1/6R1 w - -,f2e3 e6d7 g2d2 a7a6 g1d1 d8c8 e4e5 f6f5 d3b5 c6b5,23
8/1p1q1p1k/1Q1p2p1/3Pp2n/p3P2p/Pn2BPP1/1P4KP/3B4 w - -,b6b4 h7g8 b4c4 g8h7 d1b3 a4b3 c4b3 f7f5 e4f5 g6f5,105
r2qk2r/ppp3pp/5b2/3npp2/3n4/1B1P1N2/PPP2PPP/R1BQK2R w KQkq -,f3d4 e5d4 d1f3 c7c6 f3f5 d8e7 f5e4 e8a8 e1h1 e7e4,176
3n4/p2r1kpp/2r2p2/1RB1p3/1R6/2P3P1/P2nNPKP/8 w - -,c5a7 d7a7 b5d5 a7a2 d5d8 c6c7 g3g4 d2c4 g2f1 e5e4,-32
n1r2bk1/5p1p/4p1p1/BpNpN3/3Pn3/1P2P1P1/5P1P/2R3K1 w - -,e5d7 f8e7 c1a1 e4d6 a5b4 a8c7 a1a7 c7e8 d7e5 c8c7,150
r2qk1nr/pp1bbpp1/4p2p/1B1Pp3/4P3/2N5/PP3PPP/R1BQ1RK1 w kq -,d5e6 f7e6 d1h5 e8f8 f1d1 g8f6 h5e5 d8c8 b5d7 f6d7,423
6k1/5p2/5p1p/8/p1b5/P3PBK1/r4PP1/7R w - -,,0
1r6/1r3k1p/q2p2p1/P1p1p3/R2bP3/1PB3P1/2Q2PKP/1R6 w - -,c3d4 e5d4 e4e5 d4d3 c2c3 d6e5 a4e4 b7d7 g2g1 a6b7,113
r1b2rk1/pp3p1p/2n1pp2/q7/2B5/b1N1PN2/1P3PPP/1Q1R1RK1 w - -,c3d5 a3e7 b2b4 a5a4 d5e7 c6e7 f3d2 f6f5 b1b2 e7g6,52
rnbqk1nr/ppp2pbp/4p1p1/3p4/5P2/2NP1N2/PPP1P1PP/R1BQKB1R w KQkq -,e2e4 c7c5 e4e5 g8h6 d3d4 e8h8 d4c5 f7f6 e5f6 d8f6,3
r2q1rk1/pp2bppp/2p1bn2/3pn3/3P1B2/2NB4/PPPQ1PPP/R4RK1 w - -,f4g5 e5d3 c2d3 h7h6 g5h4 f6h7 h4e7 d8e7 a1e1 e7h4,-496
1k1r4/1p4p1/p2pr3/4n3/1nP1PRB1/1PN4P/P7/2KR4 w - -,g4e6 b4d3 c1c2 d3f4 e6f5 g7g6 f5g4 b8c7 d1f1 g6g5,48
r7/p1q2kpp/1p2br2/3p4/3P4/P2BQ3/2P2PPP/4R1K1 w - -,g2g3 f7g8 f2f4 a8f8 e1e2 g8h8 e3d2 g7g6 d2e1 c7d6,-428
2rr2k1/1bq1b1pp/p2ppn2/1pn5/3NP3/1pP3N1/P1B1QPPP/R1B1R1K1 w - -,a2b3 e6e5 d4f5 c5e6 f5e7 c7e7 c1d2 e7c7 f2f3 g8h8,52
8/p1p2ppp/1p1pk3/4p3/1P1PP3/4K3/P1P2PPP/8 w - -,b4b5 g7g5 g2g3 g5g4 f2f4 g4f3 d4d5 e6f6 h2h4 f6g7,32
r5k1/4bp1p/pp2b3/8/2p1pP2/2B5/PP5P/2R2RK1 w - -,f4f5 e7c5 g1g2 e6d7 f1f4 g8f8 c3f6 c5d6 f4h4 d7f5,27
r1b2rk1/pp3p1p/2n2p2/q2p4/2B5/b3PN2/1P3PPP/1Q1R1RK1 w - -,d1d5 a3c5 d5h5 f6f5 b1c1 c6e7 e3e4 a5b6 e4e5 a7a5,61
8/1p1q1p1k/1Q1p2p1/3Pp2n/4P2p/Pp2BPP1/1P4KP/8 w - -,b6b3 f7f5 e4f5 g6f5 b3c4 h4h3 g2f2 h7g8 a3a4 h5f6,104
r4rk1/p4ppp/p2bbp2/2p5/3P4/5N1P/PPPB1PP1/R3R1K1 w - -,c2c4 c5d4 b2b3 d4d3 d2a5 d6c5 e1d1 c5b6 a5b6 a7b6,72
5k2/6pp/4p3/ppp1P3/7b/2PP4/PP4P1/6K1 w - -,g1h1 h4g5 g2g4 f8e7 h1g2 g5c1 b2b4 a5b4 c3b4 c5b4,-565
rr3k2/5p2/2bq1p1p/4p3/1p1nP1Q1/1B5P/1R1N1PP1/1R4K1 w - -,,0
r3k2r/ppp3pp/3q1b2/3n1p2/3p4/1B1P4/PPP2PPP/R1BQ1RK1 w kq -,f1e1 e8f7 d1f3 c7c6 f3f5 g7g6 f5h3 h7h5 e1e4 f7g7,248
8/pp2p1k1/8/3p4/P1pP4/2P1Pq1P/1PB5/3KR3 w - -,e1e2 a7a6 d1d2 f3h3 d2c1 h3g3 c1d1 g7f7 d1d2 e7e5,-111
r1b2rk1/1p2ppbp/1qnp2p1/3n4/p1P5/1P4P1/PBN1PPBP/R2Q1RK1 w - -,c4d5 g7b2 a1b1 a4b3 a2b3 b2f6 d5c6 b7c6 b3b4 c8a6,-253
r2qr1k1/pp2bpp1/2p1bnnp/3p2B1/3P4/2NBPP1P/PPQ1N1P1/3R1RK1 w - -,g5h6 g7h6 d3g6 f7g6 c2g6 g8h8 g6h6 h8g8 e3e4 d8d7,81
r2qkb1r/1pp1pp2/p1n1bnpp/3p4/3P1P2/P3PN2/1PP1B1PP/RNBQ1RK1 w kq -,b1d2 f8g7 f3e5 e8h8 e5c6 b7c6 d2b3 a6a5 a3a4 d8d6,58
r2q1rk1/1b2ppbp/p5p1/npNn4/3PB3/5N2/PP3PPP/R1BQ1RK1 w - -,c1d2 b7c6 f3e5 g7e5 d4e5 e7e6 b2b3 a5b7 c5b7 c6b7,110
3r1k1r/1b1n1p2/2p2q1p/1p2p1p1/2pPP1B1/2N5/1P3PPP/R2QR1K1 w - -,g4d7 d8d7 d4e5 f6e6 d1h5 e6e5 f2f4 e5e6 f4g5 e6e5,-13
3r1rk1/1p3ppp/2p5/1p1q4/1P6/5P2/PP1Q2PP/3R1RK1 w - -,d2e2 d5a2 f1e1 h7h6 e2e7 a2a7 g1f1 a7b8 h2h3 d8d1,-170
r5k1/p4pb1/q1pBb2p/3np1pP/4N1P1/1r1R1P2/PPP2Q2/2KR4 w - -,a2a3 b3d3 d1d3 d5f4 d3d2 a8d8 c1b1 f7f5 g4f5 e6f5,-397
rr3k2/5p2/2bq1p1p/4p2Q/1p2P3/1n5P/1R1N1PP1/1R4K1 w - -,h5h6 f8e7 b2b3 a8a3 h6e3 a3b3 d2b3 c6d7 b3c5 d6b6,-1
r2qr1k1/ppb2ppp/2p2nb1/2Ppn3/1P1N4/P1N1P1P1/5PBP/R1BQ1RK1 w - -,a3a4 a7a5 b4b5 d8d7 c3e2 e5c4 e2f4 c7f4 e3f4 h7h5,-77
5k2/6pp/4p3/ppp1P1b1/8/2PP4/PP4PK/8 w - -,h2g3 g5c1 b2b3 c1b2 d3d4 c5d4 c3c4 b5c4 b3c4 d4d3,-623
r1b2rk1/pp3p1p/2n2p2/q1bR4/2B5/4PN2/1P3PPP/1Q3RK1 w - -,d5h5 f6f5 b1c1 c6e7 e3e4 a5b6 f3e5 b6f6 e5f7 f8f7,76
1r2k2b/5p1p/2P1p3/R4p2/P2N4/1P1K4/5PP1/8 w - -,a5c5 b8d8 c6c7 d8c8 d4b5 e8d7 a4a5 h8f6 a5a6 h7h5,518
1R6/p2r1kpp/2r1np2/4p3/1Rn5/2P1B1P1/P3NPKP/8 w - -,b8b7 c4e3 g2f3 c6c7 b7c7 e6c7 f2e3 c7e6 b4a4 h7h5,-48
8/p5k1/1pp5/6pp/2P3n1/2P2rP1/P7/R1B3K1 w - -,c1d2 f3g3 g1f1 g7g6 c4c5 g3f3 f1g1 b6c5 a1b1 h5h4,-525
r2qk1nr/pp2bpp1/3pp2p/1b1PN3/4P3/2N5/PP3PPP/R1BQ1RK1 w kq -,d5e6 d6e5 d1h5 g7g6 h5e5 g8f6 e5b5 e8f8 e4e5 f6h5,508
7B/p1Np1k1p/bp6/2p2n2/8/5N2/PPP2PPP/2K4R w - -,c7a6 f7g8 h8c3 d7d5 h1e1 f5h6 h2h3 h6f5 a6c7 d5d4,996
r2q1rk1/bbp2p2/p2p3p/3Pp1pn/PP2P3/1QN2NB1/1P3PPP/R3R1K1 w - -,b4b5 d8d7 a4a5 a6b5 c3b5 a7c5 e1c1 b7a6 c1c5 d6c5,35
1r6/5k1p/qr1p2p1/P1p1p3/2RbP3/1PB3P1/2Q2PKP/1R6 w - -,a5b6 d4c3 c2c3 a6b6 c4a4 b8f8 b1a1 b6c6 a4a7 f7g8,486
6k1/5p2/5p1p/8/p6R/Pb2PBK1/r4PP1/8 w - -,,0
r1b1kb1r/ppppn1pp/2n5/5P2/5p1q/2N5/PPPPB1PP/R1BQ1KNR w kq -,d1e1 h4e1 f1e1 e7f5 e1d1 c6d4 e2d3 c7c6 b2b3 d7d5,-121
rr6/4kp2/2bq1p1Q/4p3/1p2P3/1n5P/1R1N1PP1/1R4K1 w - -,b2b3 a8a3 h6e3 a3b3 d2b3 c6d7 b3c5 d6b6 h3h4 d7g4,-2
3r1rk1/pp3ppp/2pq1n2/4N2Q/3P4/7P/PPBB1PP1/4R1K1 w - -,h5f5 g7g6 f5f3 g8g7 c2b3 d8e8 f3c3 e8e7 d2g5 f8e8,446
r2q1rk1/ppp2ppp/3pbn2/N3p3/4P3/3PP1QN/PPP3PP/R3K2R w KQ -,e1h1 f6g4 h3f2 g4h6 d3d4 c7c5 a5b3 c5d4 e3d4 f7f5,-55
r4rk1/p4ppp/p3bp2/2b5/8/5N1P/PPPB1PP1/R3R1K1 w - -,c2c4 c5b6 b2b3 a6a5 d2e3 f8d8 c4c5 b6c7 f3d4 c7e5,69
b5k1/5pp1/2q1pnnp/3p4/8/P1QP1NPP/1B2PPB1/6K1 w - -,c3b3 c6c7 a3a4 e6e5 b3c3 c7c3 b2c3 f6d7 c3b4 d7b8,278
1nk2r2/R1p5/1p1p2p1/2qPb3/3pP1P1/3P3P/3B2B1/Q5K1 w - -,a1b1 f8f7 a7a2 b8d7 a2a8 d7b8 g4g5 b6b5 a8a5 b8d7,121
rn2kb1r/pp2pppp/1q3n2/3p4/4B3/5Q2/PPPP1PPP/RNB2RK1 w kq -,e4d5 f6d5 f3d5 b8c6 d5c4 b6d4 c4e2 a8d8 f1e1 e7e5,91
8/ppr2pk1/1n2p1pp/3pP3/3P1PP1/P6R/3N3P/3K4 w - -,f4f5 g6f5 g4f5 e6f5 d2f1 b6c8 f1e3 f5f4 e3g2 c7c4,-238
r1b2rk1/pp3p1p/2n5/q1b2p1R/2B5/4PN2/1P3PPP/1Q3RK1 w - -,b1c1 c6e7 e3e4 a5b6 f3e5 b6f6 e5f7 f8f7 c4f7 f6f7,100
1r6/4kp2/2bq1p1Q/4p3/1p2P3/1R5P/r2N1PP1/1R4K1 w - -,d2c4 d6c5 b3f3 c5c4 h6f6 e7d7 b1d1 d7c7 f6e5 c7b7,102
3r2r1/p3pk2/2p2pp1/Pp5p/1n2PP1P/2NBKP1b/1PP3R1/6R1 w - -,g2g3 h3d7 g3g2 d7h3 g2d2 a7a6 g1d1 d8c8 e4e5 b4d5,22
r2q1rk1/pp1nbppp/2p1b3/3pP3/5B2/2NB4/PPPQ1PPP/R4RK1 w - -,f1e1 a7a5 c3e2 d7c5 c2c3 c5d3 d2d3 c6c5 h2h3 d8b6,-31
5k2/6pp/4p3/ppp1P3/6P1/2PP4/PP5K/2b5 w - -,b2b3 c1b2 h2g2 b2c3 g2f3 c3e5 f3e4 e5d4 g4g5 f8e7,-729
1q2r3/p1r1ppbk/1p1p1npp/3P4/1P2PP2/3QBB1P/P5P1/2RR2K1 w - -,c1c7 b8c7 d1c1 c7d7 e4e5 f6g8 f3e4 d6e5 f4f5 h7h8,144
r1q3k1/p4pb1/2pBb2p/3np1pP/4N1P1/1R3P2/PPP2Q2/2KR4 w - -,b3a3 a7a5 f2e1 c8d8 c2c4 a5a4 c1b1 d8b6 d6c5 b6a6,275
8/8/7k/pp1p4/2pP3P/P1P5/4K3/8 w - -,e2f3 h6h5 f3e2 h5h4 e2d2 h4g5 d2c2 g5g4 c2b2 g4f3,-1936
r4rk1/pp2n2p/2p1Rbp1/8/3p4/1B1P4/PPP2PPP/R1B3K1 w - -,e6e7 g8h8 e7b7 f8b8 b7c7 f6e5 c7c6 b8f8 c6e6 f8e8,627
r2q1rk1/pp3p2/2pp1n1p/2bNp1p1/2BnP3/2PP1PB1/PP3P1P/R2Q1RK1 w - -,d5f6 d8f6 c3d4 c5d4 a2a4 h6h5 h2h3 g8g7 g1g2 a7a6,306
rn1qkb1r/1pp2pp1/p3pn1p/3p4/3P1P2/2PQPN2/PP4PP/RNB1K2R w KQkq -,b1d2 c7c5 e3e4 c5d4 f3d4 d5e4 d2e4 b8d7 c1e3 f8e7,-12
8/1p1q3k/3p2p1/3Ppp1n/4P2p/PQ2BPP1/1P4KP/8 w - -,e4f5 g6f5 b3c4 h4h3 g2f2 h7g8 a3a4 h5f6 a4a5 g8g7,118
