QQ6/8/8/2K5/8/8/3k4/8 w - -,d1d2 c7c5 e1a1 c5d4 d2d4 g7h6 c1b1 b8c6 d4d3 c8d7,Mate
r1bq1rk1/1pp2ppp/p2p1n2/n1b1p3/P1B1P3/2PP1N2/1P3PPP/RNBQR1K1 w - -,b2b4 a5c4 b4c5 c4a5 c5d6 c7d6 h2h3 c8e6 c3c4 f6d7,62
r2qkb1r/pp1b1ppp/2nppn2/1Bp3B1/4P3/3P1N2/PPP2PPP/RN1Q1RK1 w kq -,c2c4 h7h6 g5e3 a7a6 b5a4 f6g4 b1c3 f8e7 d3d4 c5d4,-22
2b5/1pp2pk1/r2p3b/p2Pp1r1/B1P1PnNp/P3NR1P/1P4P1/4R2K w - -,h1h2 a6b6 b2b3 g5g6 e1f1 h6g5 c4c5 b6a6 a4b5 a6a8,21
r1bqnrk1/1pp1npbp/3p2p1/p2Pp3/1PP1P3/2N2NP1/P4PBP/R1BQ1RK1 w - -,b4a5 a8a5 a2a4 b7b6 c3b5 a5a8 d1c2 h7h6 a1a3 c7c6,63
8/8/5k2/7P/5P2/6P1/6K1/8 w - -,d1b3 a5b4 b3b4 b7b6 a2a4 h7h6 a1a3 e8f6 f3d2 f6d7,Mate
8/6k1/8/7P/5PP1/8/6K1/8 w - -,d1b3 a5b4 b3b4 b7b6 a2a4 h7h6 a1a3 e8f6 f3d2 f6d7,Mate
r1b1k1nr/p1p2ppp/2pp1q2/8/1Q2P3/5N2/PP3PPP/RqB2RK1 w kq -,c1g5 b1b2 g5f6 b2b4 f6g7 f7f6 g7h8 c8g4 a1b1 b4a5,-568
r2qkb1r/pppnpppp/6b1/3p4/3P1B2/4PP2/PPP3PP/R2QKBNR w KQkq -,a1c1 c7c6 h2h4 f7f6 f4g3 e7e5 c2c4 g6f7 c4c5 g7g6,-19
3r3r/2p4p/1p1n1kp1/8/4q3/PN6/1PN1Q1PP/3R2K1 w - -,d1d6 d8d6 e2e4 h8d8 h2h3 g6g5 c2e3 g5g4 e4h7 g4g3,558
2rq3r/1b3pk1/p1n1p1p1/1p1pP1Qp/3P2nP/P2B1NP1/1P2NPK1/R4R2 w - -,g5d2 h8e8 b2b4 c6e7 f3g5 g4h6 f2f3 e7f5 d3f5 e6f5,167
r2q1rk1/pp1bbppp/2nppn2/1Bp3B1/4P3/2NP1N2/PPP2PPP/R2QR1K1 w - -,b5c6 d7c6 a2a4 h7h6 g5h4 b7b6 c3b5 c6b7 c2c4 a7a6,-26
8/6k1/8/5PPP/8/8/6K1/8 w - -,b5c6 d7c6 a2a4 h7h6 g5h4 b7b6 c3b5 c6b7 c2c4 a7a6,Mate
rnbqk2r/ppp2ppp/3p1n2/2b1p3/4P2P/3P1N2/PPP2PP1/RNBQKB1R w KQkq -,c1e3 c5e3 f2e3 e8h8 d1d2 c7c6 f1e2 f6g4 b1c3 b8d7,-90
r1bqkbnr/1p3ppp/p1np4/2p5/4P3/6P1/PPP1NP1P/RNBQKB1R w KQkq -,b1c3 g8f6 f1g2 f8e7 e1h1 h7h6 e2f4 e8h8 b2b3 f8e8,80
r1bqkb1r/1pp2ppp/p1n1p3/4P3/2BPp3/4B3/PPP2PPP/R2QK1NR w KQkq -,a2a4 b7b6 g1e2 c8b7 e1h1 h7h5 c2c3 g7g6 c4b3 h5h4,96
2bqnrk1/1pp1npbp/3p2p1/r2Pp3/2P1P3/2N2NP1/P4PBP/R1BQ1RK1 w - -,c1d2 a5a8 a2a4 b7b6 d1c2 h7h6 c3b5 f7f5 e4f5 c8f5,66
5rk1/1Q3p2/6p1/2R4p/5N2/8/5PPP/6K1 w - -,h2h3 f7f5 a2a4 f5f4 c1a3 b7b6 a3b4 a5a6 d1b3 c8d7,Mate
r1b1kb1r/pp1p1ppp/1qn2n2/4p3/2P5/1NN5/PP2PPPP/R1BQKB1R w KQkq -,g2g3 f8b4 f1g2 d7d6 e1h1 b4c3 b2c3 e8h8 d1d6 h7h6,48
8/8/5P1P/6k1/8/5K2/8/8 w - -,g2g3 f8b4 f1g2 d7d6 e1h1 b4c3 b2c3 e8h8 d1d6 h7h6,Mate
8/5P2/7k/8/8/5K2/8/8 w - -,g2g3 f8b4 f1g2 d7d6 e1h1 b4c3 b2c3 e8h8 d1d6 h7h6,Mate
r1bqk1nr/1pp2ppp/p1np4/4p3/1b1PP3/2N2N2/PPPB1PPP/R2QKB1R w KQkq -,a2a3 b4c3 d2c3 g8f6 f1d3 c8g4 d4d5 c6e7 h2h3 g4d7,48
8/4B3/1k6/p2p4/3P2b1/P1p5/8/4K3 w - -,e1f2 b6b5 f2g3 g4f5 e7g5 b5a4 g5c1 a4b3 g3f4 f5e4,-828
8/4B3/1k6/p2p4/1p1P2b1/P1p5/1P6/4K3 w - -,b2b3 b4a3 e7a3 b6b5 e1f2 a5a4 b3a4 b5a4 a3c1 a4b3,-730
4k3/8/2K1PP2/8/Bb6/8/3p4/8 w - -,b2b3 b4a3 e7a3 b6b5 e1f2 a5a4 b3a4 b5a4 a3c1 a4b3,Mate
r1b2rk1/1p1n1ppp/p3pn2/2b5/8/1P2PN2/P4PPP/RNBR1BK1 w - -,b1d2 b7b6 c1b2 c8b7 a1c1 f8c8 d2c4 b7d5 c4e5 c5f8,25
r2qk1nr/pp1n1ppp/4p3/2bpP3/6b1/2P1BN2/PP3PPP/RN1QKB1R w KQkq -,f1b5 c5e3 f2e3 g8e7 d1a4 g4f3 b5d7 d8d7 a4d7 e8d7,-104
2r4r/1b2qpk1/p3p1pn/1p1pP1Np/2nP1QPP/P2B1P2/1P2N1K1/R4R2 w - -,b2b3 c4a5 a1b1 b5b4 a3a4 a5c6 b1c1 a6a5 f1g1 h5g4,271
r1bqkbnr/3p1ppp/p1n5/3p4/1p2P3/1B3N2/PP3PPP/R1BQ1RK1 w kq -,e4d5 f8e7 f1e1 g8f6 d5c6 d7c6 d1e2 c8g4 b3f7 e8f7,290
2r3nr/1b2qpk1/p3p1p1/np1pP1Np/3P1QPP/PP1B1P2/4N1K1/1R3R2 w - -,f4g3 a5c6 b1c1 b5b4 a3a4 h8h6 g4h5 h6h5 g5e6 e7e6,327
r1bq1rk1/ppppbppp/2n2n2/4p3/2B1P3/P1NPBN2/1PP2PPP/R2QK2R w KQ -,h2h3 d7d6 e1h1 c8e6 c3d5 c6b8 d3d4 e6d5 e4d5 e5e4,50
r5k1/1p3p2/1b4n1/7p/3R4/6QP/6P1/7K w - -,d4d1 a8e8 d1d6 b6d8 d6g6 f7g6 g3g6 g8f8 g6h6 f8e7,297
r1b1kb1r/1p1n1ppp/p3p3/3pP3/2nP1P2/P1N2N2/1P4PP/R1B1KB1R w KQkq -,b2b3 c4a5 a1b1 a5c6 f1d3 d7b6 b1a1 c8d7 c1d2 h7h5,66
r1bqk2r/ppp1nppp/1b1p1n2/1P2N3/4P3/P1N5/2PP1PPP/R1BQKB1R w KQkq -,e5f3 e7g6 f1e2 b6a5 e1h1 e8h8 c1b2 a7a6 b5a6 a5c3,30
r1br1k2/pp2ppbp/6p1/2BP4/4PP2/3B4/P2K2PP/1R5R w - -,h1c1 f7f5 d2e3 f5e4 d3e4 a8b8 c5a3 f8e8 c1c7 d8d7,138
