3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
8/8/3b4/p2B4/P6k/1P3R1p/6r1/7K w - -,f3f1 g2h2 h1g1 h2d2 d5e4 d6e5 g1h1 d2h2 h1g1 h2b2,-62
r2qk2r/1p1n1pbp/p1b1p1p1/2p1P3/3p1B2/P1NP1N2/1PP2PPP/R2QR1K1 w kq -,c3e4 e8h8 d1d2 d8c7 h2h4 g8h8 f4g3 h7h6 g3f4 a8c8,52
r1b2rk1/pp3ppp/1n2p3/3n4/3p4/5NP1/PP1NPPBP/2R2RK1 w - -,f3d4 f8d8 f1d1 c8d7 d2e4 a8b8 e4c5 d7e8 a2a3 h7h6,60
8/5k2/1p6/pPp1np1p/2Pp1N1P/3P1P2/P5K1/8 w - -,g2f2 a5a4 f2e2 a4a3 f4d5 e5d7 f3f4 f7e8 e2d1 e8d8,153
5nk1/p4p1p/5bp1/2p1p3/B3P3/3r3P/P2B1PP1/3R2K1 w - -,g1f1 f8e6 a4b3 f6g5 d2a5 d3d1 b3d1 g5d8 a5d2 e6d4,-12
2r5/2b1r3/4pk1p/p1p1Npp1/5P2/2P3P1/PP5P/3RRK2 w - -,,0
rnbqk2r/1p3ppp/2pp1n2/p3p3/2P1P3/2P3P1/PP2NPBP/R1BQK2R w KQkq -,h2h3 a5a4 c1e3 c8e6 b2b3 e8h8 e1h1 d8d7 g1h2 d7e7,16
r4b2/p2n1kp1/4b2p/4p3/8/3P2P1/PP2PP1P/R1B2RK1 w - -,c1e3 a7a5 f1c1 a5a4 c1c7 a8b8 b2b3 a4b3 a2b3 f8d6,95
r1bq1rk1/ppp2ppp/6n1/3n4/2BP4/1Q3N2/PP1N1PPP/R3R1K1 w - -,c4d5 a7a5 d5c4 a5a4 b3c3 c7c6 a2a3 b7b5 c4a2 g6f4,465
r1bqkb1r/pp1ppp1p/2n3p1/4n3/3N4/5N2/PPP2PPP/R1BQKB1R w KQkq -,f3e5 c6e5 c2c4 e5c6 f1e2 f8g7 c1e3 d8a5 e3d2 a5c5,-95
4r3/1ppk2p1/p7/8/8/2P4P/PP2pPP1/4R1K1 w - -,f2f3 a6a5 g1f2 e8h8 e1e2 h8h6 e2e4 h6b6 b2b3 b6c6,426
r1bqk2r/pp3pp1/2nbp2p/3n4/2B5/P1N2N2/1P3PPP/R1BQ1RK1 w kq -,c3d5 e6d5 f1e1 d6e7 c4d5 e8h8 c1e3 c8f5 d1b3 a8c8,55
3Q4/8/4k3/8/8/4K3/8/7b w - -,c1d2 e8h8 f1e1 c6e7 c3d5 e7d5 c4d5 e6d5 d2c3 d6c5,Mate
r3k2r/pp1n1pp1/4p3/P1q1Pn1p/2p4P/1P3N2/5PP1/R1BQ1RK1 w kq -,c1a3 c5a5 f3d4 a5e5 d4f5 e5f5 b3c4 h8h6 d1b3 f5e4,63
8/5Q2/3k2B1/8/8/8/8/6K1 w - -,f1e1 c5c7 f3d4 f5d4 d1d4 e8h8 c1a3 f8c8 b3c4 d7c5,Mate
3r2k1/p3b1pp/4p3/5p2/2r5/P1NpPPP1/1P1R3P/R5K1 w - -,g1f1 e7f6 e3e4 f6c3 b2c3 f5e4 f3e4 d8f8 f1g2 c4c3,-125
rnb1kb1r/pp2pp2/1qp3p1/3pP2p/5B1P/1PPB4/P1P2PP1/R2QK1NR w KQkq -,d1d2 c8g4 g1h3 g4h3 h1h3 e7e6 e1f1 b8d7 a2a4 f8g7,43
2rq1rk1/p2b2bp/1pnPppp1/2p5/4N3/4B1P1/PP2QPBP/R4RK1 w - -,f1d1 f6f5 e3g5 d8e8 e4c3 c6d4 e2a6 d7c6 a6a7 h7h6,-134
8/8/8/4k1pP/2p3P1/8/4K3/8 w - -,f1d1 f6f5 e3g5 d8e8 e4c3 c6d4 e2a6 d7c6 a6a7 h7h6,Mate
1rnr3k/1b2q3/2p3np/1pN1Ppp1/1P6/2N5/RQ2BP1P/R5K1 w - -,e5e6 h8h7 c3d1 g6f4 d1e3 c8d6 b2c2 h7g8 a2a7 e7f6,107
r4rk1/1b3p1p/2n1p1p1/1pp5/p2qPP2/P2PR1N1/1PB2KPP/1R1Q4 w - -,g3e2 d4d6 d1d2 b5b4 e3h3 f8d8 b1c1 c6d4 d2e3 d4e2,-153
r1bqk2r/pp3pp1/2nb3p/3p4/2B5/P4N2/1P3PPP/R1BQ1RK1 w kq -,f1e1 d6e7 c4d5 e8h8 c1e3 c8f5 d1b3 a8c8 e1d1 d8c7,57
4Q3/8/3k4/8/8/4K3/8/7b w - -,d1d5 e8h8 d5h5 d8f6 f1e1 c8f5 c1d2 c6e5 d2c3 f5g6,Mate
r2qkb1r/ppp3pp/3pp1n1/8/4nPb1/2NB3P/PPPQ2P1/R1B1K1NR w KQkq -,d3e4 d8h4 d2f2 h4f2 e1f2 g4f5 e4b7 a8b8 b7c6 e8d8,468
1k6/p6r/1p2p1N1/2r2p1p/4bRp1/1P1p2P1/P2R3P/5K2 w - -,d2d1 h7c7 f4f2 e6e5 b3b4 c5d5 g6h4 c7c2 f1g1 b8c7,-629
2r4k/8/5NQq/1pp1p3/p2p4/P2Pb1PP/1PP3PK/5R2 w - -,g6f5 c8f8 f5e5 h6g7 f1f5 e3h6 g3g4 h6g5 f5g5 g7f6,641
2r1r1k1/1b2q2n/1np1p2p/1p2Ppp1/1P1P4/1QN5/4BPPP/2RRN1K1 w - -,e1d3 g5g4 d3c5 h7g5 h2h4 g4h3 g2g3 f5f4 c3e4 g5e4,145
8/8/p3kp2/4p1K1/4P3/8/P7/8 w - -,g5g6 e6e7 a2a4 a6a5 g6g7 e7e6 g7g6,Mate
8/R1R5/1k6/8/8/1K6/8/8 w - -,g5g6 e6e7 a2a4 a6a5 g6g7 e7e6 g7g6,Mate
r1b1kb1r/ppp1qNpp/2n2n2/3p4/2BPp3/8/PPP2PPP/RNBQ1RK1 w kq -,f7e5 d5c4 e5c6 b7c6 f2f3 e7e6 f3e4 f8e7 b1c3 e8h8,-599
4nk2/p7/1p1p2p1/1PpP4/2P2P1Q/PB1b1r1P/4pqPK/4R3 w - -,h4g4 f3e3 f4f5 d3f5 e1e2 e3e2 g4g3 f2g3 h2g3 e2e3,-3561
8/7R/8/5K1p/8/6k1/7r/8 w - -,,0
8/5pp1/6kp/p1R5/8/1PP3KP/r4PP1/8 w - -,g3f3 a2a3 c5b5 a5a4 b3a4 a3a4 b5b2 g6f5 f3e2 f7f6,95
1r1r2k1/2q2ppp/pp2p3/2n5/P1P5/4PB2/1Q3PPP/R2R2K1 w - -,d1d4 g7g6 b2c2 d8d6 a1d1 b8d8 d1d2 e6e5 d4d5 a6a5,-18
6k1/q5p1/2p3p1/P1brpp2/4Q3/2P1R1PP/6PK/4R3 w - -,e4a4 c5e3 a4c6 d5d2 h3h4 g8h7 h4h5 g6h5 c6f3 e3h6,-273
r2qk2r/pp1nbppp/4p3/3pP3/5Bb1/2PB4/PPQN1PPP/R4RK1 w kq -,f4g3 g4h5 d2b3 h5g6 f2f4 e8h8 a1d1 d7c5 b3c5 e7c5,14
1r6/1BR2p1p/5kp1/p4b2/8/3p4/PP1K1PPP/8 w - -,b2b3 b8e8 b7f3 e8e5 c7c4 g6g5 h2h4 h7h6 h4h5 f6e7,70
2R5/6b1/4r1k1/7p/5Pp1/6P1/8/6K1 w - -,g1g2 e6e2 g2f1 e2d2 c8g8 d2b2 f1g1 b2b7 g1f2 g6f5,-558
8/5Q2/2k5/5B2/8/8/8/6K1 w - -,g1g2 e6e2 g2f1 e2d2 c8g8 d2b2 f1g1 b2b7 g1f2 g6f5,Mate
1rr3k1/p1q2ppp/pnp1p3/2b5/3PP3/P1R1BP2/1PQ2P1P/1K5R w - -,d4c5 b6d7 h1d1 h7h6 f3f4 d7f6 c3d3 b8b5 b1a2 c8b8,156
r1bqk2r/pp2bpp1/2n4p/3p4/2B5/P4N2/1P3PPP/R1BQR1K1 w kq -,c4d5 c8e6 d5e6 d8d1 e6f7 e8f7 e1d1 h8d8 c1d2 e7f6,42
r3kb1r/ppp3pp/3pp1n1/8/4BPbq/2N4P/PPPQ2P1/R1B1K1NR w KQkq -,d2f2 h4f2 e1f2 g4f5 e4b7 a8b8 b7c6 e8d8 g1f3 h7h5,486
1r3rk1/ppq2ppp/4b3/2P1p3/1Qn1P3/P1P2P2/4NBPP/1R1R2K1 w - -,e2d4 b7b5 d4b5 c7b7 b5d4 b7b4 a3b4 e5d4 c3d4 c4a3,183
rnbqkb1r/pppppppp/5n2/8/5P2/8/PPPPP1PP/QRBBKRNN w kq -,b2b3 c7c5 c1b2 b8c6 g1f3 d7d5 e2e3 g7g6 f3e5 c6e5,-10
8/7R/8/6K1/7p/6k1/7r/8 w - -,,0
r4rk1/1b3p1p/2nqp1p1/1pp5/p3PP2/P2PR3/1PB1NKPP/1R1Q4 w - -,f2g1 f8d8 d1e1 b5b4 b1c1 c6d4 e1f2 d4c2 c1c2 b7a6,-153
rnb2r1k/p3p1bp/2pp1npB/8/2BPP3/1p3P2/qPPQ2P1/1NKR2NR w - -,f2g1 f8d8 d1e1 b5b4 b1c1 c6d4 e1f2 d4c2 c1c2 b7a6,Mate
8/6k1/1p6/pPp1np1p/2Pp1N1P/3P1P2/P4K2/8 w - -,f4h5 g7h6 h5f4 a5a4 f2g3 a4a3 g3f2 h6g7 f2e2 g7h6,270
r2qk2r/1b2bppp/p1p1p3/3pPP2/8/1PNn4/PBP1Q1PP/R4R1K w kq -,e2d3 e6f5 d3f5 e8h8 e5e6 f7e6 f5e6 g8h8 c3a4 d8d6,28
q1r3k1/1b1n1p2/6p1/1P2p2p/PBNpPb2/3Q2NP/5PP1/R5K1 w - -,c4d6 c8c7 a4a5 a8b8 d3b3 d7f6 b5b6 c7d7 a5a6 b7c6,383
r3r2k/3n1R2/pp2Q1p1/3p2b1/Pnq5/1NN1B3/1PP4P/6K1 w - -,e6g6 g5e3 g1h1 c4f1 f7f1 e8f8 g6h5 h8g7 h5g4 g7h8,669
8/5R2/8/6K1/8/6kp/7r/8 w - -,e6g6 g5e3 g1h1 c4f1 f7f1 e8f8 g6h5 h8g7 h5g4 g7h8,Mate
rnb1kbnr/ppp2ppp/8/4p3/2Qq4/2N5/PP2PPPP/R1B1KBNR w KQkq -,c4d4 e5d4 c3b5 b8a6 b5d4 f8b4 c1d2 b4d2 e1d2 c7c5,-14
3r2k1/p5pp/4p3/5p2/2r5/b1NpPPP1/1P1R3P/3R2K1 w - -,c3e2 a3c5 g1f2 g7g5 d2d3 d8d3 d1d3 f5f4 f2f1 c5e3,-102
r3kb1r/ppp3pp/3pp1n1/8/4BPb1/2N4P/PPP2qP1/R1B1K1NR w KQkq -,e1f2 g4f5 e4b7 a8b8 b7c6 e8d8 g1f3 b8b6 c6a4 h7h5,484
3q1rk1/p3bppp/1pr1p1n1/2PpP3/5PP1/2Q4P/PPPBN3/2KR3R w - -,e2d4 c6c5 c3d3 e7h4 h1f1 d8d7 c1b1 f8c8 g4g5 a7a5,136
2r5/6k1/p5p1/7p/6PP/P4RK1/5P2/8 w - -,a3a4 h5g4 f3f4 c8c3 g3g4 c3c5 f4d4 c5f5 g4g3 g7h6,8
8/7R/8/6K1/8/6kp/6r1/8 w - -,g5h6 h3h2 h6g7 g2f2 h7h6 g3g2 h6g6 g2f1 g6h6 f1g1,Mate
r6k/bp2q1pp/p1n5/2P2p1b/PPQ1p3/5NPP/1B3PB1/3R2K1 w - -,f3h4 c6e5 c4d5 h5d1 h4f5 a8d8 f5e7 e5f3 g2f3 d8d5,146
8/8/8/6pP/2p2kP1/8/3K4/8 w - -,f3g5 a8e8 h3h4 e4e3 d1f1 h7h6 g2f3 e3f2 g1g2,Mate
r2qk1nr/pp3ppp/2n1p3/3pPb2/3N4/b1P5/PP3PPP/R1BQKB1R w KQkq -,d1a4 a3e7 d4c6 b7c6 a4c6 e8f8 f1a6 a8b8 c1e3 b8b2,-255
rn1q1rk1/pb2ppbp/1p3np1/2p5/4P3/2NBBN1P/PPP2PP1/R2Q1RK1 w - -,f3d2 b8c6 f2f4 c6b4 d3e2 d8c8 a2a3 f8d8 d1c1 b4c6,13
8/4Q3/8/1k3B2/8/8/8/6K1 w - -,d1e2 b8c6 a1d1 c6d4 f3d4 c5d4 d3c4 e7e5 e3g5 d8c7,Mate
2rq1rk1/1p1bppbp/3p1np1/p7/PnBNP3/2N1BP2/1PPQ2PP/2KR3R w - -,c4b3 b4a6 c1b1 h7h5 h2h3 a6c5 g2g4 d8e8 c3b5 b7b6,143
r2r1nk1/pp1bq1pp/2n1pb2/1N1pN3/3P1P2/1P2B1PB/P4R1P/2RQ2K1 w - -,d1d2 a8c8 c1e1 d7e8 e5g4 e7b4 f4f5 b4d2 e3d2 f6d4,88
1k6/p6r/1p4N1/2r1pp1p/4bRp1/1P1p2P1/P2R1K1P/8 w - -,f4e4 f5e4 f2e3 c5c2 g6e5 h7e7 e5c4 b6b5 c4a3 c2d2,-705
r3kb1r/ppp3pp/3pp1n1/5b2/4BP2/2N4P/PPP2KP1/R1B3NR w kq -,e4b7 a8b8 b7c6 e8d8 g1f3 d6d5 g2g4 f5c2 f3g5 d8c8,485
6R1/6b1/1r4k1/7p/5Pp1/6P1/8/6K1 w - -,g1f2 b6b3 f2g2 b3b7 g8d8 g6f5 g2f2 b7b2 f2e3 g7f6,-631
r2qkbnr/ppp1p1pp/2n5/3p4/3P4/3Q4/PPP2PPP/RNB1K1NR w KQkq -,g1f3 e7e6 e1h1 d8d7 f1e1 f8d6 d3e2 c6d8 c2c4 c7c6,92
6k1/q5p1/2p3p1/P2rpp2/8/2P1bQPP/6PK/4R3 w - -,g3g4 e3h6 g4f5 g6f5 f3f5 h6f4 h2h1 d5a5 f5g6 a5a1,-374
3q1rk1/p3bppp/1p2p1n1/2rpP3/3N1PP1/2Q4P/PPPB4/2KR3R w - -,c3d3 d8c7 h3h4 f8c8 h4h5 g6f8 c1b1 c5c4 c2c3 h7h6,142
6k1/p5pp/4p3/5p2/2r5/2NRPPP1/1b5P/6K1 w - -,d3d8 g8f7 c3b5 c4c1 g1g2 c1c2 g2h3 a7a6 b5d4 c2c3,-143
rnbq1rk1/p1p1p1bp/1p1p1np1/5p2/3P4/1P1BPN2/PBP2PPP/RN1Q1RK1 w - -,f1e1 e7e6 b1d2 b8c6 a2a3 c8b7 b3b4 d8d7 e3e4 f6h5,45
1rr3k1/p1qn1ppp/p1p1p3/2P5/4P3/P1R1BP2/1PQ2P1P/1K5R w - -,h1d1 h7h6 f3f4 d7f6 c3d3 b8b7 b1a2 c7e7 f2f3 c8b8,147
r3r2k/3n1R2/pp4Q1/3p4/Pnq5/1NN1b3/1PP4P/6K1 w - -,g1h1 c4f1 f7f1 e8f8 g6h5 h8g7 h5g4 g7h8 g4h3 h8g8,698
8/7R/8/5K2/8/6k1/6rp/8 w - -,h7h2 g3h2 f5e5 g2d2 e5e6 h2g2 e6e5 d2d1 e5f5 d1e1,-9605
8/8/6k1/8/6PP/5NK1/8/3r4 w - -,,0
8/8/3Q4/5B2/2k5/8/8/6K1 w - -,f3e5 g6f6 e5f3 d1a1 g3f4 a1a4 f4g3 a4a5 f3d2 a5a3,Mate
2r1qrk1/p2b2bp/1pnPppp1/2p5/4N3/4B1P1/PP2QPBP/R2R2K1 w - -,a1b1 f6f5 e4c3 c6d4 e2a6 d7c6 a6a7 f8f7 a7b6 c6g2,-106
2k1r3/1pp3p1/p7/8/8/2P2PQP/PP1qp1P1/4R1K1 w - -,,0
r3kb1r/pp3bp1/1qn1p3/1B1pPnPp/3P3P/P1N5/1P2N3/R1BQK2R w KQkq -,e1h1 f5h4 d1e1 h4f5 f1f5 e6f5 e5e6 f7e6 e2f4 e8a8,35
1k6/p6r/1p4N1/2r1p2p/4p1p1/1P1p2P1/P2R1K1P/8 w - -,f2e3 c5c2 g6e5 h7e7 e5c4 b6b5 c4a3 c2d2 e3d2 e4e3,-761
rnb3nr/pppp3p/5q1k/5Qp1/2BPP2P/2P5/P4PP1/RNB1K2R w KQ -,f2e3 c5c2 g6e5 h7e7 e5c4 b6b5 c4a3 c2d2 e3d2 e4e3,Mate
8/8/7P/6p1/2p3k1/8/3K4/8 w - -,f2e3 c5c2 g6e5 h7e7 e5c4 b6b5 c4a3 c2d2 e3d2 e4e3,Mate
rnbq1rk1/1p3pbp/p1pp1np1/4p3/2PPP3/2NBBN1P/PP3PP1/R2QK2R w KQ -,d4e5 d6e5 c3a4 d8a5 f3d2 c6c5 a4c5 b8c6 e1h1 c6d4,109
rnbqkb1r/ppp1pppp/3p1n2/8/5P2/8/PPPPPNPP/QRBBKRN1 w kq -,b2b3 b8c6 g1f3 g7g6 c1b2 f8g7 f2e4 e8h8 e4f6 e7f6,-7
8/6k1/p5p1/6Pp/2r4P/P4RK1/5P2/8 w - -,,0
6k1/1b2bpp1/p3p2p/1p1q4/3B4/4P3/PPBnQPPP/2R3K1 w - -,f2f3 d2c4 c2e4 d5d7 e4b7 d7b7 b2b3 e7a3 c1d1 c4d6,373
6k1/p4p1p/4nbp1/2p1p3/4P3/1B1r3P/P2B1PP1/3R2K1 w - -,b3c2 d3d4 g1f1 f6g5 d2e1 d4c4 c2b3 c4e4 b3e6 f7e6,-38
r2qk1nr/ppp3pp/2nbp3/3p4/3P4/2PQ1N2/PP3PPP/RNB1K2R w KQkq -,d3e2 d8d7 e1h1 g8f6 f1e1 e8h8 e2e6 d7e6 e1e6 f6e4,45
r1b2rk1/ppp2ppp/2np2q1/2b1p1B1/2B1P1n1/2PP1N2/PP3PPP/RN1Q1RK1 w - -,a2a4 a7a5 h2h3 g4f6 g1h2 g8h8 c4b3 c6d8 d3d4 c5b6,-20
2rq1rk1/1p1bppbp/n2p1np1/p7/P2NP3/1BN1BP2/1PPQ2PP/2KR3R w - -,c1b1 a6c5 g2g4 d8e8 h2h4 h7h5 e3h6 c5b3 c2b3 c8c5,142
r1bq1rk1/pp2bppp/2p2n2/4n3/3NN3/2P3P1/PPQ2PBP/R1B2RK1 w - -,f1e1 f8e8 c1g5 f6e4 g5e7 e8e7 e1e4 c6c5 a1e1 c5d4,40
2r5/4r1p1/2p1pk1p/p4p2/3b1P1P/2P5/PP4P1/3RRK2 w - -,,0
2r1rnk1/1b2q1p1/1np1p2p/1p2Pp2/1P1P4/1QN5/4BPPP/2RRN1K1 w - -,e1d3 c8a8 d3c5 b7c8 e2f3 c8d7 c1a1 e8d8 c3e2 d7e8,137
3r4/5pk1/2p5/1p4pp/p3P3/P1P1KP2/7P/2R5 w - -,h2h3 f7f5 c3c4 f5f4 e3e2 d8b8 c4b5 b8b5 c1c6 b5b2,-202
5b2/8/1r4k1/7p/5Pp1/6P1/8/6K1 w - -,h2h3 f7f5 c3c4 f5f4 e3e2 d8b8 c4b5 b8b5 c1c6 b5b2,Mate
rnb3nr/pppp2kp/5q2/5QP1/2BPP3/2P5/P4PP1/RNB1K2R w KQ -,h2h3 f7f5 c3c4 f5f4 e3e2 d8b8 c4b5 b8b5 c1c6 b5b2,Mate
r3r2k/3n1R2/pp4Q1/3p4/Pn6/1NN1b3/1PP4P/5q1K w - -,f7f1 d7e5 g6g3 e3h6 g3h3 h8h7 b3d4 e8g8 d4f5 e5g4,673
8/5p2/p3kP1p/4p2K/4P3/8/P7/8 w - -,h5g4 e6f6 g4h4 f6g6 h4g4 h6h5 g4h4 a6a5 h4h3 g6g5,-972
2r2rk1/p2b1qbp/1pnPppp1/2p5/4N3/4B1P1/PP2QPBP/2RR2K1 w - -,e2d2 g6g5 g3g4 h7h6 e4g3 f6f5 f2f4 g5f4 e3f4 c6d4,-78
r1b5/1pk2ppp/p7/4r3/5P2/8/PPPK2PP/5B1R w - -,h2h4 e5e7 f1d3 c8d7 d3h7 a8d8 h7d3 e7e8 b2b3 d7b5,-529
2r5/4r3/2p1pk1p/p4pp1/3R1P1P/2P5/PP4P1/4RK2 w - -,,0
8/8/8/3Q4/8/3B4/1k6/6K1 w - -,g2g4 g5h4 g4f5 c6c5 d4a4 f6f5 f1f2 e7b7 b2b3 b7d7,Mate
8/7P/8/6p1/2p5/5k2/3K4/8 w - -,g2g4 g5h4 g4f5 c6c5 d4a4 f6f5 f1f2 e7b7 b2b3 b7d7,Mate
r2q1b1r/p1p1pkp1/1p5p/8/8/5P2/PPPP1P1P/R1B2RK1 w - -,d2d4 d8d4 f1e1 e7e6 e1e4 d4d1 g1g2 e6e5 h2h4 f8d6,-687
4k3/5p2/p4P1p/4p3/4P3/6K1/P7/8 w - -,d2d4 d8d4 f1e1 e7e6 e1e4 d4d1 g1g2 e6e5 h2h4 f8d6,Mate
8/6k1/p5p1/6Pp/6rP/PR4K1/5P2/8 w - -,,0
rnbqkb1r/1pp1pppp/3p1n2/p7/1P3P2/8/P1PPPNPP/QRBBKRN1 w kq -,b4b5 e7e5 f4e5 d6e5 a1e5 c8e6 f2e4 b8d7 e4f6 d7f6,15
r2r1nk1/pp1bq1p1/2n1pb1p/1N1pN3/3P1P2/1P2B1PB/P2Q1R1P/2R3K1 w - -,b5c3 a8c8 c1f1 f8h7 c3e2 d7e8 a2a3 e7d6 d2b2 a7a6,82
8/8/6k1/8/5KPP/5N2/8/5r2 w - -,,0
rnbq1rk1/1p3pbp/p1p2np1/4p3/2P1P3/2NBBN1P/PP3PP1/R2QK2R w KQ -,c3a4 d8a5 f3d2 c6c5 b2b4 a5b4 e3c5 b4a5 a1b1 b7b5,121
5k2/8/8/8/8/8/4BB2/4K3 w - -,c3a4 d8a5 f3d2 c6c5 b2b4 a5b4 e3c5 b4a5 a1b1 b7b5,Mate
5k2/1p6/p2p4/r2Bb3/2P5/1Pq2P2/P3Q1PP/5R1K w - -,f3f4 e5f6 e2e6 a5d5 c4d5 a6a5 e6d6 f6e7 d6h6 c3g7,690
2r2rk1/pp2Rpbp/6p1/3q4/3PbB2/2P2N2/P2Q1PPP/R5K1 w - -,f3e5 d5d8 e7d7 d8a5 a1e1 e4d5 h2h4 a5a2 d2a2 d5a2,97
q5k1/1b1n1p2/3N2p1/1P2p2p/PB1pPb2/3Q2NP/5PP1/R1r3K1 w - -,a1c1 d7b6 c1a1 a8f8 a4a5 b6c8 a5a6 b7a8 d6c8 f8c8,619
rn1q1rk1/p3b1pp/1pb1Pp2/3p4/3P4/1P1B1R2/PBPNQ1PP/4R1K1 w - -,a1c1 d7b6 c1a1 a8f8 a4a5 b6c8 a5a6 b7a8 d6c8 f8c8,Mate
4r3/1BR2p1p/5kp1/p4b2/8/1P1p4/P2K1PPP/8 w - -,a2a3 e8e2 d2d1 e2f2 b7f3 f6e5 c7f7 e5d4 f7e7 d4c3,-291
8/7P/8/8/2p3p1/2K2k2/8/8 w - -,a2a3 e8e2 d2d1 e2f2 b7f3 f6e5 c7f7 e5d4 f7e7 d4c3,Mate
3rr1k1/1pp2pp1/p1p1bn1p/8/3pP3/2N1RN1P/PPP2PP1/3R2K1 w - -,e3e1 d4c3 d1d8 e8d8 b2b3 f6h5 g2g4 h5f4 g1h2 g7g5,-813
8/4k3/8/8/3K2N1/2Q5/8/8 w - -,e3e1 d4c3 d1d8 e8d8 b2b3 f6h5 g2g4 h5f4 g1h2 g7g5,Mate
1r1q2k1/pp2n1pp/2n2r2/2pp1bNQ/5P1P/2PP4/PP3PB1/R3RNK1 w - -,f1h2 h7h6 h2g4 f5g4 h5g4 h6g5 h4g5 f6f7 e1e6 g7g6,-77
2r2r1k/p2b1qbp/1pnPppp1/2p5/8/2N1B1P1/PP2QPBP/2RR2K1 w - -,a2a4 e6e5 c3b5 c6d4 e3d4 e5d4 e2e7 g7h6 c1a1 c8e8,-76
r1bq1rk1/pp2bppp/2n1pn2/2pp4/2P2B2/2NP1NP1/PP2PPBP/R2QK2R w KQ -,d3d4 d5c4 d4c5 e7c5 e1h1 h7h6 d1d8 f8d8 a1d1 f6d5,-54
r1b1k2r/pp1pppbp/1qn2np1/2p5/4P3/2PP2P1/PP2NPBP/RNBQK2R w KQkq -,e1h1 d7d6 d3d4 e8h8 h2h3 e7e6 a2a4 c8d7 b2b3 a8d8,42
r1bq1rk1/pp3ppp/2n1pn2/3p4/3NP3/2P3P1/P1P2PBP/R1BQ1RK1 w - -,f1e1 f6e4 d4c6 b7c6 g2e4 d5e4 c1a3 f8e8 e1e4 d8d5,-34
2br1b2/1pk3pp/2pn1p2/4pP2/2P1P1P1/1nN2B2/3B3P/K2R3R w - -,a1b2 b3d2 f3e2 d2e4 c3e4 d6e4 d1d8 c7d8 h2h4 f8c5,-522
r2qkb1r/1p3ppp/2b1p3/pPn1P3/8/PQnB1N2/3N1PPP/R1B2RK1 w kq -,b3c3 c6f3 g2f3 d8d3 c3d3 c5d3 d2c4 e8a8 c1e3 c8b8,52
r1b2rk1/ppQ2ppp/4pn2/4N2q/1bB5/4B3/PPP2PPP/R2R2K1 w - -,d1d8 h7h6 c2c3 f8d8 c7d8 b4f8 e3c5 f6d7 e5d7 c8d7,344
2B5/6B1/8/1k2K3/8/8/8/8 w - -,d1d8 h7h6 c2c3 f8d8 c7d8 b4f8 e3c5 f6d7 e5d7 c8d7,Mate
r2qkb1r/p1p1ppp1/1p5p/6N1/3n4/5Q2/PPPP1PPP/R1B2RK1 w kq -,f3f7 e8d7 f7h5 h6g5 h5h8 e7e6 c2c3 d4e2 g1h1 d8f6,343
2r5/4r3/2pR4/p3ppk1/8/2P5/PP4P1/4RK2 w - -,f1e2 a5a4 b2b4 e7h7 d6e6 e5e4 e1f1 h7h4 e6e5 c8f8,-45
5k2/5ppp/p7/1r1p4/3P1P2/1r5P/4RKP1/R7 w - -,,0
rn2kb1r/ppp2ppp/3p1n2/4p3/4P3/1P1P1P2/PBP2P1P/RN2KB1R w KQkq -,b1c3 b8c6 c3e2 e8a8 e1a1 c8b8 d3d4 c6d4 e2d4 e5d4,20
8/6k1/p5p1/6Pp/r6P/PR5K/5P2/8 w - -,,0
6k1/1b2bp2/p3p1pp/1p1q4/3B2Q1/4P3/PPBn1PPP/2R3K1 w - -,c2g6 e7g5 g6h5 e6e5 d4c3 f7f5 g4g3 d2e4 h5f3 e4g3,464
1R6/2BpK3/1Pb1p3/p3P1k1/3r2p1/8/8/8 w - -,b8f8 g4g3 b6b7 c6b7 c7a5 b7c6 f8g8 g5f4 g8f8 f4e4,-395
r1b1r1k1/pp3pb1/2p2q1p/5P2/4B3/5Q1P/PPP3P1/1K1R2NR w - -,f3b3 e8e4 g2g4 e4e3 c2c3 b7b6 h1h2 c8b7 h2e2 a8e8,-428
7Q/8/8/8/2p5/2K2kp1/8/8 w - -,f3b3 e8e4 g2g4 e4e3 c2c3 b7b6 h1h2 c8b7 h2e2 a8e8,Mate
2rrbnk1/4q1p1/4p2p/1pNpPp2/1P1P1N2/1Q5P/5PP1/R2R2K1 w - -,b3g3 g8h8 a1a6 e8f7 h3h4 g7g5 h4g5 h6g5 f4h3 f8h7,227
2n3k1/6pp/p1N1Np2/3pp3/8/8/2P2PPP/1R4K1 w - -,b1b7 a6a5 b7g7 g8h8 c6d8 c8d6 g7d7 h7h5 d7d6 h8h7,859
2rr3k/p2b1qbp/1pnPppp1/1Np5/8/4B1P1/PP2QPBP/2RR2K1 w - -,e2c4 g7f8 a2a4 h8g7 h2h4 c6e5 c4e2 d7b5 a4b5 c5c4,-58
rnb4r/pppp2kp/5n2/5Q2/2BPP3/2P5/P4PP1/RNB1K2R w KQ -,e2c4 g7f8 a2a4 h8g7 h2h4 c6e5 c4e2 d7b5 a4b5 c5c4,Mate
