rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq -,d1d3 g7g6 e2e4 d5e4 c3e4 b8c6 e4f6 e7f6 f1e2 c8f5,44
rnb1kb1r/pp2pppp/5n2/q1Pp4/8/5NP1/PPP1PP1P/RNBQKB1R w KQkq -,c2c3 a5c5 b2b4 c5b6 f1g2 b8c6 c1e3 b6c7 b4b5 c6a5,25
r1bqk2r/pp1pppbp/2n2np1/8/3P1B2/4PN2/PP3PPP/RN1QKB1R w KQkq -,b1c3 d8a5 f1c4 f6h5 f4g5 h7h6 g5h4 g6g5 h4g3 d7d6,25
r1bqkb1r/pp3ppp/2n1pn2/1Bpp4/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,e4e5 f6d7 d2d3 d7b8 c2c3 a7a6 b5a4 b7b5 a4c2 d5d4,37
rn1qkb1r/pp2npp1/2p1p2p/3pP1B1/3P4/3Q1N2/PPP2PPP/RN2K2R w KQkq -,g5c1 c6c5 c2c3 b8c6 b1a3 c5d4 c3d4 e7f5 a3c2 f8b4,-43
r1bq1b1r/2ppkppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 w - -,a2a4 b5b4 d2d4 d7d6 c2c3 c8g4 c1e3 c6a5 c3b4 g4f3,362
rn1qkb1r/pp3ppb/2p1pn1p/3p4/8/3P1NP1/PPPNPPBP/R1B1QRK1 w kq -,f3e5 a7a5 g1h1 a5a4 e2e4 b8d7 e5d7 d8d7 e1e2 f8e7,-22
rnb1kb1r/pp1npp1p/1q1p2p1/2pPP3/5P2/2N5/P1PB2PP/R2QKBNR w KQkq -,g1f3 d6e5 f4e5 a7a6 f1c4 f8g7 d1e2 b6d8 e1h1 e8h8,179
rnbqk1nr/ppp2ppp/4p3/8/1b1P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3 g8f6 e1h1 e8h8 c3e4 f6e4 d3e4 b8d7 c2c3 b4e7,91
rn1qkbnr/pp1b1ppp/4p3/1Bpp4/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,b5e2 d5e4 f3e5 d8g5 e5g4 g5g6 g4e3 b8c6 d2d3 e4d3,-119
rnbqk2r/pp4bp/2p1pnp1/3p2B1/3P4/2N2N2/PPP2PPP/R2QKB1R w KQkq -,d1d2 c6c5 d4c5 e8h8 h2h4 d8c7 e1a1 c7c5 g5f6 g7f6,96
