1r4k1/1P3p1p/p1R3p1/4b3/3p3P/6P1/5PK1/1R6 w - -,f2f4 b8b7 b1b7 e5g7 c6c8 g7f8 b7b8 g8g7 c8f8 h7h6,1251
rn5r/pk1b1Qpp/2pR4/8/4NB2/8/PPq4p/R6K w - -,c6a6 d4d3 a6a8 g8f8 b1d1 f8e7 a8b8 e5b8 d1d3 f7f5,Mate
r1b1k2r/pppp1ppp/2n2q2/b3p3/4P3/P4N2/1PPP1PPP/R1BQKB1R w KQkq -,b2b4 a5b6 f1c4 d7d6 d2d3 e8h8 e1h1 c6d4 f3d4 b6d4,-25
r1b1k2r/pppp1ppp/1bn2q2/4p3/1P2P3/P4N2/2PP1PPP/R1BQKB1R w KQkq -,f1e2 d7d5 d2d3 d5e4 d3e4 e8h8 c2c3 a7a5 b4b5 c6e7,-79
8/1k6/8/4Q3/1N1K4/8/8/8 w - -,f1e2 d7d5 d2d3 d5e4 d3e4 e8h8 c2c3 a7a5 b4b5 c6e7,Mate
2k2q2/n7/2b5/2N3Q1/8/8/4B3/6K1 w - -,e2a6 c8b8 g5g3 b8a8 a6b7 c6b7 c5d7 b7d5 d7f8 a8b7,9605
rn1qkbnr/pp3ppp/4p1b1/3p4/3P2P1/5N1P/PPP1BP2/RNBQK2R w KQkq -,e1h1 f8d6 c2c4 g8e7 b1c3 b8c6 c1g5 f7f6 g5e3 d8d7,-63
r1b1k1nr/pppp1ppp/2n2q2/2b5/3pP3/5N2/PPP1NPPP/R1BQKB1R w KQkq -,d1d3 h7h6 c1d2 d7d6 e1a1 g8e7 c2c3 c6e5 f3e5 d6e5,-100
r2qkbnr/pp3ppp/2ppb3/1B2P3/3Q4/8/PPP2PPP/RNB1K2R w KQkq -,b5d3 d8a5 b1c3 d6e5 d4e3 g8e7 e1h1 e7f5 e3e1 f8e7,-151
rnb2rk1/ppp1p1bp/3p2p1/8/2qPn3/2N3P1/PP3PBP/R1BQR1K1 w - -,c1e3 e4c3 b2c3 c4f7 d1b3 c7c6 e3g5 e7e6 g5f4 d6d5,-532
rn2kb1r/ppp2ppp/4bq2/4p3/3pP3/6P1/PPPP1PBP/R1BQK1NR w KQkq -,d2d3 b8c6 a2a3 h7h6 g1f3 a7a5 e1h1 a5a4 f3h4 f6d8,-64
r1bqkb1r/pp3ppp/2n1pn2/2p5/2PP4/5N2/PP2BPPP/RNBQK2R w KQkq -,b2b4 c6d4 e1h1 d4e2 d1e2 c5b4 a2a3 d8c7 f1d1 c8d7,-135
1Q6/8/1K2k3/8/3R4/8/1r6/8 w - -,b2b4 c6d4 e1h1 d4e2 d1e2 c5b4 a2a3 d8c7 f1d1 c8d7,Mate
r2qkb1r/1bpn1ppp/pp2pn2/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,c4d5 f6d5 c3d5 b7d5 d1c2 d7f6 c1g5 f8e7 a1c1 d5e4,137
rnbq1rk1/p3ppbp/1p1p1np1/2p5/2PPP3/2NB1N1P/PP3PP1/R1BQK2R w KQ -,e4e5 d6e5 d4e5 f6e8 d3e4 d8d1 e1d1 e8c7 c3b5 b8a6,310
r1bq1rk1/pp3ppp/1bn5/3p4/5B2/P2BPN2/1P3PPP/R2QK2R w KQ -,e1h1 d5d4 e3e4 c8g4 h2h3 g4h5 g2g4 h5g6 a1c1 f8e8,65
rn1qkbnr/ppp2ppp/4b3/3Bp3/4P3/8/PPPP1PPP/RNBQK1NR w KQkq -,d5b7 b8d7 b7a8 d8a8 d2d3 f7f5 e4f5 e6d5 g1f3 g8f6,693
rn1qkbnr/pp3pp1/2p1p2p/3pPb2/3P3P/4B3/PPP2PP1/RN1QKBNR w KQkq -,b1d2 g8e7 d2b3 b8d7 g2g4 f5h7 g1f3 d8c7 c2c3 h6h5,21
r1bqkbnr/pp2pppp/2np4/2P5/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -,b1c3 g8f6 a2a3 e7e6 e2e4 d6c5 d1d8 e8d8 c1f4 a7a6,91
rnbq1rk1/pppp1ppp/5n2/8/2BpP3/5N2/PPPQ1PPP/RN2K2R w KQ -,d2d3 d7d5 e4d5 f8e8 e1f1 c7c5 d5c6 b8c6 b1d2 g7g6,-217
r1bqk1nr/1ppp1pp1/1pn4p/4p3/2B1P3/3P1N2/PPP2PPP/RN1QK2R w KQkq -,d3d4 e5d4 f3d4 g8f6 b1c3 e8h8 d4b5 c6e5 c4b3 d7d5,54
r2qkb1r/ppp2ppp/3p1nn1/3Pp3/4P1b1/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,a2a4 f8e7 a4a5 a7a6 a1a3 h7h6 c1e3 g4d7 f3d2 f6h7,98
rn1qkb1r/pppbpppp/5n2/3P4/2B5/5P2/PPPP2PP/RNBQK1NR w KQkq -,b1c3 c7c6 g1e2 g7g6 e1h1 f8g7 d2d4 e8h8 f1e1 b7b5,130
