rnbqk2r/1pp2ppp/p2bpn2/3pN3/3P4/3BP3/PPP2PPP/RNBQK2R w KQkq -,b2b3 c7c5 c1b2 d8c7 b1d2 b7b5 c2c4 d5c4 b3c4 e8h8,15
rnbqkbnr/pppp3p/6p1/4p3/2B1Pp2/8/PPPPQPPP/RNB1K1NR w KQkq -,d2d4 d7d6 d4e5 d6e5 h2h3 d8f6 g1f3 c8e6 c4e6 f6e6,98
8/2k5/P7/1P6/3p1P2/8/6p1/4K3 w - -,e1f2 d4d3 a6a7 c7b7 f2g2 d3d2 g2g3 d2d1q g3h4 b7a7,-918
8/2k5/P7/1P3P2/8/8/3p1Kp1/8 w - -,f2g2 d2d1q f5f6 d1e2 g2g1 e2b5 f6f7 b5b6 g1h1 b6c6,-1153
8/8/8/2K5/Q4r2/4k3/8/8 w - -,a4c2 f4g4 c2c3 e3f2 c3d2 f2f3 c5d5 g4g8 d2d3 f3g4,192
4Q3/8/8/2K5/4r3/4k3/8/8 w - -,e8d8 e4f4 d8g5 e3e4 c5c4 e4e3 c4d5 e3f3 g5e5 f3g4,186
8/8/8/2K5/r7/4k3/8/8 w - -,e8d8 e4f4 d8g5 e3e4 c5c4 e4e3 c4d5 e3f3 g5e5 f3g4,Mate
8/5k2/8/2N5/3Q4/8/3K4/8 w - -,e8d8 e4f4 d8g5 e3e4 c5c4 e4e3 c4d5 e3f3 g5e5 f3g4,Mate
2rqr1k1/pb2bppp/1pp1pn2/8/2PPN3/1P4P1/P1Q2PBP/R1BR2K1 w - -,c1f4 h7h6 c4c5 f6e4 g2e4 e7f6 f4d6 b6c5 d6c5 c8a8,110
r1b1r1k1/ppp3pp/2n2n2/8/4P3/5N2/PB1N1PPP/R4RK1 w - -,f1e1 c8e6 d2f1 c6b4 b2f6 g7f6 a1b1 b4d3 e1e3 d3c5,9
r1bqk2r/pp2bppp/1np5/4P3/2p3n1/2N1P1P1/PP1N1PBP/R1BQ1RK1 w kq -,b2b3 g4e5 c3e2 c4b3 a2b3 e5d3 c1a3 e8h8 d2e4 d3b4,-60
8/8/8/2NK4/6k1/8/8/5Q2 w - -,b2b3 g4e5 c3e2 c4b3 a2b3 e5d3 c1a3 e8h8 d2e4 d3b4,Mate
8/8/8/2N5/4K3/8/7k/5Q2 w - -,b2b3 g4e5 c3e2 c4b3 a2b3 e5d3 c1a3 e8h8 d2e4 d3b4,Mate
r1b1k2r/pp1nb1pp/2p1p3/8/2p3n1/2N1PNP1/PP3PBP/R1BR2K1 w kq -,h2h3 g4e5 f3d2 e8h8 f2f4 e5f7 d2c4 d7b6 g2f1 b6c4,17
8/2k5/8/2K5/8/P7/8/8 w - -,,0
