rnbqkbnr/pp1ppp1p/6p1/2p5/2P5/3P4/PP2PPPP/RNBQKBNR w KQkq -,e2e4 f8g7 b1c3 b8c6 g2g3 e7e6 f1g2 g8e7 g1e2 d7d6,13
rn1qkb1r/ppp1pppp/8/3n1b2/8/4PN2/PP1P1PPP/RNBQKB1R w KQkq -,e3e4 f5e4 d1a4 d8d7 a4e4 f7f5 e4c2 e7e5 f3e5 d7e6,630
rn2kb1r/ppp1pppp/5n2/3q1b2/8/4PN2/PP1P1PPP/RNBQKB1R w KQkq -,f1e2 b8c6 b1c3 d5d7 e1h1 e7e6 e2b5 f8d6 d2d3 e6e5,102
r1bqkbnr/pp3ppp/2n1p3/2pp4/2P5/2NPP3/PP3PPP/R1BQKBNR w KQkq -,c4d5 e6d5 d3d4 c5c4 c1d2 a7a6 e3e4 d5e4 f1c4 d8d4,-63
r1bqkb1r/pp2nppp/2n1p3/2ppP3/3P2Q1/5N2/PPP2PPP/RNB1KB1R w KQkq -,f1b5 h7h5 g4g5 d8a5 b1c3 c5d4 f3d4 a7a6 b5c6 b7c6,-132
rn1qkb1r/ppp1pppp/5n2/5b2/8/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq -,d1b3 d8c8 d2d4 e7e6 f3h4 f5e4 c3e4 f6e4 h4f3 f8e7,133
rnbqkb1r/1p3ppp/p2p4/3Np3/3NP3/8/PPP2PPP/R2QKB1R w KQkq -,f1e2 e5d4 d1d4 b8c6 d4c3 c8d7 e1a1 a8c8 h1e1 d8a5,-247
r2qkb1r/pppb1ppp/2n5/1B1pp3/3Pn3/5N2/PPP2PPP/RNBQ1RK1 w kq -,d4e5 d7g4 h2h3 g4e6 f3d4 d8d7 b1d2 e4d2 c1d2 a7a6,62
rn1qk2r/pp2ppbp/4bnp1/3p2B1/2PP4/2N2N2/PP3PPP/R2QKB1R w KQkq -,g5f6 g7f6 d1b3 d5c4 f1c4 e6c4 b3c4 e8h8 a1d1 b8c6,-40
r1bq1rk1/pppp1ppp/2n2n2/b7/2BpP3/2P2N2/PP3PPP/RNBQ1RK1 w - -,d1d3 d8e7 f1e1 d4c3 b1c3 c6e5 f3e5 e7e5 h2h3 d7d6,-98
rnb1kbnr/pp1ppppp/8/q7/4P3/2p2N2/PP3PPP/RNBQKB1R w KQkq -,b1d2 c3d2 c1d2 a5b6 d1c2 b8c6 f1c4 c6b4 c2b1 e7e6,-459
r1bqkbnr/1p3ppp/p1n1p3/2pp4/2B1P3/P2P1N2/1PP2PPP/RNBQK2R w KQkq -,c1g5 f7f6 e4d5 e6d5 d1e2 g8e7 g5e3 d5c4 d3c4 c8g4,-524
r1br2k1/1pq1bppp/p1nppn2/8/4PB2/1BN2N2/PP2QPPP/2RR2K1 w - -,f4e3 c7a5 c3a4 a5h5 e3b6 d8f8 b6c7 f6e8 e4e5 e8c7,-36
r1br2k1/1pq1bppp/p1np1n2/3p4/4PB2/1B3N2/PP2QPPP/2RR2K1 w - -,h2h3 f6e4 f3d4 e4f6 b3a4 c8d7 e2e7 c6e7 c1c7 d7a4,-594
r1bqkb1r/pppp1p1p/2n2np1/4p3/4P3/2N2N1P/PPPP1PP1/R1BQKB1R w KQkq -,f1c4 f8g7 d2d3 d7d6 a2a4 c8e6 c4e6 f7e6 e1h1 d8d7,63
rnbqk2r/pp2ppbp/5np1/6B1/2pP4/2N2N2/PP3PPP/R2QKB1R w KQkq -,d1a4 c8d7 a4c4 e8h8 c4b3 h7h6 g5e3 f6g4 f1e2 g4e3,-61
r1bq1rk1/ppp2pp1/2np1n1p/2b1p1B1/2B1P3/3P1N2/PPPN1PPP/R2Q1RK1 w - -,d3d4 c6d4 g5f6 d8f6 f3d4 c5d4 c2c3 d4b6 a2a4 a7a5,-236
rnb1kbnr/pp3ppp/1q2p3/2ppP3/3P1B2/8/PPP2PPP/RN1QKBNR w KQkq -,b2b3 b8c6 g1f3 c5d4 f1d3 f8b4 f4d2 f7f6 d1e2 g8e7,-159
r2qk2r/ppp2ppp/2n1pn2/3p1b2/1b1P1B2/2N1PN2/PPPQ1PPP/R3KB1R w KQkq -,d2d1 f6e4 f1b5 e4c3 b5c6 b7c6 d1d2 c3a2 c2c3 a2c3,-185
r1b1k2r/ppp1qppp/2n1p3/3n4/3P4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,d1d2 c8d7 g2g3 e8a8 f1g2 d5c3 d2c3 e7b4 a1c1 b4c3,50
rnbqkb1r/pp1p1p1p/2p1pnp1/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,c4b3 d7d5 e4e5 f6e4 e1h1 e4c3 b2c3 a7a5 a2a4 c6c5,90
rnbqk2r/1p3ppp/2p2n2/p3p3/Pb2p3/1B1P1N2/1PPB1PPP/RN1QK2R w KQkq -,f3h4 e4d3 d2b4 a5b4 c2d3 e8h8 e1h1 b8a6 b1d2 a6c5,-371
r1bqk2r/2pp1ppp/p1n2n2/2b1p3/p3P3/1B3N2/1PPPQPPP/RNB1K2R w KQkq -,b3f7 e8f7 e2c4 d7d5 c4c5 c8b7 e4d5 d8d5 c5d5 f6d5,91
r2qkb1r/2p1pppp/p1pp1n2/7b/3PP3/2N2N1P/PPP2PP1/R1BQK2R w KQkq -,c1g5 d6d5 e4e5 f6e4 c3e4 d5e4 g2g4 h5g6 f3h4 f7f6,100
rn1qkb1r/pp1bpppp/5n2/1B1pN3/8/8/PPPP1PPP/RNBQK2R w KQkq -,a2a4 a7a6 b5e2 d7f5 d2d4 b8c6 e1h1 e7e6 e5c6 b7c6,-48
r1b1k2r/p1p1qppp/2pb1n2/3pp3/8/1P2PN2/PBPP1PPP/RN1Q1RK1 w kq -,d2d3 e5e4 d3e4 d5e4 b2f6 e7f6 f3d4 e8h8 b1c3 f6e5,-201
rnbqkb1r/ppp1pp1p/3p2p1/8/3PP1n1/2N5/PPP2P1P/R1BQKBNR w KQkq -,h2h3 g4f6 c1e3 c7c6 d1d2 b8d7 g1f3 d8c7 a2a3 f8g7,-88
rnbqk2r/pp1p2pp/2p5/3QPp2/4n3/2N2N2/PPP1KbPP/R1B2B1R w kq -,c3d1 c6d5 d1f2 d8c7 c2c3 e8h8 f2d3 b8c6 c1d2 f8e8,-976
rn1qkb1r/ppp1pp1p/3p1np1/8/3PP1b1/2N5/PPP2P1P/R1BQKBNR w KQkq -,f1b5 b8d7 f2f3 g4h5 b5e2 f8g7 c1g5 c7c5 d4c5 h7h6,-136
8/6K1/8/8/4Q3/8/3p4/5k2 w - -,f1b5 b8d7 f2f3 g4h5 b5e2 f8g7 c1g5 c7c5 d4c5 h7h6,Mate
r1bqkb1r/pp1p1ppp/2n2n2/4p3/8/6B1/PPP1PPPP/RN1QKBNR w KQkq -,a2a3 d8b6 b1d2 b6b2 e2e3 d7d5 g1f3 e5e4 a1b1 b2a3,-203
8/6K1/8/8/8/5Q2/3p4/4k3 w - -,a2a3 d8b6 b1d2 b6b2 e2e3 d7d5 g1f3 e5e4 a1b1 b2a3,Mate
r1bqk1nr/pp2bppp/2n1p3/2p3B1/3pP3/3P1N2/PPP1NPPP/R2QKB1R w KQkq -,h2h4 h7h6 g5e7 g8e7 h4h5 d8b6 d1c1 e6e5 e2g3 a7a5,-117
8/4kp2/4p1p1/2p1r3/PpP5/3R4/1P1K1PP1/8 w - -,g2g4 e5e4 f2f3 e4f4 a4a5 e6e5 d2e2 f4c4 a5a6 c4c2,437
8/6K1/8/8/8/4Q3/3p4/3k4 w - -,f2f3 e5h5 d2c2 h5h1 d3d1 h1h8 c2b3 h8a8 g2g3 g6g5,Mate
rnbq1rk1/p1p2ppp/1p1bpn2/3p4/3P1P2/3BPN2/PPP3PP/RNBQ1RK1 w - -,b1c3 c8b7 b2b3 b8c6 a2a3 c6e7 c3b5 e7f5 b5d6 c7d6,-41
8/4kp2/4p1p1/2p5/PpP1r1P1/3R4/1P1K1P2/8 w - -,f2f3 e4f4 a4a5 e6e5 g4g5 f4h4 a5a6 h4h2 d2e3 h2b2,338
8/4kp2/4p1p1/P1p5/1pP3r1/3R4/1P1K1P2/8 w - -,d2c2 g4g1 f2f4 g1a1 d3g3 a1a5 g3g1 a5a7 g1g5 e7d6,-494
rnbqkb1r/pp2pppp/3p1n2/2p5/1P2P3/P7/2PP1PPP/RNBQKBNR w KQkq -,g1f3 f6e4 c1b2 b8d7 c2c4 e7e5 d2d3 e4f6 b1c3 f8e7,-150
rnbqkbnr/1p1ppppp/p7/8/4P3/2p2N2/PP3PPP/RNBQKB1R w KQkq -,a2a4 c3b2 c1b2 e7e6 f1e2 g8f6 e4e5 f8b4 b1d2 f6d5,-141
8/4kp2/P3p1p1/2p5/1pP4r/3R4/1P1K1P2/8 w - -,d3d8 e7d8 a6a7 d8e7 a7a8q h4c4 d2e3 g6g5 a8b7 e7f6,294
r2q1rk1/1b1nbppp/pppp1n2/4p3/P2PP3/2N2N1P/BPP2PP1/R1BQR1K1 w - -,f3h4 f8e8 h4f5 e7f8 c1g5 h7h6 g5h4 b6b5 d4d5 g7g5,105
r1bqkb1r/pp3ppp/2n2n2/3pp1N1/2BpP3/8/PPP2PPP/RNBQ1RK1 w kq -,c4d5 f6d5 e4d5 d8d5 b1c3 d5d7 c3e4 h7h6 g5f3 f8e7,-325
3k4/5p2/P3p1p1/2p5/1pP4r/8/1P1K1P2/8 w - -,d2e3 d8c7 a6a7 c7b7 a7a8q b7a8 e3d3 a8a7 d3e3 h4c4,-5687
r1bqk2r/pp1p1ppp/2n1p3/2b1P3/6n1/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c1g5 c5f2 e1e2 d8b6 h2h3 g4e5 f3e5 c6e5 c3a4 b6b5,-416
r1bqkb1r/pp1p1ppp/2n1p3/1B1nP3/3p4/2P2N2/PP3PPP/RNBQK2R w KQkq -,a2a4 d4c3 b1c3 a7a6 b5d3 d7d6 e5d6 f8d6 e1h1 d5b4,-91
r1bqk1nr/ppp2ppp/2nb4/4p3/3pP3/5NN1/PPPP1PPP/R1BQKB1R w KQkq -,a2a3 h7h5 h2h4 c8g4 f1e2 d8d7 d2d3 a7a5 c2c3 g7g6,-36
r1bqkb1r/2p1nppp/p1n5/1p1pp1N1/4P3/1B6/PPPP1PPP/RNBQ1RK1 w kq -,e4d5 c6d4 d5d6 d4b3 g5f7 e8f7 d6e7 f8e7 d1f3 f7g6,194
rn1qk2r/ppp2ppp/4p3/3n4/1bPP2b1/5N2/PP2BPPP/RNBQK2R w KQkq -,f3d2 d5f4 e2g4 f4d3 e1e2 d8d4 g4f3 b8c6 f3c6 b7c6,-249
r1bqk2r/ppp2ppp/1bnp4/8/Q1BP4/B4N2/P4PPP/2R2RK1 w kq -,d4d5 e8h8 d5c6 b7c6 c4d3 a8b8 a4e4 f7f5 e4c4 g8h8,474
r1bqkbnr/pp1ppppp/2n5/4P3/3p4/8/PPP2PPP/RNBQKBNR w KQkq -,f1e2 d7d6 e5d6 e7e5 g1f3 f8d6 c2c3 g8e7 e1h1 e8h8,-219
rn1qk2r/ppp2ppp/4p3/3n4/2PP2b1/5N2/PP1bBPPP/RN1QK2R w KQkq -,e1d2 d5f4 b1c3 b8c6 d4d5 e6d5 c4d5 f4d5 d2e1 d5c3,-442
r1bq1rk1/pp2bppp/2n2n2/2P5/3p4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,b2b4 d4c3 b4b5 c6b4 c5c6 d8b6 a2a3 f8d8 d1b3 b4d5,-492
8/8/8/3k4/8/8/3KP3/8 w - -,b2b4 d4c3 b4b5 c6b4 c5c6 d8b6 a2a3 f8d8 d1b3 b4d5,Mate
r1bqkbnr/pp1ppp1p/6p1/1B6/3pP3/2N5/PPPP1PPP/R1BQK2R w KQkq -,e1h1 d4c3 d2c3 f8g7 f1e1 d8c7 b5a4 e7e6 d1d3 g8f6,-328
r1bqkbnr/p2p1ppp/1p2p3/8/2BQP3/8/PPP2PPP/RNB1K2R w KQkq -,b1c3 c8b7 c1e3 a8c8 e1a1 a7a6 c4b3 g8f6 f2f3 f8c5,110
rnbqkbnr/pppp1p2/8/6pp/3PPp2/5N2/PPP3PP/RNBQKB1R w KQkq -,h2h4 g5g4 f3g5 f7f6 c1f4 d7d6 b1c3 f6g5 f4g5 f8e7,75
r1b1k2r/pp1p1ppp/1qn1p3/2b1P3/4N1n1/5N2/PPP2PPP/R1BQKB1R w KQkq -,f3d4 c5d4 d1g4 d4e5 e4d2 d7d5 g4d1 e8h8 f1e2 e5f6,-266
