4rrk1/5ppp/p1p5/1p6/3P1bb1/1BP4q/PPQN1P1P/R1B2RK1 w - -,a2a3 b4a6 a1b1 b8b1 h1b1 a6c5 b1b8 g8f7 e6c5 e7c5,Mate
r2qnrk1/pb1nbppp/1pp1p3/3p4/2PP1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,b2b3 e8d6 d1d3 b7a6 d3c2 d5c4 f4d6 e7d6 b3c4 d6e7,30
2r2k2/1p1nppbp/p1rpb1p1/8/2P1P1P1/1PN1BP2/P2KB2P/2R4R w - -,c3d5 d7c5 h2h4 h7h6 d2c2 a6a5 c2b1 c6a6 h1d1 f8e8,44
r1bqk1nr/1ppp1ppp/2n5/p3p3/2P5/P1bP1N2/1P2PPPP/R1BQKB1R w KQkq -,d1d2 c3d2 c1d2 d7d6 d3d4 e5d4 e2e3 g8f6 e3d4 e8h8,-778
7r/1k1nb3/3qb2B/2p1p1p1/1pPnP3/1P1N4/3NBPPQ/R4K2 w - -,d2f3 d4f3 g2f3 e6f7 a1a5 h8h6 h2g1 e7d8 a5b5 b7c8,-342
r1bq1rk1/pp3ppp/2np4/2b5/2B2Bn1/2P2N2/PP3PPP/RN1Q1RK1 w - -,b2b4 c8e6 b1a3 d8f6 f4g3 d6d5 b4c5 d5c4 a3b5 g4h6,46
8/8/8/kPK3R1/8/5r2/8/8 w - -,,0
7k/6p1/7p/8/4Q3/1q3K2/6R1/7r w - -,f3f2 b3f7 f2g3 f7c7 g3f3 c7c3 f3f2 c3c5 f2g3 h1f1,-440
rn1q1rk1/1bpn2bp/pp1p2p1/3Ppp2/P3P3/2NQB2P/1PPNBPP1/3R1RK1 w - -,e4f5 g6f5 f2f4 e5e4 d3c4 a6a5 d2b3 b7a6 c3b5 g7b2,99
2q2rk1/5pbp/1r1p2p1/2pP4/2p1P3/4BP2/1PQ3PP/R4RK1 w - -,a1a2 c8b7 c2c4 g7b2 h2h3 f8b8 g1h1 b7e7 a2a6 b2g7,-81
r2qr1k1/1p3pbp/p1np2p1/2p5/2P1b3/5N1P/PPQ1BPP1/R1B2RK1 w - -,e2d3 c6b4 d3e4 b4c2 e4c2 b7b5 c1g5 d8c7 a1d1 g7b2,-489
r1bq2k1/ppp3bp/2np2p1/3N4/2P1P2r/3nNP2/PP1B2BP/R2Q1RK1 w - -,,0
7r/1k1nb3/3qb2B/2p1p1p1/1pP1P3/1P1N1n2/4BPPQ/R4K2 w - -,g2f3 e6f7 f1g2 h8h6 h2g3 f7e6 a1h1 h6h1 g2h1 d7b8,-330
r2q1rk1/3n1pp1/p1p1pn1p/1p3b2/P2P1B2/1QP1PN2/4BPPP/R3R1K1 w - -,f3e5 d7e5 f4e5 d8e7 f2f3 f6d7 e3e4 f5g6 e5g3 e6e5,115
8/2k5/1p3Kp1/3p3b/1P1N1P2/2P5/8/8 w - -,f6g5 c7d6 d4f5 d6c6 f5e7 c6d6 e7g6 h5e2 f4f5 e2c4,494
r1b1kb1r/ppp2ppp/2q5/8/4p3/2P5/PP1P1PPP/RNBQ1RK1 w kq -,b2b4 c8e6 d2d3 e4d3 d1d3 f8d6 b1a3 e8h8 c1e3 f8d8,-143
3r1rk1/ppQ1nppp/4b2q/1P2P3/3p1n2/P2B1N2/3N1PPP/2R1R1K1 w - -,d3f1 d8d7 c7a5 b7b6 a5a4 e7g6 c1c6 d4d3 g2g3 f4h3,-56
8/8/4k1p1/2r5/2p3KP/8/8/2R5 w - -,c1e1 e6d5 g4g5 c5c6 e1d1 d5e4 h4h5 g6h5 g5h5 c4c3,-471
r2q1rk1/3nbppp/3pb3/p3p1Pn/1p2P3/1N2BP2/PPPQN2P/1K1R1B1R w - -,b3c1 f7f6 h2h4 d7b6 e3b6 d8b6 f1h3 e6f7 g5f6 h5f6,-56
8/8/1k6/4K1N1/2B5/8/8/8 w - -,c4d5 b6c7 g5e6 c7b6 e5d4 b6b5 d4c3 b5a4 e6d4 a4a3,20000
r1bqk1nr/1ppp2pp/2n5/p3pp2/2P5/P1PP1N2/4PPPP/R1BQKB1R w KQkq -,d3d4 d7d6 a3a4 g8f6 e2e3 e8h8 c4c5 e5e4 f3d2 d6c5,-22
7r/1k1nbb2/3q3B/2p1p1p1/1pP1P3/1P1N1P2/4BP1Q/R4K2 w - -,h2g3 h8h6 f1g2 f7e6 a1h1 h6h1 g2h1 d7b8 g3e5 d6e5,-354
r2q1rk1/pp1nbppp/6b1/4p3/2pPPB2/2P5/PP1QB1PP/R1N1R1K1 w - -,f4g3 e7g5 d2d1 g5e3 g1h1 d7f6 e2c4 e5d4 c3d4 e3d4,-121
rn2kbnr/1bqp1ppp/p3p3/8/Pp1NP3/3BB3/1PP2PPP/RN1Q1RK1 w kq -,b1d2 g8f6 a1c1 b8c6 d1e2 f8e7 c2c3 b4c3 c1c3 e8h8,59
r3kb1r/1p2pp1p/2b3p1/2Pn4/1P6/5N2/P2B1PPP/RN1K3R w kq -,b1c3 f8g7 c3d5 c6d5 a1c1 a8a2 h1e1 e8h8 e1e2 f8d8,-303
1rb2rk1/p3p2p/1p1q1ppQ/2p5/2Rn4/3P1NP1/PR2PPBP/6K1 w - -,h2h4 c8e6 f3d4 e6c4 d4c6 c4f7 c6b8 f8b8 h4h5 d6e5,-237
8/3k4/1p2NKp1/3p3b/1P3P2/2P5/8/8 w - -,e6d4 d7c7 f6g5 c7d6 d4f5 d6c6 f5e7 c6b5 e7g6 h5e2,551
1r1q1rk1/p1p1bppp/3p1n2/2p4b/Q2PP3/5N1P/PP1N1PP1/R1B1R1K1 w - -,d4c5 f6d7 c5d6 e7d6 a4a7 d8f6 a7e3 f8e8 d2c4 d6b4,76
r2q1rk1/ppp2ppp/2np1n2/2b1p3/2B1P1b1/PQ6/1PPPNPPP/RNB2RK1 w - -,d2d4 g4e2 c4e2 c6d4 b3d3 a7a5 b1c3 c7c6 d3d1 f8e8,-182
r1bq2k1/ppp4p/2np2p1/3Nb3/2P1Pn1r/4NP2/PPQ3BP/R3BRK1 w - -,c2d2 f4g2 e3g2 e5h2 g1f2 h4h5 g2f4 h5h6 f1h1 h2g3,-143
rnb1k2r/bpqp1pp1/p3pn2/8/4PP1p/1NNB4/PPP3PP/R1BQ1R1K w kq -,e4e5 f6h5 c3e4 d7d5 e4g5 g7g6 d1g4 h5g7 g4h3 h8h5,134
r1bq1rk1/pp3ppp/1bnp4/8/1PB2Bn1/2P2N2/P4PPP/RN1Q1RK1 w - -,d1d6 a7a5 b4b5 d8d6 f4d6 f8d8 d6g3 c6e7 b1d2 c8f5,80
r7/2pPkpp1/7p/2b1P3/2B2P2/6P1/6KP/1R6 w - -,c4d5 a8d8 d5c6 h6h5 g2h3 g7g6 b1c1 c5e3 c1c3 e3d4,231
rk2r3/1pp2N1p/2n5/p4Q2/3p4/8/PPP2PPP/R5K1 w - -,g2g3 a5a4 a2a3 e8e7 a1d1 a8a5 f5h7 a5c5 g1g2 e7e2,738
8/p4pkp/4b1p1/1p6/2p1B3/P1R1P1P1/1P3PKP/3r4 w - -,h2h3 a7a5 c3c2 b5b4 a3b4 a5b4 f2f4 b4b3 c2f2 h7h5,-234
r2q1rk1/5pp1/p1p1pn1p/1p2nb2/P2P1B2/1QP1P3/4BPPP/R3R1K1 w - -,a4b5 e5g6 b5a6 g6f4 e3f4 a8a7 e2f3 d8c7 b3c4 f8b8,-216
r2q1rk1/pb1nbppp/1p2pn2/2pp4/2PP1B2/1PNQ1NP1/P3PPBP/R4RK1 w - -,c4d5 f6d5 c3d5 e6d5 a1c1 d7f6 f1d1 f8e8 e2e3 h7h6,27
r5rk/1p5q/2p1pb2/P2p4/1P1Pp2p/4P2P/1B2QPR1/6RK w - -,,0
5N2/8/1p1k1Kp1/3p3b/1P3P2/2P5/8/8 w - -,f8g6 d5d4 c3d4 d6d5 f6g5 h5e2 f4f5 d5d4 f5f6 e2c4,425
q4rk1/4bppp/2bp1n2/1p2p3/4P3/1PP2N2/3N1PPP/2BQR1K1 w - -,d1e2 f8b8 e2d3 e7f8 h2h3 b5b4 c1b2 b4c3 b2c3 b8c8,-96
r1bqkb1r/1p3ppp/p1nppn2/2p5/P3PP2/1B1P4/1PP3PP/RNBQK1NR w KQkq -,g1f3 c6a5 b3a2 b7b5 e1h1 b5b4 d1e1 f8e7 e4e5 f6d5,3
5k2/p4p1p/4b1p1/1p6/2p1B3/P1R1P1P1/1P3PKP/3r4 w - -,h2h3 a7a5 c3c2 b5b4 e4f3 d1b1 a3b4 a5b4 c2d2 b4b3,-259
r1bqkb1r/pp2pppp/2n5/8/1n6/3B4/PPP1NPPP/RNBQK2R w KQkq -,b1c3 e7e5 c1e3 c8e6 a2a3 b4d3 c2d3 f7f5 f2f4 f8e7,-37
r4rk1/pp3ppp/8/2qp1b2/4n3/3BP3/PBQ2PPP/R4RK1 w - -,c2c5 e4c5 d3f5 g7g6 f5h3 f7f5 g2g3 a8c8 h3g2 f8d8,436
2q2rk1/5pbp/3p2p1/2pP4/2Q1P3/4BP2/1r4PP/R4RK1 w - -,a1a2 b2a2 c4a2 c5c4 h2h4 c4c3 h4h5 g6h5 a2f2 c8c4,-78
r5rk/1p6/2p1pb2/P2p1q2/1P1Pp1Rp/4P2P/1B2QP2/6RK w - -,g4g8 a8g8 g1g8 h8g8 h1g2 g8f7 e2g4 f6d8 b2c3 f7e8,-13
r3k2r/ppp2ppp/2qbb3/8/8/2PQ4/PP3PPP/RNB1R1K1 w kq -,d3d4 e8a8 d4h4 e6d5 c1e3 h8e8 b1d2 e8e6 h4g4 h7h5,-146
r2q1rk1/pp1n1ppp/6b1/4p1b1/2pPP3/2P3B1/PP1QB1PP/R1N1R1K1 w - -,d2g5 d8g5 e2c4 e5d4 c3d4 a8c8 c4b3 g6e4 e1e4 c8c1,-556
r1bqk2r/pppp1ppp/2n5/b2QP3/2B5/2n2N2/P4PPP/RNB2RK1 w kq -,d2g5 d8g5 e2c4 e5d4 c3d4 a8c8 c4b3 g6e4 e1e4 c8c1,Mate
2k5/6b1/2K5/5P2/8/8/8/2B5 w - -,c1g5 g7c3 c6d6 c8b8 d6d7 b8a7 d7e6 a7a6 g5f4 c3b4,852
1r4k1/p5pp/2p1Nb2/2P2p2/1RP5/2K4P/P4P2/R7 w - -,e6d4 f6d4 c3d4 b8b4 a2a3 b4b3 d4e5 b3h3 e5d6 h3h6,110
2r2k2/1p1nppbp/p1rp2p1/3b4/2P1P1P1/1P2BP2/P2KB2P/2R4R w - -,e4d5 c6c7 h2h4 a6a5 h4h5 a5a4 b3a4 c8a8 e2d1 a8c8,49
8/8/4k3/6pr/2R4P/6K1/8/8 w - -,,0
8/8/1p1k1KN1/7b/1P1p1P2/2P5/8/8 w - -,c3d4 d6d5 f6g5 h5e2 f4f5 e2b5 g6e7 d5d4 f5f6 b5c4,598
r1bqkbnr/ppp2ppp/2n1p3/8/3P4/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,a2a3 g8f6 f1d3 a7a6 d1e2 b7b5 a3a4 b5b4 c3e4 f8e7,98
r1bqkb1r/1p3ppp/p2ppn2/n1p5/P3PP2/1B1P1N2/1PP3PP/RNBQK2R w KQkq -,,0
4r1k1/5ppp/p1pb4/1p1n4/3P4/2P2QPq/PP1N1P1P/R1B1rRK1 w - -,b2b3 d6f4 f3g2 h3g2 g1g2 e1c1 g3f4 c1c3 f4f5 d5f4,-239
r2q1rk1/pb1nbppp/1p2p3/2pn4/3P1B2/1PNQ1NP1/P3PPBP/R4RK1 w - -,c3d5 e6d5 a1c1 d7f6 f1d1 f8e8 e2e3 a8c8 f4e5 g7g6,29
rnbqkbnr/pp3ppp/2p5/3p4/8/1PNpP3/PBP2PPP/R2QKBNR w KQkq -,d1d3 g8f6 e1a1 d8a5 e3e4 f8a3 g1f3 e8h8 e4d5 f8d8,34
rn2k2r/1bqp1ppp/p3pn2/2b5/Pp1NP3/3BBQ2/1PPN1PPP/R4RK1 w kq -,f1c1 c5d6 c2c3 b4c3 c1c3 b8c6 f3h3 d6f4 d2c4 e8h8,85
8/1p2kp2/3pq3/2p1p1p1/p1P1P1Pr/PnBP1Q1P/1P3P2/1K5R w - -,b1c2 f7f6 c2d1 e6g8 d1e2 g8b8 f3e3 b7b5 c4b5 b8b5,6
rk6/1pp1rN1Q/2n5/p7/3p4/8/PPP2PPP/R5K1 w - -,g1f1 b8a7 h7f5 b7b6 f7g5 a5a4 f5d5 a7b7 g5e6 e7e6,738
rnb1k2r/p1p1qppp/1p2p3/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R w KQkq -,a1c1 e4f6 c4d5 e6d5 f1b5 c7c6 f3e5 c8b7 b5a4 e8h8,63
2r2k2/1prnppbp/p2p2p1/3P4/2P3P1/1P2BP2/P2KB2P/2R4R w - -,h2h4 a6a5 f3f4 a5a4 b3a4 d7c5 e3c5 d6c5 c1b1 c8a8,36
1rbq1rk1/p3pp1p/3p2p1/1p2bP2/1p2P1P1/3P3P/PPP3B1/R1BQ1RK1 w - -,d3d4 e5g7 c1e3 e7e6 d1f3 e6f5 g4f5 d8f6 a2a3 b4b3,84
8/8/1p1k1KN1/8/1P1P1P2/8/8/3b4 w - -,f4f5 d6d5 f6g7 d1a4 f5f6 a4e8 g6e7 d5e6 d4d5 e6e5,724
2kr3r/ppp2ppp/2qbb3/8/8/2PQ4/PP1N1PPP/R1B1R1K1 w - -,d3f1 h8e8 e1e2 a7a5 f1e1 e6d5 e2e8 d8e8 e1f1 a5a4,-240
r2q1rk1/pp1n1ppp/6b1/8/2ppP3/2P1b1B1/PP2B1PP/R1NQR2K w - -,e2f3 d7c5 c3d4 e3d4 d1e2 c4c3 b2b4 c5e6 c1b3 d8e7,-269
r2q1rk1/3n1pp1/p3pn1p/1p3b2/3P1B2/1QP1PN2/4BPPP/R3R1K1 w - -,c3c4 b5c4 e2c4 a6a5 f3d2 d7b6 c4e2 b6d5 f4g3 a5a4,69
r2q1rk1/p2nbppp/1p2p3/2pb4/3P1B2/1P1Q1NP1/P3PPBP/R4RK1 w - -,a1d1 d7f6 d4c5 e7c5 f4e5 f6e4 f3e1 f7f5 d3a6 d8c8,28
r1bqk2r/pppp1pp1/2n2n1p/4p1N1/1b1PP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,g5h3 d7d5 e4d5 f6d5 c1d2 e8h8 d4e5 c8h3 g2h3 d5c3,-285
8/8/kP6/2K3R1/8/5r2/8/8 w - -,,0
r1bqk2r/1ppp2pp/2n2n2/p3pp2/2P5/P1PP1NP1/4PP1P/R1BQKB1R w KQkq -,a1b1 d7d6 c1g5 h7h6 g5f6 d8f6 f1g2 e8h8 e1h1 a8b8,-36
r1br2k1/pp3ppp/1bnB4/8/1PB3n1/2P2N2/P4PPP/RN3RK1 w - -,d6g3 a7a5 b4b5 c6e7 b1d2 g4f6 f1e1 e7d5 a1c1 a5a4,66
r2q1rk1/Q1p1bppp/3p1n2/2p4b/3PP3/5N1P/PP1N1PP1/R1B1R1K1 w - -,a7b7 d8d7 b7b3 c5d4 f3d4 h5g6 d4f5 f8e8 f5e7 e8e7,58
rk1N4/1pp4r/2n5/p7/3p4/8/PPP2PPP/R5K1 w - -,d8c6 b7c6 a1d1 c6c5 c2c3 h7d7 c3d4 c5d4 g2g4 c7c5,-546
r2q1rk1/pb1nbppp/1p2p3/2p5/3PPB2/1P1Q1NP1/P4PBP/R4RK1 w - -,e4e5 d8c7 f1d1 f8d8 d3e2 d7f8 f4e3 a8c8 a1c1 c7b8,-16
rnb1k2r/2qpbppp/p3pn2/1p6/4P3/PNN5/1PP1BPPP/R1BQ1RK1 w kq -,e2f3 b8c6 c3d5 e6d5 e4d5 e8h8 d5c6 d7c6 f1e1 f8d8,7
r1b1kb1r/pp2nppp/2n1p3/q2p2B1/2BNP3/2P5/PP3PPP/RN1QK2R w KQkq -,d4b5 c6e5 c4e2 f7f6 b5d6 e8d7 b2b4 a5c7 d6b5 c7b8,91
r1bqk2r/pp3p1p/2n1pnp1/2bp4/2P1P3/2NB1P2/PP4PP/R1BQK1NR w KQkq -,g1h3 d5e4 d3e4 d8d1 e1d1 f6e4 c3e4 c5e7 c1g5 e6e5,-74
5k2/1R6/5K2/5P2/8/5r2/8/8 w - -,g1h3 d5e4 d3e4 d8d1 e1d1 f6e4 c3e4 c5e7 c1g5 e6e5,Mate
r5k1/pp3ppp/2pPr3/8/3P4/B6P/P1n2PP1/1R1R2K1 w - -,a3c5 b7b6 d1d2 b6c5 d4c5 c2a3 b1b3 a3c4 d2d4 e6e1,14
8/8/1p3K2/3kN3/1P1P1P2/8/8/3b4 w - -,f4f5 d1c2 f6g5 d5d4 f5f6 d4e5 f6f7 c2d3 f7f8q b6b5,636
r2q1rk1/pp3ppp/5nb1/8/2BbP3/6B1/PP4PP/R1NQR2K w - -,d1b3 f6e4 c1e2 e4d2 b3b4 d2c4 a1d1 d8b6 b4c4 d4b2,-219
rnb2rk1/2qpbppp/p3pn2/1p6/4PP2/PNN5/1PP1B1PP/R1BQ1RK1 w - -,e4e5 f6e8 e2f3 b8c6 c1e3 d7d6 d1e2 c8b7 e3f2 a8c8,14
rnbq1rk1/2p1ppbp/p4np1/1p2p1B1/3P4/2N2N2/PPP1BPPP/R2Q1RK1 w - -,d4e5 f6g4 a2a4 c8b7 a4b5 a6b5 a1a8 b7a8 e5e6 f7e6,102
r1bqk2r/2p1bppp/1pn1pn2/3p2B1/3P4/P1N5/1P2PPPP/R2QKBNR w KQkq -,e2e3 e8h8 g1f3 h7h6 g5h4 c6a5 f1d3 c7c5 a1c1 c8a6,-33
r7/1p5k/2p1pb2/P2p4/1P1Pp1Rp/4P2P/1B3P2/6K1 w - -,,0
rn1qkbnr/2p2ppp/bp2p3/3p4/P2P4/8/1P2PPPP/RNBQKBNR w KQkq -,g2g3 f8b4 c1d2 b4e7 g1f3 g8f6 e2e3 a6f1 e1f1 e8h8,-55
r4rk1/1Qpqbppp/3p1n2/2p4b/3PP3/5N1P/PP1N1PP1/R1B1R1K1 w - -,b7b3 c5d4 f3d4 h5g6 d4f5 g6f5 e4f5 d6d5 b3d3 c7c5,44
8/8/kPK5/6R1/8/2r5/8/8 w - -,,0
8/4K3/1p6/4N3/1P1k1P2/8/8/3b4 w - -,e5d7 d4e4 d7b6 d1e2 b6d5 e4d5 f4f5 e2c4 f5f6 d5c6,18
8/8/4k3/6r1/2R5/6K1/8/8 w - -,,0
rk5N/1pp4r/2n5/p7/3p4/8/PPP2PPP/R5K1 w - -,h8g6 a8a6 a1d1 a6b6 b2b3 c6b4 g6e5 c7c5 g2g3 b6e6,-653
r2q1rk1/pb1nbppp/1p6/2pp4/4PB2/1P1Q1NP1/P4PBP/R4RK1 w - -,f1e1 d5e4 e1e4 b7e4 d3e4 d7f6 e4c2 d8e8 f3e5 a8c8,-158
r2k3r/pb1n3p/1pqNQbp1/8/3P1B2/2PB4/P5PP/5RK1 w - -,d6f7 d8c8 f7d6 c8d8 d3e4 c6e4 d6e4 b7e4 e6e4 a8c8,582
r3k2r/pp1nbppp/1qn1p3/3p4/3P1B1N/2PpPPP1/PP1N3P/R1Q1K2R w KQkq -,h4g2 g7g5 c1b1 g5f4 g2f4 e7g5 f4g2 e8a8 e1h1 h7h5,-282
r7/7k/1pp1pb2/P2p4/1P1Pp1Rp/4P2P/1B3P2/5K2 w - -,,0
8/4q1k1/2p3pn/p3p3/rbQpP1pP/1N1P2P1/2P3KN/5R2 w - -,f1d1 c6c5 c4d5 g7h7 b3d2 b4d2 d1d2 a4b4 d2f2 h7g7,-45
r2q1rk1/5pp1/pn2p2p/1p1n1b2/3P4/1QP1PNB1/4BPPP/R1R3K1 w - -,f3d2 f5g6 c3c4 b5c4 d2c4 b6c4 c1c4 d8d7 c4c5 f8c8,118
8/4K3/1pN5/8/1P2kP2/8/8/3b4 w - -,e7d6 e4f4 d6c7 f4e4 c7b6 e4d5 c6e7 d5d4 e7f5 d4c3,4
5r1k/3b2p1/p2Rpq1p/2Q5/3Pp3/P7/BP2K1PP/8 w - -,c5c2 f6f2 e2d1 f2f1 d1d2 f1g2 d2c3 f8f3 c3b4 g2c2,-1505
8/8/4k3/8/6r1/6K1/8/8 w - -,,0
r1bq1rk1/1pp2ppp/p1n2n2/1B1p4/3P4/2P2N2/P1Q2PPP/R1B1R1K1 w - -,b5c6 b7c6 f3e5 f8e8 c1g5 e8e6 e1e3 h7h6 g5h4 d8d6,5
r4rk1/1ppb1p1p/1n2p1p1/p3b3/P2q4/1B3Q1P/1PPN1PP1/R1B1R1K1 w - -,h3h4 d7c6 f3h3 e5f4 c2c3 d4g7 h3g4 e6e5 g2g3 f4h6,-96
rnbqk2r/pp3pp1/2p1pn1p/b2p4/2PP1B2/1QN1PN2/PP3PPP/R3KB1R w KQkq -,f1d3 e8h8 e1h1 a5c7 f4c7 d8c7 f3e5 d5c4 b3c4 b7b6,75
r3k2r/pp1nbp1p/1qn1p3/3p2p1/3P1B2/2PpPPP1/PP1N2NP/R1Q1K2R w KQkq -,f4g5 e7g5 c1b1 e8a8 e1h1 h7h5 b1d3 c8b8 a2a4 b6c7,-279
1r6/1p2kq2/3p1p2/2p1pQp1/p1P1P1P1/PnBP1P1P/1P6/1K5R w - -,,0
rn1qr1k1/4pp1p/3p2pB/1NpPb3/P3P3/8/1PQ2PPP/R3R1K1 w - -,h6d2 d8b6 a1b1 b8a6 b2b3 e8b8 e1c1 e5g7 g2g3 h7h5,156
1rb2rk1/p3p2p/2nq1ppQ/1pp5/2R5/3P1NP1/PR2PPBP/6K1 w - -,c4e4 f8f7 h6c1 e7e5 a2a4 a7a6 e4h4 c8e6 f3d2 f6f5,-214
r1bqkb1r/4nppp/p1npp3/1p6/4PP2/1NN1B3/PPP3PP/R2QKB1R w KQkq -,d1f3 a8b8 e1a1 d8c7 f1d3 g7g6 g2g4 f8g7 h2h4 h7h5,100
r1bq1rk1/pp2bppp/2n1p3/3nP3/8/2NB1N2/PP3PPP/R1BQ1RK1 w - -,d1c2 g7g6 a2a3 d8b6 f1e1 d5c3 b2c3 f8d8 h2h4 c8d7,78
2b2r1k/3nNppp/1q2p3/1Nnp4/8/4PP2/1Q2B1PP/1R4K1 w - -,b5c3 b6d6 e7c8 f8c8 c3b5 d6f8 b1c1 h8g8 b5d4 h7h6,-111
6k1/ppp5/7p/3rp3/P2b4/8/7P/n2K4 w - -,b5c3 b6d6 e7c8 f8c8 c3b5 d6f8 b1c1 h8g8 b5d4 h7h6,Mate
r2q1rk1/pp3ppp/5nb1/8/2B1P3/b5B1/P3N1PP/1R1QR2K w - -,d1b3 d8a5 e2c3 a8e8 c4d3 a3c5 g3h4 f6g4 e1e2 g4e5,-147
8/4b2k/1rp1p3/3p4/1P1Pp2p/2B1P2P/5P2/5KR1 w - -,f2f3 e7b4 c3b4 b6b4 g1g4 b4b1 f1g2 b1b2 g2f1 e4f3,-4
2r2rk1/1pq1pp1p/p2p2p1/n2P4/6P1/1PB1PN1P/2Q2PB1/5RK1 w - -,f1c1 b7b5 c2d1 c7b6 f3d4 b5b4 c3d2 c8c1 d1c1 f8a8,324
r1b1k2r/5ppp/2p1pn2/pPbp4/Q4B2/P1N1P3/1qP1NPPP/R3K2R w KQkq -,a1b1 c6b5 b1b2 b5a4 c3a4 c5a7 e2c3 c8d7 a4b6 a7b6,-21
r3k2r/pp1n1p1p/1qn1p3/3p2b1/3P4/2PpPPP1/PP1N2NP/R1Q1K2R w KQkq -,f3f4 g5e7 c1b1 h7h5 b1d3 e8a8 e3e4 b6b2 e1h1 d7c5,-303
r2q1rk1/6p1/pn2pp1p/1p1nNb2/3P4/1QP1P1B1/4BPPP/R1R3K1 w - -,e5f3 d8d7 f3d2 f5g6 e3e4 d5e7 f2f3 f6f5 b3a3 e7c6,111
8/7k/1rp1p3/3p4/1b1Pp2p/2B1P2P/4KP2/6R1 w - -,,0
5r1k/1b1nNppp/1q2p3/1Nnp4/8/4PP2/2Q1B1PP/1R4K1 w - -,b5d4 b6d6 e2b5 b7a6 b5a6 d6a6 e7c6 h7h6 c2c1 f8a8,-119
r2q1rk1/pR3ppp/6b1/8/2B1n3/b5B1/P3N1PP/3QR2K w - -,b7d7 d8c8 d1a4 c8e8 c4b5 e4g3 h2g3 e8e3 a4d4 e3h6,-179
1q3rk1/5pbp/Q2p2p1/2pP4/4P3/4BP2/1r4PP/R4RK1 w - -,a1a3 h7h5 h2h3 b8b4 e3f4 b4d4 g1h1 g7e5 f4e5 d4e5,-91
8/7k/1rp1p3/b2p4/3Pp2p/2B1P2P/4KP2/1R6 w - -,b1b6 a5b6 f2f3 h7g6 f3e4 d5e4 c3b4 e6e5 b4c5 b6d8,-19
rnbq1rk1/2p1ppbp/p2p2pn/1p2P1B1/3P4/2N2N1P/PPP1BPP1/R2Q1RK1 w - -,f1e1 c8b7 e2d3 f7f6 e5f6 e7f6 g5d2 b8d7 a2a4 b5a4,124
1q4r1/1k1nb1p1/2n2p1p/2p1p3/1pP1P1Q1/1P1NB2P/3N1PP1/R5K1 w - -,g4d7 b8c7 d7d5 g8a8 a1a8 b7a8 d3c5 g7g6 c5d7 g6g5,644
1r6/4kq2/3p1p2/1pp1pQp1/p1P1P1P1/PnBP1P1P/1P5R/1K6 w - -,b1c2 b5b4 h3h4 b8h8 h4h5 b4c3 b2c3 e7d8 f3f4 e5f4,-243
5Bk1/8/1bP5/7K/8/8/8/8 w - -,f8c5 b6a5 h5g6 a5d8 c5e7 d8a5 g6f6 g8h7 f6e6 h7g6,9605
8/7k/1bp1p3/3p4/3Pp2p/2B1P2P/4KP2/8 w - -,f2f3 e4f3 e2f3 h7g6 e3e4 g6g5 c3d2 g5h5 d2e3 h5g6,-12
rnbqkb1r/pp4pp/2p1pn2/5pB1/3PpN2/2N5/PPP2PPP/R2QKB1R w KQkq -,f1c4 f8d6 f4e6 d8e7 d4d5 c8e6 d5e6 d6e5 d1d2 b8a6,64
1r3rk1/p3p2p/1pnqbppQ/2p5/2R5/3P1NP1/PR2PPBP/6K1 w - -,c4c2 f8c8 h2h4 c8d8 c2c3 b8c8 a2a4 c6b4 c3c1 d6d7,-262
1r5r/5pk1/p1pp1n1p/q4B2/3P3Q/1P3N2/2PK1PP1/7R w - -,b3b4 a5f5 h4g3 f5g6 g3g6 f7g6 h1a1 b8a8 c2c4 h8e8,-506
r1bqk2r/pp1pppbp/2n3pn/4P3/2Bp4/2P2N2/PP3PPP/RNBQK2R w KQkq -,c3d4 d7d6 e5d6 h6f5 d4d5 f5d6 c4e2 c6a5 b1c3 e8h8,-29
r4rk1/2pqbppp/3p1n2/7b/3pP3/1Q3N1P/PP1N1PP1/R1B1R1K1 w - -,f3d4 h5g6 b3b5 c7c5 b5d7 f6d7 d4f5 g6f5 e4f5 e7f6,51
1B6/8/8/8/8/4K3/3N4/7k w - -,e3f3 h1g1 d2e4 g1h1 b8d6 h1g1 e4g3 g1h2 d6c7 h2h3,9605
r3k2r/3b1ppp/4pn2/pNbp4/Q4B2/P3P3/1qP1NPPP/R4RK1 w kq -,e2c3 e8h8 a4b3 b2b3 c2b3 f8c8 a1c1 f6e8 f1d1 c5e7,-43
1r1q1rk1/pb2ppbp/3p2p1/1p3P2/1p1PP1P1/4B2P/PPP3B1/R2Q1RK1 w - -,d1d2 a7a5 f1f2 d8d7 a1f1 b8c8 h3h4 a5a4 g1h2 a4a3,92
rqr3k1/1p2bpp1/1B2b2p/p2np3/B5P1/1N3P2/PPP2Q1P/1K1R3R w - -,b3c1 a8a6 b6e3 b7b5 a4b3 b8b7 g4g5 h6g5 h1g1 d5e3,-262
3N2k1/6pp/2p5/p1P2p2/1KP5/7P/P4P2/b7 w - -,b4a5 g7g5 d8c6 g8f7 a5b5 g5g4 h3g4 f5g4 a2a4 h7h5,471
