8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
rnbq1rk1/pp2b1pp/2pppn2/8/4P3/2N2N2/PPP1BPPP/R1BQK2R w KQ -,e4e5 d6e5 d1d8 e7d8 f3e5 d8c7 e5d3 b8a6 c1f4 c7f4,36
r4rk1/pp1b2pp/3qpp2/3n4/2B5/1P6/PB2QPPP/R3R1K1 w - -,a2a4 f8e8 a1d1 a8d8 e2g4 a7a6 h2h4 d6f4 g4f4 d5f4,-11
R7/8/2k5/8/8/pr6/3K4/8 w - -,,0
r3r1kb/1p1bpp2/p1np1npB/q7/3NP1P1/2N2P2/PPPQ4/2KR1B1R w - -,d4b3 a5d8 d2h2 c6e5 h6f4 h8g7 f4e5 d6e5 g4g5 f6h5,274
8/6p1/5p1k/1PQ3p1/4p3/7P/3r1PPK/8 w - -,b5b6 d2b2 c5d6 b2b3 d6c7 h6g6 b6b7 f6f5 c7d6 g6h7,888
2r5/p1r1kp2/bp2pn1Q/q2Pb3/8/P4P2/1P4PP/1B1RR1K1 w - -,d5e6 e5b2 g2g4 a5c5 g1h1 c5f2 e6f7 a6e2 f7f8q c8f8,-391
8/4k3/4n1p1/2K5/q7/2Q2P2/8/8 w - -,d5e6 e5b2 g2g4 a5c5 g1h1 c5f2 e6f7 a6e2 f7f8q c8f8,Mate
8/2b4p/4kp2/p2p1N2/3Pp1P1/4P3/2r4P/R4K2 w - -,h2h4 e6d7 h4h5 c2c4 f1e2 a5a4 e2d2 d7c6 f5e7 c6d6,-198
2R5/1k6/8/8/8/pr6/3K4/8 w - -,,0
8/6pk/1P3p2/2Q3p1/4p3/7P/3r1PPK/8 w - -,c5b4 e4e3 b6b7 d2d8 b4e4 h7h6 f2e3 d8f8 h2g3 g7g6,704
2kr3r/1p3pp1/p1qbpn1p/7P/2P5/2B2NP1/PP2QP2/2KR3R w - -,f3d4 c6e4 f2f3 e4e2 d4e2 b7b5 c4b5 a6b5 c1c2 e6e5,26
r3r1kb/1p1b1p2/p1nppnpB/q7/3NP1P1/2N2P2/PPP4Q/2KR1B1R w - -,d4b3 a5d8 h6f4 h8g7 f4d6 e8e7 d6f4 e6e5 f4h6 d8f8,530
r1b1k2r/pp1n1p2/1qn1p2p/2bpP1p1/3N1P2/1NP5/PP2B1PP/R1BQ1RK1 w kq -,e2h5 a7a5 f4g5 c6e5 h5f7 e5f7 d1h5 e8h8 b3c5 b6c5,435
r4rk1/pbq1bppp/1p2p3/2p1N3/3PnP2/2P2Q2/PP3BPP/R3R1K1 w - -,d4c5 e4c5 f3g4 f7f6 e5f3 f6f5 g4g3 c5e4 e1e4 b7e4,-502
8/4k3/1K2n1p1/8/3q4/2Q2P2/8/8 w - -,d4c5 e4c5 f3g4 f7f6 e5f3 f6f5 g4g3 c5e4 e1e4 b7e4,Mate
2n2rk1/1pp2pp1/p6p/P3r2b/7B/2P2B1P/5PP1/R2q1RK1 w - -,h4g3 d1d3 g3e5 h5f3 g2f3 d3f3 f1e1 f3c6 e5g7 g8g7,-604
r1bq1rk1/pp3ppp/8/3pP3/3P4/b2Q4/P1P1N1PP/R4RK1 w - -,d3a3 c8g4 a1e1 d8d7 e2g3 b7b5 h2h3 g4e6 e1e3 a7a5,43
2kr3r/1pp2ppp/p1n5/8/1n1P1B2/1P3B2/1P3PPP/R4RK1 w - -,d4d5 b4d5 f4d2 c6d4 f3d1 h8e8 g2g3 c8b8 a1a5 e8e6,-175
2r2rk1/5ppp/3b4/2pb4/p2qQ3/P5P1/1P1N1P1P/R1B1R1K1 w - -,e4d4 c5d4 d2f1 d5b3 c1f4 d6f4 g3f4 d4d3 e1e4 f8d8,-188
8/4k3/1K4p1/8/3n4/5P2/8/8 w - -,e4d4 c5d4 d2f1 d5b3 c1f4 d6f4 g3f4 d4d3 e1e4 f8d8,Mate
r2q1rk1/1p1bbppp/n2p1n2/p2Pp3/4P3/P4NP1/1PQN1PBP/1RB1R1K1 w - -,b2b4 b7b5 d2f1 a5b4 a3b4 d8c7 c2d1 f8c8 c1d2 c7c2,-15
8/2Bn3p/p1p2p1k/1p2pP2/P5K1/5P2/8/8 w - -,g4h3 b5a4 h3g2 a4a3 c7a5 h6g5 a5c3 a3a2 g2f2 c6c5,-945
2k5/8/2KB4/7B/8/8/8/8 w - -,g4h3 b5a4 h3g2 a4a3 c7a5 h6g5 a5c3 a3a2 g2f2 c6c5,Mate
8/1P4pk/5p2/2Q3p1/4p3/7P/1r3PPK/8 w - -,c5f5 h7h6 f5e4 f6f5 e4e6 g7g6 e6e7 f5f4 h3h4 b2b7,671
r2q1rk1/pp2ppbp/1nnpb1p1/8/4PPPP/1NN1B3/PPP1B3/R2QK2R w KQ -,f4f5 e6c4 e3b6 c4e2 b6d8 e2d1 d8e7 g7c3 b2c3 f8e8,8
2r2rk1/5ppp/3b4/3b4/p2p4/P5P1/1P1N1P1P/R1B1R1K1 w - -,d2f1 d5b3 c1f4 d6f4 g3f4 d4d3 e1e4 f8d8 f1d2 c8c2,-219
r1bqr1k1/4ppbp/p5p1/1ppnP3/8/2PBP2P/PPQN1PP1/2K1R2R w - -,h3h4 b5b4 c3c4 b4b3 c2b3 d5b4 d3e4 a8b8 f2f4 d8c7,-375
rn1qkbnr/pp1b1ppp/4p3/1Bpp4/3P4/4P3/PPPB1PPP/RN1QK1NR w KQkq -,b5e2 c5d4 e3d4 f8d6 g1f3 b8c6 e1h1 g8f6 c2c4 d5c4,-36
8/2b4p/4kp2/p2p1N2/3Pp1P1/4P3/2r5/R6K w - -,h1g1 c2c4 f5g7 e6f7 g7f5 a5a4 g1g2 f7e6 f5g7 e6e7,-416
r2q1rk1/pp3ppp/8/3pP3/3P2b1/Q7/P1P1N1PP/R4RK1 w - -,e2g3 b7b5 h2h3 g4e6 g3h5 g8h8 a3g3 f8g8 c2c3 a7a5,75
8/8/5kp1/3K4/8/5n2/8/8 w - -,e2g3 b7b5 h2h3 g4e6 g3h5 g8h8 a3g3 f8g8 c2c3 a7a5,Mate
r4rk1/p4ppp/1pp1p3/4Q3/PKN5/5qP1/1P1R3P/5B1R w - -,e5e3 f3h1 f1g2 h1a1 g2c6 a8c8 d2d6 a1b1 b4b3 f8d8,24
2Q5/1P4pk/5p2/6p1/4p3/7P/5PPK/1r6 w - -,e5e3 f3h1 f1g2 h1a1 g2c6 a8c8 d2d6 a1b1 b4b3 f8d8,Mate
2r5/p1r1kp2/bp2pn1Q/2qPR3/8/P4P2/1P4PP/1B1R2K1 w - -,e5e3 f6d5 h6h4 e7e8 h4h8 e8d7 h8c3 c5c3 b2c3 c7c5,-475
r2qk2r/1p1nn1p1/p3Q3/1BbN3p/7P/8/PPP2P2/R1B1K2R w KQkq -,h1g1 h8f8 g1g7 a6b5 c1g5 d8a5 g5d2 a5d2 e1d2 e8a8,526
r3r1kb/1pqb1p2/p1nppnpB/8/4P1P1/1NN2P2/PPP4Q/2KR1B1R w - -,h6f4 h8g7 f4d6 c7b6 d6c5 b6d8 e4e5 c6e5 c3e4 e8e7,634
1rQ5/6pk/5p2/6p1/4p3/7P/5PPK/8 w - -,f1e2 c6e7 h6g5 h8g7 h2h4 d6d5 c1b1 c7e5 f3f4 e5c3,Mate
2qr1rk1/1b3pp1/ppn1pb1p/2p5/2P5/PPQP1NB1/4BPPP/1R2R1K1 w - -,f3e5 a6a5 h2h3 b7a8 e2f1 c8b7 c3c1 c6d4 b3b4 c5b4,-104
1Q6/6pk/5p2/6p1/8/4p2P/5PPK/8 w - -,f3e5 a6a5 h2h3 b7a8 e2f1 c8b7 c3c1 c6d4 b3b4 c5b4,Mate
r3nk1r/1p3p2/2q1p1p1/p2p1b2/P2P1N1p/2N2P2/1PPQ2PP/2R1R1K1 w - -,c3b5 e8d6 c2c4 d5c4 e1e5 d6b5 e5b5 h4h3 d4d5 c6d6,28
1r1q1rk1/bppb1ppp/p4n2/2P1P3/1P1p4/P2P2PP/6BK/R1BQ1R2 w - -,e5f6 g7f6 g2e4 f8e8 d1h5 e8e4 d3e4 d8e7 c1h6 b8e8,387
r1bqr1k1/4ppbp/p5p1/1pp1P3/4Pn2/2PB3P/PPQN1PP1/2K1R2R w - -,d3f1 c5c4 c1b1 g7e5 e1d1 d8b6 g2g3 f4e6 f2f4 e5g7,-553
r1bqk2r/pp1p1ppp/8/n2Pb3/3p4/2P5/PP3PPP/RNBQ1RK1 w kq -,b2b4 d4c3 d1e2 d7d6 f2f4 c8g4 e2e4 d8b6 c1e3 g4f5,-127
8/8/5kp1/4n3/4K3/8/8/8 w - -,b2b4 d4c3 d1e2 d7d6 f2f4 c8g4 e2e4 d8b6 c1e3 g4f5,Mate
2n2rk1/1pp2pp1/p6p/P6r/7B/2P2P1P/5P2/3R1RK1 w - -,h4g3 h5a5 d1b1 b7b6 g3c7 a5g5 g1h2 b6b5 f1d1 g5c5,-190
r3r1k1/1pqb1pb1/p1nppnp1/8/4PBP1/1NN2P2/PPP4Q/2KR1B1R w - -,f4d6 c7d6 d1d6 b7b5 f1d3 e8c8 c1b1 a6a5 d3b5 c6e5,633
r1bqk2r/ppppbpp1/2n4p/4P3/2BP4/5N2/PP3PPP/RN1QK2R w KQkq -,d4d5 e7b4 b1c3 c6e7 d5d6 e7c6 a1c1 c7d6 e5d6 b4c3,110
r1r5/4nkpp/3p1p2/pR1Pp3/Q1PqP3/7P/2B2PP1/5RK1 w - -,b5b7 a8a7 f1b1 c8c7 b7a7 d4a7 c2d1 e7g6 d1h5 c7c5,75
r4rk1/pp3ppp/1q6/3pP3/3P2b1/Q5N1/P1P3PP/R4RK1 w - -,f1f4 b6g6 a1f1 a8c8 c2c3 a7a6 g3f5 g4f5 f4f5 b7b5,75
1r1qnrk1/bppb1ppp/p7/2P1P3/1P1pN3/P2P2PP/6BK/R1BQ1R2 w - -,c1g5 f7f6 d1h5 f8f7 e5f6 g7g6 h5h4 d7f5 a1e1 d8d7,482
1Q6/6pk/8/5pp1/8/4P2P/6PK/8 w - -,d1h5 d8e7 e4g5 h7h6 g2d5 d7e6 g5e6 f7e6 f1f8 g8f8,Mate
r3r1kb/1p1b1p2/p1np1npB/q2p4/3NP1P1/5P2/PPP4Q/2KR1B1R w - -,h6d2 h8g7 d2a5 c6a5 d4f5 g6f5 g4g5 f6e4 f3e4 e8e4,365
r4rk1/pp3ppp/4p3/2p1Q3/PKN5/5qP1/1P1R3P/5B1R w - -,b4c5 b7b6 c5b5 a7a6 b5b6 a8b8 b6c5 f3h1 e5e2 f8c8,-127
4r1k1/1p1q1pp1/2p4p/4P3/p1Pb1Pn1/P1N3P1/1B4KP/2R1Q3 w - -,h2h3 g4f2 g3g4 f2d3 e1d2 d3c1 b2c1 b7b5 c3e4 e8d8,-376
r4rk1/pp3ppp/6q1/3pP3/3P1Rb1/Q5N1/P1P3PP/R5K1 w - -,a1f1 a8c8 c2c3 b7b5 g3f5 g4f5 f4f5 a7a6 h2h4 h7h6,89
1Q6/6p1/6k1/5pp1/8/4P1KP/6P1/8 w - -,a1f1 a8c8 c2c3 b7b5 g3f5 g4f5 f4f5 a7a6 h2h4 h7h6,Mate
r4rk1/1pb2ppp/p5q1/2Npn3/1P6/PQ2P1Pb/1B2BP1P/R2R2K1 w - -,d1d5 f8e8 a1d1 a8c8 b2e5 c7e5 c5d7 e5b8 e2d3 g6e6,198
r2qk2r/1p1nb1p1/p3Q3/1B1p3p/7P/2N5/PPP2P2/R3K2R w KQkq -,h1g1 e8f8 b5d7 h8h6 e6f5 f8g8 c3d5 g8h8 f5f7 e7f6,535
2qr1rk1/1b2bpp1/ppnppn1p/2p5/2P1P3/PPNP1NB1/4BPPP/1R1QR1K1 w - -,d3d4 c5d4 f3d4 d6d5 e4d5 e6d5 e2f3 d5c4 f3c6 d8d4,-27
8/8/8/4n1p1/8/6k1/8/6K1 w - -,d3d4 c5d4 f3d4 d6d5 e4d5 e6d5 e2f3 d5c4 f3c6 d8d4,Mate
r3qrk1/ppp1n2p/3pb1p1/8/4P3/1PN1Q3/PB3PPP/R4RK1 w - -,c3e2 e8d7 f2f4 d7b5 f4f5 e6f5 e4f5 e7f5 e3d2 a8e8,396
2n2rk1/1pp2pp1/p6p/r7/8/2P2PBP/5P2/3R1RK1 w - -,g1g2 a5c5 d1d7 c8b6 d7c7 c5c7 g3c7 b6c4 f1d1 a6a5,-360
8/7p/pppB1p1k/2n1pP2/6K1/5P2/P7/8 w - -,g1g2 a5c5 d1d7 c8b6 d7c7 c5c7 g3c7 b6c4 f1d1 a6a5,Mate
2r3k1/1q2ppbp/p5p1/3p4/3B4/1PnQ1P2/P2R2PP/5RK1 w - -,d3e3 g7d4 e3d4 f7f6 f3f4 b7b5 f1e1 g8f7 d2d3 b5c5,108
r3r1k1/1p1b1pb1/p1np1np1/3p4/3NP1P1/5P2/PPPR3Q/2K2B1R w - -,d4f5 d7f5 e4f5 g6g5 f1d3 c6e5 d3e2 a6a5 f3f4 a5a4,430
5Q2/6p1/6k1/6p1/5p2/4P1KP/6P1/8 w - -,d4c6 d7c6 h2h4 e8e5 g4g5 f6h5 e4d5 c6d5 f1c4 d5c4,Mate
5Q2/6p1/6k1/8/5p2/6KP/6P1/8 w - -,d4c6 d7c6 h2h4 e8e5 g4g5 f6h5 e4d5 c6d5 f1c4 d5c4,Mate
2rqnrk1/1p2b1pp/3p4/p2Ppb2/8/PP1nRNP1/QB1N1PBP/2R3K1 w - -,c1c4 e8c7 c4c3 d3b2 a2b2 c7d5 c3c8 d8c8 e3e1 c8c3,-110
8/2k5/8/8/7P/5K2/8/8 w - -,c1c4 e8c7 c4c3 d3b2 a2b2 c7d5 c3c8 d8c8 e3e1 c8c3,Mate
r2q1rk1/pp1bppbp/2np2p1/8/2P1P3/2NBN3/PP1Q1PPP/R3K2R w KQ -,e1h1 a7a5 f2f4 a5a4 a2a3 c6a5 a1d1 d7c6 g1h1 a5b3,-32
8/3k4/8/7P/8/5K2/8/8 w - -,e1h1 a7a5 f2f4 a5a4 a2a3 c6a5 a1d1 d7c6 g1h1 a5b3,Mate
rnbqkbnr/pp1p1ppp/8/8/1p1pP3/2P5/P4PPP/RNBQKBNR w KQkq -,d1d4 b8c6 d4d1 g8f6 a2a3 d8a5 c1b2 b4a3 b1a3 f6e4,-193
8/4k3/7P/8/8/5K2/8/8 w - -,d1d4 b8c6 d4d1 g8f6 a2a3 d8a5 c1b2 b4a3 b1a3 f6e4,Mate
2r5/4nkpp/3p1p2/r2Pp3/Q1PqP3/7P/2B2PP1/5RK1 w - -,,0
8/8/8/4n1p1/8/7k/8/6K1 w - -,a4a5 c8c4 c2d1 d4e4 a5d8 c4c3 d1h5 g7g6 h5f3 e4b4,Mate
r2q1rk1/1pp1nppp/p1nb4/3p1b2/3P4/NPP2N1P/P3BPP1/R1BQ1RK1 w - -,f3h4 f5e4 a3c2 f7f5 c2e1 h7h6 f2f4 c6b8 e1d3 b8d7,-22
2r5/p1r1kp2/bp2p2Q/2qn4/8/P3RP2/1P4PP/1B1R2K1 w - -,g1f2 c5e3 h6e3 d5e3 f2e3 c7c1 e3d2 c1d1 d2d1 c8g8,-556
4r1k1/1p1q1pp1/2p4p/4P3/p1Pb1P2/P3n1P1/1B4KP/2RNQ3 w - -,e1e3 d4e3 d1e3 d7d2 g2h3 d2e3 c1c2 g8h7 c4c5 e8d8,-738
7B/1P6/8/2p4p/2P3b1/8/5K2/1k1q4 w - -,e1e3 d4e3 d1e3 d7d2 g2h3 d2e3 c1c2 g8h7 c4c5 e8d8,Mate
2rqnrk1/1p2b1pp/3p4/p1nPpb2/8/PP3NP1/QB1N1PBP/2R1R1K1 w - -,g2f1 c5d3 f1d3 c8c1 b2c1 f5d3 b3b4 g8h8 a2b3 d3g6,-37
2n2rk1/1ppR1pp1/p6p/2r5/8/2P2PBP/5P2/5RK1 w - -,f1b1 b7b5 d7c7 c5c7 g3c7 f8e8 b1d1 g8h7 f3f4 e8e6,-229
8/5k1P/8/8/8/5K2/8/8 w - -,f1b1 b7b5 d7c7 c5c7 g3c7 f8e8 b1d1 g8h7 f3f4 e8e6,Mate
r2q1rk1/1p1bppbp/2np2p1/p7/2P1P3/2NBN3/PP1Q1PPP/R4RK1 w - -,d3c2 c6d4 c2a4 d7c6 a1d1 d4e6 a4c6 b7c6 c3a4 d8c7,-37
2r5/4ppkp/pq4p1/8/3p4/1PnQ1P2/P1R3PP/5R1K w - -,f1e1 b6d6 e1c1 d6f6 b3b4 e7e5 h2h3 h7h5 a2a4 c8c6,-6
r4k1r/1p3p2/2qnp1p1/pN1p1b2/P2P1N1p/5P2/1PPQ2PP/2R1R1K1 w - -,d2e3 d6b5 e3e5 f8g8 a4b5 c6c4 b2b3 c4c3 h2h3 a5a4,40
r1bqk2r/ppp1bpp1/2n2n1p/4p3/3P4/2NBBp1P/PPP2PP1/R2QK2R w KQkq -,c3e4 e5d4 e3f4 f3g2 h1g1 e7b4 f4d2 c8e6 d1f3 b4d2,-586
r2qk2r/pp1nbppp/4pn2/2pp4/3P4/4PN2/PPPBQPPP/RN2K2R w KQkq -,e1h1 e8h8 c2c4 c5d4 f3d4 d5c4 e2c4 a8c8 c4e2 d8b6,-29
r2q1rk1/1bp1bppp/1pn2n2/3p4/P2P4/5NP1/P2NPPBP/R1BQ1RK1 w - -,d2b1 f6e4 c1b2 d8d6 b2a3 d6d7 a3e7 d7e7 d1c2 a8a5,-10
8/1r5R/2k5/8/8/5K2/7P/8 w - -,d2b1 f6e4 c1b2 d8d6 b2a3 d6d7 a3e7 d7e7 d1c2 a8a5,Mate
r4rk1/1ppb2p1/p1n5/P3ppBQ/2qp3R/2P4P/1P3PP1/R5K1 w - -,f2f4 c4e6 a1e1 e5e4 c3d4 c6e7 d4d5 e7d5 e1d1 d7c6,-198
8/4nkpp/3p1p2/Q2Pp3/2rqP3/7P/2B2PP1/5RK1 w - -,c2d1 d4e4 a5b6 c4c3 d1h5 g7g6 h5f3 c3f3 g2f3 e4d5,-4
r2q1rk1/1pp2ppp/p1nb2n1/3p1b2/3P4/1PP2N1P/P1N1BPP1/R1BQ1RK1 w - -,c3c4 f8e8 f1e1 f5e4 e2d3 h7h6 c4d5 e4d5 e1e8 d8e8,-29
r4rk1/1pb2ppp/p5q1/2Np4/1P3Pn1/PQ2P1Pb/1B2B2P/R2R2K1 w - -,d1d5 h7h6 b2d4 c7b6 e2f3 g4f6 d5e5 h3f5 a1e1 a8d8,160
r4k1r/1p3p2/2qnp1p1/pN1p4/P2P3p/3b1P2/1PPQ2PP/2R1R1K1 w - -,,0
8/1k6/8/8/8/5K2/7P/8 w - -,c2d3 c6b6 d2f4 d6b5 a4b5 f8g7 f4e5 g7h7 c1c5 h8f8,Mate
r2q1rk1/1p1bppbp/3p2p1/p7/2PnP3/2N1N3/PPBQ1PPP/R4RK1 w - -,c2a4 d7a4 c3a4 d8e8 a4c3 b7b5 c4b5 d4b5 c3e2 e8c6,-31
1rb2rk1/2qp1ppp/pp1bp1n1/8/P2BP3/6P1/1PPN1P1P/R2QRBK1 w - -,c2c3 d6e7 d1e2 d7d6 e2c4 c7b7 b2b4 g6e5 c4e2 b7c7,37
4r1k1/1p1q1pp1/2p4p/4P3/p1P2P2/P3N1P1/1b4KP/2R1Q3 w - -,g2f3 b2c1 e1c1 d7d3 c1b2 d3b3 b2d2 b3a3 g3g4 a3c5,-421
rn1k3r/1bqp2p1/1p3p1n/p6B/3P4/P1P2Q2/2P2P2/1RB1KR2 w - -,f3d3 b8c6 c3c4 c6e7 d4d5 h6f5 h5e2 c7c5 c1e3 f5e3,-420
r2q1rk1/1pp2ppp/p1nb2n1/3p4/3P4/1PPb1N1P/P1N2PP1/R1BQ1RK1 w - -,c2e3 d3f1 d1f1 c6e7 h3h4 g6f4 c3c4 c7c6 e3g4 f4h5,-553
r1b1k2r/pp1nbpp1/1q2p2p/3pP3/3P1P2/1N6/PP2B1PP/R1BQ1RK1 w kq -,c1e3 a7a5 a2a4 d7b8 f1f3 c8d7 b3c5 e7c5 d4c5 b6b4,121
8/3r4/1R1P2P1/5k2/8/1P3K2/2r5/3R4 w - -,f3e3 f5g6 e3d4 g6g7 d4d5 d7d8 b6b7 g7f6 b3b4 c2c3,496
r1bqkb1r/pp1n1ppp/2p1p3/3p3n/2PP1B2/4PN2/PP2BPPP/RN1QK2R w KQkq -,f4g5 f8e7 g5e7 d8e7 e1h1 e8h8 b1c3 h5f6 a1c1 h7h6,40
3q1rk1/rbp1bppp/1pn2n2/3p4/P2P4/4PNP1/P2N1PBP/R1BQ1RK1 w - -,d2b1 f6e4 c1a3 b7a6 f1e1 e7b4 f3d2 f7f5 d1b3 a6c4,28
7B/8/8/2p4p/2P3b1/4Q3/2k2K2/3q4 w - -,a2a3 d8a8 d2b1 a7a4 b1c3 a4a5 a3a4 f6e4 c1b2 c6b4,Mate
r2q1rk1/pb3ppp/1pnbp3/2p5/3Pp3/2PB1NB1/PP2QPPP/R3K2R w KQ -,e2e4 g7g6 a1d1 c5d4 f3d4 d8d7 d3a6 b7a6 d4c6 e6e5,2
r2q1rk1/pp2bppp/2n1b3/3pP3/3P4/3B1Q2/P1P1N1PP/R1B2RK1 w - -,c2c3 a7a6 e2f4 d8a5 f3g3 g7g6 d3g6 f7g6 f4e6 f8f1,344
r1bqr1k1/4pp1p/p5p1/1pp1b3/4Pn2/2PB3P/PPQN1PP1/2K1R1R1 w - -,d3f1 c5c4 c1b1 e5g7 g1h1 c8b7 h3h4 d8b6 g2g3 f4h5,-587
rnbqk2r/ppp4p/4pnp1/b2p4/1P1P2Q1/2P5/P4PPP/RNB1KBNR w KQkq -,g4h4 a5b6 f1d3 e8h8 g1f3 a7a5 b4b5 e6e5 f3e5 b8d7,95
2r5/p6p/1b2kp2/3p4/3Pp2N/4P3/6PP/R5K1 w - -,g2g4 a7a5 g1f1 c8a8 a1a4 b6c7 h2h3 c7d6 f1e2 e6d7,-243
8/8/6n1/8/8/8/5Kpk/8 w - -,g2g4 a7a5 g1f1 c8a8 a1a4 b6c7 h2h3 c7d6 f1e2 e6d7,Mate
2r5/4ppkp/p4qp1/8/3p4/1PnQ1P2/P1R3PP/4R2K w - -,,0
rn1k3r/1b1p2p1/1p3p1n/p2Pq2B/8/P1P2Q2/2P2P2/1RB1KR2 w - -,e1d1 b7d5 f3e2 h6f7 h5f7 e5e2 d1e2 d5f7 f1g1 f7c4,-545
5rk1/1pB1npp1/p6p/8/8/2P2P1P/5P2/5RK1 w - -,,0
8/8/6n1/8/8/5K2/7k/6q1 w - -,c7d6 f8e8 f1e1 g8f8 c3c4 a6a5 c4c5 a5a4 e1b1 f8g8,Mate
r1bqk2r/ppppbppp/n4n2/3P4/2B1P3/P4N2/1P3PPP/RNBQK2R w KQkq -,e4e5 f6e4 d1e2 f7f5 e1h1 d7d6 c4b5 c8d7 e5e6 d7b5,322
8/3r4/1R1P2P1/5k2/8/1P2K3/6r1/3R4 w - -,e3d4 f5e6 d4c5 g2c2 c5b5 c2b2 b3b4 b2g2 b6b8 g2c2,565
rn1qkb1r/pp2ppp1/2p2n1p/6Nb/8/5N2/PPPPBPPP/R1BQ1RK1 w kq -,g2g4 f6g4 g5e6 d8d6 e6f8 h8f8 c2c4 b8d7 d2d4 e8a8,-170
r1b2rk1/pp1n1p2/1qn1p2p/2bpP1pB/3N1P2/1NP5/PP4PP/R1BQ1RK1 w - -,b3c5 b6c5 f4g5 c6e5 d1e1 c5e7 e1g3 g8h8 c1f4 h6g5,437
8/p6p/1b2kp2/3p4/3Pp1PN/4P3/2r4P/R5K1 w - -,a1a6 e6d7 h4f5 c2b2 h2h3 b2b5 a6a2 a7a5 g1g2 b6c7,-150
4r1k1/1p3pp1/2p4p/4PN2/p1P2P2/q5P1/1b4KP/3RQ3 w - -,e1d2 a3c3 d2e2 b2a3 c4c5 a3c5 d1d7 c5f8 e2a2 e8e6,-63
8/4ppkp/p4qp1/2r5/3p4/1PnQ1P1P/P1R3P1/4R2K w - -,,0
r5k1/2p2p1p/2pp2p1/6Q1/P1q1P3/2b2P2/1RP3PP/3R2K1 w - -,b2b1 c3d4 g1h1 c4c2 d1c1 c2a4 g5e7 c6c5 e7c7 d4e5,4
r1bqk2r/ppppbppp/n7/3PP3/2B1n3/P4N2/1P3PPP/RNBQK2R w KQkq -,d1e2 f7f5 e1h1 d7d6 c4b5 c8d7 e5e6 d7b5 e2b5 e8f8,322
2r1r1k1/5ppp/3b4/3b4/p2p4/P5P1/1P1N1P1P/1RB1R1K1 w - -,e1e8 c8e8 g1f1 d5a2 b1a1 a2e6 f2f3 e6h3 f1f2 d4d3,-324
rn1k3r/1b1p2p1/1p3p1n/p2P3B/8/P1q1BQ2/2P2P2/1R2KR2 w - -,e1e2 c3c2 e2e1 c2b1 f3d1 b1d1 h5d1 d8c7 f1g1 h6f5,-781
r4rk1/1pp1nppp/p2b2n1/3p1q2/3P4/1PPQ1N1P/P1NB1PP1/R3R1K1 w - -,c2b4 d6b4 d3f5 e7f5 c3b4 f7f6 a2a4 f8c8 g2g4 f5d6,-53
1rb2bk1/ppN1p2p/4p1p1/5nN1/1PB5/8/P3KPPP/7R w - -,g5e6 f8g7 e6g5 g8h8 g5f7 h8g8 h1d1 f5d4 e2f1 e7e6,63
r5k1/1p3p2/1q2p1p1/pPRp3r/3P1Q1p/3P1P2/1P4PP/4R1K1 w - -,f4c7 b6c7 c5c7 b7b6 g1f2 a5a4 c7b7 h5h8 e1c1 g8g7,45
r3r1k1/1p1b1pb1/p2p1np1/3p4/3nP1P1/5P2/PPPRB2Q/2K4R w - -,d2d4 f6g4 h2h7 g8f8 d4d5 g4f6 h7h2 f6d5 h2d6 f8g8,257
r1b2rk1/pp3p2/1qn1p2p/2npP1pB/3N1P2/2P5/PP4PP/R1BQ1RK1 w - -,c1e3 c5e4 f4g5 h6g5 h5f7 f8f7 f1f7 c6e5 d4f5 e6f5,494
r1b1kbnr/ppqp1ppp/8/2p5/2N1P3/2P5/PP1P1PPP/RNBQK2R w KQkq -,c4e3 g8f6 d2d4 f6e4 e3d5 c7c6 c3c4 f7f5 e1h1 b7b5,197
5k2/6p1/2P5/1N2bq2/P7/K7/2R5/8 w - -,c2b2 e5b2 a3b4 f5c2 c6c7 b2e5 a4a5 e5c7 a5a6 c7f4,-675
8/3r4/1R1P2k1/8/3K4/1P6/6r1/3R4 w - -,d4d5 g6f5 d5c6 d7d8 c6c7 d8h8 b3b4 g2c2 b6c6 c2a2,622
q4rk1/rbp1bppp/1pn5/3p4/P2Pn3/4PNP1/PB3PBP/RN1Q1RK1 w - -,f3d2 e4d2 d1d2 c6a5 b1c3 c7c6 e3e4 e7b4 d2c2 a5c4,26
r2k3r/1b1p2p1/np3p1n/p2P3B/8/P1q1BQ2/2P2P2/1R1K1R2 w - -,e3b6 d8e7 f3c3 b7d5 c3a5 h6f7 a5d5 h8h5 d5a8 a6c5,834
8/8/6n1/8/8/7k/6p1/6K1 w - -,b1b3 c3e5 e3b6 d8c8 b3b5 a6c7 b6c7 c8c7 f1e1 e5d6,Mate
6k1/1p4pp/2p5/2P2b2/p4N1P/K4P2/3r1BP1/7R w - -,f2e3 d2c2 h1c1 c2c1 e3c1 f5c2 f4e6 g8f7 e6d8 f7g6,453
r1bqk2r/ppppbppp/n7/2nPP3/2B5/P4N2/1P2QPPP/RNB1K2R w KQkq -,d5d6 b7b5 c4d5 c7c6 d5a2 e8h8 e1h1 e7h4 g2g3 h4f6,443
r4rk1/1pp2ppp/p2b2n1/3p1n2/3P4/1PP2N1P/P1NB1PP1/R3R1K1 w - -,c3c4 c7c6 a2a4 f7f6 c4c5 d6c7 b3b4 f8b8 g2g4 f5h4,7
