8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
8/8/1p5k/pP1Pp2b/P3Pprp/5R2/8/4qK1R w - -,f1e1 h6g7 f3h3 h5g6 d5d6 g7f6 h3h4 g4g3 h4h3 g6e4,131
r2q1r1k/ppb2p1p/2p1b1p1/3nN3/3P4/2N4P/PPBQ1PP1/4RRK1 w - -,f2f4 d5e7 g2g4 c7b6 e5f3 e6d5 c3d5 e7d5 f4f5 b6c7,-14
2b2rk1/1pNp1ppp/1p6/r3P3/1n3P2/1P1B4/P1P3PP/R3K2R w KQ -,e1h1 f8d8 a1d1 a5c5 c7a8 d7d5 a8b6 c8g4 d1d2 c5c6,170
4r1k1/3q1pB1/p5p1/1b1p4/3N2n1/P4P2/1P3KP1/2Q4R w - -,f3g4 g8g7 c1h6 g7f6 h6f4 f6e7 h1e1 e7d8 f4b8 d7c8,669
r3kb1r/p2n1pp1/2p3n1/q5Pp/2pNp3/7b/PQ1PPPB1/RNB2RK1 w kq -,f2f4 h3g2 b2c3 a5c3 d2c3 g2f1 g1f1 h5h4 b1d2 e4e3,-632
8/np6/p1p1p2k/P1PpP2p/1P1Pp3/2B1P1pP/6P1/6K1 w - -,c3e1 h5h4 g1f1 a7c8 e1d2 h6g7 d2c1 g7g8 f1e2 c8a7,-6
3k4/5R2/p1p3p1/r4b2/1p1pN2p/1P1P4/P1P1K1PP/8 w - -,f7h7 a5a2 e2d2 f5e4 d3e4 a6a5 d2d3 a5a4 b3a4 a2a4,-2
r3kbnr/pp2pppp/8/n2p4/3P4/5N1P/PPP2PP1/RNB1K2R w KQkq -,c1d2 a5c6 a2a4 e7e6 a4a5 a7a6 b1c3 f8b4 c3e2 g8f6,-24
8/3r3p/1P4k1/2RPp3/8/5KP1/3b3P/8 w - -,f3e4 d7b7 e4e5 d2e3 c5c6 g6g5 c6c7 b7b6 c7h7 g5g6,6
4r3/3q1pk1/p5p1/1b1p4/3N2P1/P7/1P3KP1/2Q4R w - -,c1h6 g7f6 h6f4 f6e7 h1e1 b5e2 f4e5 e7f8 e5h8 f8e7,681
8/pp3pk1/2p1rnp1/4Rb1p/P1B2N1P/5P2/1PP3P1/2KR4 w - -,f4e6 f7e6 c4e6 f5e6 e5e6 f6d5 g2g3 g7f8 e6g6 a7a6,1284
8/4Q3/8/5k2/8/6B1/8/6K1 w - -,f4e6 f7e6 c4e6 f5e6 e5e6 f6d5 g2g3 g7f8 e6g6 a7a6,Mate
5R2/p5k1/5p2/4p3/3pn1K1/8/r7/8 w - -,f8c8 g7g6 c8g8 g6f7 g8d8 f7e6 d8e8 e6d5 e8b8 d4d3,-1145
r3rqk1/p2b1pnp/4pQpB/4P3/1p1p2P1/1B1P3P/P1P5/1R3RK1 w - -,f1f4 d7c6 b1f1 a8b8 f6f7 f8f7 f4f7 b8b7 f7b7 c6b7,287
r2qkbnr/pp3ppp/2n1p3/3p4/3P4/3Q1N1P/PPP2PP1/RNB2RK1 w kq -,d3b3 d8d7 c1f4 g8e7 f1e1 e7f5 b3d3 f8e7 b1d2 a8c8,-7
r1b3k1/1p3rp1/2n1p3/3pP1N1/2qP4/3BP3/6PP/2b2K1R w - -,d3b3 d8d7 c1f4 g8e7 f1e1 e7f5 b3d3 f8e7 b1d2 a8c8,Mate
4r3/3q1p2/p4kpQ/1b1p4/3N2P1/P7/1P3KP1/7R w - -,h6f4 f6e7 h1e1 b5e2 f4e5 e7d8 e5b8 d8e7 e1e2 e7f8,692
r3kb1r/p2n1pp1/2p3n1/6qp/2pNp3/7B/PQ1PPP2/RNB2RK1 w kq -,g1h1 g5h4 b2c3 g6f4 d4f5 h4h3 c3h3 f4h3 b1c3 e8a8,Mate
5rk1/4bppp/p3pn2/q1pp4/3P1B2/4P3/PP2NPPP/1Q3RK1 w - -,b1c2 c5c4 e2c3 h7h6 f1b1 f8c8 h2h3 a5b4 f4g3 e7f8,-32
r2qkb1r/pp3ppp/2n1pn2/3p4/3P1B2/3Q1N1P/PPP2PP1/RN3RK1 w kq -,d3e2 f8d6 f4d6 d8d6 b1d2 e8h8 c2c3 d6c7 f1e1 h7h6,-2
Bnb2rk1/p2q1ppp/5b2/2p5/3p4/3Q2P1/PP2PP1P/R1B2RK1 w - -,d3a3 c8a6 a8f3 d7e6 c1f4 b8d7 f3g4 e6g4 a3a6 g7g5,136
4r3/3qkp2/p5p1/1b1p4/3N1QP1/P7/1P3KP1/7R w - -,h1e1 e7d8 f4b8 d7c8 b8d6 c8d7 d6b6 d8c8 d4b5 e8e1,694
8/2R4p/1P4k1/3rp3/8/5KP1/3b3P/8 w - -,h2h4 d5b5 b6b7 d2e1 c7c1 e1b4 c1c7 g6f5 c7h7 f5e6,-191
r2qk1nr/pp3ppp/2nbp3/3p4/3P1B2/3Q1N1P/PPP2PP1/RN3RK1 w kq -,d3e3 d6f4 e3f4 g8f6 b1d2 d8b6 f1b1 e8h8 c2c3 a8c8,-10
r3r1k1/1p1bppb1/p1np2pB/q7/3Nn1P1/2N2P2/PPPQ4/2KR1B1R w - -,d2f4 g7h6 h1h6 a5g5 f4g5 e4g5 f3f4 c6d4 d1d4 g5e6,-176
r3kb1r/p2n1pp1/2p3n1/7p/2pNp2q/7B/PQ1PPP2/RNB2R1K w kq -,b2c2 h4h3 h1g1 h3g4 g1h1 g6h4 c2e4 g4e4 f2f3 e4f4,-3565
r3rqk1/p4pnp/4pQpB/1b2P3/1p1p1RP1/1B1P3P/P1P5/1R4K1 w - -,b1f1 a8d8 f6f7 f8f7 f4f7 d8d7 f7d7 b5d7 f1f4 d7b5,336
