r5k1/5p2/5Qp1/2R5/8/8/5PPP/6K1 w - -,d6d7 c6d7 g3c7 f5e4 c7b6 e4f3 b6b7 e7e3 g1h1 f3g2,Mate
r3kb1r/1pp2ppp/p1b2n2/4N3/3qP3/2NP4/PPP3PP/R1BQK2R w KQkq -,e5c6 b7c6 d1f3 f8b4 c1d2 e8h8 e1a1 a8b8 d1e1 f6d7,192
rn1qkbnr/ppp1pppp/8/3p1b2/8/5NPP/PPPPPP2/RNBQKB1R w KQkq -,f1g2 b8c6 d2d4 e7e6 e1h1 f8e7 f3e5 g8f6 c2c4 c6e5,37
r1b3nr/ppp2pp1/3k3p/3q4/3N4/4PQ1P/PP3PP1/R1B2RK1 w - -,e3e4 d5c4 c1e3 d6e7 f1c1 c4a4 c1c7 c8d7 b2b3 a4b4,717
8/4k3/N3B3/4K3/8/8/8/8 w - -,f3d5 d6d5 b2b4 g8f6 f1d1 f6e8 c1b2 d5d6 d4f5 d6e6,Mate
5rk1/p3bppp/8/np2p1N1/1n4b1/2NP4/PP1P1PPP/R1B2RK1 w - -,h2h3 g4h5 f2f4 e5f4 g5f3 a5c6 b2b3 b4c2 a1b1 h5g6,-39
rn2kbnr/pppqpppp/8/3p1b2/8/5NPP/PPPPPPB1/RNBQK2R w KQkq -,c2c4 c7c6 f3e5 d7c7 d2d4 e7e6 c1f4 c7b6 b1d2 b6d4,92
rn1qkbnr/pp2pppp/8/3p1b2/3P4/2N4P/PP2PPP1/R1BQKBNR w KQkq -,d1b3 g8f6 b3b7 b8d7 g1f3 a8b8 b7a7 e7e5 e2e3 f8b4,79
r4r2/pppkn2p/8/6B1/3p4/8/PPP2PPP/6K1 w - -,g2g4 e7g8 g5d2 a8e8 g1f1 c7c5 g4g5 d7c6 h2h4 g8e7,-665
rnbq1rk1/1p2ppbp/p1p2np1/3pN3/3P1B2/2NBP3/PPP2PPP/R2QK2R w KQ -,h2h4 h7h5 d1d2 c6c5 e1a1 c5c4 d3e2 b7b5 g2g4 b5b4,28
