rnbqk2r/ppp1bppp/3p1n2/3Pp3/2B1P3/4BN2/PPP2PPP/RN1QK2R w KQkq -,c4d3 c7c6 c2c4 b7b5 d5c6 b5c4 d3c4 b8c6 b1c3 e8h8,72
rn3rk1/ppp1qppp/4bn2/8/1bPP4/2N5/PP2QPPP/R1B1KBNR w KQ -,d4d5 e6f5 e2e7 b4e7 f2f3 f8e8 g1e2 b8a6 c1f4 a6b4,88
rnbqkb1r/ppppp1pp/7n/4Pp2/3P4/7P/PPP2PP1/RNBQKBNR w KQkq -,c1h6 e7e6 h6f4 c7c5 d4d5 e6d5 d1d5 d8b6 f4c1 b8c6,975
rnbq1rk1/p1ppbppp/1p2pn2/8/2PP4/2N2NP1/PP2PP1P/R1BQKB1R w KQ -,d1c2 d7d5 c4d5 f6d5 f1g2 c8b7 e1h1 b8d7 c3d5 e6d5,29
rnb1kbnr/pp3ppp/2pp4/q3p3/3PP3/2N5/PPPB1PPP/R2QKBNR w KQkq -,d4d5 g8f6 h2h3 a5b4 d1c1 c6d5 e4d5 b8d7 a2a3 b4c5,95
rn1qk2r/ppp1nppp/4p3/3p1b2/2PP1B2/2P1P3/P4PPP/R2QKBNR w KQkq -,d1b3 b7b6 c4d5 e6d5 f1b5 b8c6 b3a4 f5d7 a4c2 c6e5,73
rnbqkb1r/ppp1pppp/1n6/8/2B5/5Q2/PPPP1PPP/RNB1K1NR w KQkq -,c4f7 e8d7 f3d3 d7c6 d3d8 c8d7 g1f3 b8a6 f3e5 c6d6,1515
rnbqk1nr/ppp1b1pp/3p4/5p2/3P4/3B1N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 g8f6 c2c4 c7c5 d3c2 e8h8 b1c3 b8c6 f1e1 f8e8,238
rnbq1rk1/1pp1bppp/p3pn2/3p4/2PP1B2/P1N1PN2/1P3PPP/R2QKB1R w KQ -,c4c5 f6h5 f1d3 b7b6 b2b4 h5f4 e3f4 a6a5 e1h1 e7f6,70
rn1qk2r/pp3ppp/2pbbp2/8/3P4/6P1/PPP1QP1P/R1B1KBNR w KQkq -,e2d3 b8a6 c2c3 d8d7 f1g2 e8h8 g1e2 a6c7 c3c4 e6f5,-64
r1bqkb1r/pp3ppp/2nppn2/2p5/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,d4d5 c6e5 f3e5 d6e5 f1d3 f8d6 d1e2 e8h8 c1d2 e6d5,153
rnbq1rk1/pp2bppp/2pppn2/8/2P1P3/2N3P1/PP1PNPBP/R1BQK2R w KQ -,d2d4 a7a6 a2a4 a6a5 e1h1 b8a6 b2b3 a6b4 h2h3 f6d7,92
rnbqk2r/pp3ppp/2pbpn2/8/P1pP1B2/2N1P3/1P3PPP/R2QKBNR w KQkq -,f4g5 d6b4 g5f6 d8f6 f1c4 c6c5 g1f3 c5d4 f3d4 f6e7,-11
rnbqk2r/pp2ppbp/3p1np1/8/3P4/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,f1e2 e8h8 d1d2 d8b6 e1a1 c8f5 d4d5 f6e4 e3b6 e4d2,30
rnbqkbnr/ppp3pp/5p2/3pp3/3P4/4P3/PPP1BPPP/RNBQK1NR w KQkq -,c2c4 e5d4 e3d4 f8b4 b1c3 g8e7 g1f3 c8e6 c4c5 b7b6,81
rnb1kb1r/pp2qpp1/2pp1n1p/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQR1K1 w kq -,d2d4 e7c7 f3h4 f8e7 h2h3 e8h8 a2a3 b7b5 c4a2 a7a5,103
rn2kb1r/pp2qpp1/2pp1n1p/4p3/2BPP1b1/2N2N2/PPP2PPP/R1BQR1K1 w kq -,c1e3 b8d7 h2h3 g4h5 a2a4 e7d8 c4b3 f8e7 g2g4 h5g6,127
8/Q7/3k4/2r5/4K3/8/8/8 w - -,a7b6 c5c6 b6d8 d6c5 d8a5 c5d6 a5e5 d6d7 e4d5 c6a6,528
r3kbnr/1p1qpppp/p7/2ppP3/8/5Q1P/PPPP1PP1/RNB1K2R w KQkq -,f3e2 e7e6 d2d3 g8e7 b1d2 e7c6 e1h1 f8e7 d2f3 e8h8,-44
8/8/4N3/8/7p/3K1k2/7P/8 w - -,f3e2 e7e6 d2d3 g8e7 b1d2 e7c6 e1h1 f8e7 d2f3 e8h8,Mate
r1bqk2r/ppp2pp1/2np1n1p/2bNp3/2B1P3/3P3P/PPP2PP1/R1BQK1NR w KQkq -,c1e3 c5e3 d5e3 c8e6 g1f3 e8h8 e1h1 c6e7 c4e6 f7e6,-27
r1bqkb1r/pp1n1ppp/3ppn2/8/2P1P3/2NB1N2/PP3PPP/R1BQK2R w KQkq -,c1f4 a7a6 e1h1 f8e7 d1e2 d8c7 a1c1 e8h8 b2b4 b7b6,100
rnbqk1nr/pp1p1ppp/2p1p3/b7/3P1B2/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,e2e4 d7d5 b1d2 g8e7 f1d3 b8d7 e1h1 d5e4 d2e4 e8h8,187
rnbqkb1r/pp2nppp/2p1p3/3p4/3PPB2/5P2/PPP3PP/RN1QKBNR w KQkq -,d1d2 e7g6 f4e3 b8d7 e4e5 b7b5 f3f4 g6h4 e3f2 b5b4,27
r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1P3/PP1Q1PPP/RN2KBNR w KQkq -,g1e2 g7g5 f4g3 h7h5 h2h4 g5g4 d2c1 e7e5 d4e5 f6e4,-193
r1bqkb1r/1p1p1ppp/p1n2n2/2p1p3/4P3/P1NP1N2/1PP2PPP/R1BQKB1R w KQkq -,g2g3 d7d6 c1g5 f8e7 g5f6 e7f6 c3d5 c8e6 h2h4 e8h8,25
rnb1kbnr/pppp1pp1/5q1p/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq -,b1c3 c7c6 e1h1 f8c5 c3a4 c5d6 d3e2 d6c7 d2d4 d7d6,97
r3k2r/pp1n1ppp/2p1b3/3p4/3P4/B7/P1Q2PPP/R5K1 w kq -,a1b1 d7b6 a3d6 h7h5 h2h3 a8d8 d6c5 d8d7 b1e1 e8d8,319
rnbq1rk1/ppp1ppbp/5np1/3p4/8/2P1P1P1/PP1PNPBP/RNBQK2R w KQ -,e1h1 e7e5 d2d3 b8c6 b1d2 a7a5 b2b3 f8e8 e3e4 h7h6,-93
rnbq1rk1/ppp2pbp/5np1/3pp3/8/2P1P1P1/PP1PNPBP/RNBQ1RK1 w - -,a2a4 e5e4 d2d4 e4d3 e2f4 f8e8 b1a3 c7c6 f4d3 b8d7,-140
rnb1kb1r/pp2pppp/1qp5/3p4/3PnB2/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,f4c1 b8d7 e2e3 g7g6 b1d2 f8g7 d2e4 d5e4 f3d2 d7f6,-13
r2q1rk1/1p2ppbp/p1np1np1/2p5/P1B1PPb1/2NP1N2/1PP3PP/R1B1QRK1 w - -,h2h3 g4f3 f1f3 e7e6 f3f2 a8b8 f4f5 e6f5 c1g5 h7h6,-74
r1bqkb1r/pp1npppp/2p2n2/3p2N1/2B1P3/2N5/PPPP1PPP/R1BQK2R w KQkq -,c4f1 h7h6 g5h3 f6e4 c3e4 d5e4 d2d3 d7f6 d3e4 d8d1,-271
