r2qkb1r/pp3ppp/2n2n2/8/2Bp2b1/2P2N2/PP3PPP/RNBQK2R w KQkq -,c4b5 d8e7 d1e2 e7e2 b5e2 e8a8 f3d4 g4e2 e1e2 f8c5,-36
2kr1b1r/ppp1pppp/2nq1n2/5b2/2B5/2NP1N2/PPP2PPP/R1BQ1RK1 w - -,f3g5 f6g4 g2g3 g4e5 g5f7 e5f7 c4f7 e7e5 f7d5 f8e7,83
r1bqkbnr/pppp2pp/2n1p3/5p2/3P4/2NQ4/PPP1PPPP/R1B1KBNR w KQkq -,c1f4 g8f6 e2e4 c6b4 d3e2 f5e4 c3e4 b7b6 a2a3 f6e4,26
6k1/5p1p/3p2p1/8/5PP1/Pp2b3/3Q2qP/2KR3R w - -,f4f5 e3d2 d1d2 g2h1 c1b2 h1e1 d2d5 g6f5 g4f5 e1e2,-587
r2qk2r/pp2bppp/2n2n2/1B1p4/3p2b1/2N2N2/PPP2PPP/R1B1QRK1 w kq -,f3e5 d4c3 e5c6 b7c6 b5c6 g4d7 c6a8 d8a8 e1c3 e8h8,-269
r2qnrk1/pbpnppbp/1p4p1/4P3/2PP4/2N2N2/PP2B1PP/R1BQ1RK1 w - -,c1f4 c7c5 d4d5 d8c7 e2d3 d7e5 g1h1 f7f6 d1e2 e8d6,91
rn1qk2r/ppp1bppp/4pn2/3p2B1/3P4/3QP3/PPPN1PPP/R3K1NR w KQkq -,d3b5 b8d7 g5f6 e7f6 b5b7 c7c5 c2c3 a8b8 b7a7 d8c8,13
r1q2rk1/p2R2pp/1pn2p2/2p1p3/2P5/1P2QNP1/P3PP1P/3R2K1 w - -,d1d5 f8f7 d7f7 g8f7 e3e4 c6e7 d5d6 e7f5 d6d3 h7h5,110
r1bqk1nr/pppp1pb1/2n4p/6N1/3PPppP/2N5/PPP3P1/R1BQKB1R w KQkq -,d1g4 h6g5 c1f4 d7d6 g4g3 g5f4 g3g7 d8f6 g7f6 g8f6,-344
r1bq1rk1/ppp3bp/3p2nn/3Pp1p1/2P1P1p1/2N2P1P/PP1NBB2/R2QK2R w KQ -,c4c5 g6f4 d1c2 f4g2 e1d1 g4h3 c5c6 b7c6 d5c6 g2f4,-221
r3kb1r/pp3ppp/n1p1pn2/3p1b2/2P5/1P1P1NP1/1P1BPPBP/RN2K2R w KQkq -,f3d4 a6b4 a1a4 a7a5 c4d5 c6d5 d4f5 e6f5 e1h1 f8e7,68
r1bq1rk1/p4pbp/1pnp1np1/2p5/3P4/2NBBN1P/PPP2PP1/R2Q1RK1 w - -,f1e1 c8b7 d1d2 c6e7 f3h2 d8d7 e3h6 a8e8 h6g7 g8g7,9
rnbq1rk1/ppppbpp1/4pn1p/8/3P1B2/2PBP3/PP3PPP/RN1QK1NR w KQ -,e3e4 d7d6 g1f3 b7b6 e1h1 c8b7 d1e2 c7c5 f1e1 b8d7,51
r3kb1r/pppq1ppp/2np1n2/4p3/6b1/1PN1PN2/PBPPBPPP/R2QK2R w KQkq -,d2d4 g4f3 e2f3 e5d4 f3c6 d7c6 d1d4 c6g2 e1a1 a7a6,65
r2qk2r/pp3pp1/3bpn1p/3p1b2/3P1B2/4P3/PP1NBPPP/R2Q1RK1 w kq -,d1a4 e8e7 f4e5 d8b6 e5d6 b6d6 f1c1 h8c8 h2h3 e7f8,21
r4rk1/1p2pp1p/2np2p1/p1b5/1qP1PP2/1P3Q1P/P1BR1BP1/3R2K1 w - -,a2a4 e7e5 f4f5 c6d4 f3g3 g8h8 g1h1 a8a6 g3h4 b4c3,30
r1bqk1nr/pppp1ppp/8/4p3/2PbP3/3P4/PP3PPP/RN1QKBNR w KQkq -,b1c3 d4b6 g1f3 d7d6 f1e2 g8f6 e1h1 c7c6 c3a4 b6c7,-46
8/1N3pk1/p5p1/2pr4/8/1P1n4/P1R3KP/R3r3 w - -,h2h3 e1a1 g2h2 d3e1 c2f2 a1d1 h3h4 d1d3 f2f4 d3d2,-710
8/8/1k6/4p3/1K2P3/8/8/8 w - -,b4b3 b6b5 b3c2 b5c4 c2d1 c4d3 d1e1 d3e3 e1f1 e3e4,Mate
r2qk2r/1pp2ppp/p1npbn2/2b1p3/P1B1P3/3P1N2/1PPN1PPP/R1BQ1RK1 w kq -,c2c3 e8h8 c4e6 f7e6 b2b4 c5a7 d2c4 d8e8 c1e3 a7e3,12
r1bq1rk1/ppp1bpp1/2nppn1p/8/3P1B2/2PBPN1P/PP3PP1/RN1QK2R w KQ -,d1c2 e6e5 d4e5 d6e5 f3e5 c6e5 f4e5 f6d7 e5h2 d7c5,72
rnbqkb1r/2pp1ppp/p3pn2/8/1Pp5/P3P3/1B1P1PPP/RN1QKBNR w KQkq -,f1c4 c7c5 b4c5 f8c5 g1f3 d7d5 c4e2 e8h8 e1h1 d8e7,3
r1bq1rk1/ppp1bppp/2n1pn2/8/1PpP4/P3PN2/1B3PPP/RN1QKB1R w KQ -,f1c4 a7a5 b4b5 c6b8 e1h1 c7c6 b1c3 b8d7 c4d3 c6b5,64
8/8/8/N1K1k3/8/3B4/8/8 w - -,d3c2 e5f4 c5d4 f4f3 d4e5 f3g4 a5c4 g4h5 e5f5 h5h6,211
r1bq1rk1/pp2bp1p/2n1p1pQ/3pN1B1/7P/2PB4/P1P2PP1/R3K2R w KQ -,e5g6 h7g6 d3g6 f7g6 h6g6 g8h8 h1h3 d8d6 g6h6 h8g8,225
rnbqk2r/pp4pp/2pbpn2/5p2/3P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,e1h1 h7h6 f1e1 e8h8 d3c4 f6d5 c4b3 a7a5 a2a4 b8a6,94
r1b1k1nr/pppp1ppp/2n5/3QN3/q7/3BB3/PP3PPP/RN2K2R w KQkq -,e1h1 h7h6 f1e1 e8h8 d3c4 f6d5 c4b3 a7a5 a2a4 b8a6,Mate
rnb1kb1r/pp3ppp/5n2/1N2p3/2p5/4P1P1/PP3PBP/RNBqK2R w KQkq -,e1d1 b8a6 b1d2 c8g4 g2f3 g4f3 d2f3 f6e4 d1e2 e4d6,-34
8/3N4/8/8/3k1K2/3B4/8/8 w - -,d3e2 d4d5 f4e3 d5e6 e2g4 e6e7 e3e4 e7d6 e4d4 d6e7,199
rnb1k2r/pp3ppp/5n2/1Nb1p3/2p5/4P1P1/PP3PBP/RNBK3R w kq -,b5c7 e8e7 c7a8 b8a6 h2h3 c5d6 b1d2 c8e6 g2b7 a6c5,140
8/3N4/6B1/3k4/5K2/8/8/8 w - -,f4e3 d5c4 e3d2 c4d4 g6d3 d4d5 d2c3 d5e6 d3b5 e6d5,186
r3r1k1/ppp5/5p2/2P3pp/5p2/1Pp2P1P/P1P5/2R1R2K w - -,a2a4 a8d8 e1e8 d8e8 c1g1 g8f7 b3b4 e8e3 g1d1 f7e6,-483
r1b1kb1r/pppq1p1p/2np1np1/4p3/2B1P3/5Q2/PPPP1PPP/R1B1K1NR w KQkq -,f3f6 h8g8 c2c3 f8g7 f6h4 d7d8 g1f3 d8h4 f3h4 c6d8,-17
r1bq1rk1/ppp2ppp/3p1n2/2b1p3/1nB1P3/3P2QP/PPP1NPP1/RNB1K2R w KQ -,e1d1 d6d5 e4d5 b7b5 c4b3 e5e4 d3d4 c5d6 c1f4 b4d5,-76
r4k2/pp5p/2n1Q3/6P1/1q6/5P2/P6P/4R1K1 w - -,,0
r3k2r/ppp2qp1/2nbbn1p/1B2p3/4P3/2N1BN2/PP3PPP/R2QK2R w KQkq -,a1c1 e8h8 e1h1 c6e7 b5e2 a7a6 d1c2 f6g4 e3d2 g8h8,-22
r6r/4k3/2p1pqn1/ppbpp1pp/4P3/P2P1PPP/1PPQN1KN/R4R2 w - -,a1e1 e7d7 c2c4 d5d4 b2b4 c5d6 c4b5 c6b5 b4a5 f6d8,-50
4r1k1/2RR1p2/4N1pp/p7/5P2/1P6/r2nP1KP/8 w - -,,0
6k1/pp1b2p1/8/2p5/2P2r1P/PPK1R3/8/8 w - -,e3e7 f4f7 e7e3 f7f5 e3e1 f5f3 c3b2 f3f2 b2c1 f2f5,-512
r2q3r/p2nppk1/2p1b1p1/3pP2p/6PP/2N2P2/PPPQ4/2KR1B1R w - -,g4h5 h8h5 f3f4 d8h8 d2f2 h8b8 f1e2 h5h6 h4h5 b8b6,10
6k1/pp1bRrp1/8/2p5/2P4P/PPK5/8/8 w - -,e7e1 f7f3 c3b2 a7a6 b3b4 g8f7 e1d1 d7c6 b4b5 a6b5,-517
rnb1k2r/ppp1bppp/3p4/8/8/2P2N2/PPP2PPP/R1B1KB1R w KQkq -,,0
5k2/pp3pp1/2n2n1p/3p4/1q1P4/3BP3/PP3PPP/R4KNR w - -,a1d1 b4b2 f2f3 f6e8 d3b1 e8d6 g1e2 d6c4 f1f2 c6b4,-258
1r1r4/Rpqn1pk1/2p1p1p1/2PpPnNp/1R1P3P/1PQ3P1/5PK1/5N2 w - -,c3f3 d7f8 f1e3 d8d7 f3f4 c7c8 b4a4 f5e3 f4e3 b7b5,156
r1b2rk1/p3ppbp/1p1q1np1/1B1P4/2Pp4/7P/PP3PP1/RNBQR1K1 w - -,b5c6 a8b8 d1d4 f6g4 d4f4 g4e5 b1c3 e5d3 f4d6 e7d6,91
r1b1kb1r/pp3ppp/2n5/3q4/3pN3/3P4/PP2PPPP/R1BQKB1R w KQkq -,h2h3 f7f5 e4g5 f5f4 g5e4 f8b4 c1d2 e8h8 d2b4 c6b4,-34
rn2k2r/pbpp1ppp/1p2pq2/8/1bPP4/4PN2/PP3PPP/RN1QKB1R w KQkq -,b1c3 c7c5 f1e2 c5d4 e3d4 b4c3 b2c3 e8h8 e1h1 b8c6,-42
1rb2rk1/p3ppbp/1pBq1np1/3P4/2Pp4/7P/PP3PP1/RNBQR1K1 w - -,b1a3 a7a6 d1f3 e7e5 d5e6 c8e6 c1f4 d6c5 f4b8 f8b8,95
r1b2rk1/pp1nppbp/2pp1np1/q7/2PP1B2/2N1PN1P/PP2BPP1/R2QK2R w KQ -,e1h1 e7e5 f4h2 f8e8 a1b1 e5d4 f3d4 d7e5 d1c2 d6d5,92
r1b1kbnr/pp2pp1p/2n1q1p1/2p5/3P4/2P2N2/PP1N1PPP/R1BQKB1R w KQkq -,d2e4 e6e4 c1e3 c5d4 c3d4 f8h6 f1d3 e4d5 e1h1 c8g4,-388
r1bqk2r/ppppbppp/2n2n2/3N2B1/Q7/8/PPP1PPPP/R3KBNR w KQkq -,d5c3 h7h6 g5h4 a7a6 e2e3 d7d5 f1b5 e8h8 b5c6 b7c6,-65
r1b1kbnr/pp2pp1p/2n1q1p1/8/3p4/2P2N2/PP1NBPPP/R1BQK2R w KQkq -,d2b3 d4c3 f3d4 e6d7 d4c6 b7c6 e1h1 f8g7 b2c3 g8f6,-64
r1b1nrk1/ppp2ppp/3p4/P1q5/2B1PP2/2Q5/1B4PP/4RR1K w - -,f1f3 g8h8 f3g3 f7f6 e4e5 d6d5 c3a3 c5a3 b2a3 d5c4,157
8/6R1/8/2k5/4K3/r3P3/8/8 w - -,,0
r1b1kb1r/ppqp1ppp/2n1pn2/2p5/2B1P3/2NP3P/PPP2PP1/R1BQK1NR w KQkq -,c4b3 f8e7 g1f3 e8h8 e1h1 d7d6 a2a4 a7a6 c3e2 f8d8,-20
1R6/5ppk/4pn1p/8/2R2Q2/5P2/1P2K1PP/3r2q1 w - -,c4b3 f8e7 g1f3 e8h8 e1h1 d7d6 a2a4 a7a6 c3e2 f8d8,Mate
8/8/8/5p1p/8/8/p4PPP/k1K5 w - -,c4b3 f8e7 g1f3 e8h8 e1h1 d7d6 a2a4 a7a6 c3e2 f8d8,Mate
rnbqkbnr/pp3ppp/4p3/3p4/2pPP3/4BN2/PPP2PPP/RN1QKB1R w KQkq -,c2c3 b8c6 b1d2 b7b5 a2a4 b5b4 e4d5 e6d5 d2c4 d5c4,62
r1b2rk1/pp3pp1/2nb2q1/3N4/3P3p/4P2P/PP3PP1/R1BQKB1R w KQ -,d1f3 c8f5 f1c4 c6a5 c4e2 f5e4 d5f4 e4f3 f4g6 f3e2,-68
