3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
3r1r1k/pbb3pp/1p3q2/2P1p3/1P2p3/P3P2P/2Q2PBB/R2R2K1 w - -,d1d8 f8d8 c5b6 c7b6 a1d1 d8f8 h2g3 h7h5 g2e4 f8c8,161
r1b1k1nr/1p1p1ppp/pq2p1n1/8/1bP1PP2/1NNB4/PP4PP/R1BQK2R w KQkq -,d1e2 d7d6 g2g3 e6e5 f4f5 g6e7 c1d2 g8f6 e1a1 c8d7,122
7r/ppp1k1p1/7p/5b2/3Rp3/2P5/PP2BPPP/6K1 w - -,g1f1 h8d8 f1e1 c7c5 d4a4 a7a6 h2h4 g7g5 h4g5 h6g5,33
5r2/p4p1k/1p4pp/1N3q2/3QK3/P7/1PrR1P1P/4R3 w - -,g1f1 h8d8 f1e1 c7c5 d4a4 a7a6 h2h4 g7g5 h4g5 h6g5,Mate
4r3/p4p1k/1p4pp/1N3q2/3Q4/P3K3/1PrR1P1P/4R3 w - -,g1f1 h8d8 f1e1 c7c5 d4a4 a7a6 h2h4 g7g5 h4g5 h6g5,Mate
4r1k1/pp3p2/4nQp1/1PP1R2p/P6P/2P2qP1/2BB2b1/6K1 w - -,e5f5 g6f5 f6f5 f3g3 f5f2 g3f2 g1f2 e6c5 d2e3 g2e4,-560
2r2r1k/pb4pp/3b1q2/2P1p3/4p3/P3P2P/2Q2PBB/R2R2K1 w - -,c2b2 d6c5 b2b7 f6f2 g1h1 f2e3 d1e1 e3c3 a1c1 c3d2,313
2kr3r/ppp2pp1/1bn1qn2/4p1Bp/1PNpPP2/P2P4/2P1N1PP/R2Q1RK1 w - -,d1e1 h5h4 b4b5 c6e7 f4e5 f6g4 h2h3 f7f6 e5f6 g7f6,260
r1b1k1nr/1p1p1ppp/pq2p1n1/2b5/2P1PP2/1NNB4/PP4PP/R1BQK2R w KQkq -,b3c5 b6c5 d1f3 c5c7 d3e2 g8e7 f3f2 d7d6 h2h4 h7h5,199
4r1k1/pp3p2/4n1p1/1PP1R2p/P6P/2P2bP1/2BB4/6K1 w - -,g1f2 f3h1 c3c4 f7f5 c5c6 b7c6 d2e3 g8f7 e3a7 e8d8,326
4q3/7p/6p1/4kp2/4p3/4RP2/6PP/4R1K1 w - -,e3e4 f5e4 e1e4 e5f5 e4e8 f5g5 e8f8 h7h5 f8b8 g5f5,860
8/1R6/4k1p1/5r1p/5P1K/6PP/8/8 w - -,b7b4 e6f7 b4b7 f7e6 g3g4 h5g4 h3g4 f5d5 b7b6 e6f7,3
r4rk1/pppbb1pp/2n1p1q1/3p4/2PP1R2/BP3NP1/P3QPBP/R5K1 w - -,f3h4 g6e8 f4f8 e8f8 a3e7 f8e7 a1d1 e7d6 h4f3 a8f8,103
2r3k1/p2R2pp/4pr2/2N2p2/PP3P2/2P5/6PP/3R1K2 w - -,d7a7 f6g6 d1d7 h7h5 a4a5 g6g4 h2h3 g4g3 a5a6 e6e5,799
r3k2r/1b1qbppp/p3p3/1p2Pn2/1n6/P1Np1NP1/B3QP1P/3R1RK1 w kq -,d1d3 d7d3 e2d3 b4d3 a2b1 b7f3 b1d3 a8d8 d3e4 f5d4,-811
r3kb1r/ppqnpppp/2n5/3p2B1/3P4/2PB4/PP2QPPP/RN3RK1 w kq -,b1a3 a7a6 a1e1 e7e6 f2f4 f8a3 b2a3 c7a5 e2b2 a5c7,130
r1b1k1nr/1p1p1ppp/p3p1n1/2q5/2P1PP2/2NB4/PP4PP/R1BQK2R w KQkq -,d1f3 c5c7 g2g4 d7d6 h2h4 g6e7 h4h5 g8f6 h5h6 g7g6,217
4kn2/6Q1/5p2/4p3/p1r5/4B3/qrNK2PP/2R2R2 w - -,g7g4 b2c2 c1c2 a2c2 d2e1 c4g4 h2h3 g4g2 f1f2 g2g1,-2303
4r1k1/pp3p2/4n1p1/1PP1R2p/P6P/2P3P1/2BB1K2/7b w - -,c3c4 e8d8 d2c3 e6d4 c2b1 d4e6 e5e1 e6c5 e1h1 c5a4,325
8/8/4B3/1N1K4/8/8/8/2k5 w - -,e6f7 c1b1 f7g6 b1b2 g6e4 b2b3 b5d6 b3a2 d5c4 a2b2,20000
rn1qkb1r/pp2pppp/1np5/5b2/Q3P3/6P1/PP1P1PBP/RNB1K1NR w KQkq -,a4c2 f5g6 d2d3 c6c5 c1e3 e7e6 g1e2 b8c6 e2f4 f8d6,3
5bk1/pp3pp1/2p2n2/2P3r1/1P1P2pq/P3R2P/1BQ2PP1/5NK1 w - -,h3g4 h4g4 f1g3 a7a6 c2e2 g4h4 e3f3 h4g4 e2d3 f6d5,78
rn1qkb1r/pp2pppp/2p5/3n1b2/Q7/6P1/PP1PPPBP/RNB1K1NR w KQkq -,g1f3 d5b6 a4b3 a7a5 e1h1 b8d7 b1c3 a5a4 b3d1 e7e6,26
r1b1r1k1/pp3pbp/2p2np1/4B3/2P5/1P4P1/P3PPBP/RN1R2K1 w - -,e5c7 f6g4 b1a3 g7a1 d1a1 e8e2 g2f1 e2d2 f2f3 g4e3,-239
r2q1rk1/1ppnbppb/p3pn1p/7P/2B5/3P1NN1/PPPBQPP1/2KR3R w - -,c1b1 b7b5 c4b3 c7c5 c2c4 b5c4 b3c4 d8c7 h1e1 a6a5,-110
1k6/pp3B2/2b5/2P5/5b2/4p3/P1R2P2/6K1 w - -,c2e2 e3f2 g1f2 f4c1 e2e5 b7b6 e5h5 c1a3 c5b6 a7b6,92
r1b1k2r/1ppn1pbp/1n2p1p1/p3p1B1/Pq1PN3/1B3Q2/1PPN1PPP/R3K2R w KQkq -,e1h1 e5d4 c2c3 d4c3 b2c3 b4f8 f3g3 f7f5 b3e6 d7e5,45
r5rk/pp2bq2/1n2b2p/2ppPp2/8/2PBPNRQ/PP3P1P/2K3R1 w - -,d4e5 b6d5 c2c3 b4b6 b3d5 e6d5 e4f6 g7f6 e5f6 b6e6,Mate
3r4/ppp1k1p1/7p/5b2/3Rp3/2P4P/PP2BPP1/6K1 w - -,,0
8/8/5kp1/5r1p/1R3P1K/6PP/8/8 w - -,g3g4 h5g4 h3g4 f5a5 b4b6 f6f7 b6c6 a5b5 c6c7 f7f8,3
rn2k2r/2q1npb1/bpp1p1p1/p2pP2p/3P1P2/P1N2N2/1PPBB1PP/R2Q1RK1 w kq -,f3h4 a6e2 d1e2 b6b5 e2d3 b8d7 h2h3 e7f5 d2e1 f5h4,51
r3qbkr/ppp3p1/7p/3p4/3p2b1/3PQ2N/PPP2PPP/R1B1K2R w KQ -,e1h1 d4e3 c1e3 g4h3 g2h3 e8e5 a1e1 f8d6 f2f4 e5b2,-703
r2q1rk1/ppp3pp/2np4/3np1B1/2P1B3/3P2Pb/PP2Nb1P/R2Q1K1R w - -,e1h1 d4e3 c1e3 g4h3 g2h3 e8e5 a1e1 f8d6 f2f4 e5b2,Mate
rnbqkb1r/pp1n1ppp/4p3/2p1P3/3p1P2/2PP4/PP1N2PP/R1BQKBNR w KQkq -,g2g3 f8e7 f1g2 e8h8 c3c4 b8c6 g1h3 a8b8 e1h1 d8c7,51
r3k2r/1b1qbppp/p3p3/1p2Pn2/8/P1Np1NP1/nQ3P1P/3R1RK1 w kq -,b2a2 b7f3 f1e1 d7d4 a2b3 a8d8 a3a4 d3d2 c3b5 a6b5,-907
2r4k/6pp/1p2pq2/p2bN3/P2P4/1P1RQPK1/6RP/5r2 w - -,g2f2 f1h1 f2d2 c8c1 d2g2 h7h6 e3f4 h1d1 d3d1 c1d1,-103
r1bq1rk1/p1p2pbp/2p3p1/8/3B4/5N1P/PPP2PP1/R2QK2R w KQ -,d1d3 f8e8 e1f1 g7d4 d3d4 c8a6 f1g1 d8d4 f3d4 c6c5,-103
8/8/5kp1/5r2/1R3PpK/7P/8/8 w - -,h3g4 f5d5 b4b6 f6f7 b6b7 f7f8 b7c7 d5a5 c7c3 f8f7,4
6r1/pp4pp/4k3/3rPp2/1P5P/2B2PP1/1P2K3/2R5 w - -,c1a1 a7a6 e2e3 g8d8 e3e2 g7g6 a1c1 d8c8 c1g1 h7h6,-169
r5rk/pp2b2q/1n2b2Q/2ppPp2/8/2PBPNR1/PP3P1P/2K3R1 w - -,c1a1 a7a6 e2e3 g8d8 e3e2 g7g6 a1c1 d8c8 c1g1 h7h6,Mate
r4rk1/1pq1n1pp/p1p1bp2/3p4/3QP3/1P3N2/PBP2PPP/R2R2K1 w - -,f3g5 e6g4 f2f3 h7h6 e4d5 c6d5 d4g4 h6g5 d1d2 a8d8,24
r2q1kr1/p2bbppp/2pp1n2/8/2PN1B2/8/PP2QPPP/RN2R1K1 w - -,d4f3 d7g4 e2d3 d8d7 b1c3 g4f3 d3f3 g7g5 f4d2 f6g4,151
4r1k1/pp3pn1/6p1/1PP1R2p/P6P/1BP3P1/3B1K2/7b w - -,e5e8 g7e8 d2f4 e8g7 f4b8 a7a5 b8c7 g7e6 c7b6 g8g7,370
r2qkb1r/pp3ppp/2n1b3/3pPp2/N2P4/5N2/PP3PPP/R1BQ1RK1 w kq -,f3e1 f8e7 c1e3 e8h8 e1d3 a8c8 a4c5 b7b6 c5e6 f7e6,35
1r3k2/bp5p/p4pp1/4pn2/2P1P3/1P3P1P/P4QP1/7K w - -,f2a7 f5g3 h1h2 g3f1 h2g1 b8d8 a7b6 d8d1 b6f6 f8g8,598
r1b1nr1k/5ppp/2Np1q2/1Bp2P2/1p2P3/p3QPR1/PPP4P/1K4R1 w - -,e4e5 d6e5 e3c5 f6d6 c5e5 d6e5 c6e5 c8f5 b5d7 a8a5,15
8/8/5kp1/3r4/1R3PPK/8/8/8 w - -,b4b6 f6f7 b6b7 f7f8 b7c7 d5b5 c7a7 b5d5 a7a2 d5b5,3
r2qk2r/pp2bppp/2n1b3/3pPp2/N2P4/5N2/PP1B1PPP/R2Q1RK1 w kq -,b2b4 e8h8 a4c5 e7c5 d4c5 d5d4 b4b5 c6e7 a1c1 a7a6,44
r1b1k2r/4bp2/p1pqpp2/3p3p/4P3/2BB4/1PP2PPP/R2Q1RK1 w kq -,a1a4 c6c5 d1f3 c8d7 a4a3 d7c6 c3f6 e7f6 f3f6 h8g8,81
2k2rr1/ppb5/2p5/2Pb4/4p1P1/4RN2/PP3PP1/4RBK1 w - -,e3e4 d5e4 e1e4 f8f4 e4f4 c7f4 f1c4 g8g7 c4e6 c8d8,54
3k4/1bp2p1p/ppp3pB/8/4q3/2N5/PP3PPP/5RK1 w - -,c3e4 c6c5 e4f6 d8c8 f1e1 b7c6 f6h7 c6d5 a2a3 d5c4,694
1B3k2/1p3pn1/p5p1/1PP4p/P6P/1BP3P1/5K2/7b w - -,c5c6 g7f5 b8f4 f8e8 c6c7 f5e7 f4g5 e7c8 b5a6 b7a6,432
2kr3r/pb2R2p/5Qp1/2q5/8/8/PPP2PPP/R5K1 w - -,f6h4 g6g5 h4g4 c8b8 a1e1 b8a8 h2h3 h7h5 g4g3 g5g4,-162
2r4k/6p1/1p2pq1p/p2bN3/P2P3P/1P1RQPK1/6R1/5r2 w - -,h4h5 h8h7 d3d2 f1h1 g2h2 h1c1 e5c4 f6d8 d2f2 d8c7,-143
4q3/7p/6p1/4k3/4p3/5P2/6PP/4R1K1 w - -,e1e4 e5f6 e4e8 g6g5 e8b8 h7h5 g1f2 f6e5 b8b5 e5f6,5636
8/8/5k2/3r1p2/1R4PK/8/8/8 w - -,,0
r1b1nr1k/5ppp/2Np1q2/1B3P2/1pp1P3/pQ3PR1/PPP4P/1K4R1 w - -,b5c4 c8d7 c6b4 d7a4 b3c3 f6c3 b2c3 g7g6 b4d5 a4d7,200
rnb2rk1/p3ppbp/1p4p1/2R5/3PP3/4BN1P/q3BPP1/3Q1RK1 w - -,c5c2 a2a3 d1d2 a3a5 d2a5 b6a5 f1c1 c8a6 g1f1 e7e6,94
8/8/7B/pp6/4b1P1/Pk6/2p5/4K3 w - -,e1d2 b3b2 h6g7 b2b1 d2e3 e4g6 e3d4 c2c1q g7f8 b1a2,-971
r2qk2r/pppnbpp1/4pn1p/7P/3P4/2PQ1NN1/PP3PP1/R1B1K2R w KQkq -,e1h1 e8h8 d3b5 d8c8 b5e2 c7c5 c1f4 c5d4 f3d4 f6d5,-35
rnb2rk1/p1ppq1pp/1p2pn2/5p2/1bPP4/2N1PN2/PPQB1PPP/R3KB1R w KQ -,f1d3 c8b7 e1h1 c7c5 a2a3 b4a5 d3e2 f6e4 d4c5 b6c5,37
4rrk1/p2qbppp/1pnn4/2p1p3/P1PpP3/1PP2NPP/3B1PB1/R2QR1K1 w - -,f3h2 e8d8 d1e2 d6b7 a1b1 b7a5 h3h4 d7e6 e2f1 d4c3,-49
r1b1nr1k/5ppp/2Np1q2/1Bp2P2/1p2P3/1Q3PR1/PpP4P/1K4R1 w - -,b3b2 f6b2 b1b2 e8c7 b5c4 c8a6 c6a5 g7g6 c4b3 a6e2,-10
8/8/8/3r1k2/1R5K/8/8/8 w - -,,0
3r4/pb1r1p1k/1p1N2pp/8/3Q4/P7/1P3P1q/2KRR3 w - -,d4f6 h2g2 d1d3 g2g5 f6g5 h6g5 d6b7 d7c7 c1d2 d8d3,-536
4rrk1/p2qb1pp/1pnn1p2/2p1p3/P1PpP3/1PP3PP/3B1PBN/R2QR1K1 w - -,h3h4 g7g6 a1b1 a7a5 h4h5 d6f7 f2f4 e8d8 d1e2 d4c3,-55
r4rk1/1pqb2pp/p1p2p2/3n2N1/3Q4/1P6/PBP2PPP/R2R2K1 w - -,c2c4 d7f5 c4d5 f6g5 d5d6 c7d7 d1e1 a8e8 h2h3 h7h6,78
2rr2k1/1p3pp1/p3p3/Pqb1PnBP/6R1/2P4Q/5P1N/4R1K1 w - -,h3g2 d8d3 h5h6 d3c3 g5f6 c5f2 g2f2 c3c2 f2e3 c8c3,17
r1b1k1nr/1p1p1ppp/p3p1n1/2q5/2P1PP2/2NB1Q2/PP4PP/R1B2RK1 w kq -,c1e3 c5f8 e4e5 f7f5 c3a4 d7d6 a4b6 d6e5 f4e5 g6e5,407
2k2r1r/pp1bqp2/2p1p3/4N1pp/1bPP1n2/5Q2/P4PPP/R1B1RBK1 w - -,e1d1 d7e8 c1f4 f7f6 e5d3 g5f4 d3b4 e7b4 f3f4 b4a5,170
8/1p2r3/1pr5/3p1pkp/3Pp3/P1B1P1P1/1P2KP2/7R w - -,h1h2 e7g7 h2h4 g5h6 h4f4 g7g5 f4h4 g5g4 h4h2 h5h4,-281
4rrk1/p2qb2p/1pnn1pp1/2p1p3/P1PpP2P/1PP3P1/3B1PBN/R2QR1K1 w - -,h4h5 d6f7 a1b1 a7a5 d1g4 d7g4 h2g4 e8d8 g2f3 g8h8,-50
8/5k2/r1b2b1r/ppN1p1pp/PP1P1nPP/R1B2K1R/3n4/5Q2 w - -,f3f2 d2f1 h4g5 f4h3 f2f1 h3g5 d4e5 f6e7 c5a6 h5g4,-593
4r1k1/1R1Rnp2/2pbq1p1/3p4/3P4/3QP2p/4NPPP/r4NK1 w - -,d7d6 e6d6 d3c3 e8a8 e2f4 h3g2 g1g2 e7f5 f1g3 f5h4,-289
4q3/7p/6p1/5k2/4pP2/8/6PP/4R1K1 w - -,g1f2 f5f4 g2g3 f4e5 h2h4 e8f7 f2g2 f7f3 g2h3 e4e3,-730
2r3k1/p2R2pp/4r3/5p2/PP3P2/2P5/6PP/3R1K2 w - -,d7a7 h7h5 d1d7 e6g6 a7c7 c8e8 d7e7 e8d8 c7d7 d8c8,552
3r4/pb3p1k/1p1r2pp/8/3Q4/P6q/1P3P1P/2KRR3 w - -,d4d6 d8d6 d1d6 h3f5 d6d2 g6g5 d2c2 b7f3 c1b1 f3h5,-685
rnbqk2r/1p3ppp/2pp1n2/p1b5/2BpP3/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,f3d4 e8h8 a2a4 b8d7 d4b3 c5b4 c4d3 d7e5 c1g5 e5d3,-17
r1b1nr1k/5ppp/2Np4/1Bp2P2/1p2P3/pQ3PR1/PqP4P/1K4R1 w - -,,0
8/8/8/5k2/3r3K/8/8/1R6 w - -,,0
5bk1/pp3pp1/2p2n2/2P3r1/1P1P3q/P3R2p/1BQ2PPK/5N2 w - -,e3g3 h3g2 h2g2 g5h5 g2f3 g7g6 f3e2 f8h6 c2d3 f6e4,-221
8/pb3p1k/1p1r2pp/8/8/P6q/1P3P1P/2KRR3 w - -,d1d6 h3f5 d6d2 b7c8 e1e3 f5b5 b2b3 b5f1 c1b2 c8f5,-732
8/8/8/8/8/3r1p2/3pk3/3R2K1 w - -,d1d6 h3f5 d6d2 b7c8 e1e3 f5b5 b2b3 b5f1 c1b2 c8f5,Mate
2k1br1r/pp2qp2/2p1p3/4N1pp/1bPP1n2/5Q2/P4PPP/R1BR1BK1 w - -,c1f4 f7f6 e5d3 g5f4 d3b4 e7b4 f3f4 b4a5 f4d6 e8f7,172
r1b2rk1/1pp2p1p/1n2pQp1/p3p3/Pq1P4/1B6/1PPN1PPP/R3K2R w KQ -,h2h4 b6d7 f6f3 e5d4 h4h5 g6g5 h5h6 b4e7 f3g3 d7c5,-131
3r2k1/1p3pp1/p3p3/Pqb1Pn1P/6R1/2P4Q/5P1N/4R1K1 w - -,g4f4 b5a5 h5h6 f5h6 h2g4 h6g4 f4g4 a5a2 e1f1 a2d2,-11
5bk1/pp3pp1/2p5/2P3r1/1P1P2nq/P6R/1BQ2PPK/5N2 w - -,h2h1 g4f2 h1h2 f2h3 g2g3 g5g3 f1g3 h3f4 h2g1 h4g3,-937
8/8/8/5k2/8/6K1/3r4/1R6 w - -,,0
r1b1k2r/1p1p1ppp/p3pnn1/2q5/2P1PP2/P1NB1Q2/1P4PP/R1B2RK1 w kq -,c1e3 c5c6 f3g3 d7d6 f4f5 e6f5 e4f5 g6e5 c3d5 e8f8,328
r4rk1/ppq1bppp/2n2n2/2p1p1N1/P1bpP3/3P2P1/1PP2PBP/R1BQR1K1 w - -,b2b4 c4e6 g5e6 f7e6 b4b5 c6d8 a4a5 c7d7 f2f4 d8f7,-390
2r5/3nk1p1/5p2/4p2Q/p1b5/3PB3/qrNK2PP/2R2R2 w - -,e3c5 d7c5 h5h7 c4f7 f1f2 b2c2 c1c2 c5b3 d2e3 c8c2,-652
rr4k1/1R1Rnp2/2pbq1p1/3p4/3P4/3QP2p/4NPPP/5NK1 w - -,g2h3 b8b7 d7b7 e7f5 e2g3 f5h4 d3e2 e6h3 f2f4 a8a1,-171
5n2/4k1p1/5pQ1/4p3/p1r5/4B3/qrNK2PP/2R2R2 w - -,g6h5 b2c2 c1c2 c4c2 d2e1 a2b3 e3d2 b3b2 f1f2 a4a3,-761
r2qkbnr/pp1n2pp/2p2pb1/3pP3/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq -,e5f6 g8f6 e2e3 f8d6 f1d3 g6h5 b1c3 e8h8 e1h1 d7c5,-52
r3r1k1/2qbbppp/p2p1n2/n7/Pp1pP3/4NN1P/1PBB1PP1/R2QR1K1 w - -,e3g4 f6g4 h3g4 d7g4 a1c1 c7b6 e4e5 d6e5 e1e5 e7f6,-135
r2qk2r/pp1n1pp1/3ppn1p/7P/3P4/3Q1NN1/PPP2PP1/R3K2R w KQkq -,d3e2 d8a5 c2c3 a8c8 a2a4 a7a6 f3d2 e8h8 e1h1 d6d5,-52
r3nrk1/ppq1bppp/2n5/2p1p1N1/P1PpP3/6P1/1PP2PBP/R1BQR1K1 w - -,g5f3 b7b6 b2b3 e8d6 e1e2 a7a6 c1d2 g8h8 g1h1 g7g6,-17
r1bq3r/ppp2kPp/8/3p4/1b1Pn3/8/PP2QPPP/RNB1KB1R w KQ -,e2d2 b4d2 b1d2 h8e8 d2e4 e8e4 f1e2 f7g7 c1e3 e4e3,-478
8/1p5r/1pr5/3p1pkp/3Pp2R/P1B1P1P1/1P2KP2/8 w - -,f2f3 h7h8 e2f2 h8a8 f2g2 b6b5 f3e4 f5e4 c3b4 c6c2,-287
r3nr1k/1b3ppp/2Np1q2/1Bp2P2/1p2P3/pQ3PR1/PPP4P/1K4R1 w - -,b2a3 b4a3 f3f4 c5c4 b3c3 f6c3 g3c3 e8c7 c6d4 b7e4,-64
5bk1/pp3pp1/2p5/2P3r1/1P1P2n1/P6q/1BQ2PP1/5NK1 w - -,c2d2 h3h5 a3a4 g5g6 d4d5 h5d5 d2d5 c6d5 b2d4 g6e6,-498
8/6kp/8/R7/2BK2P1/8/p5r1/8 w - -,c4e6 g7f6 e6f5 h7h5 g4h5 g2g1 a5a2 f6f5 a2h2 g1d1,1
1R6/5p2/5Pk1/p3K1p1/r5n1/8/8/8 w - -,e5d5 g4h6 d5c6 g5g4 b8b3 a4c4 c6d5 c4f4 b3e3 g6g5,-873
3k4/ppp3p1/7p/5b2/4p3/2P4P/PP2BPP1/6K1 w - -,h3h4 f5e6 a2a3 d8e7 e2b5 e6d5 g1f1 e7d6 f1e2 b7b6,6
r1b1k2r/1p1p1ppp/p3pnn1/8/2P1PP2/P1NBBQ2/1q4PP/R4RK1 w kq -,e3d4 g6h4 f3g3 b2g2 g3g2 h4g2 e4e5 f6h5 g1g2 b7b5,437
r2qkb1r/ppp1pppp/1n3n2/3p4/3P2b1/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,f3e5 g4h5 a2a4 a7a5 d1e1 c7c6 c1d2 b6c8 c2c4 e7e6,66
rr4k1/1R1Rnp2/2p1q1p1/3p4/3P1b2/3QP2p/5PPP/5NK1 w - -,g2g3 f4d6 d3d1 e6e4 f2f3 e4e6 d1c2 b8b7 d7b7 e7f5,-505
8/8/8/5k2/8/3r2K1/8/R7 w - -,,0
r1b1kb1r/p1ppqppp/1pnn4/4N3/3P1B2/6P1/PPP1QP1P/RN2KB1R w KQkq -,e5c6 d7c6 b1d2 e7e2 f1e2 c8h3 f2f3 f7f6 c2c3 e8f7,32
r4rk1/ppp3pp/3p2q1/8/2P1R3/1P4P1/PQ3PbP/4R1K1 w - -,e4e7 g2h3 b2e2 a8d8 e7c7 d8d7 c7d7 h3d7 e2d2 g6f6,-427
4nk2/pp4bp/1n1p2p1/1Q6/P2PpqP1/7P/1P3P2/2R1R1K1 w - -,b5b4 b6d5 b4c4 e4e3 e1f1 e3e2 c4e2 g7d4 g1g2 f4c1,-114
r4nk1/1b2qrp1/2n4R/3pP3/2pP4/4B3/P5RP/1B2QN1K w - -,f1g3 c6e5 g3f5 f7f5 b1f5 g8f7 e1g1 g7h6 g2g7 f7e8,443
r3nr1k/3b1ppp/2Np1q2/1Bp2P2/1p2P3/pQ3PR1/PPP4P/1K4R1 w - -,c2c4 b4c3 b3c3 f6c3 b2c3 a8c8 c6e7 c8b8 c3c4 d7b5,-100
1R6/5p1k/5P2/p3K1p1/r5P1/8/5n2/8 w - -,b8a8 a4f4 e5d6 f2g4 a8a5 h7g6 d6c6 g4f6 a5a2 g5g4,-778
rnbq1rk1/ppp2pbp/6p1/4P3/2P1P1n1/2N2N2/PP4PP/R1BQKB1R w KQ -,d1d8 f8d8 c3d5 d8d7 c1f4 c7c6 a1c1 g6g5 f4g5 c6d5,68
2rqr1k1/p4ppp/8/8/2bpNPn1/6P1/P2QP1BP/2R1R1K1 w - -,g2h3 h7h5 e4f2 d8d7 c1d1 e8d8 d2a5 c4e6 h3g4 h5g4,-57
8/7p/4Bk2/R7/3K2P1/8/p5r1/8 w - -,,0
5r2/pp4pp/4k3/3rP3/1P3p1P/2B2PP1/1P2K3/2R5 w - -,c1g1 f4g3 g1g3 d5d7 h4h5 f8f5 g3h3 d7f7 e2e3 f7f8,-185
8/1p5r/1p4r1/3p1pkp/3Pp2R/P1B1P1P1/1P1K1P2/8 w - -,d2e1 g6c6 e1f1 h7g7 f1g2 b6b5 g2g1 g7c7 g1g2 c7c8,-285
r1b2rk1/1ppn1p1p/4p1p1/p3Q3/Pq1P4/1B6/1PPN1PPP/R3K2R w KQ -,e5g3 b4d4 e1a1 d7c5 h2h4 c8d7 h4h5 d7c6 c1b1 d4f6,-46
5bk1/pp3pp1/2p5/2P3r1/1P1P4/P3n2P/1BQ2P2/5NK1 w - -,f1g3 e3c2 g1g2 g5d5 h3h4 c2e1 g2f1 e1d3 b2c3 d3f4,-566
r1bqr3/ppp2kPp/8/3p4/1b1Pn3/8/PP2QPPP/RNBK1B1R w - -,h2h3 f7g7 c1e3 c7c5 a2a3 b4a5 b2b4 c5b4 e2h5 d8f6,-179
8/8/8/8/5k2/3r4/5K2/R7 w - -,,0
r2qk2r/pp3ppp/2pb1n2/3p3b/8/1P2PN1P/P1PBBPP1/R2QK2R w KQkq -,f3d4 h5g6 e1h1 e8h8 c2c4 d8e7 c4d5 f6d5 e2c4 d5b6,-73
r2qkb1r/ppp1pppp/1n3n2/3pNb2/3P4/6P1/PPP1PPBP/RNBQ1RK1 w kq -,c2c4 e7e6 c4c5 b6d7 c5c6 b7c6 e5c6 d8c8 d1a4 d7b6,55
2r2r2/1p3p1k/p3p2p/Pqb1PnB1/6R1/2P4Q/5P1N/4R1K1 w - -,g4f4 f8g8 f4f5 g8g6 f5f7 h7g8 f7f6 g6g5 g1h1 b5c6,343
2k1br1r/pp6/2p1pp2/7p/1qPP1p2/5Q2/P4PPP/R2R1BK1 w - -,f3f4 b4a5 f4d6 e8f7 a1b1 a5c7 d6a3 f7g6 f1d3 g6d3,183
r3k2r/2q2pp1/p1p2n1p/1pb1p3/4P3/3B4/PPPBQPPP/R4R1K w kq -,f2f4 c5d6 a1e1 a8d8 a2a4 c7e7 f1f3 e8h8 f4f5 d6c5,56
1rbq3r/4ppk1/p1pp1np1/np5p/2PPPNPP/2N2P2/PP1Q4/2KR1B1R w - -,c4b5 h5g4 b5a6 d8b6 e4e5 d6e5 d4e5 f6d5 f4d5 c6d5,34
8/8/8/8/5k2/8/3r1K2/1R6 w - -,,0
r1b2r1k/2n2ppp/2Np1q2/1Bp2P2/1p2P3/pQ3PR1/PPP4P/1K4R1 w - -,c2c4 b4c3 b3c3 f6c3 b2c3 c7b5 b1c2 c8d7 c6e7 a8e8,-345
3k4/ppp3p1/7p/5b2/8/2P2p1P/PP2B1P1/6K1 w - -,,0
r1b2rk1/1p1n1p1p/4p1p1/p1p5/Pq1P4/1B2Q3/1PPN1PPP/R3K2R w KQ -,e3h6 c5d4 h2h4 d7c5 h4h5 c5b3 c2b3 b4e7 h5g6 f7g6,-117
2r2rk1/1p3p2/p3p1pP/Pqb1Pnp1/6R1/2P4Q/5P1N/2B1R1K1 w - -,h6h7 g8h8 c1g5 c5e7 g5e7 f5e7 h3h4 e7f5 h4f6 f5g7,282
5r2/pp5p/4k1p1/3rP3/1P3pPP/2B2P2/1P2K3/2R5 w - -,e2f2 h7h6 c1a1 a7a6 a1a4 d5b5 a4a1 f8c8 a1e1 c8c4,-245
r1bq1rk1/p1p1npp1/1p1p1n1p/4p3/2P1P3/2PP1N2/P1Q1BPPP/R1B2RK1 w - -,d3d4 e7g6 a2a4 c8d7 f3e1 c7c5 d4d5 g6f4 e1d3 f6h5,-11
r4rk1/1pqbn1pp/p4p2/3p2N1/3Q4/1P6/PBP2PPP/R2R2K1 w - -,d1d2 f8e8 g5e4 d5e4 d4d7 c7d7 d2d7 b7b5 a1e1 a8c8,15
3r4/pb3p1k/1p1r1Qpp/8/8/P7/1P3P1q/2KRR3 w - -,f6f7 h7h8 e1e8 d8e8 f7e8 h8g7 e8e7 g7g8 e7d6 h2d6,462
4nk2/pp5p/1n1p2p1/PQ6/3bpqP1/7P/1P3P2/2R1R1K1 w - -,b5f1 b6d7 e1d1 d7e5 f1g2 d6d5 g1f1 e5d3 g2g3 f4g3,-339
