3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
1r4k1/r4pp1/2n2qp1/3p4/5P2/1N5P/PP1QR3/1K1R4 w - -,d2c3 f6f5 c3c2 f5c2 e2c2 c6b4 c2c5 a7a2 c5c7 a2a8,-98
r2q1rk1/p4ppp/2nbpn2/1p1p4/1PpP4/2P1PNB1/P1QN1PPP/R3K2R w KQ -,a1b1 a7a5 a2a3 a8a7 g3h4 d8c7 e1h1 f8a8 h4f6 g7f6,-108
4r1k1/2q1rpp1/ppPp1bnp/3P4/5P1P/1P2B1P1/P2Q2B1/3RR1K1 w - -,h4h5 g6f8 e3f2 b6b5 e1e7 e8e7 g2f3 a6a5 d1e1 b5b4,408
8/1r6/5p2/2p4p/p3RK2/PP1k2P1/7P/8 w - -,e4c4 a4b3 c4c5 b3b2 c5d5 d3c4 d5d1 b2b1q d1b1 b7b1,-591
rnbq1rk1/pp2pp1p/2p2npQ/4p3/3P2P1/2N2P2/PPP5/R3KBNR w KQ -,d4e5 f8e8 e5f6 e7f6 g1e2 d8d6 h6h7 g8f8 h7h6 f8e7,546
r1bqk2r/3nbpp1/2n1p2p/p2pP3/Pp1P4/1PpQBN1P/N1P1BPP1/R4RK1 w kq -,d3d1 d8b6 a2c1 g7g5 e2b5 c8a6 b5a6 b6a6 f3e1 e8a8,-51
3r4/p1p4p/2k3p1/2p1B3/5PP1/2P1R3/P1b2K1P/8 w - -,f2g3 d8d2 h2h3 d2d3 e3d3 c2d3 g3h4 d3f1 a2a4 c6d7,17
8/1k3p2/1P2pP2/K2pP1pp/3P2P1/8/8/8 w - -,g4h5 g5g4 h5h6 g4g3 h6h7 g3g2 h7h8q g2g1q h8d8 g1a1,Mate
r4rk1/pp3pp1/5b1p/3NpP2/4P3/P7/1Pq3PP/R3QRK1 w - -,e1c1 c2c1 f1c1 a8c8 g1f2 f6g5 c1c3 c8c6 f2e2 f8c8,53
8/8/6b1/8/8/8/4Q3/2k2K2 w - -,e1c1 c2c1 f1c1 a8c8 g1f2 f6g5 c1c3 c8c6 f2e2 f8c8,Mate
r1b1r1k1/pp3pbp/1npp1np1/q7/2PNP3/4B1PP/PPQ1NPB1/3R1RK1 w - -,b2b3 d6d5 e4d5 c6d5 c4c5 b6d7 c2b1 e8e3 b3b4 a5d8,134
r5k1/r4pp1/2n2qp1/3p4/5P2/1N5P/PP1QR3/1K1R4 w - -,d2d5 a7a2 d5g5 a2a4 g5f6 g7f6 f4f5 c6e5 f5g6 f7g6,-29
