rnbqkbnr/pppp1pp1/4p3/7p/3P4/6P1/PPP1PP1P/RNBQKBNR w KQkq -,c2c4 h5h4 g3h4 d7d5 b1c3 d5c4 g1f3 a7a6 f1g2 g8e7,83
r1bqk2r/pp3ppp/2nbpn2/2pp4/8/1PN2NP1/PBPPPPBP/R2QK2R w KQkq -,e2e3 e6e5 d2d3 e8h8 e1h1 c8e6 h2h3 h7h6 f3d2 d8d7,-87
r1bqk1nr/pppp1pp1/2nb3p/8/2BPPp2/5N2/PPP3PP/RNBQK2R w KQkq -,a2a3 g7g5 b1c3 d6f8 d4d5 c6a5 d1d4 g8f6 e4e5 f6h5,218
r1bqk1nr/pppp1p2/2nb3p/6p1/2BPPp2/5N2/PPP3PP/RNBQ1RK1 w kq -,e4e5 d6f8 d4d5 c6a5 c4d3 b7b5 b1c3 c8b7 a2a3 f8g7,151
rnb1kb1r/ppp1pppp/8/q2n4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3 c8f5 e1h1 f5d3 d1d3 d5c3 b2c3 a5a6 c3c4 b8d7,145
8/8/4k3/6p1/6P1/8/5K1P/8 w - -,f1e2 d5c3 b2c3 g7g6 c1d2 f8g7 e1h1 e8h8 f1e1 c7c5,Mate
rnbq1rk1/ppp1bppp/4pn2/3p4/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQ -,h2h4 c7c5 f1d3 d8b6 a1b1 c8d7 d3c2 b8c6 e1h1 f8d8,79
rnbqkb1r/4pp1p/p2p1np1/1PpP4/8/4PN2/PP3PPP/RNBQKB1R w KQkq -,a2a4 f8g7 b1c3 e8h8 e3e4 e7e6 d5e6 c8e6 c1e3 d8a5,108
8/8/8/8/3K4/1k2N3/8/5B2 w - -,f1c4 b3b2 c4e6 b2b1 d4c3 b1a1 e6f5 a1a2 f5d3 a2a1,7594
r2qkb1r/ppp3pp/2nppn2/8/3pP3/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,c3a4 b7b5 c2c3 b5a4 c3d4 d8d7 c1g5 f8e7 f1e1 e8h8,-264
rnbq1rk1/ppppppbp/5np1/8/3P1B2/3Q1N2/PPP1PPPP/RN2KB1R w KQ -,e2e3 d7d5 b1c3 c7c5 f1e2 b8c6 e1h1 c8f5 d3b5 f6h5,-58
rnbqk2r/pppp1ppp/5n2/4p3/1b1PP3/5P2/PPP3PP/RNBQKBNR w KQkq -,c2c3 b4f8 d4e5 f6h5 c1e3 g7g6 d1d5 b8c6 b1d2 d7d6,274
r3kb1r/ppp1pppp/2n2n2/5q2/8/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,a2a3 e8a8 d2d3 e7e5 c1e3 h8g8 b2b4 g7g5 c3e2 e5e4,-37
r1bqk2r/ppppnppp/2nb4/8/2BPPp2/5N2/PPP3PP/RNBQK2R w KQkq -,c2c3 c6a5 c4d3 c7c5 e4e5 d6c7 d4c5 e7g6 d3g6 h7g6,176
r1b1kbnr/ppp1qppp/8/4Q3/8/8/PPP2PPP/RNB1KB1R w KQkq -,e5e2 c8f5 c1g5 g8f6 b1d2 e8a8 e2e7 f8e7 e1a1 h7h6,-56
rnb1kbnr/ppp2ppp/8/q7/2B1p3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,c3e4 f8e7 e1h1 g8f6 e4f6 g7f6 d2d4 h8g8 c2c3 a5h5,544
r3k2r/pppqbppp/2np1n2/4p3/4PPb1/2PP1N2/PP2B1PP/RNBQ1RK1 w kq -,h2h3 g4f3 e2f3 d6d5 e4d5 f6d5 f4e5 c6e5 f3e4 a8d8,94
r2qk2r/pppn1ppp/3bpn2/3p4/3P4/3QPNB1/PPP2PPP/RN2K2R w KQkq -,e1h1 d6g3 h2g3 c7c5 b1d2 c5d4 e3d4 e8h8 a2a4 a8c8,-11
rnbq1rk1/pp2b1pp/2p2n2/3ppp2/2P5/2N1P1P1/PP1PNPBP/R1BQ1RK1 w - -,d1b3 d5c4 b3c4 g8h8 d2d4 e5e4 f2f3 e4f3 f1f3 b8d7,-65
r1b2rk1/p1p2Npp/2p5/4q3/1P2P3/8/1pP2PPP/R1BQR1K1 w - -,a1b1 b2c1q f7e5 c1d1 b1d1 a7a5 d1a1 a5a4 a1a3 c6c5,453
r2qk1nr/p1p2ppp/np2p3/3pP3/1b1P4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,c1d2 b4c3 d2c3 c7c5 c3d2 g8e7 h2h4 a6b4 h4h5 h7h6,62
rnbqkb1r/pp1p1ppp/4pn2/8/3p4/1P2PN2/P1P2PPP/RNBQKB1R w KQkq -,c2c4 d4e3 c1e3 b8c6 f1e2 f8b4 e3d2 b4e7 b1c3 d7d5,-155
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/P1P2N2/1P1P1PPP/RNBQK2R w KQ -,c4b3 d7d5 d2d4 e5d4 e4d5 f8e8 e1f1 c8g4 d5c6 d4d3,-158
r1bqkb1r/pp1p1ppp/2n1pn2/8/3N4/1P2P3/P1P2PPP/RNBQKB1R w KQkq -,c2c4 d7d5 d4c6 b7c6 b1d2 f8d6 f1e2 e8h8 d1c2 d8e7,-19
8/8/8/7k/5K2/1B3N2/8/8 w - -,c2c4 d7d5 d4c6 b7c6 b1d2 f8d6 f1e2 e8h8 d1c2 d8e7,Mate
r2qkbnr/pp1b1ppp/2npp3/8/2BNP3/2P5/PP3PPP/RNBQK2R w KQkq -,,0
r1bqk2r/pp3ppp/2n2n2/2b1p3/2P5/5N2/PP1PBPPP/RNBQK2R w KQkq -,h2h3 e5e4 f3h2 d8d4 e1h1 e8h8 b1c3 f8d8 a2a3 a7a5,-229
r2q1rk1/5ppp/3p4/2nPpb2/1p2N3/6P1/1P2PPBP/1QR2RK1 w - -,h2h4 c5b3 c1d1 d8e7 b1c2 b3c5 c2c4 f5e4 g2e4 f7f5,-173
rnbq1rk1/pp3pbp/2p2pp1/3p4/3P4/2P1PN2/PP1N1PPP/R2QKB1R w KQ -,a2a3 a7a5 b2b4 f6f5 f1d3 a5a4 g2g3 b8d7 d1c2 d8e7,-54
8/8/8/4k1p1/6P1/8/6KP/8 w - -,a2a3 a7a5 b2b4 f6f5 f1d3 a5a4 g2g3 b8d7 d1c2 d8e7,Mate
r1bqk2r/pp1p1ppp/2n2n2/4p3/1bP5/2NQ1N2/PP2PPPP/R1B1KB1R w KQkq -,d3c2 e5e4 f3d2 e4e3 f2e3 e8h8 c3d5 b4a5 a2a3 f6d5,-144
rnbqkb1r/pp3ppp/2p5/3pp1N1/2PP4/4P3/PP3PPP/RN1QKB1R w KQkq -,g5f7 e8f7 d4e5 f7e8 b1c3 d5c4 f1c4 d8d1 a1d1 b8d7,-315
r2qkb1r/pp1b2pp/2n1pn2/1Bpp2B1/3P4/5N2/PPP2PPP/RN1QK2R w KQkq -,c2c3 d8b6 b5c6 b7c6 e1h1 f8d6 d4c5 b6c5 b1d2 e8h8,-17
r1bq1rk1/pppp1ppp/2n5/2b1p3/2B1n3/1QP2N2/PP1P1PPP/RNB2RK1 w - -,b3c2 d7d5 c4b5 c5f2 g1h1 f2b6 d2d3 e4c5 b1d2 c5d7,-297
rnbqkbnr/6pp/1p1p1p2/p1p1p3/P1P1P3/1P1P1P2/6PP/RNBQKBNR w KQkq -,b1c3 b8c6 f3f4 g7g6 g2g3 g8e7 f1g2 c6b4 f4f5 c8b7,35
rnb1k2r/pp2ppbp/2pp1np1/q7/2PPP3/2N2N1P/PP3PP1/R1BQKB1R w KQkq -,c1d2 e8h8 f1e2 e7e5 d4d5 a5d8 e1h1 c6d5 c4d5 f6e8,97
rn1q1rk1/ppp1bppp/3p1n2/8/2BNP1b1/8/PPP2PPP/RNBQR1K1 w - -,f2f3 c7c5 d4e2 g4e6 b1a3 d6d5 e4d5 e6d5 e2c3 d5c4,83
r1bqkbnr/pp2pp1p/2np2p1/8/4P3/5N2/PPPQ1PPP/RNB1KB1R w KQkq -,f1b5 f8g7 e1h1 c8g4 d2f4 g4f3 f4f3 a8c8 b1c3 g8f6,-8
r1bqk1nr/pp2ppbp/2np2p1/8/4P3/2N2N2/PPPQ1PPP/R1B1KB1R w KQkq -,h2h3 g8f6 f1c4 c8d7 e1h1 e8h8 d2e2 h7h6 c1e3 g6g5,36
rnbqk2r/ppp2ppp/4pn2/8/3P4/2B2N2/PPP2PPP/R2QKB1R w KQkq -,f1b5 c8d7 d1e2 d7c6 e1a1 d8d5 b5c4 d5e4 f3e5 e4e2,117
r1b1kb1r/pp1n1ppp/1qn1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R w KQkq -,d3c2 c5d4 c3d4 f7f6 e5f6 d7f6 b1c3 f8d6 e1h1 c8d7,72
r1bqkb1r/pp3ppp/5n2/1Nppn3/5B2/4P3/PPP2PPP/R2QKBNR w KQkq -,f4e5 f8e7 b5c7 e8f8 c7a8 f6e8 e3e4 d5d4 f1c4 h7h5,953
r1bq1rk1/1pppnppp/1b3n2/pP2p3/P1B1P3/2PP1N2/5PPP/RNBQK2R w KQ -,f3e5 c7c6 e1h1 d7d5 e4d5 c6d5 c4b3 e7g6 d3d4 f8e8,64
rnbqkb1r/ppp2ppp/3p4/2PpP3/2B5/8/PP1P1PPP/R1BQK1NR w KQkq -,c4f1 d6e5 d2d4 e5d4 d1d4 b8d7 d4d5 f8c5 d5e4 d8e7,-309
r2qkb1r/pp3ppp/2n1b3/1Npp4/4nB2/4P3/PPP2PPP/R2QKBNR w KQkq -,b5c7 e8d7 f1d3 e4d6 c7a8 g7g5 f4g3 h7h5 h2h4 c5c4,259
5k2/p1p2pp1/7p/6r1/8/PP3P2/1BP3PP/1K6 w - -,g2g4 g5d5 b1c1 f7f6 b2c3 f6f5 h2h4 f8f7 a3a4 f5g4,-333
r1bq1rk1/1ppp1pp1/2n2n1p/p1b1p1B1/P1B1P3/2PP1N2/1P3PPP/RN1QK2R w KQ -,g5d2 d7d5 e4d5 f6d5 e1h1 c8g4 b1a3 g4h5 f1e1 c5a3,-104
r1bqkb1r/ppp2ppp/2pn4/4N3/8/8/PPPP1PPP/RNBQ1RK1 w kq -,d2d3 f8e7 c1f4 e8h8 f1e1 f8e8 b1d2 c8e6 a2a4 e7f8,-42
rnbqkb1r/pp3ppp/1n1pp3/2p1P3/8/1BP2N2/PP1P1PPP/RNBQK2R w KQkq -,e1h1 b8c6 e5d6 f8d6 d2d4 e8h8 d4c5 d6c5 d1c2 h7h6,42
5k2/p1p2pp1/7p/7r/7P/1P3P2/PBP3P1/1K6 w - -,b2d4 a7a6 g2g3 h5d5 c2c3 c7c5 d4f2 d5d3 c3c4 d3f3,-359
