r1bqkbnr/pp1n1ppp/4p3/2PpP3/8/2P5/PP3PPP/RNBQKBNR w KQkq -,f1b5 f8c5 d1e2 g8e7 g1f3 e8h8 b1d2 e7g6 d2b3 d8c7,-21
rnbqkbnr/pp1p2pp/4p3/2p2p2/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -,d2d3 d7d6 e2e4 e6e5 e4f5 c8f5 h2h3 b8c6 g2g4 f5d7,96
r1bqkbnr/pp1ppp1p/2n3p1/2p4P/4P3/8/PPPP1PP1/RNBQKBNR w KQkq -,b1c3 g6g5 g1e2 f8g7 h5h6 g8h6 d2d3 e7e6 e2g3 h6g8,53
rnbkqbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBKQBNR w KQkq -,d2d4 d7d6 e2e4 e7e5 g1f3 b8c6 d4d5 c6e7 c2c4 f7f5,59
8/8/8/1p3k2/8/KN5p/8/8 w - -,b3d2 f5g6 d2f1 g6h5 f1g3 h5g4 g3f1,Mate
rn1qkbnr/pp3ppp/2p1p3/3pP3/4bPP1/5N2/PPPP3P/RNBQKB1R w KQkq -,d2d4 c6c5 d4c5 h7h5 b1c3 h5g4 c3e4 g4f3 e4g5 f3f2,-101
r2qkbnr/pp3ppp/4p3/2ppPb2/1n1P1P2/N4N2/PPP3PP/R1BQKB1R w KQkq -,f1e2 b4c6 e1h1 g8h6 c2c3 c5d4 f3d4 f8a3 b2a3 c6d4,-62
rnbqk2r/p1p2pp1/4pn1p/1p4B1/1bpPP3/2N2N2/PPQ2PPP/R3KB1R w KQkq -,g5h4 g7g5 h4g3 c8b7 d4d5 e6d5 e4d5 d8d5 f1e2 e8h8,-213
r2qkb1r/ppp3pp/2np1n2/8/2BPP1b1/8/PPP2PPP/RNBQ1RK1 w - -,d1e1 c6d4 e1c3 b7b5 c3d4 b5c4 d4c4 d8d7 b1c3 c7c6,-301
r1bqkb1r/p4ppp/2p1p2n/2ppP3/5P2/5N2/PPPP2PP/RNBQK2R w KQkq -,e1h1 d8b6 d2d3 c5c4 d3d4 c6c5 b1c3 c5d4 f3d4 h6f5,-75
r1bqk1nr/pp1p1ppp/2n5/4p3/1b2P3/2N1B3/PP3PPP/R2QKBNR w KQkq -,g1f3 g8f6 f1c4 d7d6 d1d3 e8h8 e1h1 b4c3 b2c3 c6a5,-186
rnbqkb1r/pp3ppp/4pn2/2p5/2pP4/P1N2N2/1P2PPPP/R1BQKB1R w KQkq -,d1a4 b8d7 e2e3 a7a6 f1c4 f8e7 d4c5 e8h8 a4c2 e7c5,-51
rn1qkb1r/ppp1pppp/5n2/5b2/3P1B2/2N5/PPP2PPP/R2QKBNR w KQkq -,f1d3 f5d3 d1d3 c7c6 e1a1 e7e6 c1b1 b8d7 h2h4 a7a5,80
rnbqkb1r/ppp2ppp/4pn2/8/3P1B2/2N5/PPP2PPP/R2QKBNR w KQkq -,g1f3 f8d6 d1d2 e8h8 e1a1 a7a6 f1d3 b7b5 f3e5 c8b7,77
1k1r4/1ppQ3p/p4r2/8/1qP2p2/5N2/PP3PPP/2KRR3 w - -,d7d8 b8a7 d8f6 b4c5 f6d4 c5d4 d1d4 h7h5 d4f4 b7b5,7576
rnbqk2r/ppppppbp/5np1/8/3P4/4BP2/PPP1P1PP/RN1QKBNR w KQkq -,c2c3 d7d5 e3f2 e8h8 e2e3 b8d7 f1e2 f8e8 f3f4 f6e4,-113
3qrk2/p1r3p1/1p2pb2/nP1bN3/3P4/P1N4R/5PPP/R5K1 w - -,h3h8 f8e7 c3d5 d8d5 h8e8 e7e8 a1f1 d5b5 e5f3 b5b3,-1307
r1bq2kr/ppp3pp/8/3pN3/1n1Pn3/1Q6/PP3PPP/RN2K2R w KQ -,b1d2 e4d2 b3b4 d2e4 b4a5 c8e6 e1h1 h7h5 f2f3 e4d6,-463
rnbqkb1r/ppppppp1/5n2/7p/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq -,d2d4 c7c6 c2c4 d7d5 b1c3 d5c4 f1g2 c8f5 e1h1 b8d7,81
rnbq1rk1/ppp2ppp/3bpn2/8/3P1B2/2N2N2/PPPQ1PPP/R3KB1R w KQ -,e1a1 a7a6 f1d3 b7b5 f3e5 c8b7 f4g5 b8c6 d2f4 c6e7,95
rnbqk1nr/3pppbp/p5p1/1PpPP3/8/5P2/PP4PP/RNBQKBNR w KQkq -,c1f4 d7d6 e5d6 g8f6 b1c3 e8h8 d1d2 e7d6 f1d3 c8b7,-42
r1bqkb1r/ppp1pppp/2np4/8/3Pn3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,d4d5 e7e5 d5c6 b7c6 b1d2 e4c5 d2b3 c5e6 b3a5 c8d7,340
r1bqkbnr/pp3ppp/2n5/3pp3/Q7/6B1/PPP1PPPP/RN2KBNR w KQkq -,c2c3 c8d7 e2e3 f7f5 f1b5 g7g5 f2f4 f8c5 g1f3 g5f4,-145
rnbqkbnr/pp1p1ppp/4p3/8/3Q4/2N5/PPP1PPPP/R1B1KBNR w KQkq -,d4d3 b8c6 e2e4 g8f6 g1f3 f8e7 e4e5 f6g4 c1f4 f7f6,30
r1bqkb1r/ppp1pppp/3p4/3Pn3/4n3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,f3e5 d6e5 d1a4 c7c6 d5c6 e4f2 c6c7 d8d7 f1b5 a7a6,768
r4b1r/pppq1kpp/2n1b3/3n4/2Bp4/8/PPP2PPP/RNBQR1K1 w - -,c1g5 c6a5 c4f1 a8e8 c2c4 e6g4 f2f3 d5e3 g5e3 d4e3,-482
r1bqkb1r/ppp1pppp/8/3Pp3/4n3/2P5/PP3PPP/RNBQKB1R w KQkq -,d1a4 d8d7 a4e4 e7e6 d5e6 d7e6 f1c4 e6f5 b1d2 f5e4,738
r1bqkbnr/pp1p1ppp/2n5/4p3/Q4B2/8/PPP1PPPP/RN2KBNR w KQkq -,f4e5 c6e5 b1c3 g8f6 g1f3 e5f3 e2f3 d8e7 f1e2 e7b4,-471
r1bqk2r/pp2bppp/2n2n2/2pp4/8/P4N2/BPPP1PPP/RNBQ1RK1 w kq -,b1c3 e8h8 h2h3 f8e8 f1e1 c8e6 d2d3 h7h6 c3e2 a8c8,-66
