RR6/p7/p5K1/k7/8/8/p7/8 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,Mate
1R6/R7/p5K1/k7/8/8/8/q7 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,Mate
R1R5/p7/p5K1/8/8/8/pk6/8 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,Mate
1RR5/p7/p5K1/8/8/k7/p7/8 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,Mate
1R6/p7/p5K1/8/k7/8/p7/2R5 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,Mate
1R6/p7/p5K1/8/8/k7/p7/R7 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,Mate
8/1k6/8/1K6/1N1B4/8/8/8 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,Mate
R2R4/p7/p5K1/8/8/8/p1k5/8 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,Mate
2RR4/p7/p5K1/8/8/8/pk6/8 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,Mate
r1bqkb1r/pp3ppp/2n1pn2/1B1p4/2PP4/2N5/PP3PPP/R1BQK1NR w KQkq -,c4c5 f8e7 b5c6 b7c6 g1f3 e8h8 f3e5 c8b7 e1h1 f6d7,46
8/8/1B6/4K3/8/3B1k2/8/8 w - -,a2a3 d5c4 g1f3 h7h6 d1e2 f8e7 c1e3 e8h8 b5c4 e7d6,Mate
8/8/1B6/5K2/8/3B2k1/8/8 w - -,a2a3 d5c4 g1f3 h7h6 d1e2 f8e7 c1e3 e8h8 b5c4 e7d6,Mate
8/8/1B6/5K2/8/7k/4B3/8 w - -,a2a3 d5c4 g1f3 h7h6 d1e2 f8e7 c1e3 e8h8 b5c4 e7d6,Mate
B1r1b1k1/5pPp/1R3P1P/8/8/1P6/1K6/8 w - -,a8d5 e8c6 d5c6 c8a8 c6a4 a8e8 b2a3 e8a8 b6e6 f7e6,860
r1bq1rk1/pp2ppbp/6p1/3p4/3Qn3/2N1BP2/PPP1B1PP/2KR3R w - -,d4g7 g8g7 f3e4 d5d4 e3d4 g7g8 d4e3 d8a5 c3d5 f8e8,-350
r1bq1k1r/pppnb2p/4pp2/1B5Q/4N3/8/PPP3PP/2KR2NR w - -,g1h3 d8e8 h5h6 f8g8 b5d7 e8g6 h6e3 e6e5 d7c8 a8c8,896
r1bqk2r/pppp1pp1/2n2n1p/2b5/2B1PB2/2N2N2/PP3PPP/R2QK2R w KQkq -,d1c2 d7d6 e1a1 f6h5 f4d2 e8h8 h2h3 c6b4 c2b3 a7a5,-84
r1bq1rk1/ppp2ppp/2n1pn2/8/QbBP1B2/2N1P3/PP3PPP/R3K1NR w KQ -,g1e2 b4d6 e1h1 a7a6 a2a3 e6e5 d4e5 c6e5 c4a2 c8f5,74
r1bqkb1r/pppnpp1p/3p1np1/8/1P6/P3P3/1BPP1PPP/RN1QKBNR w KQkq -,f1e2 f8g7 g1f3 e8h8 c2c4 e7e5 d2d3 f8e8 e1h1 c7c6,19
8/5p2/6p1/2k1K1P1/8/8/8/8 w - -,f1e2 f8g7 g1f3 e8h8 c2c4 e7e5 d2d3 f8e8 e1h1 c7c6,Mate
8/1kr2K2/3p4/1n2p3/R7/p3N3/5P2/8 w - -,f7f8 c7c8 f8e7 c8a8 a4b4 b7b6 e3c2 a3a2 f2f4 e5f4,-527
r1bqk2r/ppppbppp/2n4n/6NQ/3pP3/8/PPP2PPP/RNB1KB1R w KQkq -,g5f3 d7d6 c1h6 g7h6 b1d2 e7f8 f1c4 d8e7 e1h1 f8g7,-31
r1b2rk1/pp2bppp/4p3/8/3PP3/1N1R2P1/P4PBP/R1n4K w - -,d3c3 c1b3 a2b3 e7d8 c3c8 a8c8 d4d5 d8f6 a1f1 e6d5,-665
r1b3k1/pp2q3/6p1/2p1bp2/2Pp4/3P4/P1P3PP/6K1 w - -,d3c3 c1b3 a2b3 e7d8 c3c8 a8c8 d4d5 d8f6 a1f1 e6d5,Mate
r1bqk1nr/pp3ppp/2n1p3/2bp4/5B2/5NP1/PPP1PP1P/RN1QKB1R w KQkq -,f1g2 d8b6 e1h1 b6b2 b1d2 g8f6 c2c4 e8h8 a2a4 b2b6,-55
rnbq1rk1/pp1pppbp/6p1/3nP3/3P4/3B1N2/PP3PPP/RNBQK2R w KQ -,b1c3 d5c3 b2c3 d7d6 e5d6 d8d6 e1h1 b8c6 f1e1 f8d8,34
rn1qk1nr/ppp3pp/3bbp2/4N3/3PpB2/2N5/PPP2PPP/R2QKB1R w KQkq -,d1h5 g7g6 e5g6 h7g6 h5g6 e6f7 g6e4 d8e7 f4d6 c7d6,-52
rn1qk1nr/ppp4p/3bbpp1/4N2Q/3PpB2/2N5/PPP2PPP/R3KB1R w KQkq -,e5g6 h7g6 h5g6 e6f7 g6e4 d8e7 f4d6 c7d6 e1a1 e7e4,-62
8/8/1p4p1/4kp1p/p3P2P/P3K1P1/1P6/8 w - -,g3g4 f5e4 g4g5 e5d5 e3d2 d5d4 d2e2 e4e3 e2f3 b6b5,-1153
6R1/8/5K2/2k5/8/p7/8/8 w - -,,0
6R1/8/8/4K3/2k5/p7/8/8 w - -,,0
