r1b1kb1r/pp1n1ppp/2pqpn2/8/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,g2g3 d6c7 f1g2 f8d6 e1h1 e8h8 f1e1 a7a5 f3d2 a5a4,50
r1bq1rk1/1pp2ppp/p1pb1n2/4p3/4P3/2NP1N2/PPP1QPPP/R1B1K2R w KQ -,c1g5 h7h6 g5d2 f6d7 d2e3 f8e8 e1a1 b7b5 g2g4 a6a5,15
8/8/8/8/6k1/8/8/4KR2 w - -,c1g5 h7h6 g5d2 f6d7 d2e3 f8e8 e1a1 b7b5 g2g4 a6a5,Mate
r4rk1/3n1ppp/pp1q4/3p4/Q2P4/5N2/PP3PPP/2R1R1K1 w - -,c1c6 d6f4 h2h3 d7c5 a4c2 c5e6 c2c3 f4f5 c6b6 a8c8,103
r2qkbnr/p4p1p/b1p1p1p1/2pp4/4PP2/2NP1N2/PPP3PP/R1BQK2R w KQkq -,b2b3 c5c4 d3c4 d5c4 d1d8 a8d8 f3e5 f8b4 c1b2 g8e7,95
r2qk2r/ppp1b1pp/2n1pn2/3pNbB1/3P4/2N5/PPP2PPP/R2QKB1R w KQkq -,f1b5 e8h8 b5c6 b7c6 e5c6 d8d7 c6e7 d7e7 e1h1 e7b4,77
r2qk2r/pp3pp1/2p1p2p/5b2/2BPn1Pb/5N2/PPP1QP1P/2KR3R w kq -,g4f5 e4f2 f5e6 f2d1 e6f7 e8d7 h1d1 d8e7 f3h4 e7h4,257
r1bqk1nr/ppp1bppp/2n5/3pp3/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,f3e5 c6e5 d4e5 d5e4 d1b3 h7h5 f1c4 g8h6 e1h1 e7g5,66
r2qk1nr/ppp2pp1/2nb4/8/6bP/3P1N2/PPP1P2P/RNBQKB1R w KQkq -,d1d2 g4f3 e2f3 d8h4 e1d1 g8e7 b1c3 e8a8 d2g5 h4f2,-93
8/8/8/8/2N5/1KBk4/8/8 w - -,c4d2 d3e2 b3c2 e2f2 c2d3 f2g2 d3e2 g2g3 e2e3 g3g4,186
r1b1kb1r/1p3ppp/pqnppn2/8/4PP2/1NN2Q2/PPP3PP/R1B1KB1R w KQkq -,c1e3 b6c7 e1a1 h7h5 c1b1 b7b5 h2h3 h5h4 f1d3 c8b7,91
8/8/5K2/5P2/1k6/p7/8/8 w - -,f6e7 a3a2 f5f6 a2a1q f6f7 a1g7 e7e8 g7e5 e8d7 e5f6,Mate
r1b1k2r/1p2bppp/pqnppn2/8/4PP2/1NNB1Q2/PPP3PP/R1B1K2R w KQkq -,c1e3 b6c7 e1a1 c6b4 c1b1 b7b5 g2g4 c8b7 g4g5 f6d7,91
8/3k4/1P6/5K2/8/8/8/8 w - -,,0
r2qk2r/pp3pp1/2p1p2p/5P2/2BP3b/5N2/PPP1Qn1P/2KR3R w kq -,f5e6 f2d1 e6f7 e8d7 h1d1 h4g5 c1b1 d8e7 e2g2 d7c7,290
8/8/Rpr2pk1/4p1p1/1P2P1P1/2B3K1/7P/5b2 w - -,a6a1 c6c3 g3f2 f1c4 a1h1 c3b3 h2h4 g5h4 h1h4 g6g7,-547
r1b2rk1/1pq1bppp/p2ppn2/8/1n2PP2/1NNBBQ2/PPP3PP/4RRK1 w - -,a2a3 b4d3 c2d3 b7b5 e1c1 c7b8 b3d4 b8b7 h2h3 h7h6,53
r1b2rk1/1pq1bppp/p2ppn2/8/4PP2/PNNnBQ2/1PP3PP/4RRK1 w - -,c3d5 f6d5 c2d3 d5e3 f3e3 c7d8 d3d4 a6a5 e3h3 e6e5,-513
