r1bq1rk1/pppp1ppp/2n2n2/bB1Np3/4P3/5N2/PPPP1PPP/R1BQ1RK1 w - -,d2d4 f6d5 e4d5 c6d4 f3d4 e5d4 d1d4 d7d6 d4f4 c8d7,68
rnbqk2r/ppp2ppp/8/2b1P3/2B1p3/8/PPPP2PP/R1BQK1NR w KQkq -,d1h5 e8h8 g1e2 g7g6 h5h6 b8c6 h6f4 d8e7 b2b3 c6e5,-267
rn1qkb1r/pp2pppp/2pp1n2/8/3PP1b1/3BB3/PPP2PPP/RN1QK1NR w KQkq -,f2f3 g4d7 c2c3 e7e5 b1d2 f8e7 g1e2 e8h8 e1h1 d7e6,135
r2qk1nr/1bpnppbp/p2p2p1/1p6/3PP3/2PBBN2/PP1Q1PPP/RN2K2R w KQkq -,d2e2 g8f6 b1d2 c7c5 e1h1 c5c4 d3c2 d8c7 h2h3 e8h8,42
r2qnrk1/4bppp/1n2b3/3pp1P1/pp2P2P/4BPN1/PPPQ4/1KNR1B1R w - -,d2g2 d5d4 f3f4 d8c7 e3g1 a4a3 b2b3 e5f4 g3e2 a8d8,-185
8/8/8/5K2/8/4k3/7Q/8 w - -,d2g2 d5d4 f3f4 d8c7 e3g1 a4a3 b2b3 e5f4 g3e2 a8d8,Mate
3rnrk1/4bppp/1q2b3/3Pp1P1/pp5P/5PN1/PPPQ4/1KNR1B1R w - -,d2g2 e6d5 f1d3 d5e6 g2e2 e8c7 g3f5 e6f5 d3f5 a4a3,-144
r1bqk2r/ppp2pbp/2np1np1/1B2p3/4P3/2P2N1P/PP1P1PP1/RNBQ1RK1 w kq -,d2d4 e8h8 f1e1 h7h6 b1d2 c8d7 b5c6 d7c6 d4e5 f6h7,94
rnb1k1nr/pp3pbp/3pp1p1/2p3q1/2B1P3/2N2Q2/PPPP1PPP/R1B1K2R w KQkq -,h2h4 g5d8 f3g3 b8c6 d2d3 g8e7 h4h5 c6d4 c1g5 d4c2,-753
rnbqkbnr/pp3ppp/2p5/4P3/4p3/8/PPPN1PPP/R1BQKBNR w KQkq -,d1e2 c8f5 g2g4 f5e6 d2e4 b8d7 c1d2 d7e5 e1a1 d8e7,177
r1bqk2r/ppp1nppp/2nbp3/1B1p4/3P4/2N1PN2/PPP2PPP/R1BQK2R w KQkq -,e3e4 a7a6 b5c6 b7c6 e4e5 d6b4 e1h1 b4c3 b2c3 a6a5,75
rnbqk2r/pp3ppp/5n2/4p3/1b1p4/2NP2P1/PP1BPPBP/R2QK1NR w KQkq -,d1a4 b8c6 g2c6 b7c6 a4b4 d4c3 d2c3 f6d5 b4c5 d8b6,258
rn2kb1r/ppp1qppp/8/3p4/4n1b1/3B1N2/PPPPQPPP/RNB2RK1 w kq -,f1e1 b8d7 b1c3 e4c3 d2c3 g4f3 g2f3 d7c5 c1f4 e7e2,109
rn1qk2r/pp2bppp/2p1pn2/3p3b/3P1B2/4PN1P/PPP1BPP1/RN1Q1RK1 w kq -,b1d2 e7d6 f3e5 h5e2 d1e2 d8c7 a1c1 b8d7 d2f3 e8h8,51
r2q4/pp3k2/5np1/2bpppB1/8/1P5Q/1P3PPP/R4RK1 w - -,g1h1 d8d6 f2f3 a8g8 a1c1 c5b6 g2g4 d6e6 c1e1 g8g7,33
rnbqkbnr/ppp1p2p/3p2p1/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq -,f1d3 f8g7 e4g5 g8f6 g1f3 e8h8 c2c3 b8c6 e1h1 h7h6,171
N1k4r/pp3ppp/2n5/3R4/5Pb1/6P1/PPP4P/2K2B2 w - -,f1g2 h8d8 c2c4 g4e6 d5c5 c8b8 g2c6 b7c6 c5c6 b8a8,-400
r1bq1rk1/1pp2ppp/2np1n2/p1b1p3/2B1P3/P1PP1Q1P/1P3PP1/RNB1K1NR w KQ -,b1d2 c8e6 g1e2 d6d5 c4a2 a5a4 e2g3 d5d4 a2e6 f7e6,-97
r2qkb1r/ppp1pppp/2n2n2/3p4/5Pb1/2PP1N2/PP2P1PP/RNBQKB1R w KQkq -,b1d2 d8d6 g2g3 e7e5 f4e5 c6e5 f1g2 c7c6 d2f1 f8e7,-50
r2qkbnr/ppp2pp1/2n1p2p/3pPb2/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq -,f1d3 g8e7 b1c3 f5d3 d1d3 c6b4 d3e2 d5c4 e1h1 d8d7,-42
8/8/8/8/6K1/6Q1/6b1/6k1 w - -,f1d3 g8e7 b1c3 f5d3 d1d3 c6b4 d3e2 d5c4 e1h1 d8d7,Mate
r1bqkbnr/ppp2ppp/2n5/3p4/3P3P/8/PPP2PP1/RNBQKBNR w KQkq -,b1c3 g8f6 f2f3 f8d6 g1e2 e8h8 c1f4 f8e8 f4d6 d8d6,-51
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/6PN/PPP1PPBP/RNBQK2R w KQkq -,h3f4 c5d4 d1d4 f8e7 d4d1 e8h8 f4d3 b8c6 b1c3 d8c7,-97
rnbqkb1r/1p3pp1/p2p1n1p/4p3/2B1P3/5N2/PPP2PPP/RNBQ1RK1 w kq -,f1e1 b7b5 c4f1 f8e7 c2c4 b5c4 b1c3 e8h8 f3d2 c8g4,93
r1bqk2r/ppppbppp/2n2n2/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,c2c3 f6e4 c3d4 e8h8 f1d3 e7b4 b1d2 e4d2 c1d2 f8e8,-251
r2qkbnr/1p1bpppp/p1np4/1Bp1P3/5P2/5N2/PPPP2PP/RNBQK2R w KQkq -,b5f1 d6e5 f4e5 d8c7 d2d3 g7g6 f1e2 f8g7 b1c3 c6e5,-205
r1bqk1nr/pppp1ppp/1bn5/8/2B1P3/5N2/PP3PPP/RNBQK2R w KQkq -,h2h3 d7d6 b1c3 g8f6 e1h1 e8h8 c1g5 h7h6 g5h4 c8e6,-100
