r1bq1rk1/p1p1ppbp/1pnp1np1/8/P2PP3/2N1BN1P/1PP2PP1/R2QKB1R w KQ -,d1d2 c6b4 e1a1 d8d7 f1c4 c8b7 c1b1 c7c5 d4d5 a7a6,32
r2q1rk1/ppp2ppp/2n2b2/3n1b2/3PN3/P2B1N1P/1P3PP1/R1BQR1K1 w - -,d3c4 d5b6 e4f6 d8f6 c1g5 f6d6 c4a2 f8e8 d4d5 e8e1,50
rn1qkbnr/5ppp/2p1p3/ppPpPb2/1P1P4/8/P4PPP/RNBQKBNR w KQkq -,,0
8/8/8/3K1k2/8/8/3r4/8 w - -,g1f3 b8a6 f1d3 f5d3 d1d3 a6b4 d3d1 b4a6 b1c3 h7h5,Mate
r1bqk2r/p3npb1/2p1p1pp/3pP1B1/3P4/5N2/PP3PPP/RN1Q1RK1 w kq -,g5e7 d8e7 d1c2 e8h8 b1d2 c8a6 f1e1 a6b5 a2a4 b5c4,87
8/p7/8/2K5/1P2k3/8/8/8 w - -,,0
rnbqkbnr/pp3ppp/3pp3/2p5/4P1P1/3P4/PPP2P1P/RNBQKBNR w KQkq -,b1c3 b8c6 f1g2 h7h5 g4h5 g8f6 c1g5 f8e7 d1d2 f6h5,-16
7r/p1p1kpp1/2p2b1p/1p5b/4P3/N1P2P2/PP2B1PP/R2r2K1 w - -,e2d1 h8d8 a3c2 d8d2 a2a4 h5g6 g2g3 e7d7 a4b5 c6b5,-101
rnbq1rk1/ppppppbp/5np1/8/7P/2NP1N2/PPP1PPP1/R1BQKB1R w KQ -,e2e4 d7d5 c3d5 f6d5 e4d5 d8d5 h4h5 f8d8 h5g6 h7g6,-29
3r4/p1p1kpp1/2p2b1p/1p5b/4P3/N1P2P2/PP2B1PP/3R2K1 w - -,d1d8 e7d8 a3c2 f6g5 g1f2 h5g6 c2b4 d8d7 b4d3 g5e7,26
3k4/p1p2pp1/2p2b1p/1p5b/4P3/N1P2P2/PP2B1PP/6K1 w - -,a3c2 f6g5 g1f2 h5g6 c2b4 d8d7 b4d3 g5e7 f2e3 f7f6,41
rn2kb1r/ppp1pppp/1q3n2/8/3PN1b1/8/PP1BPPPP/R2QKBNR w KQkq -,e4f6 g7f6 g1f3 g4f3 g2f3 b6d4 e2e3 d4b6 d1a4 b8c6,1
rnbqkb1r/pp2pppp/3p1n2/2p5/4P1P1/3P4/PPP2P1P/RNBQKBNR w KQkq -,,0
r1bqk1nr/p3ppbp/2pp2p1/8/8/5N2/PPPP1PPP/RNBQK2R w KQkq -,e1h1 c6c5 c2c4 e7e5 b1c3 g8e7 a1b1 e8h8 d2d3 a8b8,-93
r3kb1r/pbq2ppp/2N1pn2/1p6/8/3B4/PPPPQPPP/R1B1K2R w KQkq -,c6a7 a8a7 d3b5 e8d8 e1h1 c7c2 e2e3 c2c5 a2a4 f8d6,-230
8/p1pk1pp1/2p2b1p/1p5b/4P3/2P2P2/PPN1B1PP/6K1 w - -,g1f2 h5g6 f2e3 f6e7 f3f4 e7c5 c2d4 f7f6 e4e5 d7e7,28
8/1K6/3k4/8/8/8/2r5/8 w - -,g1f1 h5g6 e2d3 f6e7 f1e2 f7f6 e2d2 g6f7 b2b3 a7a6,Mate
r3k1nr/pppb1ppp/3p4/Q2P4/2B1q3/2p5/P4PPP/RNB2RK1 w kq -,a5c3 e8a8 c1e3 g8f6 b1d2 e4g6 f1c1 d8e8 e3a7 e8e5,432
r1b1k2r/p3qpb1/2p1p1pp/3pP3/3P4/5N2/PP3PPP/RN1Q1RK1 w kq -,d1c2 e8h8 b1d2 g6g5 d2b3 g5g4 f3d2 a7a5 f2f4 a5a4,87
8/p1pk1pp1/2p2bbp/1p6/4P1P1/2P2P2/PPN1B2P/6K1 w - -,c2e1 f6e5 g1g2 f7f6 e1d3 e5d6 b2b3 a7a5 h2h4 g6f7,-26
r1bq1rk1/pp2bppp/2n2n2/2ppp3/8/2NP1NPP/PPP1PPB1/R1BQ1RK1 w - -,e2e4 d5d4 c3e2 b7b5 f3h4 f8e8 a2a4 b5a4 a1a4 a7a5,-60
