rnb1kbnr/pp1p1ppp/4p3/q1p5/3P1B2/4P3/PPPN1PPP/R2QKBNR b KQkq -,d7d5 g1f3 g8f6 d4c5 f8c5 c2c4 c5e7 f1e2 c8d7 e1h1,35
r2q1rk1/1p3ppp/p7/3NpPb1/3nB3/8/PP3PPP/R2Q1RK1 b - -,f7f6 f2f4 g5h6 f4e5 f6e5 f5f6 g7f6 d1h5 g8g7 a1c1,91
r1bqk1nr/pppp2pp/2n2p2/2b1p3/2B1P3/P4Q2/1PPPNPPP/RNB1K2R b KQkq -,g8e7 b1c3 h7h5 b2b4 c5b6 a1b1 d7d6 h2h3 c6d4 e2d4,70
r1bqkb1r/ppp2p1p/2n1pnp1/3p4/2PP4/1P2PN2/PB3PPP/RN1QKB1R b KQkq -,f8g7 b1d2 e8h8 a1c1 a7a5 a2a3 c6e7 d1c2 c7c6 f1d3,59
rnb1kbnr/pp1p1ppp/4p3/q7/3P1B2/8/PPPN1PPP/R2QKBNR b KQkq -,g8f6 g1f3 f8e7 f1d3 f6h5 f4e3 a5c7 c2c4 h5f4 e3f4,61
r1bqk2r/pppp1pbp/2n2np1/4p3/4P3/1PN2N2/PBPPBPPP/R2QK2R b KQkq -,e8h8 e1h1 f8e8 a2a4 c6d4 d2d3 c7c5 a4a5 d7d6 f1e1,-49
8/8/4k1pb/3p1P2/6PP/2B2K2/8/8 b - -,e6d7 f5g6 h6f8 g6g7 f8g7 c3g7 d7d6 g4g5 d6c5 f3f4,1081
r2qk1nr/pbppppbp/1pn3p1/3P4/2P1PB2/2N5/PP3PPP/R2QKBNR b KQkq -,c6b4 g1f3 b4a6 e4e5 d7d6 f1e2 d6e5 d1a4 c7c6 f3e5,129
rnb1k2r/pppp1ppp/8/4P3/1b2N2q/8/PPPB1PPP/R2QKBNR b KQkq -,d7d5 e4g3 h4e7 c2c3 b4c5 g1f3 b8c6 f1b5 f7f6 d2e3,468
r1bq1rk1/pppp1ppp/2n5/1B2P3/1b2n3/2N2N2/PPP2PPP/R1BQ1RK1 b - -,e4c3 b2c3 b4c3 a1b1 c6e5 f3g5 h7h6 b1b3 h6g5 b3c3,-73
5rk1/2P1Qpq1/p3B1p1/2p5/4pR2/1P6/P1K2P2/8 b - -,b4c3 b2c3 e4c3 d1d3 c3b5 f3g5 g7g6 d3b5 d7d6 g5e4,Mate
rn1qkbnr/pbppp2p/1p4p1/5P2/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,g8f6 c1g5 f8g7 f5g6 e8h8 d1d2 h7g6 f3e5 f6h7 e5g6,336
2bq1rk1/2bn1pp1/B1Q1pn1p/8/8/P1N1BN2/1r3PPP/2R2RK1 b - -,d7b8 c6a4 c8a6 f1d1 d8e7 a4h4 f8d8 d1d4 c7b6 d4d8,-374
rn1qkbnr/pbppp2p/1p4p1/4Pp2/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,e7e6 d4d5 f8b4 f1c4 b6b5 c4b5 b7d5 e1h1 d5c6 b5e2,165
r1bqkbnr/ppp1pppp/2n5/8/3Pp3/2N5/PPP1QPPP/R1B1KBNR b KQkq -,c6d4 e2d1 g8f6 c1f4 c8f5 g1e2 d4e6 f4e3 d8d1 a1d1,-248
2R5/8/8/3k4/4pK2/8/3p4/8 b - -,e7e6 c3e4 c6d4 e2d3 d4f5 d3d8 e8d8 c1g5 d8e8 f1b5,Mate
rnbqk1nr/pp3ppp/2pbp3/8/2BPp3/2P1BP2/PP4PP/RN1QK1NR b KQkq -,b7b5 c4b3 e4f3 d1f3 g8f6 b1d2 d8c7 d2e4 f6e4 f3e4,-64
r1bqkbnr/pp2pppp/2n5/2p1P3/3p1B2/3P4/PPP1NPPP/R2QKBNR b KQkq -,h7h6 h2h4 c8g4 g2g3 d8d5 f2f3 g4f3 g1f3 d5f3 h1g1,-92
r1bqkbnr/ppp1pppp/8/8/3nQ3/2N5/PPP2PPP/R1B1KBNR b KQkq -,g8f6 e4d4 d8d4 c1e3 d4b4 e1a1 c7c6 g1f3 b4a5 h2h3,-565
1rr3k1/pq2ppbp/8/5p2/8/QP1RBP2/P1P3PP/2K4R b - -,e7e5 h1d1 b7c7 c2c4 e5e4 f3e4 f5e4 d3d2 a7a5 d2d5,149
r1bqkbnr/ppp2ppp/2n5/3pp3/3P4/1PP3P1/P3PP1P/RNBQKBNR b KQkq -,e5d4 c3d4 h7h5 f1g2 h5h4 a2a3 h4h3 g2f1 c8f5 b1c3,-92
r1bqk1nr/pp3ppp/2n1p3/2P5/4p3/P1P1QP2/2P3PP/R1B1KBNR b KQkq -,d8h4 g2g3 h4e7 f3e4 g8f6 g1f3 e8h8 f1d3 e6e5 h2h3,-31
2R5/PK4k1/8/5P1p/8/8/8/2r5 b - -,c1e1 a7a8q e1e7 b7c6 g7f6 c6d6 h5h4 a8a4 e7e8 c8e8,9605
rnb1k1nr/ppp2ppp/3bpq2/3p4/3P1P2/3BPN2/PPP3PP/RNBQK2R b KQkq -,f6e7 c2c4 c7c5 b2b4 b7b6 c4d5 e6d5 d4c5 b6c5 d3b5,43
rnbqkb1r/pp3ppp/5n2/2Ppp3/1P6/2P4P/P3PPP1/RNBQKBNR b KQkq -,f8e7 e2e3 e8h8 g1f3 a7a5 c1b2 b7b6 f3e5 f6e4 b1d2,33
R3rbk1/p4p1p/1p4pB/8/1P6/P1Q5/5PPP/6K1 b - -,e8a8 h6f8 a8f8 g2g4 h7h5 g4h5 g6h5 g1g2 f8a8 c3c6,Mate
rnbqk2r/pp2ppbp/2p3pn/3pP3/3P4/1B3N2/PPP2PPP/RNBQK2R b KQkq -,c8g4 b1d2 c6c5 d4c5 e8h8 h2h3 g4f3 d2f3 e7e6 g2g4,74
