6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
1b1q1rk1/1p3ppp/p3b3/3p4/1P1Nn3/P3PB2/1BQ2PPP/5RK1 b - -,e4g5 f3d1 d8d6 f2f4 g5e4 d4e6 d6e6 b2d4 b8d6 c2d3,25
6k1/p6p/6p1/4bp2/1P2p2P/P3P1P1/4bPK1/5r2 b - -,e4g5 f3d1 d8d6 f2f4 g5e4 d4e6 d6e6 b2d4 b8d6 c2d3,Mate
r2qkb1r/pp3pp1/5n2/4p3/6bp/2N3PP/PPPP1PBK/R1BQ1RN1 b kq -,d8d4 g1f3 d4b6 d1e1 f8e7 d2d3 h4g3 f2g3 g4e6 c3e4,432
r1bq1rk1/1p1nbppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2QR1K1 b - -,d8c7 a2a4 b7b6 e2d3 c8b7 d1f3 a8c8 a1d1 f8d8 h2h3,46
rnb1k2r/ppp2ppp/4pq2/3p4/1bPP4/1QN2N2/PP2PPPP/R3KB1R b KQkq -,b4c3 b3c3 e8h8 a1c1 c7c6 g2g3 b8d7 f1g2 f6e7 f3d2,49
8/8/2p5/5k2/8/5p2/3K4/Bb4q1 b - -,b4c3 b3c3 e8h8 a1c1 c7c6 g2g3 b8d7 f1g2 f6e7 f3d2,Mate
r2b1rk1/p4pp1/2Q4p/1pp1Pb2/2p5/5N2/PP3PPP/K4B1R b - -,d8g5 f3g5 h6g5 f1e2 a7a6 c6c5 f8e8 c5e3 e8e7 e3g5,470
1b3rk1/1p3ppp/p2qb3/3p4/1P1Nn3/P3PBP1/1BQ2P1P/5RK1 b - -,f8c8 c2d3 e6h3 f1d1 h7h6 d4e2 d6g6 f3g2 h3e6 e2f4,26
2r3k1/5p1p/5np1/p7/q4P2/P2Q3P/2pR2PK/2R5 b - -,a4f4 h2g1 f6e4 c1c2 c8b8 d2d1 h7h5 d3d4 b8e8 c2e2,184
r3k1r1/pp1q1p1p/4p3/3p1p2/2Pb1B2/7P/PP1Q1PP1/2R2R1K b kq -,d5c4 f1d1 a8d8 d2e2 b7b5 b2b3 d7d5 f2f3 c4c3 c1c3,-61
8/6kp/7P/6P1/6K1/5R2/1r6/8 b - -,,0
8/8/r4pp1/3k3p/p6P/R5P1/3K1P2/8 b - -,g6g5 h4g5 f6g5 d2d3 d5e5 d3e2 e5e4 e2d2 e4f5 f2f3,-348
1Q1k3r/p2b1ppp/1p3n2/8/2pP4/8/PP2B1PP/RN3KNR b - -,d7c8 b1c3 d8e7 b8a7 e7f8 g1f3 g7g6 f3e5 c8e6 f1e1,1446
rnb1k2r/ppp2ppp/4pq2/3p4/2PP4/2Q2N2/PP2PPPP/R3KB1R b KQkq -,c7c6 g2g3 e8h8 f1g2 b8d7 e1h1 d5c4 f1d1 f6e7 f3e5,56
r1bqkbnr/pp3ppp/2n1p3/2p5/2P2P2/1P2PN2/PB4PP/RN1QKB1R b KQkq -,d8d1 e1d1 c8d7 b1d2 a7a5 f1d3 a5a4 d1e2 c6b4 d3e4,41
r2qkb1r/pp2pppp/2np1n2/8/2PNP1b1/3Q4/PP3PPP/RNB1KB1R b KQkq -,g7g6 c1e3 c6e5 d3c2 g4d7 f2f3 a8c8 c2b3 f8g7 f1e2,10
r1bqk2r/1ppp1pp1/p1nb1n1p/3Pp3/1PB1P3/2P2N2/P4PPP/RNBQ1RK1 b kq -,c6e7 b1d2 c7c6 c4b3 c6d5 e4d5 d6c7 d5d6 c7d6 d2c4,35
6r1/5pk1/5p2/1pp4p/1P3B2/3q4/1P3PPP/R5K1 b - -,d3d4 f4d6 d4b2 a1e1 c5b4 h2h3 b4b3 d6e7 b2c2 g2g4,-786
rqb1k1nr/1p2bppp/p1np4/3N1P2/6P1/4BQ2/PPP2P1P/2KR1B1R b kq -,e7d8 f3e4 e8f8 e3f4 g7g5 f4g3 h7h5 h2h4 g5h4 g3h4,161
8/5p2/3k1bp1/p6p/PprP1P2/1P3KP1/3R3P/4N3 b - -,c4d4 d2d4 f6d4 f3e4 d4g1 e1f3 g1b6 f3e5 d6e6 h2h3,26
2bk3r/p4ppp/1p1Q1n2/8/2pP4/8/PP2B1PP/RN3KNR b - -,c8d7 d6b8 d7c8 b1c3 d8e7 b8a7 e7f8 g1f3 g7g6 f3e5,1497
1b3rk1/1p3ppp/p2q4/3p4/1P1Nn3/P3PBPb/1BQ2P1P/3R2K1 b - -,d6d7 c2b3 f8e8 b4b5 h7h6 d4c2 d7c8 c2e1 h3e6 b2d4,32
R1R1bk2/4qppp/1p2p3/8/8/7P/5PP1/6K1 b - -,e7d7 c8b8 d7b5 f2f3 g7g5 g1h1 h7h5 b8c8 f8e7 h1h2,-498
r1bqk2r/1ppp1pp1/p1nb1n1p/3Bp3/1P1PP3/2P2N2/P4PPP/RNBQ1RK1 b kq -,f6d5 e4d5 e5e4 f3d2 c6e7 d2e4 e8h8 a2a4 b7b5 a4b5,138
rnbq1rk1/pp1n2bp/4p1p1/1BppPp2/3P1B2/P1N2N2/1PPQ1PPP/2KR3R b - -,d8b6 b5d7 c8d7 d4c5 b6c5 h2h4 b8c6 h4h5 g6h5 h1h5,137
r2q1rk1/ppp3pp/2p1bn2/8/3PP3/2P2PP1/PPKNQ1B1/R6R b - -,f8e8 e2d3 d8d7 a1e1 a8d8 c2c1 h7h6 f3f4 c6c5 d4d5,246
r1bqkb1r/pp3ppp/2n2n2/2pN4/2B5/P4P2/1PPP2PP/R1BQK1NR b KQkq -,f6d5 d2d3 f8e7 g1e2 e8h8 e1h1 d5b6 c4a2 c8e6 a2e6,-500
r1bq1rk1/2p1ppbp/p1pp2p1/8/3PP3/2P1NN2/PP3PPP/R2QK2R b KQ -,f7f5 e4e5 a6a5 d1a4 d8e8 e1a1 f5f4 e3c4 c8d7 c4d2,-31
2r3k1/5p1p/5np1/p7/5q2/P2Q3P/2pR2P1/2R3K1 b - -,f6e4 c1c2 c8e8 d2e2 f4e5 c2c4 e5a1 g1h2 a1e5 g2g3,216
r2q3k/pp1r2bp/3n2p1/3QBp2/P7/5BP1/5P1P/1R1R2K1 b - -,d8g8 d5g8 h8g8 e5d6 a8d8 d6f4 d7d1 f3d1 h7h5 f4e3,505
8/8/3b4/7p/5k1K/8/8/8 b - -,,0
r1bqk2r/1ppp1pp1/p1nb3p/3Pp3/1P1P4/2P2N2/P4PPP/RNBQ1RK1 b kq -,e5e4 f3d2 c6e7 d2e4 e8h8 a2a4 b7b5 a4b5 c8b7 c3c4,121
rnbqk2r/pp1p1ppp/5n2/4pN2/1bP5/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,e8h8 f5e3 f6e4 e3d5 e4c3 b2c3 b4c5 f1g2 d7d6 e1h1,17
8/8/2b5/1p1kBp1N/1K1Pp3/1P5p/5P2/8 b - -,c6d7 h5f4 d5c6 d4d5 c6b6 f4h3 d7e8 h3f4 e8f7 e5d4,743
rq2k1nr/1p1bbppp/p1np4/3N1PP1/8/4BQ2/PPP2P1P/2KR1B1R b kq -,b8c8 d5b6 c8d8 f1h3 c6e5 f3g3 a8c8 h1e1 f7f6 f2f4,220
r1b1k2r/bpp3p1/pqn2p2/8/3P2P1/5N1P/PP1B1PB1/R2QK2R b KQkq -,c6d4 e1h1 d4e6 d1c2 e8h8 a1d1 b6c5 c2g6 c8d7 d2e3,135
8/8/4kp2/R7/4PPK1/1r6/8/8 b - -,b3b7 g4h5 e6f7 h5h6 b7e7 a5a4 e7c7 f4f5 c7b7 a4a5,15
r2r2k1/1bqnbppp/pp1p1n2/4p3/P3P3/1NN1BP2/1PPQB1PP/R2R2K1 b - -,d8e8 e2f1 a8c8 d2f2 d6d5 e4d5 e7b4 h2h3 b4c3 d5d6,65
6k1/p6p/6p1/4bp2/PP2p2P/4P1P1/4bPK1/4r3 b - -,d8e8 e2f1 a8c8 d2f2 d6d5 e4d5 e7b4 h2h3 b4c3 d5d6,Mate
8/2b5/r1k2p1p/Prp1p1pP/R3P3/6P1/R1KB1P2/8 b - -,a6a7 c2d3 b5b1 a5a6 c6b5 a4a3 b5c6 d3c4 b1f1 d2e3,102
r2qkb1r/pp3p2/2n1ppb1/2p4p/3P3P/2P1B1N1/PP2BPP1/R2Q1RK1 b kq -,c5d4 c3d4 f8e7 a1c1 e8f8 a2a3 d8d7 d1a4 e7d6 e2f3,133
rnb1R1k1/1p4b1/p2p3p/2pP4/8/2N2pP1/PPP2P2/1R4K1 b - -,g8f7 e8c8 a6a5 c3e4 g7e5 b1e1 a5a4 e1e3 f7g7 e3f3,576
8/8/r4p2/3k2pp/p6P/R5P1/2K2P2/8 b - -,g5h4 g3h4 d5e4 c2d2 e4f4 d2d3 f6f5 d3e2 a6a5 e2f1,-409
r1bqk2r/1ppp1pp1/p1nb3p/3P4/1P1Pp3/2P5/P2N1PPP/RNBQ1RK1 b kq -,c6e7 d2e4 e8h8 a2a4 b7b5 a4b5 c8b7 c3c4 d6b4 a1a4,144
4Rk2/5ppp/4p3/1p6/8/7P/5PP1/6K1 b - -,f8e8 g1f1 g7g5 f1e2 e8e7 e2d3 e7d6 d3e4 e6e5 e4d3,-612
5rk1/5p2/r1p3p1/4R1Rp/2P5/2nq1P2/PQ1N1P1P/7K b - -,a6a2 b2c1 a2d2 e5e3 d2d1 g5g1 d1c1 e3d3 c1g1 h1g1,-630
8/8/4kp2/R4P2/1r2P1K1/8/8/8 b - -,e6f7 a5a7 f7f8 g4h5 b4e4 a7b7 e4e1 h5g6 e1d1 b7f7,10
r2k4/2pn4/1ppq1p2/4p1pp/2P1P2P/3PPN2/2P2QP1/5RK1 b - -,g5g4 f3h2 d6a3 f2f5 g4g3 h2f3 a3c5 f1e1 a8a2 f5h5,57
2r2r2/5p1p/1k1bp3/1p6/p2QqN2/P1R1P3/BPP2PPP/2K4R b - -,b6b7 d4e4 b7b6 e4d4 b6b7 d4d6 f8d8 d6e7 b7b6 c3c8,1852
2q5/pr1b1rk1/1p1p1n1p/P1p1p1p1/2PPPpPP/1QPB1P2/3K1B2/R6R b - -,d7e6 a5a6 b7b8 d4d5 e6d7 d3e2 f7f8 h1g1 f6h7 h4h5,-3
1b3rk1/1p3ppp/p5q1/3p4/1P1Nn3/P3P1Pb/1BQ2PBP/3R2K1 b - -,g6h5 c2e2 h5e2 d4e2 h3e6 e2d4 e6d7 d4f3 d7c6 b2e5,36
r1bqkb1r/ppp2pp1/7p/8/4n3/1P3N2/1PPPQPPP/R1B2RK1 b kq -,f8e7 e2e4 e8h8 f1e1 e7f6 d2d4 c7c6 c2c4 d8b6 a1a3,82
6r1/5pk1/5p2/1pp4p/1P3q2/6P1/1P3P1P/5RK1 b - -,f4b4 h2h4 b4b2 g1g2 c5c4 g3g4 c4c3 g4g5 c3c2 g2h3,-1189
8/R4k2/5p2/5P2/1r2P1K1/8/8/8 b - -,f7f8 g4h5 b4e4 h5g6 e4h4 a7h7 h4b4 h7c7 b4b1 c7a7,9
r1bq1rk1/3nbppp/p1n1p3/1p1pP3/5P2/1NNBB3/PPP1Q1PP/2KR3R b - -,,0
2r2rk1/1pq1bpp1/p2pbn1p/4p3/4PP1P/2NBQ1B1/PPP3P1/1K1R3R b - -,e5f4 g3f4 f6g4 e3d2 e7f6 c3d5 e6d5 e4d5 c7b6 c2c4,-64
r1bqk2r/1pppnpp1/p2b3p/3P4/1P1PN3/2P5/P4PPP/RNBQ1RK1 b kq -,e8h8 a2a4 b7b5 a4b5 c8b7 c3c4 d6b4 a1a4 f7f5 a4b4,124
2krr3/pppn1ppp/1q3n2/3P1p2/2BQ4/P1B5/1PP2PPP/R4RK1 b - -,d7c5 f2f3 c5a4 d4b6 a4b6 c4b5 e8g8 b5d3 d8d5 c3f6,43
r2qkb1r/pp3pp1/5n2/4p3/6Pp/2N3P1/PPPP1PB1/R1B2QNK b kq -,f6g4 f1b5 d8d7 b5d7 e8d7 g2h3 h4g3 h1g2 h8h3 g1h3,199
rnbq1rk1/5pbp/p2p2p1/1p1Pp2n/4P1P1/2NBBP2/PP1QN2P/R3K2R b KQ -,h5f4 e2f4 e5f4 e3f4 d8e7 f4g5 e7e8 e1h1 b8d7 a1e1,102
1b3rk1/1p3ppp/p5q1/3p4/1P1Nn3/P3P1P1/1BQ2PKP/3R4 b - -,f8d8 d4b3 g6e6 b3c5 e6c8 d1c1 e4g5 c2e2 d5d4 b2d4,33
r2q2k1/pp1r3p/3n2p1/3BQp2/P7/6P1/5P1P/1R1R2K1 b - -,d7f7 d5a2 d8e8 e5d6 g8g7 d6d4 g7h6 d1e1 f7d7 d4h4,628
rnR5/1p3kb1/p2p3p/2pP4/8/2N2pP1/PPP2P2/1R4K1 b - -,a6a5 c3e4 g7e5 b1e1 f7g6 e4d6 e5d6 e1e6 g6f7 e6d6,597
6k1/R7/5p2/5P1K/1r2P3/8/8/8 b - -,,0
r2k4/2pn4/1ppq1p2/4p1pp/2PPP3/4PN2/2P2QPP/5RK1 b - -,g5g4 f3h4 e5d4 e3d4 d6e6 h4f5 e6c4 f2h4 c4c2 h4h5,-31
2bq1rk1/rp2n1b1/1N1p1n2/P2Pp2p/4Ppp1/BN3P2/4B1PP/R2Q1R1K b - -,g4g3 a1c1 f6e8 d1c2 c8d7 b3c5 d7f5 a3b4 e7c6 d5c6,266
2kr3r/p1pb1ppp/1bp5/4PP2/P1qNp3/2P1B3/5QPP/R4RK1 b - -,h8e8 a4a5 b6c5 a1b1 e8e5 f2b2 d7e8 b2b7 c8d7 b7c6,118
rnb1kb1r/pp3ppp/3ppn2/2q5/2P5/P3PN2/1P1B1PPP/RN1QKB1R b KQkq -,b8d7 f1d3 b7b6 b1c3 c5c7 e1h1 f8e7 d1e2 c8b7 e3e4,30
5b2/1pk5/p5P1/4P3/5P2/2pB4/2P1N1b1/1K4R1 b - -,g2d5 f4f5 d5g8 f5f6 g8e6 g6g7 f8c5 g7g8q e6g8 g1g8,957
8/5p2/3k1b2/p7/P1PP1pP1/1R3K2/8/4N3 b - -,f6g5 e1d3 g5f6 d4d5 f6d4 f3f4 d6e7 b3b7 e7f6 d5d6,900
8/8/8/2N5/4K3/2Q5/4k3/8 b - -,f6g5 e1d3 g5f6 d4d5 f6d4 f3f4 d6e7 b3b7 e7f6 d5d6,Mate
2krr3/pppn1ppp/5n2/3P1p2/2BB4/P7/1PP2PPP/R4RK1 b - -,f6e4 d4g7 e4d2 c4d3 d2f1 a1f1 h7h5 d3f5 c8b8 d5d6,90
6r1/5pk1/5p2/1pp4p/1q6/6PP/1P3P2/5RK1 b - -,b4b2 g1h2 c5c4 f1g1 c4c3 g3g4 g7h8 h2g2 c3c2 g2h1,-1512
r3k2r/1pq1bppp/p2p4/3Qp3/2P1P3/1P6/PB3PPP/R4RK1 b kq -,c7b6 d5d3 b6c6 a2a4 e8h8 f1d1 h7h6 b2c1 f8e8 c1e3,104
r2qkb1r/pp3pp1/5n2/4p3/6P1/2N3pN/PPPP1PB1/R1B2Q1K b kq -,a7a6 f2f3 d8c7 d2d3 f8c5 f1e1 c5f2 e1e2 e8a8 c1e3,103
r4rk1/ppp1q1pp/2p1bn2/8/3PP3/2P2PP1/PPK1Q1B1/R4N1R b - -,c6c5 f1e3 c5d4 c3d4 g7g6 g3g4 c7c6 a1d1 e6a2 b2b3,129
2r3k1/5p1p/6p1/p7/4nq2/P2Q3P/2RR2P1/6K1 b - -,c8e8 d2e2 f4e5 c2c4 e5a1 g1h2 a1e5 g2g3 f7f5 c4d4,189
6k1/R7/5p2/5P2/1r2PK2/8/8/8 b - -,,0
2kr3r/2pb1ppp/1bp1P3/p4P2/P1qNp3/2P1B3/5QPP/R4RK1 b - -,d7e6 f5e6 f7e6 d4e6 b6e3 f2e3 c4e6 e3a7 h8e8 a1b1,172
8/8/2b1k3/1p2Bp2/1K1PpN2/1P5p/5P2/8 b - -,e6d7 f4h3 f5f4 h3f4 d7e7 b4c5 c6e8 b3b4 e8d7 d4d5,815
r2q1rk1/2pbppbp/p1pp2p1/8/3PP3/2P1NN2/PP3PPP/R2Q1RK1 b - -,a6a5 h2h4 a5a4 d1c2 d8b8 b2b4 a4b3 a2b3 g7h6 a1a8,-11
rq2k1nr/1p1bbppp/p2p4/3NnPP1/4Q3/4B3/PPP2P1P/2KR1B1R b kq -,h7h6 f2f4 h6g5 f4e5 d6e5 h2h4 g5h4 d5e7 g8e7 h1h4,187
r1bq1rk1/1pppnpp1/p2N3p/3P4/1P1P4/2P5/P4PPP/RNBQ1RK1 b - -,c7d6 a2a4 b7b5 a4b5 c8b7 d1e2 a6b5 a1a8 b7a8 e2b5,106
3rrbk1/1bp2pp1/p6p/1p2p3/1Pq1P3/P1PB1N2/3BQPPP/1R2R1K1 b - -,d8d3 b1b2 f7f6 f3h4 e8d8 f2f3 b7c8 g2g4 c4f7 e1c1,-165
r1bq1rk1/pp2bpp1/3p4/6P1/4PPn1/2N5/PPPQ4/2KR1B1R b - -,f8e8 f1b5 e7g5 b5e8 g5h6 e8a4 d8b6 d1g1 g8f8 c1b1,366
1br3k1/pp3ppp/4b3/1N1p2q1/1P2n3/P3P1P1/1B3PBP/3Q1RK1 b - -,g5g6 b5d4 e6d7 d4e2 d7e6 e2f4 b8f4 e3f4 h7h5 f1e1,35
2krr3/ppp2ppp/1n3n2/1B1P1p2/3B4/P7/1PP2PPP/R4RK1 b - -,e8h8 d4f6 g7f6 f1d1 d8d5 d1d5 b6d5 b5d3 d5e7 a1e1,76
8/8/1KP2k2/8/8/4R3/2r5/8 b - -,c2b2 b6a6 b2c2 a6b7 f6f5 c6c7 c2b2 b7c6 b2c2 c6d7,1073
2r2rk1/1pq1bpp1/p2pb2p/4p3/4PPnP/2NB2B1/PPPQ2P1/1K1R3R b - -,e5f4 d2f4 e7f6 c3d5 e6d5 e4d5 c7b6 b2b3 b6c5 g3e1,-62
r1q1k1nr/1p1bbppp/p2p4/3NnPP1/4Q3/4B2B/PPP2P1P/2KR3R b kq -,e8f8 f2f4 e5c6 e3c5 h7h6 d5b6 c8e8 d1d6 a8d8 f5f6,228
R7/P6k/7P/7P/8/r4p2/8/5K2 b - -,,0
1r5r/p2nkpp1/2p1pn1p/N1q5/Q6P/8/PPPN1PP1/2KR3R b - -,e7e8 d2b3 c5b5 a4f4 b8d8 h1e1 h6h5 c1b1 b5b6 a5c4,205
4k3/pp3ppp/2p2p2/8/3P4/8/PPP1KPPP/8 b - -,a7a5 e2d3 e8d7 d3c4 d7d6 a2a4 f6f5 c2c3 g7g5 b2b4,124
1br3k1/1p3ppp/p3b3/3p2q1/1P1Nn3/P3P1P1/1B3PBP/3Q1RK1 b - -,e6g4 d1d3 e4f6 h2h3 g4d7 d4f3 g5g6 d3d4 d7b5 f3h4,54
5k2/4R2R/p5p1/6Pn/Pp4B1/8/1PPr3r/6K1 b - -,e6g4 d1d3 e4f6 h2h3 g4d7 d4f3 g5g6 d3d4 d7b5 f3h4,Mate
r1q1k1nr/1p1bbpp1/p2p1P1p/3Nn1P1/4Q3/4B2B/PPP2P1P/2KR3R b kq -,e7f6 h3d7 c8d7 d5b6 d7c6 e4c6 b7c6 g5f6 a8d8 f2f4,361
r3k2r/4pp1p/p1P1b1p1/q1p5/p1N1P3/8/P4PPP/1R1Q1RK1 b kq -,e6c4 d1d7 e8f8 f1d1 c4e6 d7b7 a8c8 b1b6 f8g7 c6c7,-331
r1bq1rk1/3nbppp/p3p3/1p1pP3/1n1B1P2/1NNB4/PPP1Q1PP/2KR3R b - -,b4d3 d1d3 b5b4 c3a4 a6a5 d3h3 c8a6 e2h5 h7h6 h3g3,-17
r2r2k1/1bq1bppp/pp1p1n2/2N1p3/P3P3/2N1BP2/1PPQB1PP/R2R2K1 b - -,f6e4 c5e4 d6d5 c3d5 b7d5 d2c3 c7b8 e2d3 b6b5 e4g3,450
6k1/R7/5pK1/5P2/4r3/8/8/8 b - -,,0
8/5k2/2b5/1p2Bp2/1K1Pp3/1P5N/5P2/8 b - -,f7e7 b4c5 c6e8 d4d5 e8f7 b3b4 f5f4 h3f4 f7e8 e5d4,851
3rrbk1/1bp2pp1/p1q4p/1p2p3/1P2P3/PBPn1N2/3BQPPP/1R3RK1 b - -,c6e4 e2e4 b7e4 d2e3 c7c5 b1d1 c5c4 b3c2 f7f5 a3a4,-260
8/8/2P2k2/2K5/8/4R3/1r6/8 b - -,f6g6 c6c7 b2c2 c5b6 c2b2 b6a6 b2a2 a6b7 a2b2 b7c8,1074
rnb1kbnr/pp3ppp/1q2p3/3p4/3N4/2P3P1/PP2PPBP/RNBQK2R b KQkq -,g8f6 e1h1 f8e7 d1b3 e8h8 c1f4 c8d7 b1a3 b8c6 b3b6,3
r1bq1rk1/3nbppp/p3p3/1p1pP3/3B1P2/1NNR4/PPP1Q1PP/2K4R b - -,,0
4r1k1/5p1p/6p1/p7/4nq2/P2Q3P/2R1R1P1/6K1 b - -,f4e5 c2c4 f7f5 d3d4 e5d4 c4d4 g8g7 d4d5 e8a8 e2c2,195
r4rk1/1bqnbppp/pp1p1n2/4p3/P3P3/1NN1BP2/1PPQB1PP/R3R1K1 b - -,h7h6 e1d1 a8c8 e2d3 f8d8 d2e2 d6d5 c3d5 b7d5 e4d5,53
r3k2r/1bq1bppp/p3pn2/1p1pP3/3B2PP/2N2P2/PPPQ4/2KR1B1R b kq -,f6e4 f3e4 b5b4 c3a4 d5e4 d2e3 e8h8 f1g2 c7c6 b2b3,275
r2q2k1/pp1r3p/3nQ1p1/5p2/P7/5BP1/5P1P/1R1R2K1 b - -,g8h8 b1b7 d7b7 f3b7 d6b7 d1d8 a8d8 e6f7 a7a5 h2h4,560
rn3rk1/pp2np1p/2pbq1p1/5p2/2PP3B/3Q2N1/PP2N1PP/4RRK1 b - -,e6d7 e2f4 f7f6 f4h5 g6h5 g3h5 b8a6 h5f6 f8f6 h4f6,87
r4rk1/1pq1bppp/p2p4/3Qp3/P1P1P3/1P6/1B3PPP/R4RK1 b - -,c7b6 d5d3 b6c6 f1d1 g7g6 d3e2 f7f5 d1d5 f5e4 e2e4,175
rnbqk2r/pp3ppp/2p1pn2/3p4/1b1P4/3BPP2/PPPB2PP/RN1QK1NR b KQkq -,b4e7 c2c3 c6c5 g1e2 b8c6 e1h1 e6e5 d2e1 e5e4 d3c2,-42
r3k2r/1bq1bppp/p3pn2/1p1P4/3B2PP/2N2P2/PPPQ4/2KR1B1R b kq -,e8h8 d5e6 a8d8 g4g5 f6h5 d2e3 e7d6 c1b1 d6f4 d4b6,60
r1b2rk1/p1q1bpnp/2p3p1/2p1p2n/N3P3/1P3NP1/PBQ1BP1P/2RR2K1 b - -,f7f6 a4c5 g7e6 c5a6 c8a6 e2a6 a8d8 d1d8 e6d8 a6b5,193
r3kb1r/pppq1ppp/2n1pn2/8/2pP4/P5P1/1P2PPBP/RNBQ1RK1 b kq -,c6d4 g2b7 a8d8 b1c3 c7c6 b7a6 e6e5 c1g5 d7h3 g5f6,-70
r1bq1rk1/3nbppp/p3p3/3pP3/Np1B1P2/1N1R4/PPP1Q1PP/2K4R b - -,,0
r1bqk2r/pppn1ppp/3b1n2/3p2B1/3P4/2P2N2/PP2BPPP/RN1QK2R b KQkq -,a7a6 e1h1 e8h8 b1d2 f8e8 e2d3 c7c5 d1c2 h7h6 g5h4,17
r3k1nr/1p1qPpp1/p2p4/3Nn1p1/4Q3/4B3/PPP2P1P/2KR3R b kq -,d7c6 e3g5 a8c8 c1b1 f7f6 f2f4 g8e7 f4e5 d6e5 g5c1,284
3r1rk1/ppp1q1pp/2p1bn2/8/3PP3/2P2PP1/PPK1Q1B1/4RN1R b - -,b7b5 f1d2 a7a5 f3f4 b5b4 d2c4 b4c3 b2c3 g7g6 g2f3,159
4r1k1/5p1p/6p1/p3q3/2R1n3/P2Q3P/4R1P1/6K1 b - -,f7f5 d3d4 e5d4 c4d4 g8g7 d4d5 e8a8 e2c2 g7f6 c2c7,219
r3k2r/1p1qnpp1/pN1p4/4n1p1/4Q3/4B3/PPP2P1P/2KR3R b kq -,d7d8 b6a8 d8a8 d1d6 f7f6 h2h4 g5h4 h1h4 h8h4 e4h4,443
8/2r5/4K3/2kQ4/8/8/8/8 b - -,c5b4 d5d4 c7c4 d4b2 b4a4 e6f5 c4c8 f5e4 c8e8 e4d5,210
4k3/pp3ppp/2p5/5p2/3P4/4K3/PPP2PPP/8 b - -,f7f6 d4d5 c6c5 b2b4 c5b4 e3d4 e8e7 d4c5 a7a5 c5b6,121
r1bq1rk1/3nbppp/4p3/p2pP2Q/Np1B1P2/1N1R4/PPP3PP/2K4R b - -,,0
2kr3r/2pb1ppp/1bp5/pN2PP2/P1q1p3/2P1B3/5QPP/R4RK1 b - -,b6e3 b5a7 c8b8 f2e3 c4a6 a1b1 b8a8 e3e4 a6a7 g1h1,-282
r2qk2r/pp2bppp/2n1b3/2pn4/2B2P2/P5P1/1PPPQ2P/R1B1K1NR b KQkq -,d5f4 e2e4 e6c4 e4c4 f4g6 g1f3 e8h8 d2d3 e7f6 c4c5,-630
3r1rk1/ppp1q1pp/4bn2/2pP4/4P3/2P2PP1/PPK1Q1B1/4RN1R b - -,e6f7 f1e3 f7g6 c2c1 c7c6 d5c6 b7c6 e3c4 f8e8 g2f1,185
2q5/pr1b1rkn/1p1p3p/P1p1p1p1/2PPPpPP/1QPB1P2/3K1B1R/R7 b - -,b6a5 b3a3 a5a4 d3c2 d7e6 d4d5 e6g4 f3g4 h7f6 h4g5,-98
r1bq1rk1/1pp2ppp/p4n2/n2PN3/Pbp5/2N5/1P2BPPP/R1BQ1RK1 b - -,a5b3 a1b1 c8f5 e2c4 f5b1 d1b3 b4c3 b3c3 b1e4 c1g5,-181
4r1k1/7p/6p1/p3qp2/2RQn3/P6P/4R1P1/6K1 b - -,e5d4 c4d4 g8g7 d4d5 e8a8 e2c2 g7h6 c2c4 a8b8 d5a5,214
2bq1rk1/rp2n1b1/1N1p1n2/P2Pp2p/4Pp2/BN3Pp1/4B1PP/2RQ1R1K b - -,h5h4 h2h3 f6e8 c1c3 c8d7 d1c2 g8h7 a3b4 g7f6 b3d2,304
1r1q1r2/1p2n2k/p2p3p/P1pPpppn/2P1P3/5PP1/1P4NP/R1QN1RK1 b - -,f5f4 g3g4 h5f6 h2h3 h6h5 f1f2 h7g7 g2e1 f8h8 c1d2,-32
r2qkb1r/pp2pppp/5n2/n2Q4/3P1Bb1/2PB4/PP3PPP/RN2K1NR b KQkq -,f6d5 f4g3 e7e6 d3b5 a5c6 b1d2 d8b6 a2a4 a7a6 d2c4,-685
rn3rk1/pp2n2p/2pbqpp1/5p2/2PP1N1B/3Q2N1/PP4PP/4RRK1 b - -,e6d7 g3h5 g6h5 f4h5 b8a6 h5f6 f8f6 h4f6 a8f8 e1e7,88
r1b1k2N/p1pp2pp/2n5/1p2p3/2q5/8/PPPPQK1P/RNB4R b - -,c4h4 f2f1 d7d6 h2h3 c6d4 e2g2 a8b8 h1h2 d4c2 g2c6,-95
r2q1rk1/1p1n1pbp/p2ppnp1/2p5/P2PP3/2PBBN1P/1P2QPP1/R4RK1 b - -,d8e7 b2b4 c5b4 c3b4 f8c8 a4a5 d7b8 f1b1 b8c6 b4b5,90
2kr4/ppp2p1p/1n3p2/3Prp2/2P5/P2B4/1P3PPP/R4RK1 b - -,d8e8 f2f4 e5e3 f1d1 b6a4 d3f5 c8d8 d5d6 c7c6 b2b4,190
7B/2K1p3/1p1Rk2N/q2pp1p1/7p/3n2b1/b4R2/8 b - -,,0
1r6/pp1bk1pp/3b3q/3Qp3/4P3/1BR2N1P/PP3PP1/7K b - -,h6f6 h1g1 b7b6 h3h4 h7h6 f3e1 d7e6 d5e6 f6e6 b3e6,210
