r1bqkb1r/pp3ppp/2nppn2/2p3B1/P1B1P3/3P1N2/1PP2PPP/RN1QK2R b KQkq -,d6d5 e4d5 e6d5 c4b5 f8d6 d1e2 e8f8 b5c6 b7c6 e1h1,-48
r2qkb1r/pppbpppp/2n2n2/3pN3/3P1B2/2N5/PPP1PPPP/R2QKB1R b KQkq -,h7h6 e2e3 e7e6 f1d3 f8b4 a2a3 b4c3 b2c3 c6e5 f4e5,39
rn1qkbnr/pp3ppp/2p1p3/3p4/3PP1b1/2N1BN2/PPP2PPP/R2QKB1R b KQkq -,d8b6 a2a3 g4f3 g2f3 b8d7 f1d3 g7g6 d1d2 f8g7 c3a4,39
rnbqkbnr/pp3ppp/8/2pN4/3pP3/3P4/PP3PPP/R1BQKBNR b KQkq -,f8d6 g2g3 g8e7 d5e7 d8e7 f1g2 b8c6 g1e2 h7h5 h2h4,-52
r1b1k1nr/ppp2ppp/2nB1q2/8/8/5N2/PPP1PPPP/RNQ1KB1R b KQkq -,c8g4 d6c7 g8e7 b1c3 e8h8 c1g5 f6g5 f3g5 a8c8 c7d6,768
8/8/3k4/8/8/1KP5/8/8 b - -,,0
r2qkb1r/ppp2ppp/2n1pn2/3p1bB1/3P4/2N2N2/PPPQPPPP/2KR1B1R b kq -,a7a6 e2e3 f8b4 f1d3 f5d3 g5f6 d8f6 d2d3 f6g6 d1g1,-35
8/8/8/2k5/8/2P5/2K5/8 b - -,,0
rnbqk1nr/pp2ppbp/6p1/1B1p4/3P4/2P2N2/PP3PPP/RNBQK2R b KQkq -,d8d7 b5d7 c8d7 d1b3 d7c6 b1a3 g8f6 a3b5 e8h8 b5c7,869
r1bqk1nr/pp3ppp/2n1p3/1BbpP3/6Q1/8/PPP2PPP/RNB1K1NR b KQkq -,g8e7 b1c3 e7g6 g1f3 e8h8 g4g3 c6d4 b5d3 d8c7 f3g5,-199
r1bk3r/ppp2ppp/2p2n2/8/4P3/2B5/PPP2PPP/R3KB1R b KQ -,b7b6 f2f3 d8e7 h2h4 a7a5 g2g4 h7h6 e1f2 c8e6 a2a3,258
r1bqkb1r/ppp2ppp/2n1p3/3p4/2PP4/4PNP1/PP3PP1/RN1QKB1R b KQkq -,g7g6 c4d5 e6d5 f1b5 f8b4 b1d2 e8h8 b5c6 b7c6 a2a3,82
1r1qr1k1/3b1pbp/p2p2p1/1PpPn2n/4P1P1/N1N4P/1P3PB1/R1BQ1RK1 b - -,f7f5 g4h5 a6b5 f2f4 e5f7 a3c2 b5b4 c3e2 e8e4 g2e4,328
8/8/Q3k3/2K5/8/5b2/8/8 b - -,f7f5 g4h5 a6b5 f2f4 e5f7 a3c2 b5b4 c3e2 e8e4 g2e4,Mate
2b5/8/1Q3k2/2K5/8/8/8/8 b - -,f7f5 g4h5 a6b5 f2f4 e5f7 a3c2 b5b4 c3e2 e8e4 g2e4,Mate
rn1qk2r/ppp2ppp/3bpn2/3p1bB1/3P4/2P2N2/PP1NPPPP/R2QKB1R b KQkq -,b8d7 f3h4 f5e4 e2e3 h7h6 g5f6 d8f6 h4f3 e4f5 c3c4,-79
rnbqk2r/ppppppbp/5np1/3N4/8/1P6/PBPPPPPP/R2QKBNR b KQkq -,f6h5 b2g7 h5g7 c2c4 e8h8 e2e3 d7d6 d2d4 e7e5 d1d2,21
r2qkbnr/pppN1ppp/2n5/1B1p4/4P3/8/PPPP1PPP/RNBQK2R b KQkq -,g8e7 d7f8 d5e4 e1h1 h8f8 b1c3 a7a6 b5c6 e7c6 c3e4,587
r2qkbnr/pp3ppp/2n1p3/3p1b2/8/1BP2N2/PP1P1PPP/RNBQ1RK1 b kq -,h7h6 b1a3 g8f6 b3c2 f8a3 c2f5 e6f5 b2a3 e8h8 d2d3,-75
r3kbnr/ppp2ppp/2n5/1B1q4/8/8/PPPPQPPP/RNB1K2R b KQkq -,e8d8 e1h1 f8d6 d2d4 g8f6 c2c3 d5h5 e2h5 f6h5 b1d2,286
r2qkbnr/pppB1ppp/8/3Pn3/8/8/PPPP1PPP/RNBQK2R b KQkq -,d8d7 d2d4 e5g6 c2c4 f8e7 b1d2 g8f6 e1h1 e8h8 d2f3,-289
r1bqk1nr/pp1nbppp/2pp4/4p3/2BPP3/5N1P/PPP2PP1/RNBQ1RK1 b kq -,b7b5 c4d3 c8b7 a2a4 a7a6 a4b5 a6b5 a1a8 d8a8 c2c4,110
r1bqkb1r/pppppppp/2n2n2/8/P7/2N2N2/1PPPPPPP/R1BQKB1R b KQkq -,d7d6 e2e4 e7e6 d2d4 f8e7 f1d3 e8h8 e1h1 h7h6 c1e3,39
1K1k4/8/4r3/8/8/3Q4/8/8 b - -,d8e7 d3d4 e6c6 b8b7 c6d6 d4g4 e7f6 g4e4 d6e6 e4f4,1296
rnb1kbnr/ppp2ppp/4p3/8/4P3/7N/PPP2PPP/RNBK1B1R b kq -,e6e5 f1b5 c7c6 b5d3 g8e7 c1e3 e7g6 d1e2 f8e7 a2a4,-44
rnbqkb1r/pp2pp1p/2p2p2/8/8/3B1N2/PPPP1PPP/R1BQK2R b KQkq -,c8g4 d3e2 c6c5 d2d4 c5d4 d1d4 d8d4 f3d4 g4e2 e1e2,60
rnbqkb1r/pp2pppp/5n2/3p4/2pP4/2P2NP1/PP2PPBP/RNBQK2R b KQkq -,h7h6 b1d2 c8f5 f3e5 b8d7 e2e4 d7e5 d4e5 f6e4 d2e4,105
rnb1kb1r/ppp1qppp/5n2/3pN3/5B2/1B1P4/PPP2PPP/RN1QK2R b KQkq -,g7g5 f4g3 h7h5 h2h4 g5h4 h1h4 c8g4 f2f3 b8c6 b3a4,-49
r1b1kbnr/1pqp1ppp/p1n1p3/2p5/2P1P3/2NP1NP1/PP3P1P/R1BQKB1R b KQkq -,h7h6 f1g2 f8e7 e1h1 g8f6 h2h3 e8h8 c1e3 b7b6 e4e5,52
rnbqk2r/pp1pbppp/4pn2/2p5/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,d8a5 f1g2 c5d4 f3d4 b8c6 e1h1 e8h8 a2a3 a5c5 d4b5,74
rn1qkb1r/pp2pppp/2p1bn2/8/2pPP3/2N3P1/PP3PBP/R1BQK1NR b KQkq -,e6c8 g1f3 c8g4 e1h1 e7e5 d4e5 d8d1 c3d1 f6d7 d1e3,57
r1bqr1k1/ppp2pp1/2np1n1p/8/2P1p3/2P1N1P1/PPQ1PPBP/R1B2RK1 b - -,a7a5 a2a4 b7b6 f2f3 c6e5 f3e4 f6g4 e3d1 c8a6 b2b3,-41
