8/8/8/8/8/6K1/8/5k1R b - -,b8b7 c5f8 g7f6 b5d6 b7e7 d6e4 f6f5 f8e7 g8e7 d8h8,Mate
r1b1k2r/1p2pp2/p2p1n1b/2q1n3/3NP3/2N3PP/PPP1Q3/R3KBBR b KQkq -,b7b5 f1g2 c8d7 a2a3 a8c8 d4f5 c5c4 f5h6 h8h6 e1a1,41
8/8/8/8/Q7/1N2K3/8/1k6 b - -,b7b5 f1g2 c8d7 a2a3 a8c8 d4f5 c5c4 f5h6 h8h6 e1a1,Mate
rn1qk2r/1bppbppp/p3pn2/1p2P3/3P4/3B1N2/PPP2PPP/RNBQR1K1 b kq -,f6h5 g2g4 h5f6 e5f6 g7f6 a2a4 b5b4 c2c4 h8g8 d4d5,244
r4rk1/1bqnbp1p/pppp1np1/4p3/P2PP3/2N1BN1P/BPP2PP1/R2QR1K1 b - -,f6h5 e3h6 h5g7 f3g5 b6b5 d4e5 d7e5 d1d2 f8e8 a4a5,93
rn1qkbnr/ppp1ppp1/6b1/6Pp/3Pp3/2N5/PPP2PBP/R1BQK1NR b KQkq -,b8d7 c3e4 e7e5 g1e2 d8e7 e1h1 e8a8 f2f4 g6e4 g2e4,57
8/5p1p/4p1p1/r4kP1/5P1P/4R1K1/8/8 b - -,f7f6 g5f6 f5f6 e3c3 a5a1 c3c7 h7h5 g3g2 a1a2 g2g3,-10
r2qkbnr/ppp1ppp1/2n4p/3p3b/2PP1B2/4PN1P/PP3PP1/RN1QKB1R b KQkq -,e7e5 f4e5 f8b4 b1d2 c6e5 d4e5 g8e7 a2a3 b4d2 d1d2,134
1r3rk1/1bqnbppp/pN2p3/3pP3/1p1B2PP/4QP2/PPP5/1K1R1B1R b - -,f8d8 b6d7 d8d7 f3f4 e7c5 f4f5 b8c8 f1d3 c5d4 e3d4,115
8/p7/2K5/P7/8/2k5/8/8 b - -,c3d4 c6b7 d4d5 b7a7 d5c6 a7a6 c6c7 a6b5 c7b7 b5c4,Mate
rnbqk2r/pp2bppp/3p1n2/2p1p3/2B1P3/1PNP4/P1P1NPPP/R1BQK2R b KQkq -,c8d7 a2a4 b8c6 e1h1 e8h8 f2f4 a7a6 d1d2 a8b8 h2h3,60
6k1/6pp/3q1p2/3rp3/P1QB4/6P1/5P1P/3R2K1 b - -,e5d4 d1d4 d6c5 c4d5 c5d5 d4d5 g8f7 a4a5 f7e7 d5d1,692
r1bq1rk1/pp2bppp/2np1n2/2p1p3/2B1PP2/1PNP4/P1P1N1PP/R1BQ1RK1 b - -,b7b6 a2a4 e5f4 e2f4 a8b8 f4d5 f6d5 c3d5 c6e5 c1f4,63
r1b2rk1/pp1p1ppp/2n1pn2/q1P5/2P5/2PBPN2/P4PPP/R1BQ1RK1 b - -,b7b6 e3e4 a5c5 a2a4 c5h5 a4a5 c6a5 e4e5 f6g4 f1e1,52
