r1bq1rk1/p3b3/1p2p1Q1/3pP3/4nB2/P3P3/1PBN1P1P/R3K2R b KQ -,g8g7 b4c3 f7f6 e8b8 c6b8 c3c7 f6f7 c7b8 f7e7 b8b7,Mate
6k1/7p/6p1/8/1P6/8/2r3PP/4R2K b - -,,0
rnb2rB1/pp3k2/4p3/3pn1Q1/3p4/2N5/PPP2PP1/R3K2R b KQ -,c2b2 h1g1 b2b4 e1e7 b4b1 g1f2 b1b3 h2h3 b3b5 f2g3,Mate
rnbqrbk1/pp1p1ppp/3P1n2/2p3B1/8/2N1PN2/PP3PPP/R2QKB1R b KQ -,e8e6 f1c4 e6d6 d1b3 d8e8 g5f6 g7f6 e1h1 b8a6 a1e1,135
4Q3/5K2/8/pk5p/4rp1P/3R4/8/8 b - -,e4e8 f7e8 b5c5 e8f7 c5c4 d3a3 c4b5 a3f3 b5a6 f7f6,Mate
8/1p1k4/4p3/2p1Q3/3pP1Pp/3P4/4K3/2q5 b - -,c1c2 e2e1 h4h3 e5b8 c2c1 e1f2 c1e3 f2f1 e3d3 f1g1,-1225
8/3k4/3P4/3KP2p/3N1P2/6q1/8/8 b - -,d7c8 e5e6 h5h4 f4f5 h4h3 d6d7 c8c7 d4b5 c7d8 b5d6,-675
8/7p/p4kp1/Pp2r3/1P1R4/8/6PK/8 b - -,f6e6 h2g1 e5f5 g1h2 f5d5 d4e4 e6d6 h2g1 d5d3 g1f2,-376
r4r2/pp3kbp/4p3/5p2/4pB2/2P1R3/PP3PPP/3R2K1 b - -,a8d8 d1d8 f8d8 g1f1 e6e5 f4g5 d8d5 e3e2 f7e6 e2d2,-60
rnb1k2r/pppp1ppp/5q1n/2b5/4p2N/4P1P1/PPPP1PBP/RNBQ1RK1 b kq -,g7g5 b1c3 g5h4 c3e4 f6f5 e4c5 f5c5 d2d4 c5g5 e3e4,23
r2qk2r/pb1n1ppp/2pbp3/8/3PB3/p3P3/1P1N1PPP/R1BQ1RK1 b kq -,e8h8 b2b3 d8c7 c1a3 d6h2 g1h1 h2d6 a3d6 c7d6 d2c4,43
r1bqk2r/1p3ppp/p3p3/3pP3/B2n2P1/5Q2/PP1B1P1P/R3K2R b KQkq -,c8d7 f3f4 d4f3 f4f3 d7a4 f3a3 a4c6 e1a1 d8h4 h1g1,-118
