r1bqk1nr/ppp2ppp/2np4/1Bb1P3/3p4/5N2/PPP2PPP/RNBQ1RK1 b kq -,g8e7 c1g5 e8h8 b5c6 b7c6 e5d6 d8d6 b1d2 e7f5 d2e4,-59
r4rk1/p4pp1/3p4/2qP3Q/1p4P1/7R/PPP2R1P/6K1 b - -,c5f2 g1f2 f7f6 h5h7 g8f7 g4g5 f6f5 g5g6 f7f6 h7h4,Mate
r1bk2nr/pppp2pp/2n2q2/2b3N1/3pP3/1B6/PPP2PPP/RNBQK2R b KQ -,g8h6 e1h1 b7b6 g5h3 h6f7 d1h5 g7g6 h5d5 d8e7 c2c3,85
r4rk1/p5pQ/3p1p2/3q2P1/1p6/7R/PPP2R1P/6K1 b - -,g8f7 f2f6 f7e8 h3e3 e8d7 h7g7 d7c6 f6f8 a8f8 g7f8,685
8/pp3pk1/2p5/8/8/2P5/PP4KP/8 b - -,c6c5 c3c4 g7g6 g2f3 g6g5 f3e4 g5g4 e4e5 g4g5 h2h3,202
8/2k5/N7/2KB4/8/8/8/8 b - -,c7d7 a6b4 d7e7 b4c2 e7f6 c2e3 f6e5 d5c6 e5f6 c5d6,220
r1bqkb1r/1pp1pppp/p4n2/3pP3/8/2N1P3/PPP2PPP/R2QKBNR b KQkq -,f6d7 d1d5 e7e6 d5e4 a8b8 a2a4 d8e7 f2f4 e7b4 e4b4,78
6k1/5pp1/8/1p2P3/2p5/2P1KN2/1P6/3q4 b - -,f6d7 d1d5 e7e6 d5e4 a8b8 a2a4 d8e7 f2f4 e7b4 e4b4,Mate
6k1/5pp1/8/1p2P3/2pNK3/2P5/1q6/8 b - -,f6d7 d1d5 e7e6 d5e4 a8b8 a2a4 d8e7 f2f4 e7b4 e4b4,Mate
6k1/5pp1/4P3/1p6/2pNK3/2q5/8/8 b - -,f6d7 d1d5 e7e6 d5e4 a8b8 a2a4 d8e7 f2f4 e7b4 e4b4,Mate
r1b3nr/ppp2pp1/3k3p/3q4/3N4/4PQ1P/PP3PP1/R1B2RK1 b - -,c7c5 e3e4 d5d4 f1d1 d6e7 d1d4 c5d4 c1f4 e7e8 f3d3,542
2kr2nr/ppp2ppp/2nb1q2/8/6b1/4PN2/PPPN1PPP/R1BQKB1R b KQ -,c8b8 f1e2 h7h5 c2c3 f6g6 f3h4 g6h6 h4f3 g8f6 d1c2,-68
rnbqkb1r/pp2pppp/5n2/2pP4/8/2N5/PPPP1PPP/RNBQKB1R b KQkq -,f6d5 c3d5 d8d5 b1c3 d5d8 d2d3 b8c6 c1e3 e7e5 g2g3,-24
4r1k1/1Rp3p1/8/5p2/8/1P1PBNb1/1PP2p2/5K2 b - -,e8e3 f3d2 e3e1 f1g2 e1g1 g2f3 g7g5 d2f1 f5f4 f3e2,-751
3r4/4qk1p/pnbR1p2/1pp2p2/4P3/1P3PQ1/P1P3PP/3R2K1 b - -,b6d7 g3h3 f5e4 h3h7 f7f8 h7e7 f8e7 d6c6 e4f3 g2f3,517
r4r2/p4kpQ/3p1R2/3q2P1/1p6/7R/PPP4P/6K1 b - -,f7e8 h3e3 e8d7 h7g7 d7c6 f6f8 a8f8 g7f8 d5g5 e3g3,Mate
r1bqkbnr/ppp2pp1/3p3p/n3p3/4P3/5N1P/PPPPBPP1/RNBQ1RK1 b kq -,g8f6 d2d4 e5d4 b2b4 a5c6 b4b5 c6e5 d1d4 f6d7 b1c3,60
rnbqk2r/ppp1ppbp/5np1/8/3PP3/2N2N2/PPQ2PPP/R1B1KB1R b KQkq -,e8h8 f1e2 b8c6 d4d5 c6b4 c2b3 a7a5 c1e3 e7e6 a2a3,76
r1b2rk1/1pqn1ppp/p4n2/3p1NB1/4P3/2P2P2/P3B1PP/R2Q1RK1 b - -,d7e5 g5f6 g7f6 f5e3 d5e4 e3d5 c7c5 g1h1 g8g7 f3e4,116
rn1qk1nr/ppp2ppp/3b4/8/6b1/6P1/PPP1PPBP/RNBQK1NR b KQkq -,b8d7 g2b7 g8f6 b7g2 e8h8 g1f3 d8e7 e1h1 a8d8 h2h3,160
r1bqkb1r/1p3ppp/p1n1pn2/2ppN3/P3PP2/2NP4/1PP3PP/R1BQKB1R b KQkq -,f8e7 e5c6 b7c6 d1f3 e6e5 f1e2 e5f4 c1f4 c8g4 f3f2,14
rnbqk2r/p3ppbp/2p3p1/8/1p1PP2P/1BP5/P4PP1/R1BQK1NR b KQkq -,h7h5 c1e3 b4c3 a1c1 b8d7 g1f3 d8a5 f3g5 e8h8 e1h1,47
r1bk2nr/ppp1bppp/2n5/4p3/4P3/4BN2/PPP2PPP/RN2KB1R b KQ -,g8f6 b1c3 f6g4 e3g5 f7f6 e1a1 d8e8 g5h4 g4h6 f3d2,41
8/PR5K/7p/8/2P4p/8/2k5/r7 b - -,c2c3 c4c5 c3c4 c5c6 c4c5 c6c7 c5d4 c7c8q,731
rn1qkb1r/1p2npp1/p3p2p/3p3P/3P1BP1/2N2Q2/PPP2P2/R3KB1R b KQkq -,e7c6 e1a1 f8d6 f4e3 b8d7 c1b1 d8e7 f3g2 e8a8 f2f4,64
r1bqkbnr/1p3pp1/p1np3p/2p1p3/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 b kq -,g8f6 c3d5 f6d5 e4d5 c6d4 e2c3 f8e7 c3e4 e7g5 c2c3,50
r1b3nr/ppp2pp1/3k3p/3q4/3NP3/5Q1P/PP3PP1/R1B2RK1 b - -,f7f5 e4d5 d6e7 f1e1 e7f7 f3b3 f7g6 c1f4 c8d7 f4c7,894
r1b2rk1/pp4pp/1qn1pP1n/3p4/1b1P2P1/1P3N1P/PB2BP2/RN1Q1K1R b - -,h6f7 f6g7 g8g7 b1c3 g7g8 d1d2 c8d7 e2d3 e6e5 c3d5,105
r2qkb1r/1p1b1ppn/p1p2N1p/n3P3/8/3B1N2/PP3PPP/R1BQR1K1 b - -,d8f6 e5f6 e8d8 d3h7 a5c4 f6g7 f8g7 h7f5 d8c7 d1d7,1303
8/5pk1/6p1/8/8/2Q5/5PPP/6K1 b - -,d8f6 e5f6 e8d8 d3h7 a5c4 f6g7 f8g7 h7f5 d8c7 d1d7,Mate
r1bq1bnr/pppk3p/2n1pp2/1B1p2pQ/3P4/4P1B1/PPP2PPP/RN2K1NR b KQ -,d8e8 h5d1 g8e7 c2c4 a7a6 b5c6 b7c6 h2h4 g5h4 g3h4,93
r1b3nr/ppp2pp1/3k3p/2q5/3NP3/4BQ1P/PP3PP1/R4RK1 b - -,d6e7 d4f5 c5f5 e4f5 g8f6 e3c5 e7d8 f1d1 c8d7 f3b7,817
r1b3nr/ppp2pp1/3k3p/8/3qP3/5Q1P/PP3PP1/R1BR2K1 b - -,d6e7 d1d4 c8e6 c1f4 e7e8 f3a3 g8e7 d4d1 a7a5 g1h1,671
rnbqk2r/pp3ppp/5n2/2bpp3/4P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq -,d5d4 c3e2 b8c6 e2g3 a7a5 f1e2 e8h8 e1h1 f8e8 f3h2,-79
r3kbnr/ppp1pppp/2nq4/8/6b1/2N2NP1/PPPPBP1P/R1BQK2R b KQkq -,e8a8 h2h3 g4f5 d2d3 e7e5 e2f1 d6d7 a2a3 f8c5 f1g2,-57
r1bqk1nr/3p1pbp/pp2p1p1/2p5/P1BnPP2/2NP1N2/1PP3PP/R1BQ1RK1 b kq -,c8b7 f3d4 c5d4 c3e2 d7d5 e4d5 b7d5 f4f5 d5c4 d3c4,-42
rnbqkb1r/pppppppp/7n/8/2BPPB2/2N2N2/PPPQ1PPP/R4RK1 b kq -,c7c6 d4d5 d7d6 e4e5 d6e5 f3e5 f7f6 f4h6 f6e5 h6g5,379
rn1qkb1r/pp3ppp/4bn2/2ppp3/8/2P1P1P1/PP1PNPBP/RNBQ1RK1 b kq -,c5c4 d2d4 c4d3 d1d3 b8c6 b1d2 f8e7 b2b3 h7h5 c3c4,-85
r1bqk2r/pp3ppp/2n2n2/2b1p3/8/P1NP1N2/1PP2PPP/R1BQKB1R b KQkq -,h7h6 f1e2 e8h8 e1h1 c8f5 f3d2 a8c8 d2e4 f6e4 d3e4,38
rnbq1rk1/ppppppbp/5np1/8/2P5/P3PN2/1PQP1PPP/RNB1KB1R b KQ -,c7c5 f1e2 b8c6 e1h1 b7b6 d2d4 c5d4 e3d4 d7d5 c4d5,-35
r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/P3PN2/1PQPBPPP/RNB2RK1 b - -,b7b6 d2d4 c5d4 e3d4 d7d5 c4d5 d8d5 b1c3 d5d6 f1d1,-48
r2qkb1r/1p1b1pp1/p1p2P1p/n7/8/3B1N2/PP3PPP/R1BQR1K1 b - -,d7e6 e1e6 d8e7 e6e7 f8e7 f6e7 e8e7 d1e2 e7f8 c1f4,1289
r2qkb1r/1p1b1p1n/p1p2P1p/n7/8/3B1N2/PP3PPP/R1BQR1K1 b - -,d7e6 e1e6 d8e7 e6e7 f8e7 f6e7 h7f6 d3f5 f6d5 d1d4,1111
2r2rk1/1b1nqppp/2pb1n2/1p2p3/1P1PP3/3B1N2/2Q1NPPP/1RB2RK1 b - -,d6b8 d4e5 f6g4 c1g5 e7e8 e2g3 d7e5 d3e2 e5f3 e2f3,37
r2qkb1r/pp1npppp/2p2n2/3p4/6b1/1PN2NP1/PBPPPPBP/R2QK2R b KQkq -,e7e5 h2h3 g4h5 e1h1 f8b4 a2a3 b4a5 d2d3 e8h8 b3b4,-48
8/2r5/5K2/1k6/8/1Q6/8/8 b - -,g4h5 d2d3 e7e5 e1h1 f8c5 f3e5 d7e5 d3d4 c5d6 d4e5,Mate
rnb2rk1/pp2bppp/2p5/3q4/5B2/1N6/PPPQ1PPP/2KR1B1R b - -,g7g6 d2d5 c6d5 d1d5 b8c6 f4h6 c8e6 h6f8 e6d5 f8e7,127
r1bq1rk1/pp1pppbp/2n3pn/1Bp5/4P3/2NP1N2/PPP2PPP/R1BQR1K1 b - -,c6d4 h2h3 d4f3 d1f3 g8h8 a2a4 b7b6 c1f4 c8b7 f3e3,42
r3kb1r/pp1b1ppp/2n1p3/q2pPn2/3P4/2N2N2/PP2BPPP/R1BQ1K1R b kq -,a5d8 h2h4 h7h5 h1h3 a7a6 f1g1 d8b6 c3a4 b6a7 c1e3,41
r1bq1rk1/ppp2pbp/2np1np1/6B1/4P3/1NN2P2/PPPQ2PP/R3KB1R b KQ -,d8e8 e1a1 c8e6 h2h4 h7h5 c1b1 f6d7 g5h6 e8e7 f1e2,101
r3kb1r/pp2pppp/2n2n2/2P5/6b1/N1P2N2/PP3PPP/R1BK1B1R b kq -,e7e5 h2h3 g4h5 d1e1 f8c5 a3c4 f6e4 c1e3 c5e3 c4e3,-37
1K6/3k1Q2/4r3/8/8/8/8/8 b - -,d7d6 f7f5 e6e5 f5f3 e5d5 b8b7 d6c5 f3c3 c5d6 c3a3,225
