1r5k/6pp/2p5/P5Q1/1P2B3/2P5/5PPK/3RNRn1 b - -,c1c8 e1e2 c8c1 e2e1 c1c7 e1e2 c7d7 e3c3 d6d1 e2e1,Mate
r4rk1/5pb1/4p3/2q1P3/pp3QBN/6P1/bP4P1/K2RR3 b - -,a4a3 f4d4 a3b2 a1b2 c5a5 g4f5 a5a3 b2c2 f8c8 c2d2,-803
3r1k2/1p1r1p2/p2P1Q1p/P7/3RN3/7P/4qP2/6K1 b - -,f8g8 f6e5 d7d6 e4f6 g8f8 e5e2 d6d4 e2e5 d4c4 g1h2,444
3r2k1/5p2/p2p2p1/1p5p/3br3/PR1B3Q/1PP2qPP/3R3K b - -,f8g8 f6e5 d7d6 e4f6 g8f8 e5e2 d6d4 e2e5 d4c4 g1h2,Mate
1rr3k1/2qn1ppp/p3p3/1b1p4/N4b2/1PPB1P1P/P4BP1/1R1QR1K1 b - -,f4g3 f2g3 c7g3 d1d2 d7e5 d3e2 e5g6 g1h1 c8c6 a4b2,-170
r3k2r/1pq2pp1/p1bbpn1p/3pN3/3P4/2PB3P/PP2QPP1/R1B1R1K1 b kq -,e8h8 e2f3 f6h7 d3c2 a8c8 h3h4 f7f5 e5d3 c6d7 c1f4,92
1kbqr3/pP2rpp1/1np2n1p/8/3PP3/1NNB3P/1PQ3P1/1KR1R3 b - -,c8d7 b3c5 a7a5 c2f2 h6h5 f2f4 b8a7 e1e2 h5h4 e2c2,474
7R/4kb1P/1p6/2p5/8/PP1K3R/4n1r1/8 b - -,f7g6 d3e3 e2d4 h8e8 e7d7 h7h8q g2e2 e3f4 g6e8 h3h6,279
1r4k1/4bp1p/p1pN1qp1/2P1p2n/3pP3/1P1R1PP1/P2Q2KP/3R4 b - -,e7d6 c5d6 f6d6 d1c1 h5g7 d2c2 b8c8 c2c5 d6f6 f3f4,96
8/4B3/p1p5/2p3p1/2Pp1bbp/1P1k4/PK6/8 b - -,e7d6 c5d6 f6d6 d1c1 h5g7 d2c2 b8c8 c2c5 d6f6 f3f4,Mate
8/1p3pk1/p1br1pp1/2N5/1P4P1/P3R1KP/5P2/8 b - -,,0
rn2kb1r/ppp1qppp/5n2/8/2pN2b1/3P3P/PP2PPP1/RNBQKB1R b KQkq -,g4d7 d3c4 b8c6 e2e3 c6d4 d1d4 d7c6 b1d2 a8d8 d4c3,-57
4Q3/1b1p3k/1R5p/2p5/1p6/3P2P1/2P1KP2/2q5 b - -,,0
