rnbqkb1r/pp2pppp/8/2p5/4P3/5N2/PPP2PPP/R1BQKB1R b KQkq -,b8d7 b2b3 d8a5 d1d2 a5d2 f3d2 b7b6 c1b2 c8b7 a2a4,117
r2q1rk1/1p2ppbp/1n3n2/p2P2p1/P2P4/1QNN4/1P3PPP/R1B2RK1 b - -,f6d5 c1g5 h7h6 g5d2 a8c8 d3c5 d5b4 d2e3 c8c6 a1d1,224
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P4/PP3N2/1BP1PPPP/RN1QKB1R b KQkq -,g7g6 e2e3 f8g7 b1d2 e8h8 c2c4 b7b6 f1e2 c8b7 e1h1,69
rn1qk2r/pbp1ppbp/1p1p1np1/3P4/2P1P3/2N1BN2/PP3PPP/R2QKB1R b KQkq -,c7c6 f1e2 e8h8 e1h1 a7a6 a2a4 f8e8 d1d2 c6d5 c4d5,133
8/8/8/8/6k1/4K3/6R1/8 b - -,c7c6 f1e2 e8h8 e1h1 a7a6 a2a4 f8e8 d1d2 c6d5 c4d5,Mate
8/1b3rpk/1p1qpn2/5p2/3P4/4PPPr/2QBBK2/2R3R1 b - -,f6e4 f2e1 e4g3 c2c4 b7d5 d2b4 d6d8 c4c2 d8h4 e2c4,-820
8/8/8/5k2/8/4K1R1/8/8 b - -,b7d5 e2f1 h3h2 g1g2 f6h5 f2g1 h2g2 f1g2 d6g3 c2d1,Mate
8/8/8/4k1R1/8/4K3/8/8 b - -,b7d5 e2f1 h3h2 g1g2 f6h5 f2g1 h2g2 f1g2 d6g3 c2d1,Mate
rnbqkb1r/ppppp1pp/5n2/5p2/2P5/4P3/PPQP1PPP/RNB1KBNR b KQkq -,b8c6 d2d4 e7e5 d4e5 c6e5 c2f5 f6g4 b1c3 f8b4 h2h3,58
rnbqkbnr/pp1p1ppp/8/2p1p3/4PP2/6P1/PPPP3P/RNBQKBNR b KQkq -,e5f4 d2d3 f4g3 h2g3 b8c6 b1c3 g8f6 f1g2 f8d6 c1f4,-88
rn1qkbnr/ppp1pppp/8/5b2/2p5/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq -,b8c6 f1c4 e7e6 c4b5 d8d6 d2d4 e8a8 e1h1 g8f6 b5c6,117
3r2k1/pp3ppp/2q2n2/1P2p3/2n1P2P/P1N2QP1/5PK1/R3B3 b - -,,0
