rnb2rk1/pp4bp/1qpp1pp1/3Pp3/2P1P1n1/2N2N2/PP2BPPP/R1BQ1RK1 b - -,f6f5 e4f5 g6f5 f3g5 g4f6 c4c5 b6c5 c1e3 c5b4 a2a3,162
2kr3r/p1p1R1pp/1p5n/1N3p2/1BBp4/1P6/P4PPP/n5K1 b - -,h8e8 e7c7 c8b8 c7g7 a1c2 b4d2 c2e3 f2e3 d4e3 d2e1,274
r1bq1rk1/pp5p/2n1pbpQ/2pp4/5B2/2PBP3/PP1N1PPP/R4RK1 b - -,e6e5 d3g6 d8e7 c3c4 d5d4 g6e4 e5f4 e3f4 e7g7 h6g7,-283
rnb2rk1/pp4bp/1qpp2p1/3PpP2/2P3n1/2N2N2/PP2BPPP/R1BQ1RK1 b - -,g4f6 f5g6 h7h6 f3h4 c6d5 c3d5 f6d5 d1d5 g8h8 c1e3,333
2k5/p1P3P1/4b3/1K2B3/8/8/8/8 b - -,g4f6 f5g6 h7h6 f3h4 c6d5 c3d5 f6d5 d1d5 g8h8 c1e3,Mate
r1b3k1/7p/p1pb4/1p1n2B1/3P4/2P2qP1/PP3P1P/R3RQK1 b - -,f3h5 h2h4 c8g4 f1g2 a8f8 a2a4 h7h6 g5d2 h5f5 a4b5,-14
2kR4/pp3pNb/1b2p3/1N6/1P4nP/2p5/P4P2/2K4R b - -,c8d8 b5c3 g4f2 h1h2 b6e3 c1b2 f2g4 h2h1 d8e7 g7h5,-66
3r2k1/4bppp/2p5/R1p1p3/2N1P3/1Pn2NP1/2P2P1P/6K1 b - -,h7h5 f3e5 c3e4 e5c6 d8d1 g1g2 e7f6 h2h4 g7g6 a5a8,161
rnb2rk1/pp4bp/1qPp4/4pp2/2P3n1/2N2N2/PP2BPPP/R1BQ1RK1 b - -,g4f6 c4c5 b6c6 c5d6 f6e8 c1g5 c6d6 d1d6 e8d6 g5e7,298
6k1/4bppp/2p5/R1p1p3/2N1P3/1Pn2NP1/2P2PKP/3r4 b - -,c3e4 a5a8 d1d8 a8d8 e7d8 f3e5 d8c7 e5c6 g8f8 g2f3,203
