4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
r1b2r2/pp4k1/4p2p/2ppP3/8/2P1P2P/PP3PP1/R4RK1 b - -,b7b6 f2f4 c8a6 f1d1 h6h5 b2b3 h5h4 c3c4 a6b7 d1d2,-281
1R6/5pk1/2N3p1/3P3p/8/2rn4/4K1PP/8 b - -,d3f4 e2f2 c3c2 f2f3 f4d5 c6e5 g7f6 e5d3 c2c3 f3e2,-47
r1b1kb1r/1pqp1ppp/p3pn2/4n3/3NP3/2N1B1P1/PPP1QPBP/R3K2R b KQkq -,e5c4 c3d1 b7b5 e3f4 e6e5 d4b3 h7h6 e1h1 d7d6 f4c1,-19
2b3k1/5p2/p3pp1p/2b5/1p1N3P/4PP2/PP2BKP1/8 b - -,,0
r4rk1/1b2qppp/p3p3/3pN3/3PN3/8/PP3PPP/2RQ1RK1 b - -,d5e4 d1d2 f7f6 e5c6 e7e8 c6a5 b7d5 b2b3 f6f5 d2f4,-7
4k3/R7/2pK4/6N1/2PP1p2/8/5rb1/8 b - -,e8f8 d6e6 f2e2 e6f6 f8e8 g5e6 e2e6 f6e6 g2h3 e6d6,Mate
5rk1/pp3ppp/2p5/3p4/8/1P2rPQ1/P1P4P/R2N2K1 b - -,e3e2 d1f2 f8e8 f2d3 c6c5 g1h1 g7g6 a1g1 a7a6 h2h4,571
rn1qkb1r/pp2pppp/2p2n2/7b/2BP4/2N1BN1P/PPP2PP1/R2QK2R b KQkq -,b7b5 c4b3 e7e6 g2g4 h5g6 d1e2 f8b4 e1h1 b4c3 b2c3,65
2rq1r1k/pp1n1ppB/2n1p3/3p2b1/3P1B2/2P4R/PP3PPP/1Q3RK1 b - -,f7f6 h7f5 g5h6 f4h6 e6f5 b1f5 f8f7 h6f4 h8g8 f5h7,577
r1b2rk1/p1p3bp/1p1p2p1/2PPn3/1P1NpP1q/7P/P3BPPB/2RQ1RK1 b - -,f8f4 h2f4 h4f4 d4e6 f4f6 c5d6 c7d6 d1b3 h7h5 e6g7,318
r1b1k2r/pp1n1ppp/4p3/q1pp2B1/2PPn3/P1PBPN2/2Q2PPP/R3K2R b KQkq -,e4g5 f3g5 c5d4 c4d5 a5d5 g5f3 d4e3 f2e3 d5c5 e1h1,-194
4r1k1/1q2bpp1/2b2n1p/1p1pB3/2pP4/2P2B1P/1P2QPP1/3NR1K1 b - -,f6e4 f3e4 d5e4 e2g4 e7f8 d1e3 e8e6 g4f4 b7a8 f4f5,52
r1bq1rk1/p3npp1/1p1bp2p/4N3/1nBP4/2N1B3/PP2QPPP/1R3RK1 b - -,c8b7 b1c1 a8c8 a2a3 b4c6 e5c6 c8c6 c4d3 d6b8 f1d1,-43
r1bqk2r/pppn1pp1/4pB1p/8/3P4/3B1N2/PPP2PPP/R2QK2R b KQkq -,d8f6 d1e2 c7c5 e1a1 c5d4 h1e1 e8h8 e2e4 f8d8 f3d4,59
