4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
r2qk2r/pppb2b1/3ppn1p/5p1P/1nBP2p1/2N1P1B1/PPPQNPP1/R3K2R b KQkq -,d8e7 e2f4 e7f7 e3e4 f5e4 c3b5 b4a6 f4g6 e8a8 b5a7,116
1r3rk1/1b1n1pbp/p5p1/1p1Pp1P1/1q3n2/P1N1BN1P/1PPQ4/1K1RR2B b - -,b4a5 f3h2 d7b6 e3b6 a5b6 h2g4 f8e8 d5d6 b5b4 c3a4,111
r1b1kb1r/1pqp1ppp/p3pn2/8/2nNP3/4B1P1/PPP1QPBP/R2NK2R b KQkq -,b7b5 e3g5 c8b7 g5f6 g7f6 e1h1 a8c8 c2c3 h7h5 h2h4,8
6k1/p4pp1/1pp2n1p/r5q1/2Pr4/1P4PQ/P1N1R1PP/4R1K1 b - -,d4d8 c2e3 f6e4 h3g4 e4c3 e2c2 c3a2 g4f3 a2b4 c2e2,-117
rn1qkbnr/pp2pp2/2p3p1/3pPb1p/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq -,f8h6 c2c4 d5c4 e2c4 e7e6 b1c3 b8d7 c4b3 e8f8 c1e3,100
8/5r1k/4p2p/1pp1P3/2b1PP2/6rP/2R2RP1/6K1 b - -,g3e3 g1h2 e3e4 g2g3 e4d4 c2c1 h6h5 h3h4 b5b4 f2b2,-494
8/1R3pk1/1pB1p1pp/p3P3/5P2/6P1/1r5P/7K b - -,g7f8 b7b8 f8g7 c6e8 g7f8 h2h4 b2a2 h1g1 h6h5 g1h1,251
r4rk1/p1p4p/1p1p2p1/2PPB3/1P1Np3/7q/P3BP2/2RQ1RK1 b - -,e4e3 e2g4 h3f1 d1f1 d6e5 d4e6 f8f6 c5c6 e3f2 g1g2,666
8/p1N5/7R/kp6/2p5/P4P2/1rP1K2P/8 b - -,e4e3 e2g4 h3f1 d1f1 d6e5 d4e6 f8f6 c5c6 e3f2 g1g2,Mate
1r3r1k/1q4pp/p3pp2/3b4/1P1Pp1N1/P5R1/3Q1PPP/2R3K1 b - -,e6e5 g3c3 d5e6 g4e3 e5d4 d2d4 b8d8 d4c5 b7f7 e3f1,43
2R5/8/p4P1k/n5R1/7P/4NPK1/1q6/8 b - -,e6e5 g3c3 d5e6 g4e3 e5d4 d2d4 b8d8 d4c5 b7f7 e3f1,Mate
r1b1k2r/ppppbBpp/2n5/4P3/5B2/3n4/PPP3PP/RN2N1K1 b kq -,e8f7 e1d3 h8f8 b1c3 f7g8 a1d1 e7d8 c3d5 b7b6 f4g3,-546
r4rk1/p1p4p/1p4p1/2PPp3/1P1Np1B1/7q/P4P2/2RQ1RK1 b - -,h3d3 d4e6 h7h5 d1d3 e4d3 g4h3 b6c5 c1c5 g6g5 e6f8,586
1r3rk1/1b1n1pbp/p5p1/1p1Pp1P1/2q2n2/P1N1BN1P/1PP2Q2/1K1RR2B b - -,b7a8 e3a7 b8d8 f3d2 c4c8 d2e4 f7f6 g5f6 d7f6 d5d6,123
B7/n3qpkp/1n4p1/p1p1r3/P2N4/1PP3P1/3Q3P/3R1RK1 b - -,c5d4 c3d4 e5e2 d1e1 e2e1 f1e1 e7f6 e1f1 f6d8 a8g2,443
rn2kb1r/pp2pppp/2p2n2/8/2Bq4/2N2Q1P/PPP2PP1/R1B2RK1 b kq -,d4c4 c1g5 b8d7 a1d1 h7h6 g5f6 d7f6 d1d2 e7e6 f3g3,-378
4K3/1R5r/8/2k1P3/8/8/8/8 b - -,d4c5 c4e2 e7e6 f1d1 f8e7 b2b4 c5f5 c3b5 b8a6 f3f5,Mate
8/8/7p/3k1pn1/1K1PpNp1/4P1P1/7P/8 b - -,,0
4n3/p2R1k2/4pnp1/2Q4B/8/2p3P1/Pq3P1P/6K1 b - -,f6d7 c5d4 e8f6 h5d1 c3c2 d4b2 c2d1q g1g2 d1d5 f2f3,-696
r1bqk2r/pp1ppp1p/2n3p1/4b2P/4Q3/2N5/PPP2P1P/R1B1KBNR b KQkq -,a8b8 f1d3 d7d5 e4g2 d5d4 c3e2 e5g7 g1f3 e7e5 e2g3,261
r2qk2r/pppb2b1/4pn1p/3p1p1P/1n1P2p1/1BN1P1B1/PPPQNPP1/R3K2R b KQkq -,a8c8 f2f3 c7c5 a2a3 b4a6 e2f4 e8h8 f4g6 f8e8 b3a2,84
6k1/pp2qpp1/7p/1r2pP2/3pQ3/8/1P1N2PP/5K2 b - -,b5b2 d2c4 b2b4 c4a3 d4d3 a3c4 e7c5 e4d3 c5c4 d3c4,-765
r3bqk1/pp4p1/2pb1p2/8/2pNBPp1/P2PB1P1/1P3K1R/7R b - -,g8f7 h2h8 d6a3 h8f8 a3f8 d3c4 e8d7 d4f5 a8e8 e4b1,302
r4rk1/p1p4p/1p2N1p1/2PPp3/1P2p1Bq/8/P4P2/2RQ1RK1 b - -,b6c5 c1c3 h7h5 g4h3 f8f6 h3g2 c7c6 c3g3 a8e8 e6c5,568
2kr1b1r/pbpq1p1p/2n3p1/1B1nP1N1/8/8/PPP1QPPP/RNB1K2R b KQ -,d7f5 g5f3 d5b4 b1a3 f8g7 c1d2 a7a6 b5c6 b4c6 a3c4,56
2n3k1/1p1br1pq/3p3R/P1pPp3/BpP1PpP1/3N1Pb1/2QNK3/R7 b - -,h7h6 a1f1 d7a4 c2a4 c8a7 e2d1 g8f7 d1c2 h6h2 a4a1,-11
r2q1rk1/4ppbp/2n2np1/p2P1P2/1pb3PQ/5N1P/PPP3B1/RNB1R1K1 b - -,c4d5 c2c3 d8d6 a2a3 a8d8 a3b4 a5b4 b1d2 b4c3 b2c3,-163
1k2n1r1/pbp5/1p6/1N1pB3/6Q1/P7/1PP5/1K5R b - -,g8g4 e5c7 b8a8 c7e5 g4g5 e5h8 b7a6 b5d4 e8g7 h1h7,20
8/2k5/5Q2/8/4K1N1/8/8/8 b - -,g8g4 e5c7 b8a8 c7e5 g4g5 e5h8 b7a6 b5d4 e8g7 h1h7,Mate
r1bq1rk1/pppn1pbp/3p2p1/3Pp2n/8/2N1BNP1/PPP1PPBP/R2Q1RK1 b - -,f7f5 a2a4 d7f6 a4a5 d8e8 f3g5 f6g4 e3c1 e5e4 a1a3,-58
4n3/p2n1k2/4p1p1/2Q5/8/2p2BP1/Pq3P1P/6K1 b - -,f7f5 a2a4 d7f6 a4a5 d8e8 f3g5 f6g4 e3c1 e5e4 a1a3,Mate
r1q4k/pp3p1p/2p2P2/3p2Q1/3P4/2PP3R/P4KPP/4r3 b - -,e1f1 f2f1 c8g8 g5h4 a8e8 h3g3 g8f8 g3g7 f8g7 f6g7,Mate
1k1r2r1/1pp2pPR/p2p1q2/8/5PQ1/4P3/PPP5/1K1R4 b - -,f6e7 f4f5 f7f6 e3e4 d8e8 g4g6 b8a7 a2a4 e7e5 a4a5,207
r1bqk2r/ppp2ppp/2n2n2/2bpp3/N7/3P2P1/PPPBPPBP/R2QK1NR b KQkq -,c5e7 c2c4 d5c4 g2c6 b7c6 d3c4 e8h8 d1c2 d8e8 e1a1,-64
r1b4r/ppk2Q2/3q4/2p5/2Bp2pp/6P1/PP3P1P/4RRK1 b - -,c8d7 b2b4 h4g3 f2g3 h8f8 b4c5 d6c5 f7e7 f8f1 c4f1,-221
8/1B3k1p/P4P1K/4P3/8/r7/8/8 b - -,f7f8 e5e6 f8g8 b7d5 a3h3 h6g5 h3d3 d5c6 d3g3 g5f4,1118
4r1k1/1q2bpp1/2b4p/1p1pB3/2pP4/2P1NQ1P/1P3PP1/4R1K1 b - -,e7d8 e1a1 f7f6 e5g3 b7f7 e3f5 f7d7 h3h4 e8e4 h4h5,82
2kr1b1r/pbp2p1p/2n3p1/1B1nPq2/8/5N2/PPP1QPPP/RNB1K2R b KQ -,d5b4 b1a3 a7a6 b5a4 c6d4 f3d4 d8d4 c1e3 d4h4 f2f3,67
2kr4/pppn4/2b1p1p1/2q1P2r/P4B1p/2PB3P/1P2Q1P1/R3R2K b - -,d8f8 f4e3 c5d5 d3c4 d5e5 c4b5 e5e4 b2b4 b7b6 b5c6,45
4r1k1/pp3ppp/2p5/3p4/8/1P1N1PQ1/P1P1r2P/R5K1 b - -,g7g6 g1h1 d5d4 d3f4 d4d3 c2d3 e2e5 a1g1 e5f5 h2h4,570
5k2/1R3p2/1pB1p1pp/p3P3/5P2/6P1/1r5P/6K1 b - -,g6g5 f4g5 h6g5 c6f3 a5a4 b7a7 b2a2 f3h5 b6b5 a7f7,202
r1bqkb1r/pp3ppp/2p1pn2/3p4/1n1P4/2N1PN2/PPP1BPPP/R1BQK2R b KQkq -,c6c5 d4c5 b4c6 a2a3 f8c5 b2b4 c5e7 e1h1 e8h8 e2d3,-7
r7/3k3p/p3p1p1/3B1p2/P1p2P2/1nP5/2r2PKP/R2R4 b - -,e6d5 d1d5 d7c6 a1d1 c2c3 d5d7 c3d3 d1d3 c4d3 d7d3,-592
8/5r1k/7p/3pP3/4rP1P/1Rp3P1/8/6K1 b - -,e6d5 d1d5 d7c6 a1d1 c2c3 d5d7 c3d3 d1d3 c4d3 d7d3,Mate
2k2r2/pppn4/2b1p1B1/2q1P2r/P4B1p/2P4P/1P2Q1P1/R3R2K b - -,,0
4b1k1/6qp/2p5/p2p4/Q7/3B1PP1/P6P/6K1 b - -,,0
r1bqk2r/ppp2ppp/1Nn2n2/3pp3/8/3P2P1/PPPBPPBP/R2QK1NR b KQkq -,a7b6 e2e3 d8e7 g1e2 h7h5 h2h3 c8f5 a2a4 a8d8 d2c3,-15
b1r2rk1/B2n1pbp/p5p1/1p1Pp1P1/2q2n2/P1N4P/1PPN1Q2/1K1RR2B b - -,f4h3 f2g3 c4c7 g3h3 c7a7 d5d6 e5e4 h1e4 b5b4 a3b4,204
1r3r1k/1q4pp/4pp2/P2b4/3Pp1N1/P5R1/3Q1PPP/2R3K1 b - -,h7h5 g3h3 h8g8 h3h5 f8c8 c1e1 f6f5 g4e3 b7b3 h2h4,64
r1bqk2r/p2p2pp/2pbpn2/2p5/2N5/3P4/PPP2PPP/RNBQ1RK1 b kq -,d6e7 c1g5 d7d6 f2f4 e8h8 b1d2 h7h6 g5h4 f6d5 h4e7,46
r1b2rk1/ppp1qppp/2np4/2b5/2B1P3/5N1P/PP3PP1/R1BQ1RK1 b - -,e7e4 c4d3 e4e7 f1e1 c8e6 b2b3 h7h6 c1b2 c5b6 d3c2,-150
r4rk1/1bqn1p1p/3p2pb/p1nPp3/1pP1P3/1P1NNP2/1BB1Q1PP/R2R3K b - -,a5a4 e3g4 h6g7 d3c5 d7c5 b3a4 b4b3 c2d3 a8a4 a1a4,-136
2kr1b1r/pbp2p1p/2n3p1/1B2Pq2/1n6/N4N2/PPP1QPPP/R1B1K2R b KQ -,a7a6 b5c6 b4c6 a3c4 f8g7 e1h1 h8e8 h2h3 g7e5 c4e5,43
2r3k1/3qnpp1/1p2p2p/4P3/3PQ3/5N1P/5PPK/1R6 b - -,e7d5 e4d3 c8c3 d3a6 c3c2 a6a8 c2c8 a8a6 d7c6 a6d3,-87
8/4k3/4p3/4P1p1/1K4P1/7P/8/8 b - -,e7d5 e4d3 c8c3 d3a6 c3c2 a6a8 c2c8 a8a6 d7c6 a6d3,Mate
1nr2k2/p4p2/1ppR2Bp/4p3/2P3P1/7P/PP2PP2/6K1 b - -,f7g6 d6g6 h6h5 g6h6 f8g7 h6h5 b8d7 h5g5 g7f6 g5f5,10
2n3k1/1p1Br1p1/3p3q/P1pPp3/1pP1PpP1/3N1Pb1/2QNK3/R7 b - -,h6h2 e2d1 h2g1 d1e2 g1e3 e2d1 e7d7 d1c1 d7d8 c1b2,-229
r1b3k1/ppBn1p1p/4r1p1/8/2PbP3/5PK1/P5PP/1R3BNR b - -,d7f6 h2h4 e6c6 g1e2 f6h5 g3h2 d4g7 c7f4 c6a6 f4e3,-36
6k1/pp2qpp1/7p/4pP2/2NpQ3/8/1r4PP/5K2 b - -,b2b4 c4d2 e7c5 d2f3 b4b2 e4d3 e5e4 d3e4 d4d3 e4e8,-903
4rbk1/1q3pp1/2b4p/1p1pB3/2pP4/2P1NQ1P/1P3PP1/4RK2 b - -,e8e5 d4e5 d5d4 f3g4 d4e3 e1e3 c6d5 e3e1 f8c5 f1g1,-267
8/5r1k/7p/3pP3/2r2P1P/5RP1/2p5/6K1 b - -,f7f6 e5f4 b5b4 f3g3 b4c3 b2c3 b7b3 f4d6 b3c3 d6f8,Mate
1n1qr1k1/2R2pb1/1p1Pb1pp/n2rP3/P2PNP2/1p2B1P1/6BP/3Q1RK1 b - -,b8a6 c7c3 f7f5 e4d2 d5d6 e5d6 d8d6 d2b3 d6b4 d1d3,8
1nr2k2/p7/1pp3Rp/4p3/2P3P1/7P/PP2PP2/6K1 b - -,h6h5 g6h6 f8g7 h6h5 b8d7 g1f1 b6b5 c4b5 c6b5 f2f4,8
3q3k/n2P4/4Q2p/3Pp3/8/5p1P/5P1K/8 b - -,d8h4 e6e5 h8h7 e5f5 h7h8 f5f8 h8h7 f8f3 h4e7 f3f5,656
r1b2rk1/ppp1qppp/2np4/2b5/2B1P3/5N2/PP3PPP/R1BQR1K1 b - -,c8g4 h2h3 g4f3 d1f3 c6e5 f3b3 e5c4 b3c4 f8e8 c1d2,-143
r4qk1/pp1b2p1/2pb4/5p2/2pNBPp1/P2PB1P1/1P3K1R/7R b - -,g8f7 d4f5 d7f5 e4f5 c4d3 h2h5 d6c5 f5g6 f7g6 h5g5,-198
8/8/3k3p/5pnN/1K1Pp1p1/4P1P1/7P/8 b - -,,0
r1b1r1k1/pppq1p1p/2n1p1p1/2Pp4/3P4/P1PBPN2/2Q2PPP/R3R1K1 b - -,e6e5 e3e4 e5d4 e4d5 e8e1 a1e1 d7d5 e1e8 g8g7 c3d4,135
rnb1kbnr/p1qp1ppp/1p2p3/2p5/4PP2/2N3P1/PPPP2BP/R1BQK1NR b KQkq -,b8c6 c3b5 c7d8 c2c4 g8h6 g1f3 f8e7 e1h1 e8h8 d2d3,27
r1r3k1/2q2pp1/R3b2p/2ppP3/8/1PQ5/1P1N1PPP/R5K1 b - -,a8a6 a1a6 d5d4 c3g3 c7b7 a6a3 c8a8 h2h4 a8a3 b2a3,-29
r3kbnr/1bpp1ppp/p1p5/4P3/3Q1B2/2N2N2/PPq2PPP/R4RK1 b kq -,g8e7 a1d1 c2f5 e5e6 e8a8 e6d7 d8d7 d4e3 e7d5 c3d5,52
b1r2rk1/B1qn1pbp/p5p1/1p1Pp1P1/4Nn2/P1N4P/1PP2Q2/1K1RR2B b - -,c7a5 h3h4 b5b4 a3b4 a5b4 h1f3 h7h5 g5h6 g7h6 c3a2,115
8/5r1k/7p/3pP3/2r2P1P/6P1/8/2q2RK1 b - -,c7a5 h3h4 b5b4 a3b4 a5b4 h1f3 h7h5 g5h6 g7h6 c3a2,Mate
b3Q3/3n3p/p1nk4/3N4/1pB5/8/PPP3PP/2K4R b - -,c7a5 h3h4 b5b4 a3b4 a5b4 h1f3 h7h5 g5h6 g7h6 c3a2,Mate
r1bq1rk1/ppp2pbp/3p2p1/2nPp2n/8/2N1BNP1/PPPQPPBP/R4RK1 b - -,c5d7 a1d1 a7a5 f1e1 a5a4 c3b5 h5f6 d2b4 h7h6 h2h3,-19
1nr5/p4k2/1pp4R/4p3/2P3P1/7P/PP2PP2/6K1 b - -,a7a6 h3h4 b6b5 h6h7 f7e6 c4b5 a6b5 h4h5 c6c5 h7g7,57
r4rk1/ppp1qppp/2np4/2b5/2B1P1b1/5N1P/PP3PP1/R1BQR1K1 b - -,g4f3 d1f3 c6e5 f3e2 e5c4 e2c4 f8e8 c1d2 e7f6 d2e3,-139
1k2n2R/pbp5/1p6/1N1pB3/6r1/P7/1PP5/1K6 b - -,,0
8/R5p1/4k1Pn/7P/p4K2/8/8/6r1 b - -,g1g4 f4e3 e6f6 e3d2 h6f5 a7a5 g4f4 h5h6 f5h6 d2e3,-582
2k1Bbr1/1pp5/p4n2/4n3/4p2P/6P1/PPPN1P2/R3K2R b KQ -,g8g4 h4h5 f6e8 h5h6 e5f7 h6h7 f8g7 e1a1 e8f6 d1e1,146
r5k1/1p3ppp/1pnq2b1/6B1/1P1p2P1/P1nN1Q1P/2P2PB1/4R1K1 b - -,d6b8 g5c1 h7h6 h3h4 b8c8 c1b2 c8d7 g2f1 a8e8 b2c3,43
r1b3k1/ppB2p1p/4rnp1/8/2PbP2P/5PK1/P5P1/1R3BNR b - -,f6h5 g3h2 e6c6 g1e2 d4g7 c7f4 c6a6 f4e3 a6a2 g2g4,-43
1k1r2r1/1pp1qpPR/p2p4/5P2/6Q1/4P3/PPP5/1K1R4 b - -,f7f6 e3e4 b8a7 a2a4 d8d7 d1g1 d6d5 e4d5 d7d5 h7h8,213
1r3knr/1bN1npbp/1B1Rp1p1/2Q1P3/q1p2P2/P4N2/1P4PP/5RK1 b - -,b8c8 d6d2 b7f3 f1f3 a4c6 c5b4 g7h6 d2d6 c6b7 b4c5,6
2kr1b1r/1bp2p1p/p1B3p1/4Pq2/1n6/N4N2/PPP1QPPP/R1B1K2R b KQ -,b4c6 a3c4 f8g7 h2h3 g7e5 c4e5 h8e8 e1h1 c6e5 f3e5,41
3k4/5R2/2pN4/2K5/2PP2r1/5p2/6b1/8 b - -,g4h4 d6f5 h4g4 f5e3 g4g6 c5b6 d8e8 f7f5 e8d7 c4c5,11
5k2/1R3p2/1pB1p2p/p3P1P1/8/6P1/1r5P/6K1 b - -,h6g5 c6f3 b2b1 g1g2 b1b2 g2h3 b2f2 f3h5 f2f5 g3g4,224
rn2kbnr/pbqp1ppp/1p2p3/2p5/4PP2/2N2NP1/PPPP2BP/R1BQK2R b KQkq -,b8c6 c3b5 c7d8 c2c4 g8h6 d2d3 f7f5 e1h1 f8e7 b2b3,29
rn2kb1r/pp3ppp/2p1pn2/q7/8/1BN1BQ1P/PPP2PP1/3R1RK1 b kq -,f8b4 e3h6 e8h8 f3g3 f6h5 g3g4 b4c3 b2c3 a5f5 g4f5,24
r4rk1/ppp1qppp/2np4/2b5/2B1P3/5Q1P/PP3PP1/R1B1R1K1 b - -,c6e5 f3e2 e5c4 e2c4 f8e8 c1d2 e7f6 d2e3 b7b6 c4c2,-135
2r3k1/2q2pp1/R3b2p/2ppP3/8/1PQ5/1P1N1PPP/6K1 b - -,d5d4 c3g3 c7b7 a6a3 c8a8 h2h4 a8a3 b2a3 b7a8 a3a4,-23
2k1r3/ppb4p/2p4P/5p2/3P2p1/2P1N1P1/PP1K1P2/5R2 b - -,e8f8 f2f4 g4f3 f1f3 f5f4 e3c4 f8f6 d2d3 f6h6 g3f4,254
r3kb1r/1bpp1p1p/p6p/2p1P3/7N/2N1Q3/PPq2PPP/R4RK1 b kq -,c5c4 f1d1 f8e7 d1d2 c2d2 e3d2 e7h4 a1d1 b7c6 c3d5,406
r2q1rk1/4ppbp/2n2npB/p2b1P2/1p4PQ/5N1P/PPP3B1/RN2R1K1 b - -,g7h6 h4h6 d5f3 g2f3 c6d4 b1d2 d4c2 f3a8 d8d4 g1h1,-316
3qr1k1/R4pb1/np1Pb1pp/n2rP3/P2PNP2/1p2B1P1/6BP/3Q1RK1 b - -,,0
rnb1k1nr/1pq2pp1/p2pp3/8/3NP3/P1PQ2Pp/2P1BP1P/R1B1K2R b KQkq -,g8f6 d4b3 e8h8 a3a4 f8e8 g3g4 d6d5 e4e5 c7e5 f2f4,-40
r1bqk2r/pp3pp1/4pn1p/2p5/3P4/2PB1N2/PP3PPP/R2Q1RK1 b kq -,c5d4 f3d4 e8h8 f1e1 c8d7 d1e2 d8a5 e2e3 a5b6 a2a4,-1
8/5PK1/7r/8/8/8/8/6k1 b - -,,0
2kr1b1r/ppp1pppp/2n5/7q/2P3b1/5N1P/PP1PBPP1/R1BQ1RK1 b - -,g4h3 g2h3 e7e6 d2d4 h5h3 f3g5 h3h4 g1g2 d8d7 f1h1,141
r1b1nrk1/3nqpbp/p2P2p1/1p2p1P1/8/2N1BN1P/PPPQ4/2KR1B1R b - -,e7d8 f1g2 a8b8 f3h2 d7b6 b2b3 c8f5 c3e4 f5e4 g2e4,141
r4rk1/ppp1qppp/3p4/2b1n3/2B1P3/7P/PP2QPP1/R1B1R1K1 b - -,e5c4 e2c4 f8e8 c1d2 e7f6 d2e3 b7b6 a1b1 a7a5 a2a3,-141
r7/3k3p/p5p1/3R1p2/P1p2P2/1nP5/2r2PKP/R7 b - -,d7c6 a1d1 c2c3 d5d7 c3d3 d1d3 c4d3 d7d3 b3c5 d3c3,-587
4r1k1/pp3ppp/2p5/3p4/8/1P1N1PQ1/P1r4P/4R1K1 b - -,c2c1 d3c1 e8d8 c1d3 h7h6 g1h1 d5d4 e1g1 g7g5 g3c7,844
r7/2p1R3/1p2P3/2p5/2P3k1/1P6/6K1/8 b - -,,0
1r2r1k1/ppqn1pbp/6p1/2p5/P2Pp3/BQP1P1PP/4BP2/1RR3K1 b - -,b7b6 a4a5 b6a5 b3a4 b8b1 c1b1 g7f8 b1b5 e8c8 b5a5,47
1rb1qrk1/1p3pb1/p2P3p/2pNpR2/P2N4/7P/1PB3P1/R2Q2K1 b - -,c5d4 d5e7 e8e7 d6e7 f8e8 f5f7 g8f7 d1d3 f7e7 d3h7,550
r1bqkbnr/p1pp1ppp/1p6/8/1n2P3/1Q6/PPPB1PPP/RN2KBNR b KQkq -,d8e7 b1c3 b4a6 g1f3 a6c5 b3c4 c8a6 c4d4 a6b7 f1c4,92
r5k1/1p3pp1/1pnq2bp/8/1P1p2P1/P1nN1Q1P/2P2PB1/2B1R1K1 b - -,a8c8 c1d2 c8a8 d3f4 g6c2 d2c3 d4c3 f3c3 d6f4 c3c2,31
r1bqk2r/p1pp1ppp/1pnbpn2/8/3P4/4PNB1/PPPN1PPP/R2QKB1R b KQkq -,d8e7 e3e4 d6g3 h2g3 d7d6 f1d3 e6e5 d4d5 c6b4 d3b5,42
r4rk1/ppp1qppp/3p4/2b5/2Q1P3/7P/PP3PP1/R1B1R1K1 b - -,f8e8 c1d2 e7f6 d2e3 c5e3 e1e3 f6b2 e3e1 b2b6 a1b1,-136
2r3k1/2q2pp1/R3b2p/2p1P3/3p4/1P4Q1/1P1N1PPP/6K1 b - -,c7b7 a6a3 e6d5 h2h4 b7b5 g3g4 c8d8 g1h2 b5d3 g4f4,-21
1rb2rk1/p3nppp/1pnq4/4N3/2Pp1B2/6P1/PP3PBP/R2QR1K1 b - -,e7g6 e5g6 d6g6 f4b8 c8g4 f2f3 g4h3 g2h3 f8b8 d1d2,791
2k1r3/ppb4p/2p4P/8/3P1pN1/2P3P1/PP1K1P2/5R2 b - -,e8f8 g3f4 c7f4 d2e2 f8f5 f1e1 c8d7 e2d3 a7a5 b2b3,286
2k2r1r/pppn4/2b1p1B1/4q3/P2B3p/2P4P/1P2Q1P1/R3R2K b - -,e5e2 e1e2 e6e5 d4g1 f8f4 a4a5 h8g8 g6c2 b7b6 h1h2,58
r1b1r1k1/p2q1p1p/1pn1p1p1/3p4/3PP3/P1PB1N2/2Q2PPP/R3R1K1 b - -,g8g7 e4e5 d7e7 h2h4 c8d7 h4h5 a8c8 c2d2 c6a5 a1b1,110
r1bq1rk1/ppp3bp/3p2p1/2nPpp1n/7N/2N1B1P1/PPPQPPBP/R4RK1 b - -,e5e4 e3g5 d8e8 g5h6 g7h6 d2h6 e8e5 h6d2 e5g7 f2f4,-75
rn2kbnr/pp2ppp1/q1p5/3pP1Bp/3P3P/2P5/PPQ2PP1/RN2K1NR b KQkq -,b8d7 e5e6 f7e6 c2g6 e8d8 g1h3 e6e5 d4e5 d7e5 g6f5,309
r7/7p/p1k3p1/3R1p2/P1p2P2/1nP5/2r2PKP/3R4 b - -,c2c3 d5d7 c3d3 d7d3 c4d3 d1d3 b3c5 d3c3 c6b6 c3c4,-576
r2q1rk1/4pp1p/2n2npQ/p2b1P2/1p4P1/5N1P/PPP3B1/RN2R1K1 b - -,d5f3 g2f3 c6d4 b1d2 d4c2 f3a8 d8d4 g1h1 f8a8 d2f3,-311
r6r/4kppp/bpN1p2n/qN5Q/4P3/8/PP3PPP/3R2K1 b - -,e7f8 c6a5 a6b5 h5b5 b6a5 b5c6 a8e8 c6c5 f8g8 c5e7,646
6k1/ppq2pp1/7p/4pP2/3pQ3/8/1N4PP/5K2 b - -,c7c1 e4e1 c1b2 e1e5 b2c1 f1e2 c1e3 e5e3 d4e3 e2e3,-666
r3r1k1/pb1q1p1p/1pn1p1p1/3pP3/3P4/P1PB1N2/2Q2PPP/R3R1K1 b - -,g8g7 h2h4 a8c8 h4h5 d7e7 e1e3 g7h8 a1e1 e8f8 h5g6,142
8/6k1/7P/3K1P2/4N3/6pr/8/8 b - -,g7h6 e4g3 h3g3 d5d4 h6g7 d4e5 g3h3 e5e6 h3e3 e6d5,-20000
r1bqk2r/pp3pp1/4pn1p/8/3N4/2PB4/PP3PPP/R2Q1RK1 b kq -,,0
r2q1rk1/4pp1p/2n2npQ/p4P2/1p4P1/5B1P/PPP5/RN2R1K1 b - -,c6d4 f3a8 d4c2 h6f4 c2e1 b1d2 e1d3 f4e3 g6f5 a8g2,-344
8/p1N5/7R/kp6/2p5/P4P2/2r4P/3K4 b - -,c6d4 f3a8 d4c2 h6f4 c2e1 b1d2 e1d3 f4e3 g6f5 a8g2,Mate
1r6/5kpp/1r6/p5p1/6P1/2P1pPKP/1PR1R3/8 b - -,b6e6 c2c1 h7h6 c1d1 b8b5 f3f4 g5f4 g3f4 g7g5 f4f3,4
4rrk1/1b5p/p1q3p1/1p1p2Q1/1P3PB1/P7/2PR2PP/1K3R2 b - -,c6d6 g4f3 g8g7 d2e2 h7h6 g5h4 e8e2 f3e2 d5d4 e2d3,149
r4q2/pp1b1kp1/2pb1p2/7R/2pNBPp1/P2PB1P1/1P3K2/R7 b - -,a8e8 a1c1 b7b5 d4c2 f8e7 c1d1 f6f5 e4g2 d6c5 d3d4,-338
2rq1rk1/pp3ppb/1np2b1p/4NP2/3P2Q1/2N3P1/PP4BP/R4RK1 b - -,c6c5 a1d1 c5d4 e5g6 f8e8 g6f4 f6e5 c3d5 b6d5 f4d5,-193
r1b1nrk1/3n1pbp/p2Pq1p1/1p1Qp1P1/8/2N1BN1P/PPP5/2KR1B1R b - -,a8b8 d5e6 f7e6 f3h2 c8b7 h1g1 b8c8 f1g2 b7g2 g1g2,99
1nr2k2/p7/1pp4R/4p2p/2P3P1/7P/PP2PP2/6K1 b - -,f8g7 h6h5 b8d7 g1f1 b6b5 c4b5 c6b5 f2f4 c8c1 f1f2,6
1k2n2R/p1N5/1pb5/3pB3/6r1/P7/1PP5/1K6 b - -,g4e4 e5g3 e4e3 c7e8 e3g3 b2b3 c6e8 h8e8 b8b7 e8e7,1
2r3k1/1q3pp1/4b2p/2p1P3/3p4/1P4Q1/1P1N1PPP/R5K1 b - -,e6d5 h2h4 b7b5 g3g4 c8d8 a1a3 b5b4 g4f4 b4b8 f4g3,-17
r1b1kbnr/p1ppqppp/1p6/8/1n2P3/1QN5/PPPB1PPP/R3KBNR b KQkq -,e7e6 e1a1 e6b3 a2b3 a7a6 h2h4 c8b7 g1h3 g8f6 f2f3,72
7k/1R6/8/8/6P1/8/2r5/5K2 b - -,,0
r1bq1rk1/2p1bppp/p1n1pn2/1p6/2pPP3/2N2NP1/PP2QPBP/R1BR2K1 b - -,c6b4 f3e1 c8b7 c1f4 f8e8 h2h4 d8c8 g2h3 f6d7 a2a3,-31
r2q1rk1/pb2bppp/1pn1pn2/8/3P4/PBN2N2/1P3PPP/R1BQR1K1 b - -,c6a5 b3c2 a5c4 c2d3 a8c8 f3e5 c4d6 d1e2 d6f5 d3f5,-34
