rn1qkb1r/ppp2ppp/4p3/3p4/3P1B2/3QP3/PPP2PPP/R3K1NR b KQkq -,c7c6 g1f3 f8e7 e1h1 b8d7 c2c4 d5c4 d3c4 e8h8 f1c1,20
r1bqkb1r/pp3pp1/2n2n1p/4p3/8/2NP1NP1/PPP2P1P/R1BQKB1R b KQkq -,c8e6 f1g2 f8c5 e1h1 e8h8 f1e1 f6g4 c3e4 c5b6 h2h3,36
1rb2rk1/q3npbp/4p1p1/p1p1P3/Pp1p1P2/3P1NP1/1PPB2BP/1R1Q1R1K b - -,b4b3 c2b3 c8a6 d1c2 a7b6 f3g5 f8c8 f1c1 e7d5 g5e4,-64
8/1p6/4R1k1/P7/1P1r1P2/7P/6PK/8 b - -,g6f5 e6b6 d4d7 b4b5 f5f4 a5a6 b7a6 b6a6 d7d4 a6g6,645
8/5R2/8/3k1PK1/8/8/8/2r5 b - -,d5c6 f7e7 c6d6 e7a7 c1b1 g5f6 b1h1 f6g6 h1g1 g6f7,1014
1rb2rk1/q3npbp/4p1p1/p1p1P3/P2p1P2/1P1P1NP1/1P1B2BP/1R1Q1R1K b - -,c8a6 d1c2 a7b6 f1c1 f8c8 f3e1 g7f8 g2e4 a6b7 h1g1,-80
1r3rk1/q3npbp/b3p1p1/p1p1P3/P2p1P2/1P1P1NP1/1PQB2BP/1R3R1K b - -,a7b6 f1c1 f8c8 f3e1 g7f8 g2e4 a6b7 h1g1 b7d5 e4d5,-62
r1bqk2r/pp1nbppp/3p1n2/2pPp1B1/2P1P3/2N5/PP2BPPP/R2QK1NR b KQkq -,h7h6 g5e3 f6h7 g1f3 h7g5 f3d2 g5h7 a2a4 e7g5 d2f1,90
1r3rk1/4npbp/bq2p1p1/p1p1P3/P2p1P2/1P1P1NP1/1PQB2BP/1RR4K b - -,f8c8 f3e1 g7f8 g2e4 a6b7 e1f3 b7e4 d3e4 b6b3 h1g2,-72
1rr3k1/4npbp/bq2p1p1/p1p1P3/P2p1P2/1P1P2P1/1PQB2BP/1RR1N2K b - -,g7f8 g2e4 a6b7 e1f3 h7h6 d2e1 e7d5 e1d2 d5e3 d2e3,-69
r1bq1rk1/ppp2ppp/2Bp4/8/1b2P3/8/PB2NPPP/R2Q1RK1 b - -,a7a5 c6a4 d8h4 e2g3 b4c5 a4c2 c7c6 d1f3 b7b5 a1d1,305
8/8/8/8/8/3K1B2/2N5/1k6 b - -,a7a5 c6a4 d8h4 e2g3 b4c5 a4c2 c7c6 d1f3 b7b5 a1d1,Mate
