8/6P1/5K1k/4p2P/8/8/p7/8 b - -,a2a1q g7g8q e5e4 f6f5 a1a5 f5e4 a5e1 e4d4 e1a1 d4d3,Mate
r1bq1r2/ppp2pkp/1bnp1N1p/4P3/2B5/5N1P/PPQ2PP1/R4RK1 b - -,,0
6Q1/8/5K1k/4p2P/8/8/8/q7 b - -,a1f1 f6e5 f1a1 e5e4 a1b1 e4d4 b1b2 d4d3 b2a3 d3e2,Mate
8/8/8/5k2/8/4K1B1/4B3/8 b - -,a1f1 f6e5 f1a1 e5e4 a1b1 e4d4 b1b2 d4d3 b2a3 d3e2,Mate
r1b1kb1r/pp2q1pp/2p2p2/2p3B1/3PN3/6P1/PPP1Q2P/2KR3R b kq -,h7h5 e4d6 e8d8 e2f2 f6g5 d4c5 d8c7 h1e1 c8e6 f2e3,266
r2qkb1r/pppn1ppp/2n1p3/5b2/2QP4/5NP1/PP2PPBP/RNB2RK1 b kq -,f5e4 c1g5 f8e7 g5e7 d8e7 e2e3 d7b6 c4b5 a7a6 b5e2,122
rn1q1rk1/pbppbppp/4pn2/8/2P5/5NP1/PB1PPPBP/RN1Q1RK1 b - -,d8c8 b1c3 c7c5 a1b1 d7d6 b2a1 b8d7 d2d3 h7h6 d1c2,9
r1b1kb1r/pp2q1pp/2p5/2P3p1/4N3/6P1/PPP1Q2P/2KR3R b kq -,e7e6 h1e1 f8e7 e2f3 h8f8 f3h5 f8f7 e4d6 e7d6 c5d6,456
r2q1rk1/1pp3pp/1pn1pn2/4p3/4P3/3P1N2/PPP3PP/R1BQ1R1K b - -,d8e7 a2a3 e7d6 c1e3 f6d7 f1f2 c6d4 f3d2 f8f2 e3f2,45
rnb1kb1r/pp1q1Npp/4p3/1NppP3/8/5Q2/PPP2PPP/R1B1KB1R b KQkq -,h8g8 b5d6 f8d6 f7d6 e8d8 c1g5 d8c7 d6b5 c7c6 b2b4,648
7K/8/8/8/8/8/4p3/Q2k4 b - -,h8g8 b5d6 f8d6 f7d6 e8d8 c1g5 d8c7 d6b5 c7c6 b2b4,Mate
rnb1kb1r/pp3Qpp/4p3/1NppP3/8/8/PPP2PPP/R1B1KB1R b KQkq -,e8f7 b5c7 c8d7 c7a8 f8e7 a8c7 a7a6 c2c4 d5c4 f1c4,Mate
rnb2b1r/ppN2kpp/4p3/2ppP3/8/8/PPP2PPP/R1B1KB1R b KQ -,f8e7 c7a8 c8d7 a8c7 a7a6 c2c4 d5d4 f1d3 b8c6 d3e4,374
r2qkb1r/ppp2ppp/2n2n2/1B1Np3/3pP3/P4Q1P/1PPP1PP1/R1B1K2R b KQkq -,f8e7 d2d3 e8h8 b5c6 b7c6 d5e7 d8e7 c1g5 a7a5 g5f6,86
8/8/8/6Q1/8/6k1/3K2n1/8 b - -,f8e7 d2d3 e8h8 b5c6 b7c6 d5e7 d8e7 c1g5 a7a5 g5f6,Mate
8/6K1/8/8/3Q4/8/4pk2/8 b - -,f8e7 d2d3 e8h8 b5c6 b7c6 d5e7 d8e7 c1g5 a7a5 g5f6,Mate
8/8/8/6Q1/8/3K1k2/6n1/8 b - -,f8e7 d2d3 e8h8 b5c6 b7c6 d5e7 d8e7 c1g5 a7a5 g5f6,Mate
r1b1k2r/p1p2pp1/2p2q1p/3p4/1b2P3/2NB4/PPP2PPP/R2Q1RK1 b kq -,e8f8 e4d5 b4c3 b2c3 c6d5 a1b1 g7g6 h2h4 h6h5 f2f4,17
r1bqk1nr/ppp2pp1/2pb3p/8/3QP3/2N2N2/PPP2PPP/R1B1K2R b KQkq -,f7f6 c3e2 g8e7 c1f4 c8g4 d4e3 e7g6 f4d6 d8d6 e1h1,36
1r3k1r/ppp2ppp/2Bbb3/3p4/3P4/2P3P1/P1P2P1P/1RB1R1K1 b - -,a7a5 b1b7 b8b7 c6b7 h7h6 b7c6 g7g5 c1b2 f8g7 c3c4,175
8/ppr2kp1/4pp1p/8/5P2/2PR3P/PP4P1/6K1 b - -,g7g5 f4g5 h6g5 d3d8 f6f5 g1f2 f7f6 a2a4 b7b6 d8f8,-22
r1bqkb1r/ppp2ppp/4pn2/3p4/3P1B2/2PQP3/PP1N1PPP/R3K1NR b KQkq -,a7a5 g1f3 f8e7 g2g4 e8h8 h1g1 b7b6 d3c2 c8a6 h2h4,-33
r1bqkb1r/ppp2ppp/1nn5/4p1N1/3p4/1BP5/PP3PPP/RNBQ1RK1 b kq -,f7f6 g5f7 d8e7 f7h8 c8f5 b3f7 e8d8 c3d4 c6d4 c1e3,263
2kr3r/pppqb1pp/2n1pp1n/3pP3/1P1P1P2/2PQ1N2/P2N2PP/R1B2RK1 b - -,a7a5 b4b5 c6a7 a1b1 c8b8 d2b3 b7b6 a2a4 h6f5 f1f2,172
r1bq1rk1/ppp2ppp/3P1n2/8/2n1P3/2N5/PPP2PPP/R1BQ1RK1 b - -,d8d6 d1d6 c7d6 b2b3 c4a5 f1d1 f6e8 c1a3 f7f5 f2f3,-243
rnbqkbnr/pp2p1pp/5p2/2Pp4/4PB2/8/PPP2PPP/RN1QKBNR b KQkq -,d5d4 f4b8 a8b8 c2c3 e7e5 b2b4 g8e7 a2a3 b7b6 c3d4,162
r2qkb1r/pp3pp1/2p1pn1p/7P/3P4/3Q1N2/PPPB1PP1/R3K2R b KQkq -,d8d6 e1a1 a8d8 a2a3 f8e7 f3e5 d6d4 d3g3 d8d5 d2c3,17
rnbqkbnr/pp4pp/5p2/2PpB3/4P3/8/PPP2PPP/RN1QKBNR b KQkq -,d5e4 d1d8 e8d8 e5g3 f6f5 b1c3 g8f6 e1a1 c8d7 g1h3,203
r1b1k2r/p1p2pp1/2p2q1p/3p4/4P3/2PB4/P1P2PPP/R2Q1RK1 b kq -,a8b8 d1e2 e8h8 e2e3 b8b6 e4e5 f6e7 f2f4 c6c5 c3c4,25
8/8/8/Q7/3N4/k3K3/8/8 b - -,a8b8 d1e2 e8h8 e2e3 b8b6 e4e5 f6e7 f2f4 c6c5 c3c4,Mate
r1b1kb1r/ppp2ppp/2N2n2/1B1q4/3p4/P2P4/1PP1NPPP/R1BQK2R b KQkq -,d5g2 h1g1 g2h2 c1f4 h2h4 c6e5 c7c6 f4g3 h4h5 b5c4,383
1r3rk1/6p1/p2Pp2p/1pp5/2p2p1P/8/q3RPP1/1N2Q1K1 b - -,a2a1 e2e6 b8d8 h4h5 f4f3 g2f3 a1d4 b1c3 d8d6 e6d6,-417
8/1k6/7K/8/6p1/8/6P1/8 b - -,a2b1 e1b1 b5b4 g1h2 c4c3 b1b3 f4f3 g2f3 a6a5 e2e6,Mate
rn1q1rk1/pp1nppbp/3p2p1/2p5/3PP3/2P1BN2/PP3PPP/RN1Q1RK1 b - -,b7b5 h2h4 c5d4 c3d4 d7f6 a2a4 b5b4 b1d2 f6g4 e3f4,30
rnbqkbnr/pp3pp1/3p3p/4p3/4P3/1NN1B3/PPP2PPP/R2QKB1R b KQkq -,g8f6 f2f3 c8e6 d1d2 a7a6 g2g4 b7b5 h2h4 b8d7 a2a4,84
r2q1rk1/pp3pp1/2pbp2p/3n2PP/3P4/5N2/PPPBQP2/2KR3R b - -,d6f4 c2c4 f4d2 e2d2 c6c5 g5h6 d8f6 c4d5 f6f3 h6g7,339
8/8/8/3k4/8/2K5/4BB2/8 b - -,d6f4 c2c4 f4d2 e2d2 c6c5 g5h6 d8f6 c4d5 f6f3 h6g7,Mate
r1bqk1nr/ppp1bppp/8/4Q3/5B2/2N5/PPP2PPP/2KR1B1R b kq -,e8f8 d1d8 e7d8 f1c4 c8e6 c4e6 d8f6 e5c7 f7e6 c7b7,723
2r2rk1/1b1n1ppp/pq2pn2/1p6/3NP3/2NBQ2P/PP3PP1/2RR2K1 b - -,f8d8 f2f3 h7h6 d3f1 d7e5 d4f5 b6e3 f5e3 d8d1 c1d1,-6
r1bQkb1r/ppp1n1pp/2n2p2/4p3/2B1P3/2P2N2/PP3PPP/RNB1K2R b KQkq -,c6d8 c1e3 c8e6 b1d2 e7c8 e1a1 c8d6 c4e6 d8e6 c1c2,-4
1r6/p2nkpp1/Pr1pp2p/R2p4/1p1P3P/3BPP2/1PPK2P1/R7 b - -,d7f6 g2g4 f6e8 g4g5 e8c7 g5h6 g7h6 a1g1 e7f6 g1g4,20
r2qk1nr/pp1b1pQp/2p2b2/1B6/5B2/2N5/PPP2PPP/2KRR3 b kq -,d7e6 d1d8 a8d8 g7g3 c6b5 c3b5 d8d7 f4e5 e8f8 e5f6,Mate
8/1k3p2/4r1p1/PK5p/3R3P/6P1/5P2/8 b - -,b7c7 d4f4 f7f6 f4f3 e6d6 a5a6 d6d5 b5c4 d5d6 f3a3,265
r2qk1nr/pp1bbpQp/2p5/1B6/5B2/2N5/PPP2PPP/2KR3R b kq -,d8b8 f4b8 a8b8 g7h8 e8f8 d1d7 c6b5 h1e1 b8e8 c3e4,964
