5rk1/2q5/2n1ppQ1/1p1pP3/n1pP4/2P3P1/1P3PK1/7R b - -,c7g7 g6h5 f6f5 f2f3 c6e7 h5h6 g8f7 h6c1 f8g8 h1h3,-519
6k1/5pp1/8/1pb1P3/2p5/2P2RK1/1P2q3/8 b - -,c7g7 g6h5 f6f5 f2f3 c6e7 h5h6 g8f7 h6c1 f8g8 h1h3,Mate
8/8/5k2/8/6Q1/8/5K2/8 b - -,c7g7 g6h5 f6f5 f2f3 c6e7 h5h6 g8f7 h6c1 f8g8 h1h3,Mate
r1b1kbnr/2qp1ppp/p1n1p3/1p6/4P3/P1N1BN2/1PP2PPP/R2QKB1R b KQkq -,f8e7 h2h3 c8b7 f1d3 g8f6 d1e2 e8h8 a1d1 a8c8 e1h1,-51
r1bqk2r/pppp1ppp/2n5/2b5/2BNP1n1/2P5/PP2QPPP/RNB1K2R b KQkq -,d8h4 c1f4 d7d6 f4g3 h4h6 e1h1 e8h8 d4c6 b7c6 b1d2,-6
2r2rk1/1pq1bppp/1n1p4/4n1P1/p2RPB1P/7R/PPP1Q3/N1K2B2 b - -,f7f6 h3c3 c7b8 c3c8 b8c8 g5g6 h7g6 d4b4 c8c6 f4e3,-96
4r3/p4kp1/1p2pq2/nP1b4/3P4/P6R/5PPP/4R1K1 b - -,f7g8 h3d3 e8f8 f2f3 a5c4 h2h3 f6f4 g1h1 f4h4 e1c1,-773
b2q1rk1/4nppp/4pn2/3p2N1/1b3PN1/1P1BP3/1B2Q1PP/5R1K b - -,h7h6 g4h6 g7h6 b2f6 e7f5 f6d8 b4c3 d3f5 e6f5 e2h5,757
r1bqk2r/ppp2p2/2np3p/2bBp1p1/4P3/3P1N1P/PPP2PP1/R1BQ1RK1 b kq -,g5g4 f3h2 g4h3 d1h5 d8f6 g2g3 f6g6 h5g6 f7g6 c2c3,-89
r1bqk2r/ppp2p2/2np3p/2bBp3/4P1p1/3P3P/PPP2PPN/R1BQ1RK1 b kq -,g4h3 d1h5 d8f6 g2h3 c6e7 d5c4 e7g6 h2g4 f6f3 c1e3,-81
r2qkbnr/4pppp/p1p3b1/3p4/3P1BP1/2N2N1P/PPP2P2/R2QK2R b KQkq -,e7e6 f3e5 f7f6 e5g6 h7g6 d1e2 e8f7 e1a1 c6c5 h1e1,28
4k3/1R6/8/1p6/8/6q1/1PP5/1K5R b - -,e7e6 f3e5 f7f6 e5g6 h7g6 d1e2 e8f7 e1a1 c6c5 h1e1,Mate
r1bqk2r/ppp2p2/2np3p/2bBp3/4P3/3P1Q1p/PPP2PPN/R1B2RK1 b kq -,d8e7 d5c6 b7c6 g2g3 a8b8 c2c3 a7a5 b2b3 h6h5 c1e3,-109
rn1qkb1r/1p2pppp/p2p1n2/8/3PP1b1/3BBN2/PP3PPP/RN1QK2R b KQkq -,e7e6 d1b3 g4f3 g2f3 b8d7 b3b7 f8e7 e1h1 e8h8 d3e2,77
8/3k1p2/7p/6pN/3N2P1/5K1n/8/8 b - -,d7d6 d4f5 d6e5 f5h6 f7f6 f3g2 h3f4 h5f4 e5f4 g2f2,Mate
r1bqkb1r/pppp1ppp/4pn2/4P3/2Q5/8/PPPP1PPP/RNB1K1NR b KQkq -,f6d5 g1f3 a7a6 c4e2 b7b5 b1c3 c8b7 c3d5 b7d5 b2b3,-45
r1bqkb1r/pppp1ppp/4p3/3nP3/2Q5/2N5/PPPP1PPP/R1B1K1NR b KQkq -,d5b4 c3b5 b4d5 g1f3 b7b6 e1h1 c8b7 d2d4 f8e7 c4d3,-56
8/4r3/6k1/3K4/8/3Q4/8/8 b - -,g6f6 d3f3 f6g5 f3c3 g5f5 c3c8 f5f6 c8f8 e7f7 f8d6,893
4n3/4kp2/2KP3p/p5pN/P3N1P1/7P/1n6/8 b - -,e7f8 d6d7 f8e7 h5g3 b2d3 g3f5 e7d8 d7e8r d8e8 e4d6,569
8/8/1P6/4kp2/P2p2p1/6P1/3K4/8 b - -,,0
r1b1kbnr/pppp1ppp/8/8/2BnP3/8/PPPP1PqP/RNBQKR2 b kq -,g2e4 d1e2 d4e2 c4e2 e4c2 b1c3 c2f5 d2d4 f5a5 f1g1,-1400
rnb1kbnr/pp3ppp/1q6/2pp4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,g8f6 f1d3 c5d4 e1h1 b8c6 b1d2 f8e7 a2a4 e8h8 d2b3,-26
b4rk1/4q3/4p1Q1/3p2N1/1b3P2/1P2P3/6PP/5R1K b - -,g8h8 f1f3 e7g7 f3h3 h8g8 g6e6 f8f7 h3h8 g8h8 g5f7,542
b4r2/6k1/4N3/3p4/1b3P2/1P2P3/6PP/5R1K b - -,g7g8 e6f8 d5d4 e3d4 g8f8 h1g1 b4c3 g1f2 c3d4 f2g3,447
r5k1/1R5p/p2p2pq/3Pp1nn/4P3/8/PP1NRrPP/3Q1B1K b - -,f2e2 f1e2 h5g3 h1g1 g5h3 g2h3 h6e3 g1g2 g3e2 g2h1,-352
6k1/2n2p2/3p3p/p2Pn1pN/2P3P1/P6P/3N2K1/8 b - -,a5a4 h5g3 c7e8 g2f2 e8g7 f2e2 f7f5 g4f5 g8f7 e2e3,130
rn1qkb1r/p3pppp/1pp5/5b2/3P4/1QP2NP1/P3PP1P/R1B1KB1R b KQkq -,f5e4 f1h3 e7e6 e1h1 e4f3 e2f3 f8e7 f1e1 e8h8 f3f4,136
3R4/8/8/8/5K2/2k5/8/4R3 b - -,f5e4 f1h3 e7e6 e1h1 e4f3 e2f3 f8e7 f1e1 e8h8 f3f4,Mate
r2qkb1r/pp1npppp/2p2nb1/8/3P4/2PB1NN1/PP3PPP/R1BQK2R b KQkq -,a7a5 d3g6 h7g6 d1e2 e7e6 c1f4 f8e7 e1a1 b7b5 h2h4,22
8/8/2K5/8/3r4/3k3Q/8/8 b - -,d3c4 h3e6 c4d3 e6e1 d4f4 e1g3 d3e4 c6c5 f4f5 c5c4,207
8/8/2K5/8/3r4/1Q1k4/8/8 b - -,d3e4 c6c5 d4d2 b3c3 d2d3 c3b2 d3f3 b2d4 e4f5 c5d6,210
rnbqkb1r/1ppp1ppp/p3pn2/4N3/3P4/4P3/PPP2PPP/RNBQKB1R b KQkq -,c7c5 c2c4 d7d6 e5f3 d6d5 c4d5 e6d5 f1e2 b8c6 e1h1,-19
r1b1kb1r/pp1ppppp/n7/2P5/4nB2/1N3P2/PPP1P1PP/R3KBNR b KQkq -,e7e5 f4e5 e4c5 b3c5 a6c5 e2e4 a7a6 g1e2 b7b5 h2h4,218
rnbqkb1r/ppp1pp1p/6p1/3p2N1/3P4/2P5/PP1NPPPP/R2QKB1R b KQkq -,e7e5 h2h4 h7h6 g5f3 e5e4 f3e5 f8g7 f2f4 b8d7 e2e3,-85
8/8/8/2K5/5r2/Q2k4/8/8 b - -,d3e4 a3a6 e4e3 a6h6 e3e4 c5c4 f4f3 h6e6 e4f4 c4d4,195
8/2k5/P7/1P3P2/8/3p4/5Kp1/8 b - -,d3d2 a6a7 d2d1q f2g2 c7b7 b5b6 d1e2 g2h1 e2f3 h1h2,-1152
8/1R3p1p/4pk2/8/PP3p2/8/5PPK/2r2B2 b - -,c1b1 f1c4 b1c1 c4d3 c1c3 d3b5 c3c2 f2f3 c2b2 a4a5,555
8/8/8/2N5/4K3/6k1/8/5Q2 b - -,c1b1 f1c4 b1c1 c4d3 c1c3 d3b5 c3c2 f2f3 c2b2 a4a5,Mate
8/8/6k1/4K3/2Q5/3N4/8/8 b - -,c1b1 f1c4 b1c1 c4d3 c1c3 d3b5 c3c2 f2f3 c2b2 a4a5,Mate
8/6k1/8/4K3/6Q1/3N4/8/8 b - -,c1b1 f1c4 b1c1 c4d3 c1c3 d3b5 c3c2 f2f3 c2b2 a4a5,Mate
r2qkb1r/pppbn1pp/2n2p2/3pp3/Q3P3/2PPBN2/PP1N1PPP/R3KB1R b KQkq -,d5d4 c3d4 c6d4 a4d1 c7c5 g2g3 d4f3 d2f3 e7c6 a1c1,-72
r1bqk2r/ppppnppp/2n5/4P3/1bBP4/2N2N2/PP3PPP/R1BQ1RK1 b kq -,e8h8 d4d5 c6a5 c4d3 d7d6 e5e6 h7h6 c3e2 f7e6 a2a3,259
8/3k4/8/2K5/8/P7/8/8 b - -,,0
rnbqk2r/pp3ppp/2p1pn2/b2p4/3PP3/P1NB1N2/1PP2PPP/R1BQ1RK1 b kq -,a5c3 e4e5 c3a5 e5f6 g7f6 c1h6 h8g8 c2c3 a5c7 f1e1,95
8/8/5K2/1k5Q/8/8/8/8 b - -,a5c3 e4e5 c3a5 e5f6 g7f6 c1h6 h8g8 c2c3 a5c7 f1e1,Mate
8/8/5K2/8/1k6/7Q/8/8 b - -,a5c3 e4e5 c3a5 e5f6 g7f6 c1h6 h8g8 c2c3 a5c7 f1e1,Mate
