8/8/2K5/8/2B3P1/8/4kp2/8 b - -,e2e3 c6d5 e3f4 c4e2 f4e3 e2f1 e3f4 f1c4 f4g4 d5e4,Mate
r4rk1/1b3ppp/1p2pn2/p1p1Q3/P1PP4/3B4/1qN2PPP/R2R2K1 b - -,b6b5 a4b5 c5d4 c4c5 b7d5 c5c6 a5a4 d1b1 b2c3 e5d4,252
4r3/1k4pp/3R4/1p1p4/1P1PpK2/4P3/6PP/8 b - -,e8c8 d6d5 b7b6 d5c5 c8f8 f4e5 f8e8 e5f5 e8f8 f5e6,646
r2qkb1r/pp1b1ppp/4p3/4P3/4p1Q1/3BB3/PPP2PPP/2KR2NR b kq -,h7h5 g4e4 d7c6 e4c4 d8a5 g1f3 h5h4 f3d4 a8c8 c1b1,912
r1b2rk1/ppq1npbp/2np2p1/2p1p3/P1N1P3/2PP1NP1/1P1B1PBP/R2Q1RK1 b - -,h7h6 b2b4 c8e6 b4b5 c6a5 c4a5 c7a5 c3c4 a5d8 d1c2,41
Qq4k1/1Pb1pp2/6p1/7p/3BPP2/5K1P/p7/8 b - -,,0
r1b2rk1/ppp1b2p/4p3/2q1Bpp1/3Q4/2P2BP1/PP2P2P/R4RK1 b - -,a7a5 f1d1 c7c6 e2e3 c5d4 e3d4 g5g4 f3g2 a5a4 b2b4,-59
1r3b1r/1p1k1ppp/p3p3/3p3b/2PP4/2N4P/PP3PP1/R3KB1R b KQ -,d5c4 f1c4 f8b4 a1c1 d7e7 g2g4 h5g6 e1e2 h8d8 e2e3,-49
8/p4B2/8/5k2/1n5P/5KP1/8/8 b - -,f5f6 f7e8 b4d3 g3g4 d3e5 f3f4 e5g4 f4g4 a7a5 g4h5,71
1r5r/pp1q1kpp/4Q3/3p1p2/1b1P1N2/5PP1/PP4BP/R3R1K1 b - -,d7e6 e1e6 g7g5 f4d5 f7e6 d5b4 b8c8 a1e1 e6d6 g2f1,461
rn1qk2r/ppp2ppp/3p4/2nBpb2/3P4/2P2N2/P1P2PPP/R1BQR1K1 b kq -,b8a6 d4c5 a6c5 c1a3 e8h8 a3c5 d6c5 f3e5 d8f6 d1f3,404
r2q1rk1/ppp2ppp/n4n2/2b1N3/4p1b1/P1NPB2P/1PP1BPP1/R2QK2R b KQ -,g4e2 d1e2 f8e8 e5c4 e4d3 c2d3 c7c6 e1h1 a6c7 a1d1,-32
1r2r1k1/3q1pb1/p2p1np1/2pP3p/PpN1PB2/5P2/1P1Q2PP/R4RK1 b - -,g7f8 b2b3 d7c7 d2f2 f6d7 a4a5 d7e5 f4e5 e8e5 a1e1,193
rnbqk2r/ppp1p1bp/4Pnp1/3P1p2/3P4/2N5/PP3PPP/R1BQKBNR b KQkq -,a7a6 g1f3 f6d5 f1c4 d5c3 b2c3 c7c5 e1h1 b7b5 c4b3,95
8/7p/1k6/1P6/P4P1K/7P/6P1/8 b - -,a7a6 g1f3 f6d5 f1c4 d5c3 b2c3 c7c5 e1h1 b7b5 c4b3,Mate
