r3brk1/p3bppp/4pn2/1p2N3/1PpqP3/6P1/1P2QPBP/RNB2RK1 b - -,a8d8 e5f3 d4e4 e2e4 f6e4 f3e1 f7f5 e1c2 d8d7 c1e3,275
r3r1k1/pp1B1ppp/3B1n2/q1Pp4/8/2b1PP2/PP3P1P/R2Q1RK1 b - -,f6d7 b2c3 d7c5 d1d5 b7b6 f1d1 a5c3 d6c5 b6c5 g1g2,11
8/p4p1p/4bk2/4p2p/2PpQP2/P2P2P1/6K1/1r6 b - -,b1b2 g2f1 b2b1 f1e2 e5f4 e4d4 f6g6 d4f4 b1b3 f4d6,472
4k3/pppp1ppp/8/4p3/7P/8/PPPPPPP1/5K2 b - -,e8e7 e2e4 e7e6 d2d3 d7d5 f1e2 a7a5 c2c3 a5a4 e2e3,-22
r3r1k1/pp3ppp/3B4/q1nQ4/8/2P1PP2/P4P1P/R4RK1 b - -,b7b6 f1d1 a5c3 d6c5 b6c5 a1c1 c3f6 f3f4 a8c8 c1c5,7
r3brk1/p3bppp/4pn2/1p2q3/1Pp1PB2/6P1/1P2QPBP/RN3RK1 b - -,f6d7 f4e5 d7e5 f2f4 e5d3 e4e5 a8d8 b1c3 e7b4 c3e4,389
r3r1k1/p4ppp/1p6/q1BQ4/8/2P1PP2/P4P1P/R4RK1 b - -,,0
2Q2n1k/6pr/6Pp/p3p2P/1q1bK3/1P3P1B/8/2R5 b - -,a5a4 c1c4 b4d6 c4a4 d4c5 g6h7 d6b6 b3b4 c5e7 c8c4,233
8/4k3/1P6/4K3/8/8/8/8 b - -,a5a4 c1c4 b4d6 c4a4 d4c5 g6h7 d6b6 b3b4 c5e7 c8c4,Mate
2r1r1k1/Q4ppp/1p6/2q5/8/2P1PP2/P4P1P/R4RK1 b - -,c5g5 g1h1 g5f5 f1g1 f5f3 g1g2 e8d8 a7a4 g7g6 a4f4,-86
r1bq1rk1/pp3ppp/2n2b2/2p5/3pN3/3Q1NP1/PPP1PPBP/R4RK1 b - -,b7b6 c2c3 d4c3 e4f6 d8f6 d3c3 f6c3 b2c3 c8a6 f3h4,-33
r3k2r/1pqnbppp/2n1p3/2ppP2b/p2P4/P1P1BN1P/1P2BPP1/1R1QNRK1 b kq -,c5c4 e1c2 h5g6 f3e1 h7h5 f2f4 c6a5 e2f3 e8a8 d1e2,-52
r4rk1/p4ppp/2p1p3/8/PP1P4/4P3/5PP1/R4RK1 b - -,f8c8 f1c1 a7a5 b4a5 a8a5 c1c5 a5a6 g2g4 g8f8 f2f4,30
r1b2rk1/p3ppbp/2np1np1/q2N4/1p2PN2/4BP2/PPPQ2PP/1K1R1B1R b - -,f6d5 d2d5 a5d5 f4d5 a8b8 g2g4 e7e6 d5c7 c8b7 f1e2,38
r2qk2r/bpp2pp1/p1npbn1p/4p3/4P3/1BPP1N1P/PP2QPP1/R1B1KN1R b KQkq -,d6d5 f1g3 e8h8 e1h1 f8e8 f1e1 d8d7 b3c2 d5d4 c1d2,11
r1bq1rk1/p4ppp/1pn2b2/2p5/3pN3/2PQ1NP1/PP2PPBP/R4RK1 b - -,d4c3 e4f6 d8f6 d3c3 f6c3 b2c3 c8a6 f3h4 a8c8 h4f5,-24
rnb2rk1/1pp1qppp/pn2p3/3pP3/3P1P2/N7/PPPQ2PP/R3KBNR b KQ -,h7h6 c2c3 c7c5 a3c2 c8d7 g1f3 d7b5 f1e2 b8c6 e1h1,35
5k2/8/7K/4R3/8/8/8/5q2 b - -,h7h6 c2c3 c7c5 a3c2 c8d7 g1f3 d7b5 f1e2 b8c6 e1h1,Mate
2r1r1k1/Q4ppp/1p6/6q1/8/2P1PP2/P4P1P/R4R1K b - -,g5f5 f1g1 f5f3 g1g2 e8d8 a7a4 g7g6 h1g1 c8c3 g2g3,-71
2k1r3/p4p1p/1pp1bP2/2p2p2/2P2P2/PP3K1P/3r2P1/2R2B1R b - -,d2b2 c1c3 b6b5 f1e2 c8c7 c3e3 e8g8 h1a1 h7h5 g2g3,-73
r3brk1/p3bppp/4pn2/1p5q/1Pp1PB2/5BP1/1P2QP1P/RN3RK1 b - -,h5f3 e2f3 e8c6 b1c3 a7a5 a1a5 e7b4 a5b5 b4c3 b5c5,370
r1b2rkq/p3bp1p/4pN1Q/5p1N/1p3p2/1n6/PPP3PP/3R1R1K b - -,h8f6 h5f6 e7f6 h6f6 b3c5 f6g5 g8h8 g5e7 c8b7 e7c5,471
7r/3b2kR/1ppq1b2/p2p1pp1/Pn1P4/1Q1NP1P1/1P2NPK1/1BR5 b - -,h8h7 d3b4 a5b4 b3d3 c6c5 d3a6 f6e7 c1h1 h7h1 g2h1,-22
rnb2rk1/1p2qppp/pn2p3/Q1ppP3/3P1P2/N7/PPP3PP/R3KBNR b KQ -,b6d7 g1f3 b8c6 a5d2 c5d4 f1e2 f7f6 e1h1 e7c5 g1h1,-157
rnbqk1nr/pp3ppp/8/2ppP3/1b1P1P2/2N5/PP4PP/R1BQKBNR b KQkq -,c5d4 d1d4 b8c6 f1b5 d8a5 c1d2 g8e7 a1d1 e8h8 b5c6,-69
2k1r3/p2b1p1p/1pp2P2/2p2p2/2P2P2/PP3KPP/3r4/2R2B1R b - -,h7h5 c1c3 c8c7 a3a4 a7a6 c3e3 e8e3 f3e3 d2b2 f1d3,-119
r3brk1/p3bppp/4pn2/1p6/1Pp1PB2/6Pq/1P2QPBP/RN3RK1 b - -,h3g2 g1g2 e7b4 f4g5 f6d7 g5d2 b4e7 g2g1 b5b4 a1a5,376
8/3b2kr/1ppq1b2/p2p1pp1/Pn1P4/1Q1NP1P1/1P2NPK1/1B5R b - -,h7h1 g2h1 c6c5 b3d1 b4c6 d3e1 c5d4 e3d4 d6b4 e1d3,-32
rn1qk2r/pp2bppp/2pp1n2/4p3/B3P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,b8d7 h2h3 g4h5 c1e3 d7f8 c3d5 f8e6 d5e7 d8e7 a4b3,-10
8/8/5p1k/8/5PP1/6K1/8/8 b - -,f6f5 g4f5 h6g7 g3h4 g7f8 h4g5 f8f7 f5f6 f7e6 g5g6,1697
2Q2n1k/6pr/6Pp/4p2P/P2bK3/q4P1B/8/4R3 b - -,a3d6 c8c4 d6f6 g6h7 f6f4 e4d3 f4f3 d3c2 f8h7 h3e6,151
r3brk1/p3bppp/4pn2/1p6/1Pp1PBq1/5BP1/1P2QP1P/RN3RK1 b - -,g4f3 e2f3 e8c6 f3e3 c6e4 b1c3 e4d3 f1d1 a7a5 b4a5,364
r1b2rk1/1p2q1pp/p1n1p3/3pPp2/4BP2/N4N2/PPPQ2PP/R3K2R b KQ -,c6e5 e4d5 f8d8 f3e5 d8d5 e5d3 b7b5 e1a1 c8b7 d2e3,396
