r2qkbnr/ppp2ppp/2n5/3pp2b/3P2P1/4PN1P/PPPN1P2/R1BQKB1R b KQkq -,f8d6 d4e5 h5g6 e5d6 d8d6 a2a3 e8a8 f1g2 h7h5 g4g5,440
r2qkbnr/ppp2ppp/2n5/3pN3/3Pp1b1/4P3/PPPNBPPP/R1BQK2R b KQkq -,h7h5 e5g4 h5g4 e2g4 d8g5 g2g3 f7f5 g4e2 g8f6 c2c4,72
r1bqkb1r/p2p1ppp/2p1p3/2pnP3/8/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,d8c7 c3e4 f7f5 e4g3 c5c4 b2b3 c4b3 a2b3 c6c5 c2c4,105
r2qk2r/pppbbppp/2n1pn2/3pN3/3P1B2/2P1P3/PP1N1PPP/R2QKB1R b KQkq -,a7a5 f1d3 e8h8 d1f3 c6e5 d4e5 f6e8 e3e4 e7g5 e1a1,99
rnbqkb1r/pp4pp/3p1p2/2pP4/4N3/8/PPP2PPP/R2QKBNR b KQkq -,f8e7 d1h5 g7g6 h5h6 c8f5 e4c3 e7f8 h6d2 b8d7 e1a1,84
r1bqk2r/ppppbppp/5n2/6B1/2BpP3/2PP4/PP3PPP/RN1QK2R b KQkq -,a7a5 c3d4 d7d5 c4b3 h7h6 g5h4 d5e4 d3e4 f6e4 h4e7,67
rnbqkb1r/pp2pppp/8/1BppP3/3P4/2P2N2/P1P2PPP/R1BQK2R b KQkq -,d8d7 b5d7 b8d7 e5e6 f7e6 d1e2 g7g6 f3g5 d7f6 e1h1,827
rn1qk2r/pppN1ppp/3b1n2/1B1P4/3Pp3/8/PPP2PPP/RNBQK2R b KQkq -,d8d7 b5d7 b8d7 c2c4 e8h8 e1h1 f8c8 b1c3 d6b4 c3e2,907
rnbqkbnr/pp1pp1pp/8/2pP4/4p3/5P2/PPP3PP/RNBQKBNR b KQkq -,e4f3 g1f3 g8f6 b1c3 g7g6 d5d6 f8g7 c3b5 b8a6 f1c4,130
r1bqkbnr/ppp2ppp/2n5/3Pp3/8/3P4/PPP1NPPP/RNBQKB1R b KQkq -,c6a5 c1d2 b7b6 c2c4 a5b7 g2g3 g8f6 f1g2 f8d6 e1h1,227
rnbqk2r/pp2ppbp/5np1/3p4/3P1B2/2N2N1P/PPP2PP1/R2QKB1R b KQkq -,d8a5 f1d3 c8d7 e1h1 e8h8 f1e1 a5b6 a1b1 b8c6 d3f1,72
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/3P2P1/PPP1NP1P/RNBQKB1R b KQkq -,d7d5 b1c3 d5d4 c3d5 g8e7 f1g2 e7d5 e4d5 c6b4 c2c3,-94
rnbq1rk1/ppp1bppp/5B2/3p4/3P4/2N1P3/PP3PPP/R2QKBNR b KQ -,c8e6 f6e7 d8e7 f1d3 c7c5 g1e2 b8c6 e1h1 e6g4 d1d2,861
r1bqkb1r/pp3ppp/2n1p2n/3pP3/3N1P2/2N5/PPP3PP/R1BQKB1R b KQkq -,c8d7 c1e3 c6d4 e3d4 h6f5 d4f2 d8a5 d1d2 d5d4 c3e4,-79
rnbqkbnr/pp2p1pp/3p4/2pP4/4P3/8/PPP3PP/RNBQKBNR b KQkq -,e7e6 b1c3 e6d5 e4d5 g8f6 g1f3 a7a6 f1d3 b7b5 f3g5,168
4rr1k/ppq3p1/3b4/2p5/2PpNP1P/PP6/2QB4/R4RK1 b - -,d6f4 a1e1 f4d2 f1f8 e8f8 c2d2 c7e5 d2h2 e5h2 g1h2,438
rn1qkbnr/pppbpppp/8/3p4/3P4/2N1P3/PPP2PPP/R1BQKBNR b KQkq -,d7c6 g1f3 g8f6 f3e5 b8d7 f2f4 e7e6 f1d3 f6e4 d3e4,59
rnb1k1nr/pppp1ppp/1b3q2/4N3/2BPPp2/8/PPP3PP/RNBQ1K1R b kq -,c7c6 c4f7 e8d8 f7b3 g8h6 b1c3 d8c7 a2a4 a7a5 e5f3,102
rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/2N1P2P/PP1P1PP1/R1BQKBNR b KQkq -,d7d5 d2d4 e5d4 e3d4 c5b4 g1f3 e8h8 f1d3 d5c4 d3c4,59
r2qkb1r/ppp2ppp/5n2/3pn3/6b1/2P1PN2/PP2BPPP/RNBQK2R b KQkq -,e5f3 e2f3 h7h5 c3c4 d5c4 b1d2 d8d7 d2c4 f8b4 c1d2,-97
8/5k2/5n2/2K1Q3/8/8/8/8 b - -,f6d7 c5d5 d7e5 d5e5 f7e7 e5d4 e7f6 d4d3 f6e5 d3c4,Mate
r1bqkb1r/pp3ppp/2n1p3/2ppPn2/5P2/2P2N2/PP1PB1PP/RNBQ1RK1 b kq -,a7a6 e2d3 d8b6 d3c2 c8d7 c2f5 e6f5 d2d4 f8e7 d4c5,25
8/5k2/5n2/4Q3/2K5/8/8/8 b - -,a7a6 e2d3 d8b6 d3c2 c8d7 c2f5 e6f5 d2d4 f8e7 d4c5,Mate
rnbqkb1r/ppp2p1p/3p1np1/8/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq -,c8e6 e1h1 b8c6 f1e1 f8g7 f3g5 c6d4 c2c3 d4c6 g5e6,83
r1bqkbnr/pp2pppp/2n5/3p4/B7/8/PPPP1PPP/RNBQK1NR b KQkq -,g8f6 g1f3 c8g4 h2h3 g4h5 g2g4 h5g6 d2d4 e7e6 f3e5,-100
8/5k2/5n2/4Q3/8/4K3/8/8 b - -,f6g4 e3f4 g4e5 f4e5 f7g6 e5d6 g6f5 d6c6 f5f4 c6b6,Mate
r1bqkb1r/pp2pppp/2n2n2/3p4/B7/3P4/PPP2PPP/RNBQK1NR b KQkq -,c8g4 g1f3 e7e6 h2h3 g4h5 b1c3 a8c8 e1h1 f8d6 c3b5,-114
rnbqkbnr/pp2pppp/8/2p1P3/2B5/8/PP1P1PPP/RNBQK1NR b KQkq -,d8d4 d1e2 c8g4 g1f3 d4d7 e5e6 g4e6 c4e6 d7e6 e2e6,33
rn1qkb1r/ppp1pppp/4bn2/8/2pP4/2N1PQ2/PP3PPP/R1B1KBNR b KQkq -,c7c6 f3d1 b8d7 f1e2 b7b5 d1c2 b5b4 c3a4 d8a5 c1d2,-97
8/2k5/8/r7/3K1Q2/8/8/8 b - -,c7b6 f4d6 b6b7 d4c4 a5a2 d6d7 b7b6 d7d4 b6c6 c4b4,20000
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/2B1PP2/P4N2/1PPP2PP/RNBQK2R b KQkq -,d7d5 e4d5 e6d5 c4a2 g8f6 e1h1 f8d6 f1e1 c6e7 b1c3,-126
