rn2kb1r/ppp2ppp/4pn2/7q/2PP2b1/5N2/PP2BPPP/RNBQ1RK1 b kq -,b8c6 h2h3 g4f3 e2f3 h5a5 c4c5 f8e7 c1d2 a5a6 f3e2,207
r1bqkb1r/ppp2pp1/2n2n1p/3p4/3P3B/5N2/PPP1PPPP/RN1QKB1R b KQkq -,c8g4 e2e3 g7g5 h4g3 f6e4 b1d2 d8e7 c2c3 e8a8 d1c2,160
r1bqk2r/pppp1ppp/2n5/2b5/2BNP1n1/2N5/PPP2PPP/R1BQ1RK1 b kq -,c5d4 d1g4 d7d5 g4g3 d5c4 f1d1 d8d6 c1f4 d6g6 c3b5,-453
6k1/8/3N1K2/8/2B5/8/8/8 b - -,d7d6 d4f3 a7a5 c1g5 f7f6 g5d2 g4e5 f3e5 c6e5 c4e2,Mate
rn1qkbnr/pp3ppp/2p1p1b1/3p4/8/3P1NP1/PPPNPPBP/R1BQ1RK1 b kq -,d8c7 c2c4 g8f6 c4d5 c6d5 d1a4 c7c6 a4b3 f8e7 f3e5,61
rn1qkbnr/pp3ppp/4p3/1BPpPb2/1P6/8/P1P2PPP/RNBQK1NR b KQkq -,d8d7 b5d7 b8d7 b1c3 a7a6 g1e2 g8e7 e1h1 e7c6 a2a3,867
r2qkbnr/pp3ppp/2n1p3/2ppPb2/3P4/1PPB1N2/P4PPP/RNBQK2R b KQkq -,f5g4 c1b2 c5d4 c3d4 f8b4 e1f1 g8e7 a2a3 b4a5 b3b4,-91
rnbqkbnr/pp2p1pp/8/3p1p2/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,d8a5 f1b5 c8d7 b5d7 b8d7 e1h1 g8f6 d1e2 a5b6 f1e1,254
5k2/8/4Bp2/5P1p/1p3P2/1P2p1P1/3n4/6K1 b - -,d2e4 e6c4 e4g3 g1g2 e3e2 g2f2 f8e7 c4d5 e7d6 d5a8,-813
rn1qkbnr/pbpp1p1p/1p2p3/6p1/2P1P3/2N2NP1/PP1P1P1P/R1BQKB1R b KQkq -,h7h5 d2d4 g5g4 f3h4 f8e7 c1e3 e7h4 g3h4 d8h4 d1d2,142
rnb1k1nr/1p1p1ppp/p3p3/q7/1b1PP3/2N2N2/PP1B1PPP/R2QKB1R b KQkq -,d7d6 f1d3 g8e7 a1c1 e8h8 a2a3 b4c3 c1c3 a5b6 e1h1,250
rnbqk2r/ppp1ppbp/6p1/6B1/2PPp2P/4P3/PP3PP1/R2QKBNR b KQkq -,c7c5 d1a4 b8c6 e1a1 d8b6 g1e2 h7h6 g5f4 e8h8 e2c3,-176
1k6/pP3pp1/8/3P3p/7q/N1P2b1B/PP3rp1/R5K1 b - -,e8h8 g1e2 c8g4 d1c2 h7h6 g5f4 b8c6 e2c3 e7e5 f4e5,Mate
rn1qkbnr/pp4pp/2pp1p2/3Pp3/4P3/2N2B2/PPP2PPP/R1BQK2R b KQkq -,g7g6 h2h4 f8h6 c1h6 g8h6 d1d2 h6f7 e1a1 h7h6 h4h5,260
