6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
r1b1k2r/pp3p1p/2p2P2/q3n3/4P3/b1N4P/PPP3P1/R1Q1KBNR b KQkq -,c8e6 g1e2 a3c5 a2a3 a5b6 c1f4 e5c4 c3a4 b6a5 b2b4,-211
r2qkbnr/1p2pppp/p1np4/8/2P1P1b1/2N2N2/PP1Q1PPP/R1B1KB1R b KQkq -,g7g6 f1e2 f8g7 b2b3 g8f6 c1b2 e8h8 e1h1 d8a5 f1d1,17
2r5/5pk1/4p1p1/1pr4p/3R1P2/1P4P1/2PR3P/1K6 b - -,g7f6 b1b2 c8c7 d2e2 h5h4 d4d3 h4g3 h2g3 g6g5 c2c3,-8
8/8/1pn1p3/1p1pPkpp/3P2P1/4K3/5N2/8 b - -,h5g4 f2h1 b5b4 h1g3 f5g6 e3d3 b4b3 d3c3 c6d4 c3b2,-1092
r6r/1p3k1p/p2qb1pB/3npp2/2B4Q/8/PP3PPP/3R1RK1 b - -,h8c8 d1d2 c8c5 c4b3 d6c6 f1d1 f5f4 h4g5 d5f6 d2d6,146
8/8/2N2k2/p1P2p2/6pp/8/5PP1/6K1 b - -,f6e6 c6a5 e6e7 c5c6 e7d8 g1h2 d8c7 g2g3 h4h3 a5c4,623
rn1q1rk1/ppp2pp1/3bpn1p/3p1b2/8/1P1PPN2/PBPNBPPP/R2Q1RK1 b - -,b8d7 d3d4 c7c6 a2a4 a7a5 f3e5 d8c7 f2f4 f6e4 d2e4,-21
r1r3k1/p2bb1p1/1p2p3/3pPp1p/1P1N1P1P/2PB4/PK4P1/6RR b - -,a7a5 a2a3 g8f8 g2g3 g7g6 g1b1 f8e8 b1a1 e8d8 d3e2,34
3r2k1/p2r4/1p2nR1p/2p1p2P/P1P3P1/2PPR3/2K2P2/8 b - -,e6g7 f6h6 e5e4 e3e4 d7d3 e4e2 d3f3 h6g6 g8h7 g6c6,22
2r3k1/p4pb1/2q1p1p1/3p3p/3P4/Q1P2P2/P1R1R1PP/6K1 b - -,c6b5 g1f2 b5b8 g2g3 b8b1 a3c1 b1c1 c2c1 g7d4 f2f1,4
2Q3k1/5pp1/4pn1p/3p4/3P4/1r2PN2/5PPP/5RK1 b - -,c6b5 g1f2 b5b8 g2g3 b8b1 a3c1 b1c1 c2c1 g7d4 f2f1,Mate
8/5k2/1R6/6pK/8/5P2/7P/6r1 b - -,,0
8/8/7Q/5k1p/1p2q1pP/1K6/8/8 b - -,g1h1 h5g5 h1h2 b6b5 h2g2 g5f5 g2c2 f3f4 c2c7 f5g5,Mate
2r5/5p2/4pkp1/1pr4p/3R1P2/1P4P1/1KPR3P/8 b - -,f6f5 d2f2 c8c6 d4d7 c6c7 d7d4 c7a7 f2g2 f5g4 g2f2,-7
r1bqkb1r/pp1ppppp/n4n2/2P5/1P6/5N2/P1P1PPPP/RNBQKB1R b KQkq -,a6b4 b1d2 e7e6 e2e4 f8c5 c2c3 b4c6 e4e5 f6g4 d2e4,-75
4r3/pkpnr2p/3P1p2/1p6/1bPP1pP1/1PN4P/3K2B1/R6R b - -,b7b8 d6e7 c7c5 d2c2 c5d4 c3d5 b4e7 h1e1 d7e5 a1a5,497
r3kb1r/1pp1pppp/p4n2/n2P4/8/2NB1P2/PPPB2PP/R3K2R b KQkq -,b7b6 d2f4 e8d7 f4e5 g7g6 e1a1 a5b7 h1e1 f8g7 c1b1,112
2b5/2p5/1p1k4/1P3P1p/2PKp2N/8/8/8 b - -,e4e3 d4e3 d6c5 e3d3 c8d7 d3c3 d7e8 h4f3 c5d6 c3d4,-37
8/p7/5ppk/4q2p/8/2p2Q2/PpK5/6B1 b - -,e5b8 f3f1 b8b7 g1d4 b7e4 c2c3 b2b1q f1b1 e4b1 c3d2,-852
