1r2r1k1/1b3pbp/pp3np1/2p1P3/5P2/1PN3PP/P3N1B1/R4RK1 b - -,f6d7 a1d1 d7f8 d1d6 b7g2 g1g2 f8e6 c3e4 e8c8 f1c1,117
8/5qk1/5np1/5p1p/1Q5P/6P1/5P2/5BK1 b - -,g7h7 f1a6 f7e8 b4b7 h7h6 b7b2 f6g4 a6e2 h6h7 e2f3,1
rn3rk1/ppp3pp/4pq2/2b5/3PPp2/5N2/PPP3PP/R1BQK2R b KQ -,g7g5 d4c5 g5g4 c1d2 g4f3 d1f3 f6h4 g2g3 f4g3 h2g3,207
R1bn1rk1/5rp1/2P1p1qp/1Q1pR3/3N3P/5N2/5PP1/6K1 b - -,d8c6 b5c6 g6b1 g1h2 b1b7 c6b7 f7b7 d4e6 c8e6 a8f8,469
2kr3r/pp2q1pp/2p5/3n4/2Q5/2P3B1/P4PPP/R4RK1 b - -,e7f6 a1b1 h7h5 h2h4 h8e8 b1b3 e8e7 c4c5 b7b6 c5a3,149
R1bn1rk1/2r3p1/1QP1p1qp/3pR3/3N3P/5N2/5PP1/6K1 b - -,d8c6 b6c7 c6e5 f3e5 g6f6 d4f3 f6d8 c7d8 f8d8 e5c6,553
rn1qk2r/pp2ppbp/2p2np1/3p4/2PP1Pb1/3BPN2/PP4PP/RNBQ1RK1 b kq -,,0
2kr3r/pp2Q1R1/2p1P3/8/7q/3B1p2/PP3P2/4RK2 b - -,e8h8 b1c3 c6c5 d4c5 b8c6 h2h3 g4f3 d1f3 d5d4 c3b5,Mate
R1bn1rk1/2r2qp1/1QP1p2p/3p4/3N3P/5N2/4RPP1/6K1 b - -,f7e7 f3e5 c8b7 e5g6 e7f7 c6b7 c7b7 b6d8 f8d8 a8d8,479
r1bqk2r/1p1p1ppp/p3pn2/4n3/1bPNP3/2N5/PPB2PPP/R1BQ1RK1 b kq -,e5g6 f2f4 d7d6 f4f5 g6e5 c2a4 b7b5 c4b5 e8h8 c1g5,61
r1r4k/ppq1pp1p/3pbnpQ/4P3/6P1/2N2P2/PPP5/1K1R1B1R b - -,d6e5 g4g5 f6h5 f1d3 c8g8 h1h5 g8g7 h5h1 c7a5 a2a3,453
r2qkb1r/1p3p1p/2n1bpp1/1N1p4/1p5Q/5N2/PPP2PPP/R1B1R1K1 b kq -,f8g7 b5d4 e8h8 d4c6 b7c6 h4b4 f8e8 c1e3 g7f8 e3c5,-60
r3r1k1/1bnq1pbn/p2p2p1/1p1PP2p/2p2P1B/P1N2B1P/1PQN2P1/3RR1K1 b - -,d6e5 d2e4 g7f8 d5d6 c7e6 f4e5 f8g7 h4g3 a8b8 h3h4,253
2kr3r/pp2q1p1/2p5/3n3p/2Q5/2P3BP/P4PP1/R4RK1 b - -,h8f8 a1e1 e7f6 g3e5 f6g5 e1e4 f8f5 h3h4 g5e7 f1e1,146
R1bn1rk1/2r3p1/1QP1p2p/3p4/3N1q1P/5NP1/4RP2/6K1 b - -,f4c1 e2e1 c1c6 d4c6 c7c6 b6b3 d5d4 f3d4 c6c7 d4e6,588
r1bqkb1r/pppp1p1p/5np1/nB2p3/4P3/3P1Q2/PPP2PPP/RNB1K1NR b KQkq -,c7c6 b5a4 b7b5 a4b3 f8g7 g1e2 e8h8 e1h1 a5b3 a2b3,-78
r1bqkb1r/pp1p1p1p/2p2np1/n3p3/B3P3/3P1Q2/PPP2PPP/RNB1K1NR b KQkq -,b7b5 a4b3 f8g7 f3e2 e8h8 g1f3 f6h5 e1h1 d7d6 c1g5,-78
rnb1kbnr/ppq2ppp/4p3/3P4/2NP4/8/PP3PPP/R1BQKBNR b KQkq -,,0
