8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
r2qkb1r/pp2pppp/2n2n2/8/2P3b1/3P4/PP2BPPP/RNBQK1NR b KQkq -,g4c8 g1f3 e7e5 e1h1 f8d6 c1e3 e8h8 b1c3 f8e8 h2h3,113
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,h7h6 e2d3 g8e7 c3e2 b8d7 e2f4 c6c5 c2c3 f5d3 d1d3,80
r1bqk2r/ppppppbp/2n2np1/8/2PP1B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,b7b6 d4d5 c6a5 e3e4 e8h8 f1e2 d7d6 g1f3 c8g4 d1d3,99
r1bqk2r/pppp1pp1/2n2n1p/4p3/1b2P3/P1NP1N1P/1PP2PP1/R1BQKB1R b KQkq -,b4d6 c1e3 e8h8 g2g4 d6e7 c3d5 f6d5 e4d5 c6d4 f3e5,71
rnbqk2r/ppp1b1pp/3ppn2/5p2/2PP1B2/2N1P2P/PP3PP1/R2QKBNR b KQkq -,f6e4 c3e4 f5e4 g1e2 d6d5 e2c3 c7c6 f1e2 e7d6 f4d6,129
rnbqkbnr/pp2pppp/8/1Bp5/3p4/1P2P3/PBPP1PPP/RN1QK1NR b KQkq -,d8d7 b5d7 c8d7 e3d4 c5d4 b2d4 b8c6 d4b2 e8a8 g1e2,863
r1bq3r/ppp2kpp/5n2/8/3np3/2N5/PB2NPPP/R2QK2R b KQ -,c7c5 h2h3 d4e2 d1e2 d8d3 e1h1 d3e2 c3e2 h8d8 f2f3,-355
rnbq1rk1/pp2ppbp/3p1np1/2p5/8/2PP1NP1/PP2PPBP/RNBQR1K1 b - -,b8c6 e2e4 e7e5 h2h3 a8b8 b1a3 b7b5 a3c2 a7a5 d3d4,-25
r1bqk2r/ppp1nppp/2p5/2b1N3/4P3/2N5/PPPP1PPP/R1BQK2R b KQkq -,a7a5 e1h1 e8h8 d2d3 f7f5 d1e2 c5d6 d3d4 d8e8 e5d3,148
8/8/1Rp5/1p6/1Pr5/1K1k4/8/8 b - -,d3d4 b6a6 c4c3 b3b2 d4d3 a6b6 c3c4 b2b3 c4c1 b3b2,-9
rnbqk2r/1pp1bppp/4pn2/p2p2B1/2PP4/P1N2N2/1P2PPPP/R2QKB1R b KQkq -,c7c6 e2e3 e8h8 d1c2 h7h6 g5h4 b7b6 h4f6 e7f6 h2h4,52
r2qkbnr/ppp1pppp/2n5/3P1b2/2p5/5NP1/PP2PP1P/RNBQKB1R b KQkq -,f5e4 d5c6 d8d1 e1d1 a8d8 d1e1 e4c6 h1g1 e7e6 b1c3,225
rn1qkb1r/pp1bp2p/5pp1/2pn4/2B5/1P6/PBPP1PPP/RN1QK1NR b KQkq -,d7c6 f2f3 f8h6 g1h3 d5b6 c4e2 e8h8 a2a4 c6d7 h3f2,-51
rnbq1rk1/ppp2pbp/3p1np1/4P3/8/2N2NP1/PPP1PPBP/R1BQ1RK1 b - -,f6g4 c1g5 f7f6 e5f6 g4f6 c3d5 c7c6 d5f6 g7f6 d1d2,365
8/1K1k4/2r5/4Q3/8/8/8/8 b - -,c6d6 e5f5 d6e6 f5g4 d7e7 g4g7 e7e8 g7d4 e6g6 d4e5,706
rn1qkb1r/pp2pppp/2p2n2/8/6b1/2N2N2/PPPPBPPP/R1BQK2R b KQkq -,g4f3 e2f3 e7e5 e1h1 f8d6 d2d4 e8h8 d4d5 c6d5 f3d5,55
rn1qkb1r/pp3ppp/2p1pn2/8/6b1/2N2N2/PPPPBPPP/R1BQ1RK1 b kq -,b8d7 h2h3 g4f3 e2f3 d7e5 f1e1 e5f3 d1f3 f8e7 d2d3,17
rnbqk2r/ppp1ppbp/3p1np1/8/2PP3P/2N1P3/PP3PP1/R1BQKBNR b KQkq -,b8a6 e3e4 e7e5 d4e5 d6e5 d1d8 e8d8 c1e3 d8e8 f2f3,34
r1b1kb1r/ppp1qppp/2p5/8/3Pn3/4B3/PPP1QPPP/RN2KB1R b KQkq -,c8e6 c2c3 e4d6 b1d2 e8a8 e1a1 c8b8 d1e1 e7d7 d2b3,-71
rnb1k2r/ppp2ppp/5q2/2b1p3/8/2N5/PPPPQPPP/R1B1KB1R b KQkq -,c5d4 c3b5 d4b6 d2d4 e8h8 d4e5 f6g6 c1e3 f8d8 a1d1,-87
8/3R4/2k5/8/4K3/8/8/8 b - -,c6d7 e4d5 d7e7 d5e5 e7f7 e5f5 f7g7 f5g5 g7h7 g5h5,Mate
