8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
rnbqkb1r/ppp2pp1/3p1n1p/4p3/4P3/3P2Q1/PPP2PPP/RNB1KBNR b KQkq -,b8c6 g1f3 f6h5 g3h4 d8h4 f3h4 f8e7 h4f3 f7f5 f1e2,-95
rnbqkbnr/pp3ppp/8/2pP4/4p3/8/PPPPNPPP/RNBQKB1R b KQkq -,b8d7 d2d3 g8f6 e2c3 e4e3 f2e3 f8d6 f1e2 e8h8 b1d2,168
rnbq1rk1/p1p1ppbp/1p3np1/3p4/3P1B2/2NBPN2/PPP2PPP/R2Q1RK1 b - -,c7c5 d3e2 c8b7 f1e1 a7a6 a2a3 b8c6 f3e5 e7e6 e5c6,-52
rnbq1rk1/pppp1pbp/4pnp1/8/2PPP3/2N1BN2/PP3PPP/R2QKB1R b KQ -,b8a6 f1e2 c7c5 e1h1 c5d4 e3d4 d7d6 e4e5 d6e5 f3e5,144
rn1qkbnr/ppp2ppp/3p4/8/4Ppb1/5N2/PPPPB1PP/RNBQ1RK1 b kq -,g7g5 c2c3 b8d7 a2a4 f8g7 a4a5 h7h6 d2d4 g8e7 h2h3,-96
r1bqkb1r/ppp2ppp/2n5/4p3/4R3/5N2/PPPP1PPP/RNBQ2K1 b kq -,c8f5 e4e1 d8d6 d2d3 e8a8 b1d2 f7f6 a2a3 d6d5 b2b4,-170
rnbqkbnr/p3pppp/2p5/1p6/3P4/2NB4/PPP2PPP/R1BQK1NR b KQkq -,e7e6 g1f3 g8f6 e1h1 b8d7 f1e1 c8b7 f3e5 b5b4 c3a4,156
8/8/8/8/5p2/5k2/3K4/8 b - -,e7e6 g1f3 g8f6 e1h1 b8d7 f1e1 c8b7 f3e5 b5b4 c3a4,Mate
r1bqkbnr/pp3ppp/2npp3/2p5/P1B1PP2/5N2/1PPP2PP/RNBQK2R b KQkq -,d6d5 c4b5 d5e4 f3e5 c8d7 e5c6 d7c6 b5c6 b7c6 d1e2,-77
r1bqkbnr/pp1p1ppp/2n1p3/2p4Q/4P3/3P2P1/PPP2P1P/RNB1KBNR b KQkq -,g7g6 h5e2 f8g7 f1g2 g8e7 c2c3 b7b5 a2a3 a7a5 h2h4,-56
rnbqk2r/pppp1ppp/5n2/4N3/2B5/2P2Q2/P1PP1PPP/R1B1K2R b KQkq -,b8c6 c4f7 e8f8 e5c6 b7c6 f7b3 d8e8 e1d1 d7d5 h2h3,209
8/4k3/8/8/8/7B/5K2/6N1 b - -,e7f6 g1f3 f6e7 f2e2 e7d6 h3f5 d6c6 e2e3 c6c7 f5d3,15265
rnb1kb1r/pppp2pp/5nq1/8/2N1P3/2N5/PPP2PPP/R1BQKB1R b KQkq -,f6e4 f1d3 f8b4 c4e3 d7d5 e1h1 b4c3 e3d5 c3e5 d3e4,586
rn1qkbnr/pp2ppp1/7p/3p4/3P1P2/3Q1N2/PPP3PP/RNB1K2R b KQkq -,b8c6 f4f5 g8f6 e1h1 h8g8 c1e3 g7g6 f5g6 g8g6 f3e5,145
rnbqkb1r/ppppn1pp/5p2/4p3/2B1PP2/5N2/PPPP2PP/RNBQK2R b KQkq -,b8c6 f4e5 f6e5 e1h1 d7d5 e4d5 e7d5 f3e5 f8c5 g1h1,275
r1bqk1nr/2pp1ppp/p1p5/2b5/3PP3/5N2/PP3PPP/RNBQK2R b KQkq -,c5f8 e1h1 g8e7 f1e1 e7g6 c1g5 f8e7 g5e7 d8e7 b1d2,132
rnbqkbnr/pppp1pp1/4p2p/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq -,c7c6 f1g2 d7d5 g1f3 g8f6 e1h1 f8e7 b2b3 e8h8 c1b2,68
8/8/6B1/8/3N4/1k6/3K4/8 b - -,b3c4 d4f5 c4d5 d2e3 d5e5 g6h7 e5d5 e3f4 d5e6 f4e4,7157
8/8/4k3/5B2/4K3/5N2/8/8 b - -,e6f6 f5c8 f6f7 e4e5 f7g7 c8f5 g7f7 f5c2 f7e7 c2b3,20000
3k4/3P4/8/4K3/8/8/8/8 b - -,,0
r1bqk1nr/ppp2ppp/2n5/4p3/1b1pP3/2PP1N2/PP2NPPP/R1BQKB1R b KQkq -,b4a5 b2b4 a5b6 b4b5 c6a5 f3e5 d4c3 e5f3 g8e7 d3d4,141
rn1qk2r/1p2bppp/p2pb3/3Np3/4P3/5N2/PPP1BPPP/R2Q1RK1 b kq -,e6d5 d1d5 d8c7 f1d1 b8d7 f3d2 e8h8 a2a4 d7f6 d5d3,73
r1b1kb1r/ppqp1ppp/2n1pn2/2p5/2B1P3/3PBN2/PPP2PPP/RN1Q1RK1 b kq -,d7d5 e4d5 e6d5 c4b5 f8e7 b5c6 c7c6 d3d4 b7b6 e3f4,-54
rnb1kb1r/ppqp1ppp/4pn2/2p5/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,a7a6 f1e1 b7b5 c4b3 d7d6 a2a4 b5b4 c1f4 f8e7 c2c3,53
rn1qkbnr/pp2pppp/2p5/3pP2b/3P4/5N1P/PPP1BPP1/RNBQK2R b KQkq -,d8d7 b1d2 e7e6 e1h1 a7a5 a2a4 g8e7 d2b3 d7c7 c1d2,139
r1bqk1nr/ppp1bppp/8/3P4/2Bp4/3P4/PPP1QPPP/RNB1K2R b KQkq -,d8d6 e1h1 c8d7 b1d2 e8a8 e2e4 e7f6 e4f3 f6e5 d2e4,257
r1bqkb1r/pp1n1ppp/2p1pn2/8/2BPN3/5P2/PPP1N1PP/R1BQK2R b KQkq -,b7b5 c4d3 f8e7 e1h1 e8h8 a2a4 b5b4 d1e1 f6d5 e1g3,56
r1bqkbnr/pp2pppp/2n5/8/2BP4/8/PP3PPP/RNBQK1NR b KQkq -,d8d4 b1d2 g8f6 g1f3 d4b6 e1h1 c8f5 d1a4 b6b4 a4b4,-94
r2qkb1r/1p1bpppp/p1np1n2/2p5/4P3/2N2N1P/PPPPBPP1/R1BQ1RK1 b kq -,,0
r1bqkb1r/pp2pppp/2n2n2/1Bpp4/3P4/2N1PP2/PPP3PP/R1BQK1NR b KQkq -,c8d7 f3f4 a7a6 b5e2 e7e6 g1f3 f8d6 e1h1 c5d4 e3d4,-131
rnb1kbnr/pp3ppp/2pp1q2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,f6e6 c1f4 d6e5 f3e5 g8h6 e5c4 b8d7 d1d2 f7f6 f4h6,519
r1bqk2r/pp1pNppp/2n2n2/2p3B1/2P5/8/PP2PPPP/R2QKBNR b KQkq -,f6g4 e7c8 d8g5 c8d6 e8e7 g1f3 g5f6 d6b5 f6b2 a1b1,560
rnbqkb1r/p4ppp/1p2pn2/1BPp4/3P4/5N2/PP3PPP/RNBQK2R b KQkq -,d8d7 b5d7 c8d7 b2b4 f8e7 e1h1 e8h8 f1e1 a7a5 c5b6,823
rnbqk2r/ppp2ppp/3b1n2/3pp3/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq -,f6d7 d4e5 d7e5 d1d5 c7c6 d5d2 e8h8 f1d1 e5f3 e2f3,195
rn1qkb1r/pp2pppp/5n2/2pp4/3P1Bb1/3BPN2/PPP2PPP/RN1QK2R b KQkq -,b8c6 c2c3 d8b6 b2b3 f6h5 f4e5 c5d4 e5d4 c6d4 c3d4,-31
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/2P2N2/PP3PPP/RNBQK2R b KQkq -,h7h6 e1h1 g8f6 b2b4 a7a6 a2a4 d7d6 d1b3 d8e7 f1e1,-144
rnbqkbnr/ppp1pppp/3p4/8/5PP1/8/PPPPP2P/RNBQKBNR b KQkq -,c8g4 f1g2 b8c6 g1h3 d6d5 h3f2 g4h5 c2c4 e7e6 e1h1,-269
r1bqkbnr/1p1ppppp/p1n5/2p5/4PP2/5N2/PPPPB1PP/RNBQK2R b KQkq -,b7b6 d2d4 c5d4 f3d4 c8b7 d4b3 e7e6 e1h1 c6a5 b1c3,33
rnbqkb1r/ppppnppp/8/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,e7c6 d4e5 d7d6 e5d6 f8d6 f2f4 b8d7 g1f3 e8h8 c1e3,224
rnb1k1nr/ppp2ppp/3p1q2/2b1p3/4P3/2N2NP1/PPPP1PBP/R1BQK2R b KQkq -,c7c6 c3a4 c5b4 c2c3 b4a5 e1h1 c8g4 b2b4 a5c7 d2d4,115
rnb1k1nr/ppp2ppp/3p1q2/2b1p3/4P3/2NP1NP1/PPP2P1P/R1BQKB1R b KQkq -,g8e7 c1g5 f6e6 d3d4 c5b4 g5d2 e8h8 h2h4 b4c3 d2c3,62
8/5k2/2R1b2p/5pp1/6n1/5BK1/4R1PP/8 b - -,c8g4 f1g2 c7c6 c1d2 b8d7 e1h1 f6e7 h2h3 g4f3 d1f3,Mate
rnb1kbnr/ppp2ppp/3p1q2/4p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,c7c6 d2d4 b8d7 c1e3 f6d8 f1e2 g8f6 e1h1 f8e7 h2h3,166
rn1qkbnr/ppp2ppp/3p4/8/3pP3/1Q5P/PPP2PP1/RNB1KB1R b KQkq -,f8e7 f1c4 b8d7 c4f7 e8f8 b1d2 g8f6 f7c4 c7c6 e1h1,217
r1bqkbnr/pppp1p1p/2n5/1B2N3/3PP1p1/8/PPP2PPP/RNBQK2R b KQkq -,f8g7 d1g4 d8f6 c1g5 f6e6 g4e6 f7e6 b5c6 b7c6 b1c3,411
8/6k1/8/6K1/8/5P2/8/8 b - -,f8g7 d1g4 d8f6 c1g5 f6e6 g4e6 f7e6 b5c6 b7c6 b1c3,Mate
rnbqk1nr/pppp1ppp/8/2b1p3/2P2P2/2N5/PP1PP1PP/R1BQKBNR b KQkq -,c5g1 h1g1 b8c6 g2g3 g8e7 f4e5 c6e5 b2b3 d7d5 d2d4,45
rnbqk1nr/pp3ppp/4p3/3p4/1bPN4/2N1P3/PP3PPP/R1BQKB1R b KQkq -,b4c3 b2c3 g8e7 c4d5 e6d5 f1d3 b8c6 e1h1 e8h8 c1a3,148
r1bqkbnr/1ppp1pp1/p1n4p/8/2BPP3/5N2/PP3PPP/RNBQK2R b KQkq -,d7d6 d1b3 d8d7 c1d2 g8f6 e1h1 b7b5 c4d3 f8e7 a2a4,157
rnbqkb1r/pp3ppp/4pn2/3p4/3P4/2P2P2/PP1N2PP/R1BQKBNR b KQkq -,f8d6 d2b3 d8c7 f1d3 e8h8 g1e2 a7a5 a2a4 b8d7 f3f4,-95
r2qkb1r/ppp2ppp/2npbn2/8/3NP3/P1N4P/1PP2PP1/R1BQKB1R b KQkq -,e6d7 c1e3 g7g6 d1d2 f8g7 e1a1 e8h8 f2f3 a8b8 d4b3,124
rnbqkb1r/pp2pp1p/2p2np1/3P4/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,c8g4 d5c6 b8c6 d4d5 g4f3 d1f3 c6d4 f3d1 d4f5 f1d3,201
rn1qkb1r/pp2pppp/2p5/3nP3/3P2b1/5N1P/PPP3P1/RNBQKB1R b KQkq -,g4e6 c2c4 d5c7 f1d3 g7g6 b1c3 f8g7 e1h1 e8h8 d1e2,258
r1bqkbnr/pp2pp1p/2np2p1/2p5/4PP2/2P2N1P/PP1P2P1/RNBQKB1R b KQkq -,g8f6 d2d3 f6h5 h1g1 e7e5 f4e5 d6e5 c1e3 c8e6 d1d2,-97
r1bqkbnr/pp2pppp/2n5/2pP4/8/3P1N2/PP2PPPP/RNBQKB1R b KQkq -,d8d5 e2e4 d5d7 c1f4 f7f6 f1e2 e7e5 f4g3 g8e7 h2h3,-9
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP1P2/2NBPN2/PP4PP/R1BQK2R b KQ -,d5c4 d3c4 b7b5 c4d3 c8b7 e1h1 b8d7 b2b3 a7a6 e3e4,-71
rnbqk1nr/pp3ppp/4p3/2bpP3/8/P2B4/1PP2PPP/RNBQK1NR b KQkq -,d8b6 d1e2 f7f6 g1f3 f6e5 b2b4 c5d6 c1b2 g8f6 f3e5,70
rn1qkb1r/pp2pppp/2p1bn2/4N3/P1pPP3/2N5/1P3PPP/R1BQKB1R b KQkq -,d8b6 f1c4 e6c4 e5c4 b6a6 d1b3 b8d7 e1h1 d7b6 c4e3,219
8/6k1/4N3/4K3/4B3/8/8/8 b - -,g7g8 e6c5 g8g7 e4c6 g7f7 c5a6 f7g6 c6e4 g6f7 e5f5,15265
rnbqkbnr/1ppppppp/p7/8/8/2N1P3/PPPP1PPP/R1BQKBNR b KQkq -,d7d5 d2d4 g8f6 g1f3 e7e6 f1d3 c7c5 d4c5 b8d7 a2a3,-27
r1bqkb1r/ppppn1pp/2n5/1B2p3/4P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,e7g8 b5c6 b7c6 f3e5 g8f6 e1h1 f8b4 d1d4 d8e7 e5d3,314
r1bqkbnr/pp3pp1/2n1p3/2pp3p/3P1B2/2P1PN1P/PP3PP1/RN1QKB1R b KQkq -,f8e7 b1d2 c5d4 c3d4 c8d7 a1c1 g7g5 f4h2 d8b6 f3e5,84
r2qkb1r/pp1npppp/2p2nb1/8/2BP4/5NN1/PPP2PPP/R1BQ1RK1 b kq -,a7a6 f1e1 e7e6 f3g5 f6d5 c4b3 f8e7 c2c4 e7g5 c4d5,44
r1bqkbnr/1p3ppp/2B1p3/p1PpP3/1P6/8/P1P2PPP/RNBQK1NR b KQkq -,d8d7 c6d7 c8d7 c2c3 a5b4 c3b4 b7b6 c5b6 f8b4 b1d2,1169
rnbq1rk1/ppppppbp/6p1/8/3P4/4PNP1/PPP1BPP1/RN1QK2R b KQ -,d7d5 b1c3 c7c6 d1d2 b8d7 e1a1 b7b5 c1b1 b5b4 c3a4,-63
rnbqk2r/pp2ppbp/3p1np1/2pP2B1/4P3/2NB4/PPP2PPP/R2QK1NR b KQkq -,c8d7 a2a4 b8a6 g1f3 h7h6 g5f4 f6h5 f4e3 a6b4 d3c4,61
8/5k2/4Q3/4K3/8/7b/8/8 b - -,h3e6 e5d4 f7f6 d4c5 f6e7 c5b5 e7d6 b5b4 d6d5 b4b5,Mate
rnbqkbnr/ppp1p1pp/3p4/5pN1/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -,g8h6 d2d4 e7e5 d4e5 d6e5 d1d8 e8d8 b1c3 f8e7 e4f5,173
2Q5/8/8/8/2k1K3/8/8/8 b - -,g8h6 d2d4 e7e5 d4e5 d6e5 d1d8 e8d8 b1c3 f8e7 e4f5,Mate
rn1qk2r/ppp1bpp1/3p1n1p/4p3/2B1P1b1/2PPBN2/PP3PPP/RN1Q1RK1 b kq -,g4h5 d1b3 b8d7 b1d2 d7b6 d3d4 f6g4 f1e1 g4e3 e1e3,50
r1bqk2r/pp1p1ppp/2n1pn2/8/1b1PP3/2NQ1N2/PP3PPP/R1B1KB1R b KQkq -,e8h8 f1e2 d7d5 e4e5 f6e4 e1h1 f7f5 e5f6 e4f6 a2a3,80
r1bqkb1r/pp3ppp/2n1pn2/2pp4/5P2/4PN1P/PPPPB1P1/RNBQ1RK1 b kq -,f8d6 b2b3 e8h8 c1b2 d5d4 c2c3 d4e3 d2e3 e6e5 f4e5,-95
r1bqk2r/pp3ppp/2nbpn2/2pp4/5P2/3PPN1P/PPP1B1P1/RNBQ1RK1 b kq -,e6e5 f4e5 c6e5 e3e4 e8h8 e4d5 f6d5 b1c3 d5c3 b2c3,-97
8/8/4n1KP/1k6/8/8/8/8 b - -,,0
rn1qkbnr/pb3ppp/2p1p3/1p2P3/P1pP4/2N2N2/1P3PPP/R1BQKB1R b KQkq -,b5b4 c1g5 d8c7 c3e4 c6c5 e4c5 h7h6 g5h4 f8c5 d4c5,79
rn1qkbnr/1p2pppp/p7/3p3b/3P4/5N1P/PPP1BPP1/RNBQ1RK1 b kq -,e7e6 c2c4 d5c4 b1c3 g8f6 e2c4 d8c7 c4b3 b8c6 g2g4,40
rn2kb1r/ppp1pppp/3q1n2/8/3P2b1/2N2N1P/PPP1BPP1/R1BQK2R b KQkq -,g4c8 f3e5 a7a6 e2f3 e7e6 e1h1 f8e7 c1f4 d6d8 c3e4,184
r1b1k1nr/ppp2ppp/2n2q2/2p1p3/2B1P3/3P1N2/PPP2PPP/R1BQK2R b KQkq -,f6d6 f3g5 c6d8 f2f4 e5f4 h1f1 g8f6 c1f4 d6b6 f4e5,88
rn1qkb1r/ppp2ppp/5n2/3p1b2/3P4/2N1P2P/PP3PP1/R1BQKBNR b KQkq -,f8d6 g2g4 f5g6 f1g2 h7h6 g1e2 e8h8 e1h1 c7c6 f2f4,-48
rnbqkbnr/1pp2pp1/p2pp2p/8/2PPPB2/2N5/PP3PPP/R2QKBNR b KQkq -,g8f6 g1f3 g7g5 f4e3 f8g7 f1e2 b8c6 d4d5 c6e7 h2h4,116
r2qkbnr/p1p2ppp/2pp4/4p2b/4P3/2NP1N1P/PPP2PP1/R1BQK2R b KQkq -,h5f3 d1f3 f8e7 e1h1 g8f6 a1b1 e8h8 c3e2 d6d5 e2g3,67
rnbqk2r/pppp1ppp/5n2/2b1p3/8/2PP2P1/PP2PPBP/RNBQK1NR b KQkq -,d7d5 g1f3 b8d7 e1h1 e8h8 f3e5 c5f2 f1f2 d7e5 h2h3,-47
rn1qkbnr/pppbpppp/3p4/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq -,e7e6 f1g2 g8f6 c2c4 f8e7 b1c3 c7c5 d4c5 d6c5 e2e4,113
r2qkb1r/pp2pppp/2np1n2/8/2B1P1b1/2N1QN2/PPP2PPP/R1B1K2R b KQkq -,a7a6 c4b3 a8c8 c1d2 g4f3 g2f3 g7g6 e1a1 f8g7 f3f4,37
r1bqkb1r/pp1p1p1p/2n1pnp1/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,d7d6 d2d4 c5d4 c3d4 f8g7 b1c3 e8h8 c4b3 b7b6 c1f4,104
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/2NPBP2/PPP3PP/R2QKBNR b KQkq -,d6d5 e4d5 f6d5 c3d5 d8d5 g1e2 e7e5 e2c3 d5d8 g2g3,-103
r2qkbnr/ppp1pppp/2np4/8/4P1b1/5N2/PPPPBPPP/RNBQ1RK1 b kq -,g4f3 e2f3 c6d4 c2c3 d4f3 d1f3 e7e6 d2d4 f8e7 f3g3,103
8/8/4Q3/5k2/3K4/8/8/8 b - -,,0
rnbqkb1r/ppppp1pp/5n2/8/3P1Bp1/7P/PPP1PP2/RN1QKBNR b KQkq -,c7c5 d4d5 d7d6 h3g4 c8g4 b1c3 g7g6 d1d2 f8g7 f2f3,67
rn1qk2r/pppbbppp/3p1n2/8/2BNP3/5Q2/PPP2PPP/RNB2RK1 b kq -,b8c6 d4c6 d7c6 b1c3 e8h8 c1f4 f6d7 c3d5 d7b6 f3d3,5
r1bqk1nr/ppppnppp/3b4/1B2p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq -,f7f6 d4e5 d6e5 f3e5 f6e5 f2f4 c7c6 b5e2 e5f4 c1f4,303
8/6p1/6P1/8/6k1/4K3/8/8 b - -,,0
r1bq2Qk/1p1p4/p1n1p2p/3n2b1/8/1N1B4/PPP3PP/R4R1K b - -,h8g8 a1e1 d8b6 d3e4 d5e3 e4c6 e3f1 e1f1 b7c6 f1f3,-1446
rnbqk2r/pp1pppbp/5np1/2p5/8/1PN1PN2/PBPP1PPP/R2QKB1R b KQkq -,e8h8 f1e2 b8c6 c3a4 b7b6 e1h1 d7d5 d2d4 c5d4 f3d4,-49
8/2k3Q1/8/4K3/8/8/3r4/8 b - -,d2d7 g7f8 d7h7 f8f4 h7h5 e5e6 c7b6 e6d6 h5b5 f4a4,5420
8/2kr4/8/4K3/8/6Q1/8/8 b - -,c7c6 e5e6 d7d8 g3f4 d8e8 e6f7 e8d8 f4c4 c6d6 c4d4,15265
rnbqk1nr/2p2pbp/pp1pp1p1/6B1/P1BPP3/2N2N2/1PP2PPP/R2QK2R b KQkq -,g7f6 h2h4 h7h6 g5f6 g8f6 e4e5 d6e5 f3e5 c8b7 d1e2,162
rn1qk2r/pp2ppbp/3p1np1/2pP4/2P1P1b1/3B1N1P/PP3PP1/RNBQK2R b KQkq -,g4h5 g2g4 f6g4 h3g4 h5g4 d3e2 b8d7 a2a4 g4f3 e2f3,252
r1bqk1nr/pppp2pp/2n5/2P1p3/2B5/2P2Q2/PP3PPP/RNB1K2R b KQkq -,g8h6 f3h5 g7g6 h5h6 d7d5 c5d6 d8d6 c1g5 c8e6 c4e6,969
8/8/8/7p/2K2k1P/8/8/8 b - -,,0
rn1qk2r/ppp2ppp/3bpn2/3p4/2PP1B2/4PNP1/PP2KP1P/1R1Q1B1R b kq -,c7c6 d1b3 d6f4 g3f4 d8e7 f1g2 e8h8 h2h4 f8c8 f3e5,38
rn1qkbnr/ppp1pppp/8/3p4/6b1/3P1N1P/PPP1PPP1/RNBQKB1R b KQkq -,g4d7 e2e4 e7e6 b1c3 f8b4 e4d5 e6d5 a2a3 b4c3 b2c3,110
rn1qkb1r/pp3ppp/4pn2/2pp4/2PP2b1/P1N1PN2/1P3PPP/R1BQKB1R b KQkq -,c5d4 e3d4 b8c6 c1e3 f8e7 h2h3 g4f3 d1f3 d5c4 f1c4,-30
rn1qkb1r/pp3ppp/4pn2/3p4/2PP2b1/P1N2N2/1P3PPP/R1BQKB1R b KQkq -,b8c6 c4d5 f6d5 f1e2 f8e7 d1b3 e8h8 c3d5 e6d5 e1h1,-61
r1bqkbnr/ppp2ppp/2n5/3Pp3/8/2N3P1/PPPP1P1P/R1BQKBNR b KQkq -,c6b8 g1f3 c8g4 f1e2 g4f3 e2f3 f8d6 e1h1 g8f6 c3b5,273
rn1qk2r/ppp1bppp/4pn2/8/2PP2b1/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,b8d7 h2h3 g4h5 d1b3 e8h8 c1f4 d8c8 a1d1 h7h6 g2g4,131
r2qkb1r/1pp1pppp/p1n2n2/3p1b2/3P4/1P1BPN2/PBP2PPP/RN1QK2R b KQkq -,g7g6 c2c4 e7e6 e1h1 f5d3 d1d3 f8g7 b1d2 e8h8 d3c2,62
r2qkb1r/ppp1pppp/2n5/3nP3/2BP2b1/5N1P/PP3PP1/RNBQK2R b KQkq -,g4c8 b1c3 e7e6 e1h1 c6e7 c1g5 h7h6 g5h4 d5c3 b2c3,146
rn1qkbnr/pppbpp1p/6p1/8/2QP4/5N2/PP2PPPP/RNB1KB1R b KQkq -,g8f6 b1c3 a7a6 e2e4 b7b5 c4b3 c7c5 d4c5 b8c6 f1e2,130
rn1qk1nr/p1pp2pp/1p2p3/5P2/1bPP2Q1/2NB4/PP3PbP/R1B1K1NR b KQkq -,c7c5 g4g2 c5d4 a2a3 b8c6 a3b4 c6b4 d3b1 d4c3 b2c3,768
rn1qkbnr/pp4pp/2p1pp2/3pPb2/3P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,d8d7 d3f5 e6f5 d1e2 d7e6 e1h1 b8d7 f1e1 e8a8 a1b1,177
rn1qkb1r/pp1b1ppp/2p1pn2/3p4/B2P4/2N1PN2/PPP2PPP/R1BQK2R b KQkq -,b7b5 a4b3 c6c5 d4c5 f8c5 e1h1 e8h8 a2a3 a7a6 e3e4,-98
rnbqkb1r/pp2pppp/2p2n2/8/2Pp4/5NP1/PP1PPP1P/RNBQKB1R b KQkq -,h7h6 f1g2 c6c5 e1h1 b8c6 e2e3 e7e5 e3d4 c5d4 f1e1,-114
rnbqkbnr/pp1p1ppp/8/2p5/2Pp4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,g8f6 e2e3 d8a5 c1d2 a5b6 b1a3 d4e3 d2e3 f8e7 f1g2,-92
r5k1/ppp2ppp/2nb1q2/6Rn/2BP4/P1N1QP1P/1P3P2/2KR4 b - -,d6f4 g5h5 c6d4 h5c5 f4e3 f2e3 d4e6 c5d5 f6f3 c1b1,-500
r1bqkbnr/ppp3pp/2n2P2/8/2Pp4/5N2/PP1BPPPP/RN1QKB1R b KQkq -,h7h6 f6g7 f8g7 g2g3 c8g4 f1g2 d8d7 e1h1 e8a8 b2b4,147
r1bqkb1r/pppp1npp/5n2/8/4P3/8/PPPP1PPP/RNBQ1RK1 b kq -,d7d5 e4d5 f6d5 d1e2 f8e7 b1c3 d5c3 d2c3 e8h8 c1f4,-789
r1bq1rk1/pp1nppbp/3p1np1/2p5/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,a7a5 e2e3 f6e4 d1c2 f7f5 b1d2 e4d2 c2d2 d7f6 d2c2,106
rnbqkb1r/pp1ppp1p/6p1/2p1P3/2B1n3/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,d7d5 c4b5 c8d7 b5d7 b8d7 d2d3 d8a5 e1f1 d7e5 f3e2,109
rn1qkb1r/pp2ppp1/2p2n2/3p1b1p/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,b8d7 c4d5 c6d5 c1f4 e7e6 d1b3 f8e7 b3b7 e8h8 b1c3,118
rnbqk2r/ppp2pp1/4pn1p/3p4/3P1P2/2NB1N2/PPP2PPP/R2QK2R b KQkq -,b8d7 c3e2 c7c5 c2c3 e8h8 e1h1 f6e4 f1e1 a7a5 e2g3,68
r2qkbnr/pp1b1ppp/2n1p3/1BppP3/3P1P2/2P2N2/PP4PP/RNBQK2R b KQkq -,c6e5 f4e5 d7b5 a2a4 b5c6 e1h1 d8d7 g1h1 a7a6 c1e3,-96
r3kb1r/pppqpppp/2n2n2/3p1b2/3P1P2/3BPN2/PPP3PP/RNBQ1RK1 b kq -,d7c8 d3f5 c8f5 c1d2 f5d7 c2c4 d5c4 d1c2 e7e6 c2c4,76
r1bqkbnr/pp3ppp/8/2P1n3/3PP3/8/PP3PPP/RNBQKB1R b KQkq -,c8g4 f1b5 g4d7 b5d7 e5d7 e1h1 g8e7 b1c3 e7c6 c1e3,298
rnbqk1nr/pp2ppbp/2p3p1/3P4/2B5/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,c8f5 d5c6 b8c6 h2h3 g8f6 e1h1 e8h8 f1e1 a7a6 a2a4,154
r1bqkb1r/pp3ppp/2n1p1n1/2ppP3/3P4/2P2N2/PPB2PPP/RNBQK2R b KQkq -,g6h4 f3h4 d8h4 c1e3 c5d4 c3d4 f7f6 e5f6 f8b4 b1c3,67
rnbqk1nr/p3ppbp/2p3p1/1p1P4/8/1BN2N2/PPPP1PPP/R1BQK2R b KQkq -,c8b7 d5c6 b7c6 d1e2 b5b4 c3e4 g8h6 a2a3 a7a5 a3b4,211
rnbqk2r/pp3pp1/2pbpn2/3p3p/2PP4/2N1PNB1/PP3PPP/R2QKB1R b KQkq -,a7a5 g3h4 b8d7 f1d3 d5c4 d3c4 d6e7 e1h1 e8h8 a2a4,146
rnbqk2r/1pp1bppp/p3pn2/8/P1BP4/2N1P3/1P3PPP/R1BQK1NR b KQkq -,c7c5 g1f3 e8h8 e1h1 b8c6 d4c5 e7c5 d1d8 f8d8 e3e4,-32
rnbqk2r/pp2ppbp/2pp1np1/6B1/2B1P3/2NP1N2/PPP2PPP/R2QK2R b KQkq -,b7b5 c4b3 h7h6 g5e3 b8d7 a2a3 e8h8 h2h3 a7a5 e1h1,-45
r1bqk2r/pppp1pbp/2n2np1/4p3/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 b kq -,a8b8 c3d5 d7d6 d5f6 d8f6 c2c3 e8h8 f1e1 f6e7 b2b4,37
rn2kb1r/ppp2ppp/4pn2/3q4/2PP4/8/PP2NPPP/RNBQ1RK1 b kq -,d5c4 c1f4 f6d5 f4e3 b8c6 b1c3 e8a8 c3d5 c4d5 e2c3,-210
