rnb1kbnr/pp2pppp/1qp5/8/3PP3/8/PPP1N1PP/RNBQKB1R b KQkq -,c8g4 h2h3 g4h5 g2g4 h5g6 b1d2 g8f6 d2c4 b6c7 c1f4,119
r1bq1bnr/pppp1kpp/8/n3N3/3pP3/8/PPP2PPP/RNBQK2R b KQ -,f7f6 d1h5 f8b4 c2c3 d8f8 c3b4 f6e6 b4a5 g8f6 h5f5,836
rnbqkb1r/pp3ppp/4pn2/2N5/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq -,f8e7 c5d3 e8h8 c2c3 b8c6 g2g3 b7b5 f1g2 c8b7 e1h1,149
rnbqk2r/pp3ppp/4pn2/2P5/8/5N2/PPP2PPP/R1BQKB1R b KQkq -,c8d7 b2b4 e8h8 c1b2 d7a4 f1d3 b8c6 a2a3 e6e5 e1h1,196
r1bq1rk1/1ppp1ppp/2n2n2/p1b1p3/P1B1P3/2NP1N2/1PP2PPP/R1BQ1RK1 b - -,g8h8 c1e3 c5e3 f2e3 d7d6 d1e2 c8e6 c4e6 f7e6 h2h3,25
r1bqk2r/pppnbppp/4pn2/6B1/2BP4/4PN2/PP3PPP/RN1QK2R b KQkq -,c7c6 e1h1 h7h6 g5h4 e8h8 b1c3 b7b5 c4d3 c8b7 a1c1,38
rn1qkb1r/ppp1pppp/5n2/3p3b/3P4/4PN1P/PPP1BPP1/RNBQK2R b KQkq -,b8c6 e1h1 e7e6 a2a3 c6b8 b1d2 c7c6 b2b4 f8d6 c2c4,48
rnb1k1nr/pppp1ppp/8/8/1b6/3N4/PPPPBPPP/RNB1K2R b KQkq -,b8a6 d3b4 a6b4 b1a3 d7d6 c2c3 b4c6 e1h1 g8f6 f1e1,73
r1bqkbnr/ppp2ppp/8/3pn3/8/1P2PN2/P1PP2PP/RNBQKB1R b KQkq -,c8g4 f1e2 f8d6 c1b2 e5f3 e2f3 d8h4 e1e2 g4f3 g2f3,-82
rnbqkb1r/ppp2ppp/3ppn2/8/2PP1B2/4P3/PP3PPP/RN1QKBNR b KQkq -,g7g6 g1f3 b8d7 f1e2 b7b6 e1h1 f8g7 b1c3 c8b7 d1c2,55
r1bqkbnr/ppp3pp/3p1p2/8/2BQP3/8/PPP2PPP/RNB2RK1 b kq -,d8e7 b1c3 c7c6 h2h3 c8d7 c1f4 g8h6 a1d1 h6f7 c4f7,324
rn1qkbnr/pp3ppp/2ppb3/4p3/4P3/2NPBN2/PPP2PPP/R2QKB1R b KQkq -,g8f6 d3d4 b8d7 f3g5 e6g4 f2f3 g4h5 d1d2 h7h6 g5h3,77
r1bqk1nr/ppp2ppp/2nb4/3p2B1/3P4/2P2N2/PP3PPP/RN1QKB1R b KQkq -,g8f6 b1d2 e8h8 f1e2 g8h8 e1h1 c6e7 f3e5 f6e8 e5d3,30
r6r/p2Q2pp/k1pN4/8/5B2/8/PPq4p/R6K b - -,a8b8 a1c1 h8d8 d7e7 c2c1 f4c1 h7h6 c1e3 c6c5 e3c5,Mate
rnb2rk1/ppp1pqbp/3p1np1/8/2PPN3/5NP1/PP3PBP/R1BQR1K1 b - -,a7a5 e4f6 e7f6 b2b3 b8c6 c1b2 c8g4 h2h3 f6f5 d1d2,133
r1bqkbnr/pp4pp/2np4/2p1pp2/4P3/2NP1NP1/PPP2PBP/R1BQK2R b KQkq -,g8e7 f3h4 f5f4 g3f4 g7g6 f4e5 d6e5 e1h1 f8g7 f2f4,126
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/P4N2/1PP1PPPP/RNBQKB1R b KQkq -,g7g6 c2c4 f8g7 b2b4 e8h8 c1b2 d7d6 d1b3 c7c5 d4c5,57
2k2q2/n7/B1b5/2N3Q1/8/8/8/6K1 b - -,c8b8 g5g3 b8a8 a6b7 c6b7 c5d7 b7c6 d7f8 a7b5 g3e5,Mate
1k3q2/n7/B1b5/2N5/8/6Q1/8/6K1 b - -,b8a8 a6b7 c6b7 c5d7 b7d5 d7f8 a8b7 g3g7 b7a6 g7d4,Mate
rn1qkb1r/pp2pppp/2p2n2/5b2/2PP4/2N2N2/PP2B1PP/R1BQK2R b KQkq -,e7e6 e1h1 f8d6 d1b3 b7b6 c1g5 e8h8 f3h4 h7h6 g5f6,-94
rnbqkbnr/ppp1pp1p/6p1/3p4/5P2/4P1P1/PPPP3P/RNBQKBNR b KQkq -,g8h6 f1g2 c7c5 g1f3 f8g7 e1h1 b8c6 d2d3 b7b6 a2a4,-57
r7/2K1P1k1/8/8/8/8/8/5R2 b - -,a8a7 c7d6 a7a6 d6d5 a6a5 d5e6 a5a6 e6d5,Mate
r1bqkb1r/p4ppp/2p2n2/n3p1N1/8/3B4/PPPP1PPP/RNBQ1RK1 b kq -,f8d6 b1c3 f6d5 d1h5 g7g6 h5h6 d6f8 h6h4 d5f4 f1e1,161
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/6N1/PPPP1PPP/RNBQK2R b KQkq -,h7h5 d2d3 h5h4 g3f1 h4h3 g2g3 d7d5 e4d5 f6d5 f1e3,-188
3n4/2n5/7p/2p2K1k/Bb6/6P1/8/2n1n3 b - -,f8c5 d2d3 e8h8 b1d2 d7d5 e4d5 f6d5 e1h1 d5f4 d2f3,Mate
rn1qkbnr/pBp2ppp/4b3/4p3/4P3/8/PPPP1PPP/RNBQK1NR b KQkq -,b8d7 b7a8 d8a8 d2d3 h7h6 b1d2 g8e7 g1f3 e7g6 e1h1,438
rnbqkb1r/pp2pppp/2p2n2/3p4/6P1/3P3P/PPP1PPB1/RNBQK1NR b KQkq -,e7e5 e2e4 d5e4 g4g5 f6d7 g2e4 d7c5 e4g2 b8d7 b1c3,-53
rnbqkbnr/ppp3pp/3p1p2/8/2B1P3/5N2/PB3PPP/RN1Q1RK1 b kq -,f8e7 f3d4 g8h6 b1c3 c8g4 f2f3 g4d7 b2c1 c7c6 c1h6,199
8/8/8/8/4KR2/6k1/8/8 b - -,f8e7 f3d4 g8h6 b1c3 c8g4 f2f3 g4d7 b2c1 c7c6 c1h6,Mate
r1bqk1nr/ppppbpp1/2n4p/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,e7f6 c3d5 d7d6 c2c3 f6g5 f3g5 h6g5 d2d4 g5g4 f2f4,144
r2qkb1r/ppp1nppp/3p1n2/3Pp3/4P1b1/2N5/PPPNBPPP/R1BQK2R b KQkq -,d8c8 d2c4 g4e2 d1e2 a7a6 e1h1 e7g6 a2a4 f8e7 a4a5,155
rnbqkb1r/pp2pp1p/3p1np1/2P5/4P3/P1N5/2PP1PPP/R1BQKBNR b KQkq -,d8a5 c5d6 f6e4 c3e4 a5e5 d6e7 e5e4 d1e2 e4e2 g1e2,157
r1bqk2r/ppppbppp/2n5/4p3/2BPR3/5N2/PPP2PPP/RNBQ2K1 b kq -,f7f5 f3e5 d7d5 d1h5 g7g6 e5g6 h7g6 h5h8 e8d7 e4e7,902
r1bqkb1r/pp2nppp/2Pp1n2/1B2p3/4P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,a7a6 c6b7 c8d7 b5d7 f6d7 b7a8q d8a8 e1h1 h7h5 d1d6,979
r1bqkbnr/pp3ppp/2n1p3/1B1p4/3PP3/2N5/PP3PPP/R1BQK1NR b KQkq -,c8d7 e4d5 e6d5 c3d5 a7a6 c1f4 a8c8 b5a4 d7e6 d5c3,62
