2bn2k1/1p4p1/pqrrpbQp/3p1B2/1P1P1P2/P5P1/1B2R1KP/4R3 b - -,f6e7 g6h7 g8f8 h7h8 f8f7 f5g4 e7f6 g4h5 g7g6 h8h7,Mate
6k1/pp2rp1p/6p1/2pB4/1PPn1P2/P6P/6P1/5R1K b - -,e7c7 f1d1 d4c2 b4c5 c7c5 d5b7 c5c4 f4f5 g6f5 d1d7,-15
8/2R1Q1pk/p3p2p/8/3pq3/3n3P/P1RK1P2/1r6 b - -,e7c7 f1d1 d4c2 b4c5 c7c5 d5b7 c5c4 f4f5 g6f5 d1d7,Mate
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2BP4/P1N2N2/1PP2PPP/R1BQ1RK1 b kq -,c6d4 f3e5 d4e6 b2b4 c5b6 c1b2 c7c6 c4e6 d7e6 d1e2,-61
rn2kb1r/p4ppp/1pb1p3/8/3Np3/2P1B3/PP2BPPP/3R1RK1 b kq -,e8e7 e3f4 c6b7 d4b5 b8d7 f4d6 e7f6 f2f3 e4e3 d6f4,92
8/8/8/2p5/2k1K3/1r6/8/2R5 b - -,c4b4 e4d5 b3d3 d5e4 c5c4 c1b1 b4c3 b1c1 c3b3 c1h1,-505
8/1pn5/3P2p1/2p3k1/2P2r2/P1K1R2P/1P6/8 b - -,f4f6 e3e5 g5f4 d6c7 f6c6 e5e7 f4f5 b2b4 c5b4 a3b4,609
8/8/1k1K4/8/8/8/1rp5/2R5 b - -,,0
8/8/8/2p5/2k1K3/2r5/8/R7 b - -,c3h3 a1a8 h3h4 e4f3 c4c3 f3e2 h4d4 e2e3 d4d3 e3f2,-505
3b4/5pkp/5npB/pp1pN3/3P4/PP5P/5PP1/6K1 b - -,g7h8 e5f7 h8g8 f7d8 a5a4 b3a4 b5a4 d8b7 f6d7 b7c5,555
r3rk2/pp3p2/2p1p1p1/3pP1Q1/5q1P/2N5/PPP2P2/1K4RR b - -,f4g5 h4g5 f8g7 h1h6 e8h8 g1h1 h8h6 h1h6 b7b5 b1c1,579
2r2rk1/ppn2qpp/2p1bb2/4Bp2/1P2pN1P/P5PB/1Q1PPP2/2KR2R1 b - -,f6e5 b2e5 e6b3 e2e3 c6c5 c1b2 b3a4 b4c5 f7b3 b2a1,-287
r3kbnr/pp3ppp/2n1p3/qBP1P3/3Q2b1/2N1BN2/PPP2PPP/R3K2R b KQkq -,g4f3 g2f3 a8d8 d4a4 a5a4 b5a4 g8e7 c3e4 e7f5 f3f4,385
3rr1k1/1p1b2pp/p3p3/3p4/3P4/2N5/PP3PPP/4RR1K b - -,d8c8 e1d1 c8c4 d1d2 e8c8 h2h4 b7b5 a2a3 a6a5 c3a2,-30
2r1kb1r/pp3ppp/4b3/1p2P3/5P2/4B3/PPP4P/2KR3R b - -,f8c5 e3c5 c8c5 d1d4 e8e7 c1d2 h8c8 c2c3 c5c4 a2a3,-532
3r4/r2p1kp1/p2R2p1/1p6/5R2/5P2/PP4PP/1K6 b - -,f7e7 d6g6 d8g8 h2h4 a7c7 f4e4 e7f7 g6a6 d7d5 e4f4,340
rn2k2r/p3bppp/1pb1p3/8/3NpB2/2P5/PP2BPPP/3R1RK1 b kq -,c6d7 d4b5 d7b5 e2b5 e8f8 f1e1 a7a6 b5f1 g7g5 f4e5,104
r1b3k1/pp4pp/2pqpn1r/3p1p2/3PnP2/2PBPN2/PPQN2PP/3R1RK1 b - -,f6d7 c3c4 b7b6 d3e2 d6e7 f3e5 d7e5 d4e5 e7h4 d2f3,82
5k2/1p3p2/p7/5N2/2P5/1P3r1P/P2R1P2/6K1 b - -,f3f5 d2d7 f5a5 a2a4 a5g5 g1f1 g5g6 d7b7 g6c6 f1g2,519
3r4/pp2kppp/n2rp3/8/2RN1P2/4P3/PP2K1PP/2R5 b - -,d6b6 b2b3 a6b4 a2a4 b4d5 e2f3 f7f5 a4a5 b6d6 d4b5,45
r3rk2/pp3p2/2p1p1p1/3pP1P1/8/2N5/PPP2P2/1K4RR b - -,f8g7 h1h2 e8h8 g1h1 h8h2 h1h2 b7b5 c3d1 c6c5 d1e3,614
2rrn2k/ppq1b1p1/2b1Q1P1/4N3/5P2/8/PPPB3P/1K1R3R b - -,e7d6 e5f7 c7f7 g6f7 e8f6 d2c3 c6d7 e6d6 c8c3 f7f8r,1113
2n5/5k2/2p1p1p1/p1p1p1p1/P1PPP1P1/1P3P1P/4BK2/8 b - -,,0
8/8/8/2pK4/8/1kr5/8/R7 b - -,,0
r1bqkb1r/2p2ppp/p1p4n/3pB3/8/1P2P2P/P1PP1PP1/RN1QK1NR b KQkq -,d8g5 e5c7 g5g2 d1f3 g2g6 g1e2 g6c2 b1c3 f8a3 e2d4,58
8/8/8/1k1K4/8/8/1rp5/2R5 b - -,,0
1r2r1k1/p2b1pp1/2pq1n2/3p3p/8/1PN1P2P/P2QBPP1/2RR2K1 b - -,e8e5 e2d3 b8e8 c3e2 c6c5 d2a5 d5d4 a5d2 f6e4 d3e4,42
rn1qkb1r/1p3ppp/p3pn2/3p4/3P4/P1N1PP2/1P1B1P1P/R2QKB1R b KQkq -,b8c6 f1d3 f8d6 c3e2 g7g6 e1h1 a8c8 g1h1 e6e5 d4e5,-26
6k1/p3rp1p/6p1/2pB4/2Pn1P2/P6P/6P1/1R5K b - -,h7h5 h1h2 h5h4 b1b8 g8g7 b8c8 d4e2 c8c5 e2f4 c5a5,-9
8/8/p7/8/bP3Kp1/P5R1/2P3k1/8 b - -,g2h1 c2c4 h1h2 c4c5 h2h1 g3g4 a4e8 g4g8 e8f7 g8d8,877
4r1k1/1p3ppp/p3p3/P2p1b2/1P1P4/4P3/4BPPP/2R3K1 b - -,g8f8 g2g4 f5g6 h2h4 h7h6 g1f1 g6h7 f1e1 g7g5 h4h5,127
r1bqk2r/pppp1ppp/5n2/2b1N3/2Bn4/P1N5/1PP2PPP/R1BQ1RK1 b kq -,d4e6 b2b4 c5b6 c1b2 c7c6 c4e6 d7e6 d1e2 d8e7 c3a4,-57
r1b1k2r/1ppqnB2/1b1p1n1p/p3p1p1/PP2P3/1QPP1NB1/3N1PPP/R3K2R b KQkq -,e8f8 d2c4 h8h7 c4b6 c7b6 f7c4 e7g6 b4a5 b6a5 h2h4,239
2r5/p3kp2/1p2pn2/4p3/2P1P2p/1PN1KP2/P7/7R b - -,c8h8 c3b5 a7a6 b5c3 f6d7 b3b4 e7d6 c3a4 d6c6 a4b2,-111
r1bqkb1r/p2n1ppp/2n1p3/2ppP3/3P4/2PB1N2/P4PPP/RNBQ1RK1 b kq -,d8a5 c3c4 c5d4 c4d5 e6d5 b1d2 d7c5 d2b3 a5a4 b3c5,45
8/8/8/2pK4/8/2r5/1k6/4R3 b - -,,0
