r1bqk1nr/ppp2ppp/2n5/2bPp3/2B5/5N2/PPPP1PPP/RNBQ1RK1 b kq -,c6b8 f3e5 c5d6 d2d4 g8e7 c4b3 b8d7 f1e1 e8h8 c2c4,464
r1b1k1nr/ppp2ppp/2np1q2/2b1p3/2P1N3/5NP1/PP1PPPBP/R1BQK2R b KQkq -,f6e6 d2d3 c5b4 c1d2 b4d2 f3d2 f7f5 e4c3 e6d7 a2a3,51
r1bqk1nr/pp3pbp/2np2p1/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,g8e7 c1g5 c8e6 c4e6 f7e6 d1d3 d8b6 e1h1 e8h8 d3d6,299
rnbqkb1r/pp3ppp/4pn2/2pP4/8/2N2N2/PPPPBPPP/R1BQK2R b KQkq -,c8d7 d5e6 d7e6 e1h1 b8c6 f3g5 e6f5 e2c4 f5g6 f1e1,180
r1b1kbnr/3p1ppp/p1n1p3/1p6/3NP3/2N1B1P1/PPP2PP1/R3KB1R b KQkq -,f8d6 d4c6 d7c6 e1a1 d6c7 g3g4 e6e5 f1e2 c8e6 g2g3,117
rnbqk1nr/ppp1bppp/4p3/3p4/3P4/4BN2/PPP1PPPP/RN1QKB1R b KQkq -,g8f6 c2c3 c7c5 g2g3 b8c6 f1g2 c5d4 c3d4 d8b6 d1c2,-83
rn1qkbnr/pp3ppp/4p3/2pp4/3PP1b1/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,c5d4 f3d4 g4e2 d1e2 b8c6 c1e3 g8f6 a1d1 f8e7 e4d5,299
rnbqkbnr/pppp2pp/8/7Q/3pp3/8/PPPN1PPP/RNB1KB1R b KQkq -,e8e7 h5e5 e7f7 f1c4 d7d5 c4d5 d8d5 e5d5 f7e8 d2e4,926
r1bqkb1r/ppp1pppp/5n2/8/Q1nPP3/2N2N2/PP3PPP/R1B1K2R b KQkq -,b7b5 a4b5 f6d7 b5c4 e7e6 e1h1 d7b6 c4b5 d8d7 a2a4,297
rnbqkbnr/pp2pppp/2p5/8/3Np3/2P5/PP1P1PPP/RNBQKB1R b KQkq -,g8f6 d2d3 e7e5 d4b3 c8g4 d1c2 g4f5 d3d4 b8d7 c1e3,-306
r2qkbnr/2pb1ppp/p1np4/1p2p3/4PP2/1BN2N2/PPPP2PP/R1BQK2R b KQkq -,g8f6 e1h1 d7g4 c3e2 c6a5 d2d3 a5b3 a2b3 f8e7 h2h3,84
2r1rbk1/1bqn1ppp/2pp1n2/1p2p3/1P1PP3/2PB1N1P/1BQN1PP1/R3R1K1 b - -,c7b8 c2b3 b8c7 a1c1 b7a6 d4e5 d7e5 f3e5 d6e5 c3c4,68
6k1/5N2/6B1/6K1/8/8/8/8 b - -,c7b8 c2b3 b8c7 a1c1 b7a6 d4e5 d7e5 f3e5 d6e5 c3c4,Mate
rnb1kbnr/ppq2ppp/2pp4/4P3/4PB2/5N2/PPP2PPP/RN1QKB1R b KQkq -,d6e5 f4e5 c7e7 b1c3 c8e6 e5f4 b8d7 f3d4 a8d8 d1e2,241
rnbqk1nr/pppp1pbp/6p1/4p3/4P3/2NP4/PPPB1PPP/R2QKBNR b KQkq -,g8f6 g2g3 e8h8 f1g2 c7c6 g1f3 f8e8 a2a4 a7a5 e1h1,-6
r1b1kbnr/p1ppqppp/8/1p2P3/1n6/2Q2N2/PPP1PPPP/RNB1KB1R b KQkq -,c8b7 c3c7 b7a6 e1d1 b4c6 c7d6 e7d6 e5d6 g8f6 e2e3,248
r3rbk1/1bq2pp1/2p2n1p/4p3/1PB1P3/2B2N1P/2Q2PP1/3RR1K1 b - -,f8d6 c2b3 d6f8 b3b2 f6d7 d1d7 c7d7 f3e5 e8e5 c3e5,167
r3rbk1/2q2pp1/b4n1p/2p1p3/1P2P3/1BB2N1P/1Q3PP1/3RR1K1 b - -,a8a7 f3e5 c5c4 b3a4 e8e6 e5d7 f6d7 a4d7 e6b6 d7f5,244
rnbqkb1r/pppp2pp/2N5/2n2p2/8/3P4/PPP1QPPP/RNB1KB1R b KQkq -,e8f7 c6d8 f7g8 e2e8 h7h6 d8f7 h8h7 f7e5 g7g5 e8c8,1679
r4bk1/2q2pp1/b3rn1p/4N3/BPp1P3/2B4P/1Q3PP1/3RR1K1 b - -,e6b6 e5d7 f6d7 d1d7 c7b8 e1d1 a6b7 a4c2 b8e8 d7d4,187
rn1qkb1r/pbpp2pp/1p2pn2/5pB1/2PP4/4PN2/PP2BPPP/RN1QK2R b KQkq -,a7a5 e1h1 f8e7 b1c3 e8h8 a1c1 g8h8 e2d3 c7c5 g5f4,66
rnbqkb1r/5ppp/p2ppB2/1pp5/2B1P3/2NP1N2/PPP2PPP/R2QK2R b KQkq -,d8b6 c4d5 e6d5 c3d5 b6b7 f6h4 b8c6 a2a4 b5a4 f3d2,213
