r2qk2r/ppp2pp1/4p2b/1P2Nb2/2pP4/P5P1/4P1BP/2BQ1R1K b kq -,h6c1 d1c1 d8d4 e5f3 d4d5 g3g4 f5g6 a3a4 a8d8 c1c3,-406
2r2rk1/pp1nbppp/1q2pn2/3p4/3P1B2/3Q1N1P/PPP1NPP1/1R2R1K1 b - -,c8c6 c2c3 f8c8 d3d1 e7f8 a2a4 f6e4 f4e3 b6a6 f3e5,-21
rnq2rk1/p3bppp/2p1p3/P7/R2PQN2/2P3P1/5P1P/2B2RK1 b - -,c8b7 c1e3 b8d7 a5a6 b7c7 a4a1 d7f6 e4f3 a8b8 f4d3,56
3r2k1/p1q2pbp/1p1prnp1/1Pp1P3/8/3R1N1P/1PP2PP1/2BQR1K1 b - -,f6e8 c1f4 c7d7 c2c4 f7f6 e5d6 g7f8 e1e6 d7e6 d6d7,171
rn2kb1r/p2p1ppp/1p2p3/4P3/2qN4/6P1/PP1B1PKP/2RQ1R2 b kq -,c4c1 d1c1 b8c6 d4c6 a8c8 c6a7 c8c1 f1c1 f7f6 c1c8,559
4Q3/5pkp/5bp1/p2r4/4Rq2/1P5P/6P1/7K b - -,c4c1 d1c1 b8c6 d4c6 a8c8 c6a7 c8c1 f1c1 f7f6 c1c8,Mate
2r1r1k1/4b2p/5pp1/p1Np1b2/3P4/4R1B1/PPP3PP/2K1R3 b - -,g8f7 c2c3 h7h5 c5b7 f5e4 g3d6 e7d8 b2b3 g6g5 c1b2,81
3rn1k1/p1q2pbp/1p1pr1p1/1Pp1P3/5B2/3R1N1P/1PP2PP1/3QR1K1 b - -,c7c8 c2c4 h7h6 e5d6 e6e1 d1e1 g7f8 e1d1 d8d7 f4g3,185
1k1r3r/pq3pb1/4p2p/2pnN1p1/8/N1P2PP1/PP2Q2P/K2RR3 b - -,g7e5 e2e5 b7c7 e5e2 d5b6 a3b5 c7c6 c3c4 b8b7 b2b3,100
8/8/8/k1K5/1p6/p2N4/8/5B2 b - -,,0
r1bqkb1r/pp2ppp1/2np1n1p/3N4/3NP3/4B3/PPP2PPP/R2QKB1R b KQkq -,e7e6 d5f6 d8f6 d1d2 a7a6 e1a1 c6d4 e3d4 e6e5 d4e3,53
rnbqk2r/pp3ppp/4pn2/2bp2B1/4P3/2N3P1/PPP2PBP/R2QK1NR b KQkq -,h7h6 g5f6 d8f6 g1f3 d5e4 c3e4 f6b2 e1h1 b2b6 a1b1,-1
7r/5p2/1R3pk1/3b4/8/5N1P/5KP1/8 b - -,,0
r1bqkb1r/pp1pnp1p/2B3p1/2p5/3pP3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,f7f5 c6a4 f5e4 f3d4 c5d4 d1d4 h8g8 b1d2 e4e3 d4e3,464
8/8/8/k1K5/1p6/8/p7/2N2B2 b - -,,0
rn2kb1r/p2p1ppp/1p2p3/4P3/3N4/5KP1/PP1B1P1P/2R2R2 b kq -,b8c6 d4c6 d7c6 c1c6 f8c5 c6c7 e8h8 b2b4 c5d4 f3e4,46
rnq2rk1/4bppp/p1p1p3/P6N/R2PQ3/2P3P1/5P1P/2B2RK1 b - -,c8c7 c1f4 c7d7 f1b1 d7d5 e4e5 d5e5 f4e5 b8d7 e5g7,82
2r5/8/p3k3/5pp1/3Bp3/1PPn2P1/P2RK2P/8 b - -,f5f4 d2d3 e4d3 e2d3 e6f5 g3f4 g5f4 b3b4 f4f3 a2a4,-43
3rr1k1/p1q3bp/1p1ppnp1/1Pp5/4PB2/3R1N1P/1PP2PP1/3QR1K1 b - -,g7f8 e4e5 d6e5 f4e5 c7e7 c2c4 f8g7 d3d8 e8d8 d1e2,191
r3k2r/p2pbppp/np2p3/1N2P3/8/5KP1/PP1B1P1P/2RR4 b kq -,e8d8 c1c2 h8f8 f3g2 a8c8 c2c8 d8c8 b5a7 c8b7 a7b5,15
2N5/4B3/k1K5/8/8/8/8/8 b - -,a6a5 c8b6 a5a6 e7c5 a6a7 c5b4 a7a6 b4e1 a6a7 e1g3,9605
r3kb1r/1bqn3R/p2p2p1/1p2p1NB/8/8/PPP3PP/R1BQ3K b kq -,c7c6 h5f3 c6f3 g2f3 h8h7 g5h7 f8e7 c1g5 d7f8 g5e7,517
rnbqk2r/ppp1bppp/4pn2/3p4/3P1B2/3Q1N2/PPP1PPPP/RN2KB1R b KQkq -,c7c5 c2c3 c5c4 d3c2 b7b5 g2g3 a7a5 b1d2 f6h5 f4b8,-54
rnbqk2r/ppp1p1bp/5np1/3p2N1/3P4/2PB4/PP3PPP/R1BQK1NR b KQkq -,b8c6 f2f4 e8h8 g1f3 h7h6 g5h3 f6e4 d1e2 d8d6 c1e3,93
2r4b/7k/p3p1pP/2qp1r2/1pP3P1/1P1Q4/P2N4/1K1R3R b - -,f5f8 d2e4 c5e7 c4d5 e6d5 d3d5 h8e5 d5d7 c8e8 e4g5,178
1k1r3r/p1q2pb1/1p2p2p/2PnN1p1/8/2P2PP1/PPN1Q2P/1K1RR3 b - -,c7e5 e2e5 g7e5 c5b6 a7b6 b1c1 e5c7 c2d4 b8b7 d4b5,-368
