r1bqk1nr/pp2ppbp/2p3p1/8/4P3/2NP1N1P/PP3PP1/R1BQK2R b KQkq -,g8f6 e1h1 c6c5 d1e2 c8e6 f1d1 e8h8 d3d4 c5d4 f3d4,114
r2qkbnr/pQp2ppp/2n1b3/8/8/2N5/PP2PPPP/R1B1KBNR b KQkq -,,0
r4rk1/pp1q1ppp/2n1p3/3pP3/3P3P/5N2/PP1Q1PP1/2R1R1K1 b - -,d7d8 e1e3 a8c8 h4h5 h7h6 e3c3 a7a6 g2g3 d8d7 g3g4,32
r1bqkb1r/pp2pppp/2n5/1Bp1N3/8/2P5/PPP2PPP/R1BQK2R b KQkq -,c8e6 d1d8 a8d8 e5c6 b7c6 b5c6 e6d7 c6f3 e7e5 c1d2,292
rn1qkb1r/ppp2ppp/4pn2/3p4/3P2b1/3QPN2/PPP1BPPP/RNB1K2R b KQkq -,c7c6 d3b3 d8c7 c2c4 a7a5 b1c3 b8d7 c1d2 f8d6 c4c5,-19
3b4/pp1b1pk1/2n3p1/4p1P1/4B3/2P2NNq/1P1Q1P2/6K1 b - -,d8b6 f3d4 e5d4 d2f4 d4c3 b2c3 h3g4 f4f6 g7g8 g1f1,-805
8/3r1p2/5k1p/4R3/P4PP1/2K5/8/8 b - -,d7d8 a4a5 d8g8 a5a6 g8a8 e5a5 a8a7 c3c4 f6g7 f4f5,463
r1bqk2r/ppppnpp1/3b1n1p/3Pp3/2B1P3/P1N2N2/1PP2PPP/R1BQK2R b KQkq -,d6c5 f3e5 d7d6 e5f3 e8h8 h2h3 f8e8 e1h1 e7g6 f1e1,120
r2qkb1r/1p1Bpp1p/p4np1/4Q3/8/2N5/PPP2PPP/R3K1NR b KQkq -,e8d7 a1d1 d7c6 d1d8 a8d8 g1f3 c6b6 e5e3 b6c7 e1h1,560
r3kb1r/1pp2ppp/4b3/pB4q1/3B4/P3P3/2Q2PPP/RN3RK1 b kq -,c7c6 b5c6 b7c6 c2c6 e8e7 c6b7 e7e8 b7a8 g5d8 a8d8,Mate
r3kb1r/1pQ2ppp/4b3/pq6/3B4/P3P3/5PPP/RN3RK1 b kq -,a8c8 c7g3 b5c6 b1c3 h7h5 h2h4 h8h6 e3e4 h6g6 g3e3,20
2r1rbk1/1bqn1ppB/pp2p3/4P3/2P5/P1N5/1B2QPPP/3RR1K1 b - -,g8h8 e2h5 d7f6 e5f6 c7f4 f6g7 f8g7 c3e2 f4g4 h5g4,1561
rn1qk2r/pQpbbppp/5n2/8/3P4/8/PPP2PPP/RNB1KBNR b KQkq -,b8c6 c2c3 a8b8 b7a6 e8h8 a6d3 e7d6 f1e2 f8e8 b1d2,-37
2rq1rk1/p4ppp/bp2pn2/b7/Q1pP4/2N2BP1/PP2PP1P/R1BR2K1 b - -,d8e7 c1g5 f8d8 c3e4 h7h6 e4f6 g7f6 g5h6 c4c3 b2c3,125
r3qrk1/1ppb1pbn/3p2p1/2nPp2p/2P1P2P/pPN1BPN1/P2QB1P1/1K1R3R b - -,e8d8 e3f2 h7f6 f2c5 d6c5 g3f1 c7c6 f1e3 d8a5 g2g4,48
1k1r1b1r/1pp1q2p/p2pb3/4pp2/Q4n2/N2P1N1P/PPP2PP1/R1B2RK1 b - -,f8h6 c1f4 h6f4 c2c4 h8g8 g1h1 e5e4 f3h2 d6d5 a1d1,-736
rn1qkbnr/pp3ppp/2p1p3/3p3b/3P4/P3PN1P/1PP1BPP1/RNBQK2R b KQkq -,b8d7 c2c4 g8f6 c1d2 d5c4 e2c4 f8d6 d2c3 e8h8 e1h1,-11
