r2qrb1k/pp1n3p/2p3QB/8/2BP2p1/2P5/PP2NP2/2K4R b - -,f8h6 g6h6 e8e7 e2f4 d7f8 h1h5 e7g7 h5f5 b7b5 c4b3,Mate
7Q/p3kp2/1qp5/1p1b1P2/3P4/2Pr2P1/PP3KP1/4R3 b - -,d5e6 f5e6 f7e6 h8g7 e7d8 e1e6 d3d2 f2g1 d2d1 g1h2,1002
4r1k1/5p1p/6p1/2pP4/1p2PP2/3p3P/1P3NP1/r3RK2 b - -,a1e1 f1e1 c5c4 e1d2 e8a8 f2d1 a8a2 d2e3 g8f8 g2g4,-501
r2q1rk1/pp1b2pp/2nbpp2/3p4/2pPPP2/2P5/PPBN2PP/R1BQ1RK1 b - -,f6f5 e4e5 d6c7 a2a4 d7e8 b2b3 c7a5 b3b4 a5c7 h2h3,59
8/6p1/k4p1p/P3p2P/4P3/1K1p1PP1/8/8 b - -,,0
r1b1kb1r/pp2ppp1/1qn4p/2Pp4/8/1QP2N2/PP1BPPPP/R3KB1R b KQkq -,b6a5 c3c4 d5c4 b3c4 a5c7 e2e3 e7e5 a1c1 f8e7 c4e4,137
5r2/4ppkp/1q1p2p1/1p1P1b2/p7/P4P2/BPRQ2PP/1K5R b - -,f8b8 b1c1 f5c2 c1c2 h7h5 c2b1 b5b4 a3b4 b6b4 d2b4,328
r4rk1/p1p3pp/2p1b3/8/3Bp3/8/PPP2PPP/R3R1K1 b - -,f8f4 d4e5 f4g4 e5c7 g4g5 b2b3 a7a5 a2a4 e6h3 c7g3,233
2r5/pp1b2kp/1q1p2p1/3P2N1/4p2P/P1Nn2K1/1P1Q1r2/R2B3R b - -,f8f4 d4e5 f4g4 e5c7 g4g5 b2b3 a7a5 a2a4 e6h3 c7g3,Mate
1rbr2k1/1pq2pbp/p2ppnp1/2n5/5N2/1PN1P1P1/PBP1QPBP/R2R2K1 b - -,b7b5 f4d3 c8b7 g2b7 c7b7 d3c5 d6c5 d1d8 b8d8 f2f3,-54
8/3R4/p4k2/1p3P1K/6N1/1Pr5/P3pb2/8 b - -,f6f5 d7d5 f5f4 g4e5 c3h3 h5g6 e2e1q g6f6 f4e4 d5d3,-1283
8/6bk/6pp/8/6q1/8/3Q4/3R3K b - -,,0
7Q/p3kp2/1qp1P3/1p6/3P4/2Pr2P1/PP3KP1/4R3 b - -,d3d2 f2g1 f7e6 h8g7 e7d6 g7e5 d6d7 e5e6 d7c7 e6f7,1101
8/8/8/r5p1/p7/K2k4/8/4R3 b - -,g5g4 e1g1 a5g5 a3a4 g4g3 g1g2 d3e4 a4a3 e4e3 a3b3,-650
8/8/8/6k1/7p/5Q2/6K1/8 b - -,g5g4 e1g1 a5g5 a3a4 g4g3 g1g2 d3e4 a4a3 e4e3 a3b3,Mate
8/6p1/5p1p/k3p2P/4P3/5PP1/3K4/8 b - -,,0
8/5kp1/r7/6NP/8/5PK1/8/8 b - -,,0
1r2qrk1/6pp/3p2n1/Rp1Pp1b1/1N2Bp2/2P3P1/1P2QP1P/5RK1 b - -,g5d8 a5a6 d8b6 b4c6 b8b7 e2h5 e8f7 g1h1 f8e8 b2b4,241
8/5R2/p7/1p3k1K/6N1/1Pr5/P3pb2/8 b - -,f5e6 f7f2 e2e1q a2a4 b5a4 f2f6 e6e7 f6f5 e1h1 h5g5,-1261
4r3/pp1R4/2n2kp1/2p2p2/5K1P/8/PPP2PP1/3R4 b - -,e8e2 d1d6 e2e6 d6e6 f6e6 d7d2 e6f7 d2d1 f7f6 d1d6,589
5rk1/1p1b3p/p4qp1/3pp1Q1/P4n2/2P1RP2/1PB2P1P/6RK b - -,f6g5 g1g5 d5d4 e3e5 f4h3 c2b3 g8h8 g5g3 d4d3 e5e7,117
rnb2rk1/1pqn1pbp/p2p2p1/3P4/P3PP2/2NB1N2/1P4PP/R1BQK2R b KQ -,g7c3 b2c3 c7c3 d1d2 c3a1 e1h1 a1g7 c1b2 f7f6 f1c1,-196
