8/6Kp/6p1/5p2/5P1k/8/6P1/8 b - -,d7d5 f1e2 g8e7 e4d5 e6d5 d3d4 e8h8 e1h1 c8f5 f3h4,Mate
1r1r3n/p3npk1/1p5p/2p1N1pP/q3P3/3P4/1BP2PP1/1R1Q1RK1 b - -,f7f5 e5c6 g7f8 c6d8 b8d8 b2h8 f5f4 h8f6 a4d7 f1e1,526
r5k1/ppp2pp1/3p1q1p/8/1n1P2Q1/1Pn2N1P/P4PP1/R3B1K1 b - -,c3e2 g1f1 b4c2 a1d1 d6d5 d1d2 c2e1 d2e2 e1f3 g2f3,-154
5k2/8/3n1PK1/3p1N2/8/8/8/8 b - -,,0
r2q1rk1/pb3ppp/2p1p3/2nnP3/1p6/1B3N2/PPQ2PPP/R1B2RK1 b - -,d8b6 f3g5 g7g6 c2c4 h7h6 g5e4 c5d7 c4d3 b7a6 d3h3,38
r1b2rk1/ppq1bppp/2n1p3/3pP3/1P1B4/P1P2N2/5PPP/RN1Q1RK1 b - -,a7a5 d1d3 c6d4 d3d4 c8d7 b1d2 f8c8 a1c1 a5b4 a3b4,-110
r1r4k/pb2bppB/1p2p3/4P3/3q4/P5B1/5PPP/RQ3RK1 b - -,c8c3 f1d1 d4a4 h7d3 a8d8 d3f1 a4d1 b1d1 d8d1 a1d1,-262
8/4kp2/3p1p2/2q1pP2/4P1PP/2P3N1/5RK1/8 b - -,,0
r2qk1nr/ppp1b1pp/3pBpb1/8/3QP1P1/2N1B2P/PPP2P2/R3K2R b KQkq -,g8h6 e3h6 g7h6 e1a1 c7c6 f2f4 d8a5 a2a3 a5c5 d4d3,292
8/7k/r3b2r/8/1pNb4/1P1P4/2K1R2R/2N5 b - -,e6f7 e2d2 h6h2 d2h2 h7g8 h2h4 d4g7 c4d2 a6c6 c2b1,13
r2qkbnr/pp2pppp/2n5/1B1p1b2/7N/8/PPPP1PPP/RNBQK2R b KQkq -,f5d7 h4f3 a7a6 b5c6 d7c6 d2d4 e7e6 c1f4 g8f6 e1h1,-45
rnbqk1nr/pp1pp1bp/5pp1/2p5/4P1P1/1P3Q2/PBPP1P1P/RN2KBNR b KQkq -,e7e5 f3g2 b8c6 b1c3 d7d6 e1a1 g8e7 h2h4 d8d7 g4g5,63
r1bq1bnr/2pk1Qpp/p1p5/1B2p3/4p3/2N5/PPP2PPP/R1B1K2R b KQ -,g8e7 c1g5 c6b5 a1d1 d7c6 d1d8 a8b8 g5e7 f8e7 d8h8,Mate
r1bqk1nr/pp3B1p/3p2p1/1N2b3/3pP3/8/PPP3PP/R1BQ1RK1 b kq -,e8e7 f7g8 d8g8 c1g5 e7d7 c2c3 h7h6 g5f6 a7a6 f6e5,488
8/1k1r2p1/4bp1p/3p1N1P/3P1KP1/4P3/5P2/2R5 b - -,e6g8 c1c5 g8e6 c5c3 e6g8 c3c1 g8e6 f2f3 b7b6 c1c8,479
r1bqk2r/1ppp1ppp/5n2/p1b1p3/2BnP3/P1NPBN2/1PP2PPP/R2QK2R b KQkq -,d7d6 h2h3 e8h8 e3d4 c5d4 f3d4 e5d4 c3b5 d6d5 e4d5,-7
2rq1rk1/1n3ppp/1p1p4/pB1Pp1bn/1P2P3/P2NBP2/3Q2PP/R4RK1 b - -,f7f6 f1c1 c8c1 a1c1 a5b4 a3b4 d8e7 g2g4 g5e3 d2e3,191
r1bqkb1r/pp3ppp/2n1pn2/3P2B1/2BN4/8/PPP2PPP/RN1QK2R b KQkq -,e6d5 c4b5 c8d7 d1e2 d8e7 g5e3 a7a6 b5a4 c6d4 a4d7,12
r4rk1/pb2qppp/2p1p3/2nnP1N1/1p6/1B6/PPQ2PPP/R1B2RK1 b - -,c5d3 c2d3 f7f5 e5f6 g7f6 g5e4 c6c5 c1h6 g8h8 b3d5,422
7k/2p5/1p1p3r/pPnPpn2/8/5P2/PP1RRQ2/4KB1q b - -,,0
8/8/6p1/5p2/RP1pk3/4b1PK/5r2/3R4 b - -,g6g5 d1h1 e4f3 a4a3 g5g4 h3h4 f5f4 g3f4 g4g3 h1g1,-359
r4r2/1pp2pkp/p2p4/8/1Q1PN3/5P1q/PP2KP1P/R6R b - -,f7f6 a1g1 g7h8 g1g3 h3e6 e2f1 a8e8 b4c3 d6d5 e4c5,435
r4rk1/ppp2pp1/2p4p/3bP1n1/7P/P1PB1P2/1BP3P1/2KR3R b - -,d5f3 d1g1 f3e4 h4g5 e4d3 c2d3 h6g5 c3c4 a8e8 c1d2,364
rnbqkbnr/ppp1pppp/3p4/8/7P/2N5/PPPPPPP1/R1BQKBNR b KQkq -,,0
r1q1r1k1/1Np2p1p/5np1/2b1p3/4P3/1PB2P1P/P1B1RP2/R2Q2K1 b - -,c5e7 b7a5 c8h3 d1f1 h3h4 a5c6 f6h5 c6e7 h4e7 c3d2,216
r2qk2r/ppp1b1pp/3pBpbB/8/3QP1P1/2N4P/PPP2P2/R3K2R b KQkq -,g7h6 e1a1 c7c6 f2f4 d8b6 d4d3 a7a5 a2a3 a5a4 d3f3,275
r1bqk2r/bpp2ppp/p1n5/3np3/2B5/2PP1NN1/PP3PPP/R1BQK2R b KQkq -,,0
1rbq1rk1/1p3pbp/p1nppnp1/8/4P3/1QPB1N2/PP3PPP/RNBR2K1 b - -,d8c7 c3c4 f6d7 d3f1 d7c5 b3c2 e6e5 c1e3 c8g4 f1e2,-40
2kr1b1r/pppq4/2n2p2/3b2Bp/3P4/2P2N2/PP2B1PP/R2Q1RK1 b - -,f6g5 f3g5 f8h6 h2h4 h8g8 d1d2 d7e7 f1f5 d5e6 f5f2,-339
8/2R5/6p1/8/1k5p/7P/2p1K3/r7 b - -,f6g5 f3g5 f8h6 h2h4 h8g8 d1d2 d7e7 f1f5 d5e6 f5f2,Mate
8/8/8/5Rb1/3N2p1/7k/4Pp2/7K b - -,g5h6 f5f2 h6e3 f2h2 h3g3 d4f5 g3f4 f5e3 f4e3 h2g2,901
2rq1rk1/pbpn1pp1/1p2pn1p/8/3PPB2/P1PQ1NP1/5PBP/3RR1K1 b - -,b7e4 e1e4 d7c5 d4c5 d8d3 d1d3 f6e4 c5c6 f8d8 g2f1,129
3r4/1k1nnp1r/Qp2p1pb/3pP2p/3P3B/5b2/5PPP/R4RK1 b - -,b7e4 e1e4 d7c5 d4c5 d8d3 d1d3 f6e4 c5c6 f8d8 g2f1,Mate
r1b2rk1/1pqnbppp/4p2P/p2pP3/1P3n2/P2B1N2/1BP2PP1/RN1QR1K1 b - -,f7f6 b1d2 g7h6 e1e3 a5b4 e5f6 e7f6 a3b4 a8a1 d1a1,44
r5k1/1N3pb1/p1n1b1pp/4p3/4P3/1P1RnN2/PB2B1PP/6K1 b - -,e3c2 b7c5 e6g4 g1f2 c2b4 d3d2 b4a2 c5a6 h6h5 h2h3,29
2kr3r/1bp1q3/1p2pn2/p1P2pp1/P4P2/2PBP1Pp/4QB1P/2R2RK1 b - -,e7c5 e3e4 c5c6 f2d4 f6e4 d3e4 f5e4 e2b5 h8g8 b5c6,-445
r1b2bnr/2pkq1pp/p1p5/1B1Qp3/4p3/2N5/PPP2PPP/R1B1K2R b KQ -,d7e8 b5c6 c8d7 c6d7 e7d7 d5a8 e8f7 a8a6 g8f6 e1h1,646
7r/p1pk4/1p4R1/1P1PpP2/P5r1/7P/6BK/8 b - -,g4a4 d5d6 e5e4 d6c7 d7c7 g6e6 a4b4 g2e4 b4b5 e6c6,-231
rnbq1rk1/pp3pp1/2pb3p/8/2BP4/2P2N1P/P4PP1/R1BQ1RK1 b - -,b8a6 f1e1 a6c7 c4d3 f8e8 f3e5 d8f6 d1h5 c7d5 c1d2,47
7r/5k2/2q2n2/2pNQ3/2PpP3/P2P1P1b/3N1K2/1R6 b - -,h8h4 e5e7 f7g6 b1g1 h3g4 d5f4 g6h6 f3g4 f6g4 f2g3,1040
1r1q1rk1/6b1/npPp1n1p/4pp2/NP6/1Q2BN1P/5PP1/1B1R2K1 b - -,g8h8 f3h4 d6d5 h4g6 h8g8 g6f8 g8f8 b4b5 a6c7 a4b6,393
2n3k1/pp1qb2p/2p2pp1/3n4/2NPQ2P/1P3NP1/P4PK1/2B5 b - -,d5c3 e4c2 c3d5 c2e4 e7f8 f3e1 c8e7 e4f3 e7f5 e1c2,-42
8/1p6/8/p1p2p2/P3k2p/1PP2p2/5K2/5B2 b - -,,0
r2qk2r/ppp1b2p/3pBpbp/8/3QPPP1/2N4P/PPP5/R3K2R b KQkq -,c7c6 e1a1 d8b6 d4d3 a7a5 a2a3 a5a4 d3f3 h8f8 d1d3,276
2rq1rk1/1n3ppp/1p1p4/pB1Pp2n/1P2P3/P2NQP2/6PP/R4RK1 b - -,g7g6 a1c1 d8e7 c1c6 a5b4 a3b4 c8a8 f1c1 f8b8 d3f2,194
3r4/2knBp1r/Qp2p1pb/3pP2p/3P4/5b2/5PPP/R4RK1 b - -,g7g6 a1c1 d8e7 c1c6 a5b4 a3b4 c8a8 f1c1 f8b8 d3f2,Mate
r1bqk2r/1p1nbppp/2p1pn2/p7/P1pPP3/2N2NP1/1P3PBP/R1BQ1RK1 b kq -,h7h6 d1e2 e8h8 f1d1 e7b4 e2c4 b7b6 c3a2 c8a6 c4c2,33
r1bqkb1r/pp1npp1p/5np1/3P4/3Q4/2P5/PP2BPPP/RNB1K1NR b KQkq -,a7a6 g1f3 f8g7 e1h1 e8h8 f1e1 b7b6 c3c4 c8b7 d4h4,56
5rk1/ppp2pp1/4p2p/5n2/P1P3R1/1R5P/3r2P1/7K b - -,b7b6 g4f4 d2d8 b3b1 c7c5 g2g4 f5d4 f4f2 d4c6 h1g2,-660
1r1q1r1k/6b1/npPp1n1p/4Np2/NP6/1Q2B2P/5PP1/1B1R2K1 b - -,d6e5 d1d8 b8d8 e3b6 d8a8 b4b5 e5e4 g1h2 a6b8 c6c7,483
2kr1b1r/pppq4/2n5/3b2Np/3P4/2P5/PP2B1PP/R2Q1RK1 b - -,h8g8 h2h4 f8h6 d1d2 d7e7 f1f5 d5e6 f5f2 h6g5 h4g5,-353
r1bqk1nr/pp3Rbp/6p1/1N2p3/2BpP3/8/PPP3PP/R1BQ2K1 b kq -,g7f6 b5c7 d8c7 f7c7 e8d8 c7f7 b7b5 c4d5 f6e7 d5a8,767
1Q6/5p2/K5p1/3k4/p6p/P7/5PPP/8 b - -,g6g5 b8b5 d5d4 b5a4 d4c3 a4b4 c3c2 a6b6 c2d1 a3a4,839
2r5/pr1Rbp1k/2p1p1p1/2p1P2p/2P2PP1/2B4P/PPK5/3R4 b - -,c8c7 d7d3 c7c8 c3a5 c8b8 b2b3 h7h6 d3d2 h6h7 a5c3,231
6b1/1k1r2p1/5p1p/2Rp1N1P/3P1KP1/4P3/5P2/8 b - -,g8e6 c5b5 b7c7 b5b1 e6g8 b1a1 c7b7 a1c1 g8e6 c1b1,477
r2qkbnr/pp1bpppp/2B5/2p1P3/8/8/PPPP2PP/RNBQK1NR b KQkq -,d7c6 d1e2 g8h6 d2d3 h6f5 g1f3 g7g6 b1d2 f8g7 e1h1,-97
r5k1/1N3pb1/p1nRb1pp/4p3/4P3/1P2nN2/PB2B1PP/6K1 b - -,a8c8 d6d2 c6d4 e2a6 h6h5 b3b4 e3c4 b7d6 c4d2 a6c8,17
r1b2bnr/2pk2pp/p1Bq4/3Qp3/4p3/2N5/PPP2PPP/R1B1K2R b KQ -,d7d8 c1g5 g8f6 c6a8 d6d5 c3d5 f8e7 e1a1 d8e8 d5c7,639
rnbqk1nr/ppp2ppp/8/3p4/1bPP1p2/2N2N2/PP2P1PP/R1BQKB1R b KQkq -,g8f6 c1f4 d5c4 f4g5 e8h8 e2e4 c7c5 g5f6 d8f6 f1c4,-57
5k2/8/5P2/3p1K2/8/8/8/8 b - -,,0
2r5/p2q3k/bn2p3/2p2p2/2P2P2/P4BP1/4Q2P/B2R2K1 b - -,a6c4 d1d7 b6d7 e2c4 c8e8 c4f1 e8b8 f1h3 h7g8 h3h8,1057
7r/p1pk2R1/1p6/1P1PpP2/r7/7P/6BK/8 b - -,d7d6 g7g6 d6c5 g6c6 c5b5 c6c7 a4d4 c7a7 h8f8 a7g7,-334
1r6/2kn1p1r/Qp1Bp1pb/3pP2p/3P4/5b2/5PPP/R4RK1 b - -,d7d6 g7g6 d6c5 g6c6 c5b5 c6c7 a4d4 c7a7 h8f8 a7g7,Mate
8/8/8/6b1/3N4/5Rpk/4Pp2/7K b - -,,0
rnbqkbnr/4pppp/p7/1pp1N3/3pP3/2PP1N2/PP3PPP/R1BQKB1R b KQkq -,f7f6 f3d4 g7g6 d4b3 f6e5 b3c5 f8h6 a2a4 h6c1 a1c1,-86
r2qr1k1/pppn1pp1/2np3p/8/3P4/4B1QP/PP1N1PP1/R3R1K1 b - -,d8f6 d4d5 c6e7 g3g4 d7e5 g4e4 f6g6 e1d1 f7f5 e4d4,-166
r3r1k1/1qp2p2/3b2p1/4p2p/1PQ1Pn2/2B1R2P/P1B2P2/R5K1 b - -,a8a6 b4b5 a6b6 c2a4 f4e6 e3g3 e8f8,-29
8/8/6r1/2N5/5k2/3K4/P7/8 b - -,g6g2 a2a4 f4e5 d3c4 e5d6 c5b7 d6c7 b7c5 c7c6 c5e6,-12
r3rb1k/2q2P2/p1b1p1Q1/2pp4/1p6/3P1N1P/PPPBN3/R6K b - -,c7f7 g6f7 e8e7 f7f6 e7g7 a1g1 d5d4 d2h6 c6f3 f6f3,Mate
rn2kbnr/1b1p1ppp/pq2p3/1p6/3NP3/2NBB3/PPP2PPP/R2Q1RK1 b kq -,b6c7 f2f4 f8e7 a2a3 g7g6 g1h1 g8f6 d1e2 d7d6 f4f5,60
rnbqk2r/2ppbppp/1p2pn2/3P4/8/6P1/PP1BPP1P/RN1QKBNR b KQkq -,c8b7 f1g2 f6d5 g1f3 d5f6 d2f4 d7d5 b1c3 e8h8 e1h1,-202
r3B1k1/p3npb1/1p1P2pp/8/4P1b1/5N2/q4PPP/1R1Q1RK1 b - -,a2e6 e8a4 g4f3 d1f3 e6d6 e4e5 d6b8 a4b3 g8h7 f3f7,370
1B1k4/3n1p1r/Qp2p1pb/3pP2p/3P4/5b2/5PPP/R4RK1 b - -,a2e6 e8a4 g4f3 d1f3 e6d6 e4e5 d6b8 a4b3 g8h7 f3f7,Mate
r4rk1/pb2q2p/2p1pp2/3n4/1p2N3/1P6/1PQ2PPP/R1B2RK1 b - -,e6e5 c1e3 d5e3 f2e3 a7a5 f1d1 g8h8 c2c5 e7c5 e4c5,13
r1bqkb1r/pp2pp1p/1n3np1/3P4/2PQ4/8/PP2BPPP/RNB1K1NR b KQkq -,c8d7 b1c3 e7e6 g1f3 f8g7 e1h1 e8h8 d4h4 e6d5 c4c5,141
4q1b1/PRKp4/k6P/3P4/1P6/8/8/8 b - -,g8d5 a7a8q e8a8 b7b6 a6a7 b4b5 a8d8 c7d8 a7b6 h6h7,1355
r1b2bnr/2p1k1pp/p1BQ4/4p3/4p3/2N5/PPP2PPP/R1B1K2R b KQ -,e7f7 c6d5 f7e8 d6c6 e8e7 c6a8 c7c6 d5b3 e7d8 c1e3,1604
rnbqk1nr/ppp2ppp/8/3p4/2PP1p2/2P2N2/P3P1PP/R1BQKB1R b KQkq -,d8e7 c4d5 g8f6 d1b3 c7c6 c1f4 c6d5 e2e3 b8c6 f1d3,34
6r1/1r6/1p6/2p5/3p3K/kP2p3/4N3/Q7 b - -,,0
r3r1k1/pppn1pp1/2np1q1p/8/3P4/4BNQP/PP3PP1/R3R1K1 b - -,d7b6 a1d1 b6d5 g3g4 f6g6 g4g6 f7g6 a2a3 g6g5 g1f1,-206
rnbqkb1r/1p3ppp/p1p1pn2/4N3/2QP4/2N5/PP2PPPP/R1B1KB1R b KQkq -,b7b5 c4d3 c8b7 e2e4 b8d7 e5d7 d8d7 e4e5 f6d5 a2a3,-25
rnb1k2r/pp3ppp/1q1Bpn2/3p4/3P4/PP3N2/2P2PPP/RN1QKB1R b KQkq -,b6d6 f1d3 b7b6 d1e2 e8h8 e1h1 c8b7 f1e1 d6f4 g2g3,-4
3Rr1k1/1p3ppp/p5b1/2n1n3/2B4B/2P1NP2/P4KPP/8 b - -,e8d8 h4d8 e5c4 e3c4 c5a4 c4d6 a4c3 d8a5 c3a2 d6b7,-6
8/8/6p1/8/1k5p/7P/4K3/r1R5 b - -,c5d3 f2e2 d3f4 e2f2 g8f8 c4b3 e8d8 h4d8 e5d3 f2f1,Mate
r1bqkb1r/pp1n1p1p/2p2np1/2Ppp3/1P1P4/P7/1B2PPPP/RN1QKBNR b KQkq -,e5d4 g1f3 b7b6 c5b6 a7b6 f3d4 d7e5 e2e3 f8g7 f1e2,-72
8/8/1p6/pBp2p2/P3k2p/1PP2p2/5K2/8 b - -,,0
B1b2bnr/2p3pp/p2k4/4p3/4p3/2N5/PPP2PPP/R1B1K2R b KQ -,c8e6 a8e4 d6d7 e4d3 g8f6 d3a6 f8c5 a6e2 d7c8 e1h1,638
rnb1k2r/pp3ppp/3qpn2/3p4/3P4/PP1B1N2/2P2PPP/RN1QK2R b KQkq -,e8h8 e1h1 b7b6 d1e2 b8c6 f1e1 d6f4 g2g3 f4c7 b1d2,-6
r1b2rk1/ppqN1ppp/3bp3/3p4/3PnB2/2PB1N2/PP3PPP/R2QK2R b KQ -,d6f4 d7f8 g8f8 g2g3 f4d6 e1h1 e4f6 f1e1 g7g6 a1c1,235
1rb2rk1/1pq2pbp/p1nppnp1/8/4P3/1QPBBN2/PP3PPP/RN1R2K1 b - -,b7b5 b1d2 d6d5 h2h3 d5e4 d2e4 f6d5 e3c5 f8d8 a2a4,-46
r1bqkb1r/pp3p1p/1n2pnp1/3P4/2PQ4/2N5/PP2BPPP/R1B1K1NR b KQkq -,f8e7 c1h6 e6d5 e1a1 e7f8 h6f8 e8f8 c4c5 b6d7 c3d5,225
2r3k1/1N3pb1/p1n1b1pp/4p3/4P3/1P1RnN2/PB2B1PP/6K1 b - -,e3c2 d3c3 c2b4 a2a3 b4a2 c3c5 g7f8 e2a6 c6b8 c5c8,7
3B2k1/1p3ppp/p5b1/2n1n3/2B5/2P1NP2/P4KPP/8 b - -,e5c4 e3c4 c5a4 d8a5 g6d3 c4b6 a4b6 a5b6 f7f6 b6c5,-2
8/8/1pB5/p1p2p2/P3k3/1PP2p1p/5K2/8 b - -,,0
1r4k1/r1q2p2/3pb2p/p3p1p1/1PPpP3/P2B1P2/3Q2PP/RR4K1 b - -,g8g7 a1a2 c7b6 a2b2 a5b4 a3b4 b8c8 b1c1 a7a3 h2h3,-41
3qrk2/1p3p1Q/p1r1p1n1/3pn1b1/8/P6R/1P2NPPP/1B3R1K b - -,f8e7 h7h5 e7d7 f2f4 g6f4 e2f4 g5f4 h5e2 d8b6 h3h5,-461
rnbqk2r/p1ppbppp/1P2pn2/8/3P4/6P1/PP1BPP1P/RN1QKBNR b KQkq -,a7b6 g1f3 c7c5 f1g2 e8h8 e1h1 d7d5 d2f4 b8c6 b1c3,-85
QB1k4/3n1p1r/1p2p1pb/3pP2p/3P4/8/4bPPP/R4RK1 b - -,a7b6 g1f3 c7c5 f1g2 e8h8 e1h1 d7d5 d2f4 b8c6 b1c3,Mate
r1bqnrk1/1p1n2b1/p2p2p1/P2Pp2p/4Pp1P/2N2N2/1P1BBPP1/R2Q1RK1 b - -,g7h6 c3a4 a8b8 a1a3 d7f6 d1c2 c8g4 a4b6 f6d7 b6d7,46
r3r1k1/1pqn1p1p/pnp1b1p1/3p2P1/3P4/2NBP3/PP1N1PP1/2RQ1RK1 b - -,c7d8 f2f4 d8e7 f1e1 f7f6 d2f3 e6g4 g5f6 d7f6 d1c2,25
r3r1k1/p2b1npp/P1p5/1p1p1p2/3P4/2PBPP1P/3K2PB/1R3R2 b - -,a8c8 h2f4 h7h6 f1g1 g7g5 f4h2 e8e7 g2g4 f5g4 h3g4,168
r1b2rk1/1pp2pp1/3p1q1p/p1bPp3/1PP1Pn2/P1NB1N2/5PPP/R2QR1K1 b - -,a5b4 a3b4 a8a1 d1a1 c5b4 d3f1 c8g4 e1e3 b4c5 f3e1,-647
B1b2bnr/6pp/p1pk4/4p3/4N3/8/PPP2PPP/R1B1K2R b KQ -,d6e7 a8c6 g8f6 e1h1 f6e4 c6e4 e7f7 c1e3 f8e7 f1d1,686
rnb2rk1/pp3ppp/3qpn2/3p4/3P4/PP1B1N2/2P2PPP/RN1Q1RK1 b - -,,0
r2q1rk1/pp1n1pp1/2pb3p/5b2/P1BP4/2P2N1P/5PP1/R1BQR1K1 b - -,f8e8 e1e8 d8e8 d1b3 b7b6 c1a3 d6a3 b3a3 e8f8 a3c1,18
8/8/8/5pp1/RP1pk1P1/4b2K/5r2/3R4 b - -,e4f4 d1g1 f2f3 h3h2 e3g1 h2g1 f4g4 a4a2 f3b3 a2g2,-679
8/1k1r2p1/4bp1p/2Rp1N1P/3P1KP1/4PP2/8/8 b - -,b7b6 c5c8 b6b5 e3e4 b5b4 c8c6 e6g8 e4e5 f6e5 f4e5,448
2r3k1/1N3pb1/p1n1b1pp/4p3/4P1n1/1PR2N2/PB2B1PP/6K1 b - -,g7f8 e2c4 c8e8 c4e6 e8e6 h2h3 g4f6 c3c4 f6d7 f3e1,25
r4rk1/2q3p1/p2p4/1p1Pbp2/7Q/5BpP/PPP3P1/1K1RR3 b - -,f8c8 e1e2 e5b2 f3h5 b2f6 h4g3 c7c4 d1d3 c4b4 d3b3,-164
8/8/8/6k1/1NK5/r7/P7/8 b - -,a3a5 c4c3 g5f5 c3d3 f5e6 d3c4 e6d6 c4d4 a5c5 b4d3,-12
r1bqr1k1/p4ppp/2pb1n2/3p4/5B2/2NB1Q1P/PPP2PP1/2R2RK1 b - -,d8c7 f4d6 c7d6 f3g3 d6g3 f2g3 c6c5 b2b3 c8e6 g3g4,-6
2n2bk1/pp1q3p/2p2pp1/3n4/2NPQ2P/1P3NP1/P2B1PK1/8 b - -,c8e7 c4e3 a7a6 f3e1 f8g7 e4d3 d5e3 d2e3 g8f7 g2g1,-32
r3r1k1/ppp2pp1/1nnp1q1p/8/3P4/1P2BNQP/P4PP1/R3R1K1 b - -,e8e4 f3d2 e4e6 g3g4 b6d5 d2f3 f6g6 g4g6 f7g6 g1f1,-258
r4bk1/2qn1pp1/2p3p1/1pP5/1P2Q3/6P1/1B3PBP/5RK1 b - -,a8c8 f1d1 d7f6 e4e5 c7b7 e5f4 c8e8 b2f6 g7f6 f4f6,161
r1bq1r2/pp3pbk/2pp1npp/2nPp3/2P1P1PP/2N1BP2/PP1QB3/R3K1NR b KQ -,c6d5 c4d5 h6h5 b2b4 c5d7 g1h3 h7g8 h3f2 a7a5 b4b5,104
r3kb1r/pp2pppp/2p2n2/8/3P2b1/1PPB4/1P2NPPP/R1B1K2R b KQkq -,h7h5 f2f3 g4e6 b3b4 h5h4 e1f2 g7g6 c1g5 f6d5 b4b5,55
rnb2rk1/p4ppp/1p1qpn2/3p4/3P4/PP1B1N2/2P1QPPP/RN3RK1 b - -,d6f4 f1e1 b8c6 g2g3 f4c7 b1d2 c8b7 e2e3 a8c8 f3e5,-10
B1b2bnr/2k3pp/p1p5/4p3/4N3/8/PPPB1PPP/R3K2R b KQ -,g8f6 d2a5 c7b8 a8c6 c8f5 e1a1 f8e7 e4f6 e7f6 c1b1,641
r1bq1rk1/pp3pbp/1n2Pnp1/8/2PQ4/2N2N2/PP2BPPP/R1B1K2R b KQ -,d8e8 e6f7 f8f7 d4h4 f7e7 e1h1 e7e2 c3e2 e8e2 c1g5,173
5rk1/2p4p/Q2pb1pn/5p2/2P1P3/b1qB1P1P/P3KNP1/1r3R2 b - -,d8e8 e6f7 f8f7 d4h4 f7e7 e1h1 e7e2 c3e2 e8e2 c1g5,Mate
2r5/p2n3k/4p3/2p2p2/2Q2P2/P4BP1/7P/B5K1 b - -,d8e8 e6f7 f8f7 d4h4 f7e7 e1h1 e7e2 c3e2 e8e2 c1g5,Mate
r1b2rk1/1pp2pp1/3p1q1p/2bPp3/1PP1Pn2/2NB1N2/5PPP/R2QR1K1 b - -,c5f2 g1f2 a8a1 d1a1 f4d3 f2g1 d3e1 a1e1 f6e7 e1e3,-679
rnb2rk1/p4ppp/1p2pn2/3p4/3P1q2/PP1B1N2/2P1QPPP/RN2R1K1 b - -,,0
r2qkb1r/p2bpp2/6pp/2Q1p3/8/8/PPP2PPP/RNB1K2R b KQkq -,f8g7 b1c3 f7f5 e1h1 d8c8 c1e3 e8f7 a1d1 d7e6 c5a5,-85
rnbqk2r/p1ppbppp/1pP1pn2/8/3P4/6P1/PP1BPP1P/RN1QKBNR b KQkq -,b8c6 f1g2 c8b7 d2f4 e8h8 b1c3 d7d5 g1f3 c6a5 e1h1,-164
5rk1/p1p2pp1/1p2p2p/1R3n2/P1P3R1/7P/3r2P1/7K b - -,d2d8 c4c5 f5e3 g4f4 g8h8 f4f2 e3d5 h1g1 f8e8 b5b1,-670
r1bqr1k1/ppp2ppp/2p5/4p3/1b2P3/3P1NP1/PPP3PP/R1BQ1RK1 b - -,c8g4 h2h3 g4f3 f1f3 a7a5 a2a4 f7f6 g1h2 b4c5 c1d2,43
8/pn4pk/1p2np2/1Pp1p1pP/P1P1P1P1/3BP1K1/8/3R4 b - -,e6c7 d3e2 c7e8 d1d7 e8d6 g3g2 h7h8 a4a5 b6a5 e2d1,366
2r4k/3R1p1p/P7/1r3p2/7P/3KRP2/5P2/2b5 b - -,c1e3 f2e3 h8g7 e3e4 b5a5 h4h5 f5e4 f3e4 a5a6 h5h6,-555
5n2/pn4pk/1p3p2/1Pp1p1pP/P1P1P1P1/4P1K1/4B3/3R4 b - -,f8e6 d1d7 e6d8 a4a5 b6a5 e2d1 h7h8 d1a4 h8h7 g3f2,468
r1bqkbnr/pp2pppp/1npp4/3P4/2P1P3/1P6/P4PPP/RNBQKBNR b KQkq -,g7g6 b1c3 c6d5 c4d5 f8g7 g1e2 g8f6 e2d4 e8h8 f1e2,41
8/8/1p6/p1p2p2/P7/1PPk1B1p/5K2/8 b - -,,0
r1b2rk1/p4ppp/1pn1pn2/3p4/3P1q2/PP1B1NP1/2P1QP1P/RN2R1K1 b - -,f4c7 b1d2 c8b7 e2e3 a8c8 f3e5 c6e5 d4e5 f6e4 d2e4,-10
r1bq1r2/pp3pbk/3p1npp/2nPp3/4P1PP/2N1BP2/PP1QB3/R3K1NR b KQ -,h6h5 b2b4 c5d7 g1h3 d7b6 h3f2 c8d7 g4g5 f6g8 e1h1,96
1r4k1/r1q2p2/3pb2p/4p1p1/1PPpP3/3B1P2/3Q2PP/RR4K1 b - -,b8a8 d2b2 g8f8 h2h3 f8e7 g1h2 a7a1 b1a1 a8a1 b2a1,-7
B1b2bnr/6pp/pkp5/4p3/4N3/8/PPPB1PPP/2KR3R b - -,g7g6 h1e1 h7h5 e4g5 g8h6 e1e5 h6g4 e5e8 f8g7 d1e1,652
2r4k/3R1p1p/P7/1r3p2/7P/4KP2/5P2/8 b - -,h8g7 e3f4 c8a8 a6a7 h7h6 f4g3 b5a5 f3f4 a5a7 d7d5,-593
5r2/1b4k1/p5p1/1p5p/1P1RP3/P4Bp1/4Q2q/4RK2 b - -,b5b3 e3f4 h8g7 h4h5 b3a3 f4f5 a3a6 d7d4 g7h6 f3f4,Mate
rnbq1rk1/p1p1ppbp/1p4p1/2P5/2BP4/B1P2N2/P4PPP/R2Q1RK1 b - -,c7c6 f1e1 b6b5 c4d3 b8a6 f3e5 g7e5 e1e5 a6c7 a3c1,105
r1b1kbnr/ppq1pppp/1npp4/3P4/2P1P3/1P3N2/P4PPP/RNBQKB1R b KQkq -,g7g6 b1c3 f8g7 c1d2 c8g4 h2h3 g4f3 d1f3 g8f6 f1d3,70
