8/8/4k3/2N5/3K4/2Q5/8/8 b - -,d8a5 h1g1 h7h5 g4g5 g8e7 c1e3 d6d5 d1d2 e7g6 a2a3,Mate
r2qkbnr/pb1p1ppp/1pn1p3/8/4P3/2NBB3/PPP2PPP/R2QK1NR b KQkq -,g8f6 a2a3 f8c5 d1e2 e8h8 g1f3 d7d5 e1a1 c5e3 f2e3,-15
rn1qkb1r/ppp1pppp/5n2/3P3b/8/5N1P/PPPPBPP1/RNBQK2R b KQkq -,c7c6 d5c6 b8c6 e1h1 d8d7 c2c3 e8a8 d2d4 h5f3 e2f3,237
rnbqkbnr/p2ppppp/1pp5/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,g7g6 e2e4 f8g7 c1g5 c6c5 d4d5 g7c3 b2c3 d7d6 f2f4,160
r1b1kb1r/ppp1qppp/2np1n2/4p1B1/2B1P3/2PP1Q2/PP3PPP/RN2K1NR b KQkq -,h7h6 g5f6 g7f6 h2h3 h6h5 b1d2 c8g4 f3g3 g4d7 d2f1,-41
r1bqkb1r/pp2nppp/2npp3/2p5/4P3/2NPBN2/PPP1BPPP/R2QK2R b KQkq -,a7a6 d3d4 c6d4 f3d4 c5d4 d1d4 e7c6 d4b6 c8d7 e1a1,85
r1bqkbnr/ppp3pp/2n5/3p4/8/1P6/PBP1PPPP/RN1QKBNR b KQkq -,c8g4 h2h3 g4h5 g1f3 g8f6 e2e3 f8c5 f1b5 a7a6 b5c6,110
rnbqkbnr/p2p1ppp/1pp1p3/8/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,c8a6 e3e4 f8b4 g1f3 g8e7 d1b3 b4c3 b3c3 d7d5 f1d3,101
rnbqkbnr/3ppppp/p7/2pN4/1p1PP3/5N2/PPP2PPP/R1BQKB1R b KQkq -,c5d4 c1f4 d7d6 d1d4 b8d7 e4e5 e7e6 e5d6 e6d5 d4e3,273
r1b1k2r/ppppqBpp/2n2n2/2b1p1N1/4P3/8/PPPP1PPP/RNBQ1RK1 b kq -,e7f7 g5f7 e8f7 c2c3 h8e8 d2d3 f7g8 c1g5 e8f8 a2a4,551
4R3/Nkp5/p2b4/3P4/1P5p/p6P/K5P1/5q2 b - -,e7f7 g5f7 e8f7 c2c3 h8e8 d2d3 f7g8 c1g5 e8f8 a2a4,Mate
rnbq1rk1/ppp1npbp/4p1p1/3p4/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -,d5d4 c3a4 b8d7 e2e3 d4e3 c1e3 b7b6 e3d4 g7d4 f3d4,-22
1r3rk1/p1pp1ppp/Q4q2/4p3/8/2P1KN2/PP3nPP/RN3BR1 b - -,b8b6 e3f2 b6a6 f1a6 f6b6 f2g3 e5e4 b1d2 e4f3 d2f3,-455
