r2qk2r/pb1nbppp/1pn1p3/2p1P3/2Pp3P/3P1NP1/PP1N1PB1/R1BQR1K1 b kq -,a8b8 d2e4 b7a8 c1f4 b6b5 b2b3 b5c4 b3c4 b8b2 e1e2,32
rnbqkb1r/pppppp1p/6p1/8/2PPn3/8/PP2PPPP/RNBQKBNR b KQkq -,f8g7 f2f3 e4d6 e2e4 b7b6 h2h4 h7h5 b1a3 c7c5 d4d5,21
rnbqkbnr/pp2pppp/2pP4/8/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,g8f6 d6e7 f8e7 c2c4 c8g4 f1e2 e8h8 e1h1 f8e8 h2h3,211
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/5N2/PPPP1PPP/RNB1QRK1 b kq -,d7d6 c2c3 c8g4 c4e2 c5b6 d2d3 h7h6 b1a3 e8h8 a3c4,-32
rnbqkb1r/ppp2ppp/8/3pP3/4nB2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,c7c5 f1d3 d8b6 d3e4 d5e4 f3g5 b6b2 b1d2 b8c6 e1h1,210
r1bqk2r/pp1p1ppp/2n1pn2/1Bb5/4P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,d7d6 e4e5 f6d5 c3d5 e6d5 e1h1 c8e6 f3d4 c5d4 d1d4,27
r2qkbnr/ppp2ppp/2np2b1/4p3/4P1PP/2NP1N2/PPP2P2/R1BQKB1R b KQkq -,g8h6 h4h5 f7f5 g4g5 g6f7 g5h6 g7h6 e4f5 h8g8 c1e3,768
r1bqkb1r/ppppnppp/2n5/8/2B1P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,b7b5 c4b5 c8b7 h2h4 a7a6 b5a4 e7c8 e1h1 c8b6 c1f4,253
r1bqkbnr/2p2ppp/p1p1p3/3pP3/3P4/P7/1PP2PPP/RNBQK1NR b KQkq -,c6c5 c2c3 a6a5 g1e2 g8e7 e1h1 e7g6 b1d2 f8e7 d2f3,-56
4Q1k1/pp3p1p/6p1/8/3nP3/4BP2/PPr1B1PP/2R3K1 b - -,c6c5 c2c3 a6a5 g1e2 g8e7 e1h1 e7g6 b1d2 f8e7 d2f3,Mate
r1bqk1nr/pppp1ppp/8/8/2BbP3/2N2Q2/PPP2PPP/R1B1K2R b KQkq -,f7f5 c1f4 d4c3 f3c3 g8f6 e1a1 f5e4 h1e1 d7d6 f2f3,457
rnbqk2r/pp2bppp/3p1n2/2p1p3/4P3/2P3P1/PP1PNPBP/RNBQ1RK1 b kq -,h7h5 h2h3 b7b5 d2d3 b8d7 b1a3 a7a6 c1g5 c8b7 c3c4,53
rnbqk1nr/pppp1pbp/4p1p1/8/3PP3/2P2P2/PP4PP/RNBQKBNR b KQkq -,c7c6 h2h4 d7d5 e4e5 h7h5 c1g5 g8e7 b1d2 b8d7 g1e2,89
rnbqk2r/pp3ppp/2pbpn2/3p2B1/3P4/3BPN2/PPP2PPP/RN1QK2R b KQkq -,a7a6 b1d2 b8d7 e3e4 e6e5 e1h1 e8h8 f1e1 h7h6 g5f6,59
r1bqkb1r/ppp2ppp/2nppn2/8/8/2NPPN2/PPP1BPPP/R1BQK2R b KQkq -,a7a6 e3e4 b7b5 e1h1 g7g6 d3d4 f8g7 e4e5 d6e5 f3e5,8
r1bqkb1r/pp2pppp/2n2n2/3p4/2pP4/1P2PN2/P1P1BPPP/RNBQK2R b KQkq -,c8g4 b3c4 d5c4 h2h3 g4f3 e2f3 a8c8 c2c3 e7e5 e1h1,144
8/8/5r2/4K2k/8/8/8/6Q1 b - -,c8g4 b3c4 d5c4 h2h3 g4f3 e2f3 a8c8 c2c3 e7e5 e1h1,Mate
